function,dimension,run,checkpoint,error
F82013,10,0,0.01,20.461487633615434
F82013,10,0,0.1,20.200366519339582
F82013,10,0,0.2,20.000000000002046
F82013,10,0,0.3,20.000000000000227
F82013,10,0,0.4,20.000000000000682
F82013,10,0,0.5,20.000000000000682
F82013,10,0,0.6,20.00000000000057
F82013,10,0,0.7,20.000000000000796
F82013,10,0,0.8,20.000000000001023
F82013,10,0,0.9,20.000000000000796
F82013,10,0,1.0,20.000000000000796
F82013,10,1,0.01,21.225068673690544
F82013,10,1,0.1,20.821633498060805
F82013,10,1,0.2,20.736508658808702
F82013,10,1,0.3,20.667681331707172
F82013,10,1,0.4,20.644930013625753
F82013,10,1,0.5,20.637229057361196
F82013,10,1,0.6,20.636657116649758
F82013,10,1,0.7,20.636611245096788
F82013,10,1,0.8,20.636601262604927
F82013,10,1,0.9,20.636592565517162
F82013,10,1,1.0,20.636575775833876
F82013,10,2,0.01,21.331458126215466
F82013,10,2,0.1,20.229300221989092
F82013,10,2,0.2,20.005731224222814
F82013,10,2,0.3,20.00301659807792
F82013,10,2,0.4,20.000034394213458
F82013,10,2,0.5,20.000000003129458
F82013,10,2,0.6,20.00000000182854
F82013,10,2,0.7,20.00000000296575
F82013,10,2,0.8,20.000000002668003
F82013,10,2,0.9,20.000000003379
F82013,10,2,1.0,20.00000000289606
F82013,10,3,0.01,21.163086495489665
F82013,10,3,0.1,21.22062938749741
F82013,10,3,0.2,20.908709895605853
F82013,10,3,0.3,20.889091223265496
F82013,10,3,0.4,20.8495949847337
F82013,10,3,0.5,20.827940644460114
F82013,10,3,0.6,20.81523975897312
F82013,10,3,0.7,20.8042056677848
F82013,10,3,0.8,20.793830253585043
F82013,10,3,0.9,20.786235190930142
F82013,10,3,1.0,20.782253930972843
F82013,10,4,0.01,21.271052825490642
F82013,10,4,0.1,21.393538973074442
F82013,10,4,0.2,21.419607669478523
F82013,10,4,0.3,21.188878812265784
F82013,10,4,0.4,21.478577932663825
F82013,10,4,0.5,20.873570468700677
F82013,10,4,0.6,21.489936803522824
F82013,10,4,0.7,21.49336922223847
F82013,10,4,0.8,21.038879999801793
F82013,10,4,0.9,21.34689434890754
F82013,10,4,1.0,21.30167531576751
F82013,10,5,0.01,21.56971321594142
F82013,10,5,0.1,20.912701710078863
F82013,10,5,0.2,20.210925263724107
F82013,10,5,0.3,20.184822619246916
F82013,10,5,0.4,20.109424826112445
F82013,10,5,0.5,20.05644642041591
F82013,10,5,0.6,20.05502251267967
F82013,10,5,0.7,20.055022027123073
F82013,10,5,0.8,20.05502193925463
F82013,10,5,0.9,20.055021926621862
F82013,10,5,1.0,20.055021907139235
F82013,10,6,0.01,21.078344273099788
F82013,10,6,0.1,20.098303280126515
F82013,10,6,0.2,20.000022733953983
F82013,10,6,0.3,20.000000000318437
F82013,10,6,0.4,20.00000000023374
F82013,10,6,0.5,20.00000000023249
F82013,10,6,0.6,20.00000000026739
F82013,10,6,0.7,20.00000000037312
F82013,10,6,0.8,20.000000000253294
F82013,10,6,0.9,20.000000000216232
F82013,10,6,1.0,20.000000000335717
F82013,10,7,0.01,21.37742521535688
F82013,10,7,0.1,21.167155868815144
F82013,10,7,0.2,21.499474034472883
F82013,10,7,0.3,21.165909303124863
F82013,10,7,0.4,21.415687888096954
F82013,10,7,0.5,21.545874879279836
F82013,10,7,0.6,20.90415498169216
F82013,10,7,0.7,21.59321723757057
F82013,10,7,0.8,21.26699856849075
F82013,10,7,0.9,21.320475281952895
F82013,10,7,1.0,21.471243868037504
F82013,10,8,0.01,21.315979498524484
F82013,10,8,0.1,21.028227733228277
F82013,10,8,0.2,20.85754555688004
F82013,10,8,0.3,20.768280350984128
