function,dimensions,checkpoint,mean,std,median,max,min
F172013,10,0.01,35.56782022203774,10.331456726271314,32.82959945090124,65.57665534351543,20.871576184396247
F172013,10,0.1,30.718964065180096,7.671331780060247,28.928150077836335,49.43999899881442,19.899616994177848
F172013,10,0.2,30.71881354193495,7.671494320715881,28.928150077836335,49.43999899881442,19.8996169186629
F172013,10,0.3,30.718813541934946,7.671494320715884,28.928150077836335,49.43999899881442,19.8996169186629
F172013,10,0.4,30.71881354193495,7.671494320715881,28.928150077836335,49.43999899881442,19.8996169186629
F172013,10,0.5,30.71881354193495,7.671494320715881,28.928150077836335,49.43999899881442,19.8996169186629
F172013,10,0.6,30.71881354193495,7.671494320715881,28.928150077836335,49.43999899881442,19.8996169186629
F172013,10,0.7,30.71881354193495,7.6714943207158806,28.928150077836335,49.43999899881442,19.8996169186629
F172013,10,0.8,30.71881354193495,7.671494320715881,28.928150077836335,49.43999899881442,19.8996169186629
F172013,10,0.9,30.71881354193495,7.671494320715881,28.928150077836335,49.43999899881442,19.8996169186629
F172013,10,1.0,30.71881354193495,7.6714943207158806,28.928150077836335,49.43999899881442,19.8996169186629
F172013,30,0.01,170.48145364339103,32.494021742504025,163.9981181413728,305.6199540684072,103.12906709779293
F172013,30,0.1,146.7745777051314,31.89479853756367,144.391835200299,299.843136638478,91.39898022164766
F172013,30,0.2,146.73761269771617,31.90567299242791,144.38153451799707,299.83817713597546,91.38220599017325
F172013,30,0.3,146.73679342283742,31.905975732697314,144.38135621705334,299.8381008194515,91.38162671304161
F172013,30,0.4,146.73675659946147,31.90598485711975,144.38135147269458,299.83809636463775,91.38161871871142
F172013,30,0.5,146.73675477943203,31.905984508254086,144.38135138217206,299.8380962665144,91.38161774707356
F172013,30,0.6,146.73675471807996,31.905984523400395,144.38135138217206,299.8380962665144,91.38161774707208
F172013,30,0.7,146.73675471807863,31.905984523401024,144.38135138217206,299.8380962665144,91.38161774707203
F172013,30,0.8,146.7367547180786,31.905984523401028,144.38135138217206,299.8380962665144,91.38161774707203
F172013,30,0.9,146.7367547180786,31.905984523401024,144.3813513821721,299.8380962665144,91.38161774707203
F172013,30,1.0,146.73675471697354,31.905984524007152,144.3813513821721,299.8380962665144,91.38161774707197
F172013,50,0.01,337.87653698827575,69.32458855632528,322.6208445022403,500.20239567264457,234.36744205828109
F172013,50,0.1,280.91890931254176,68.7566538285301,266.7821711379431,452.5311986121658,194.21728098884796
F172013,50,0.2,279.393713742507,69.0182554566912,266.6505871202031,452.2827616733475,191.6105127261829
F172013,50,0.3,279.18806350391833,69.05286536977778,261.9128502201288,452.2759206428466,190.86264847651717
F172013,50,0.4,279.1803802580251,69.05397052171749,261.67548098994325,452.2756237764188,190.840075270964
F172013,50,0.5,279.17981133969624,69.05397559238756,261.66153867425044,452.27558546727823,190.83911226786324
F172013,50,0.6,279.17978901061247,69.05397614589283,261.661176508381,452.2755809725354,190.83906097708018
F172013,50,0.7,279.1797879380852,69.05397632051663,261.66115204459174,452.2755807222402,190.83905668184582
F172013,50,0.8,279.17978776350054,69.05397635433775,261.6611452917256,452.2755807222402,190.8390562066769
F172013,50,0.9,279.1797877525431,69.0539763571176,261.6611447328985,452.2755807222404,190.8390562066769
F172013,50,1.0,279.1797877525431,69.0539763571176,261.6611447328986,452.2755807222404,190.8390562066769
