function,dimension,run,checkpoint,error
F82013,10,0,0.01,"[20.673452188924102, 0.49104918306693435]"
F82013,10,0,0.1,"[20.254142808317738, 3.3171374150551856]"
F82013,10,0,0.2,"[20.254142808317738, 5.699383846018463]"
F82013,10,0,0.3,"[20.254142808317738, 8.06826356286183]"
F82013,10,0,0.4,"[20.254142808317738, 13.798141606152058]"
F82013,10,0,0.5,"[20.254142808317738, 19.48578343912959]"
F82013,10,0,0.6,"[20.254142808317738, 24.997365597169846]"
F82013,10,0,0.7,"[20.254142808317738, 30.0262507959269]"
F82013,10,0,0.8,"[20.254142808317738, 35.006572840269655]"
F82013,10,0,0.9,"[20.254142808317738, 41.26371568487957]"
F82013,10,0,1.0,"[20.254142808317738, 47.56872306205332]"
F82013,10,1,0.01,"[20.8127544709248, 0.5961615513078868]"
F82013,10,1,0.1,"[20.46552158677389, 6.341088457964361]"
F82013,10,1,0.2,"[20.356965670416457, 10.510745271109045]"
F82013,10,1,0.3,"[20.356965670416457, 18.03350950917229]"
F82013,10,1,0.4,"[20.356965670416457, 23.7162047252059]"
F82013,10,1,0.5,"[20.356965670416457, 29.71756957517937]"
F82013,10,1,0.6,"[20.356965670416457, 36.438486787024885]"
F82013,10,1,0.7,"[20.356965670416457, 42.98219848796725]"
F82013,10,1,0.8,"[20.20073717545779, 48.48972138622776]"
F82013,10,1,0.9,"[20.01089223044403, 54.81465964997187]"
F82013,10,1,1.0,"[20.004693696423033, 60.00247695716098]"
F82013,10,2,0.01,"[20.810565004744717, 0.7658369382843375]"
F82013,10,2,0.1,"[20.42773923763184, 6.476057033985853]"
F82013,10,2,0.2,"[20.42773923763184, 12.87414220534265]"
F82013,10,2,0.3,"[20.42773923763184, 20.164229896385223]"
F82013,10,2,0.4,"[20.42773923763184, 26.742591480258852]"
F82013,10,2,0.5,"[20.38301903392835, 33.43617200292647]"
F82013,10,2,0.6,"[20.38301903392835, 39.66302835009992]"
F82013,10,2,0.7,"[20.38301903392835, 45.52855666913092]"
F82013,10,2,0.8,"[20.38301903392835, 51.87466382328421]"
F82013,10,2,0.9,"[20.38301903392835, 57.91593844909221]"
F82013,10,2,1.0,"[20.38301903392835, 62.43351802229881]"
F82013,10,3,0.01,"[20.73252750792176, 1.0148936426267028]"
F82013,10,3,0.1,"[20.390721164291563, 7.124821605626494]"
F82013,10,3,0.2,"[20.390721164291563, 14.842689221724868]"
F82013,10,3,0.3,"[20.390721164291563, 20.760726465843618]"
F82013,10,3,0.4,"[20.390721164291563, 27.00677713798359]"
F82013,10,3,0.5,"[20.390721164291563, 33.02936379984021]"
F82013,10,3,0.6,"[20.390721164291563, 37.49053248669952]"
F82013,10,3,0.7,"[20.390721164291563, 43.58513263287023]"
F82013,10,3,0.8,"[20.390721164291563, 50.40235531562939]"
F82013,10,3,0.9,"[20.390721164291563, 56.55615761503577]"
F82013,10,3,1.0,"[20.230821350745714, 61.668386154808104]"
F82013,10,4,0.01,"[20.74264131476241, 0.826320287771523]"
F82013,10,4,0.1,"[20.5686117833244, 6.681939593050629]"
F82013,10,4,0.2,"[20.5685723905475, 13.124231915920973]"
F82013,10,4,0.3,"[20.5685723905475, 19.369169743731618]"
F82013,10,4,0.4,"[20.5685723905475, 27.066144919022918]"
F82013,10,4,0.5,"[20.535693327706554, 34.30768651980907]"
F82013,10,4,0.6,"[20.535693327706554, 40.838733438868076]"
F82013,10,4,0.7,"[20.402077116889473, 49.2689927816391]"
F82013,10,4,0.8,"[20.39417515350476, 55.71653415588662]"
F82013,10,4,0.9,"[20.39417515350476, 60.665777248796076]"
F82013,10,4,1.0,"[20.39417515350476, 64.08390763681382]"
F82013,10,5,0.01,"[20.73760750268491, 0.7048065238632262]"
F82013,10,5,0.1,"[20.396180457699415, 6.247296433895826]"
F82013,10,5,0.2,"[20.396180457699415, 12.301415297202766]"
F82013,10,5,0.3,"[20.396180457699415, 18.688444438856095]"
F82013,10,5,0.4,"[20.396180457699415, 25.263756114058197]"
F82013,10,5,0.5,"[20.396180457699415, 31.799838286824524]"
F82013,10,5,0.6,"[20.396180457699415, 37.99281180091202]"
F82013,10,5,0.7,"[20.396180457699415, 44.261486956849694]"
F82013,10,5,0.8,"[20.396180457699415, 50.4490589662455]"
F82013,10,5,0.9,"[20.396180457699415, 56.30328790796921]"
F82013,10,5,1.0,"[20.396180457699415, 59.32286674622446]"
F82013,10,6,0.01,"[20.877085589653234, 0.9906906788237393]"
F82013,10,6,0.1,"[20.593313888150874, 5.32092099962756]"
F82013,10,6,0.2,"[20.593313888150874, 12.529764328617603]"
F82013,10,6,0.3,"[20.482252570023775, 19.225156547967345]"
F82013,10,6,0.4,"[20.482252570023775, 25.554453087970614]"
F82013,10,6,0.5,"[20.482252570023775, 31.836121170781553]"
F82013,10,6,0.6,"[20.480450805657597, 37.77062424598262]"
F82013,10,6,0.7,"[20.480450805657597, 44.17400715267286]"
F82013,10,6,0.8,"[20.480450805657597, 50.679512520786375]"
F82013,10,6,0.9,"[20.480450805657597, 56.88827272504568]"
F82013,10,6,1.0,"[20.480450805657597, 60.49639335880056]"
F82013,10,7,0.01,"[20.604025857597094, 0.6537284338846803]"
F82013,10,7,0.1,"[20.604025857597094, 5.8648269842378795]"
F82013,10,7,0.2,"[20.529104631779205, 11.90206650691107]"
F82013,10,7,0.3,"[20.529104631779205, 18.27955047879368]"
F82013,10,7,0.4,"[20.529104631779205, 24.778329379856586]"
F82013,10,7,0.5,"[20.529104631779205, 31.30258012888953]"
F82013,10,7,0.6,"[20.529104631779205, 33.73864422785118]"
F82013,10,7,0.7,"[20.529104631779205, 35.93853530893102]"
F82013,10,7,0.8,"[20.522068002610126, 38.92685762187466]"
F82013,10,7,0.9,"[20.522068002610126, 41.37265035323799]"
F82013,10,7,1.0,"[20.522068002610126, 44.23657828895375]"
F82013,10,8,0.01,"[20.585576071395963, 0.6948731918819249]"
F82013,10,8,0.1,"[20.562654672585722, 6.289499755017459]"
F82013,10,8,0.2,"[20.562654672585722, 10.1620918167755]"
F82013,10,8,0.3,"[20.562654672585722, 16.545264126732945]"
F82013,10,8,0.4,"[20.46902642539726, 23.558927170932293]"
F82013,10,8,0.5,"[20.433002362685443, 30.18421188602224]"
F82013,10,8,0.6,"[20.433002362685443, 36.79422341892496]"
F82013,10,8,0.7,"[20.433002362685443, 42.95251742191613]"
F82013,10,8,0.8,"[20.220985880995613, 49.92803430883214]"
F82013,10,8,0.9,"[20.220985880995613, 54.822251189965755]"
F82013,10,8,1.0,"[20.220985880995613, 57.83311261096969]"
F82013,10,9,0.01,"[20.774139046750065, 1.1533403471112251]"
F82013,10,9,0.1,"[20.679646482447083, 6.413234245032072]"
F82013,10,9,0.2,"[20.60528952195, 13.053562987130135]"
F82013,10,9,0.3,"[20.60528952195, 19.173677887301892]"
F82013,10,9,0.4,"[20.55429024958653, 25.541354888118804]"
F82013,10,9,0.5,"[20.55429024958653, 31.966590536292642]"
F82013,10,9,0.6,"[20.533319953810974, 38.38839765731245]"
F82013,10,9,0.7,"[20.533319953810974, 44.79795313021168]"
F82013,10,9,0.8,"[20.410353211101096, 51.215351313352585]"
F82013,10,9,0.9,"[20.410353211101096, 57.63267204398289]"
F82013,10,9,1.0,"[20.410353211101096, 62.66855670744553]"
F82013,10,10,0.01,"[20.713047546842972, 0.7400180660188198]"
F82013,10,10,0.1,"[20.42495713262224, 6.045390377752483]"
F82013,10,10,0.2,"[20.42495713262224, 12.378398346714675]"
F82013,10,10,0.3,"[20.42495713262224, 19.85577683383599]"
F82013,10,10,0.4,"[20.42495713262224, 26.343139383010566]"
F82013,10,10,0.5,"[20.42495713262224, 32.89333098893985]"
F82013,10,10,0.6,"[20.42495713262224, 39.94729457376525]"
F82013,10,10,0.7,"[20.42495713262224, 47.50837775878608]"
F82013,10,10,0.8,"[20.42495713262224, 54.4430789668113]"
F82013,10,10,0.9,"[20.42495713262224, 60.997703085653484]"
F82013,10,10,1.0,"[20.42495713262224, 64.17603984102607]"
F82013,10,11,0.01,"[20.78235273959342, 0.5763715910725296]"
F82013,10,11,0.1,"[20.54249376513235, 5.368278536945581]"
F82013,10,11,0.2,"[20.487042300496114, 13.386095872148871]"
F82013,10,11,0.3,"[20.439355565803567, 18.466417151968926]"
F82013,10,11,0.4,"[20.439355565803567, 24.02025887509808]"
F82013,10,11,0.5,"[20.315018544173654, 30.17895543202758]"
F82013,10,11,0.6,"[20.315018544173654, 36.18845322309062]"
F82013,10,11,0.7,"[20.315018544173654, 42.87010050192475]"
F82013,10,11,0.8,"[20.315018544173654, 50.62981467321515]"
F82013,10,11,0.9,"[20.315018544173654, 56.720556849148124]"
F82013,10,11,1.0,"[20.315018544173654, 62.391059407033026]"
F82013,10,12,0.01,"[20.758858785190455, 0.5150111168622971]"
F82013,10,12,0.1,"[20.46181664643973, 6.071553330868483]"
F82013,10,12,0.2,"[20.46181664643973, 12.35921284975484]"
F82013,10,12,0.3,"[20.46181664643973, 18.852364596910775]"
F82013,10,12,0.4,"[20.46181664643973, 23.44844553200528]"
F82013,10,12,0.5,"[20.46181664643973, 29.719381351023912]"
F82013,10,12,0.6,"[20.46181664643973, 35.93818151578307]"
F82013,10,12,0.7,"[20.46181664643973, 42.17984849680215]"
F82013,10,12,0.8,"[20.43292797714355, 48.40639111073688]"
F82013,10,12,0.9,"[20.43292797714355, 54.60701345372945]"
F82013,10,12,1.0,"[20.428947345251345, 60.49448734102771]"
