function,dimensions,checkpoint,mean,std,median,max,min
F72013,10,0.01,1238.6137001546992,1316.200811915687,733.1017184989003,6941.378846222558,277.2280732477285
F72013,10,0.1,398.56421543486647,709.6772844842476,161.8783457649531,3855.4719017130856,17.030910803022266
F72013,10,0.2,397.72269434473986,708.0205736815932,160.02491177599438,3855.4719017130856,17.030004660923055
F72013,10,0.3,397.7138081373451,708.0234378480191,160.02471478065672,3855.4719017130856,17.028351652381048
F72013,10,0.4,397.3474948271824,708.0395994446038,160.0246147425628,3855.4719017130856,17.028351652381048
F72013,10,0.5,397.3176274406974,708.0474384121653,160.02427209060784,3855.4719017130856,17.028351652381048
F72013,10,0.6,397.0916553698407,708.0419737378256,160.02414869899735,3855.4719017130856,17.028351652381048
F72013,10,0.7,397.0840600330227,708.0453115515334,160.0145486245533,3855.4719017130856,17.028331881964505
F72013,10,0.8,372.7515874101029,698.85798385955,157.60463861976734,3855.4719017130856,17.028331881964505
F72013,10,0.9,372.7368611419383,698.8636027494526,157.44876234619278,3855.4719017130856,17.028331881964505
F72013,10,1.0,372.7250100109499,698.8649560069666,157.44462247608908,3855.4719017130856,17.028331881964505
F72013,30,0.01,37219.291171337456,18908.340813502135,32760.951347335198,100497.57317696688,11781.239463393313
F72013,30,0.1,13635.662439756483,11882.437324279792,10907.747976952396,69434.90788911843,79.78986521680781
F72013,30,0.2,13614.659838577214,11809.090830668594,10907.746720615576,68683.38469715702,79.78985575342494
F72013,30,0.3,13611.19333186089,11804.557394125808,10907.746471728233,68659.68807508954,79.78985314097872
F72013,30,0.4,13610.060076924841,11802.975081893032,10907.746471728233,68648.0505406813,79.78985314097872
F72013,30,0.5,13602.403856864932,11799.098468146361,10907.746471728233,68633.58572467556,79.78975205718984
F72013,30,0.6,13591.162496311515,11788.34898390771,10907.746471728233,68620.61616700748,79.78860531113571
F72013,30,0.7,13585.294427070956,11782.949218793228,10907.746471728233,68606.51942866432,79.78822973291778
F72013,30,0.8,13579.573944346665,11777.603962191966,10907.746471728233,68585.74623401464,79.787976059465
F72013,30,0.9,13570.912594269897,11770.073592734423,10907.734342095206,68564.42687731021,79.78781956275418
F72013,30,1.0,13544.539981253633,11750.975359382395,10907.627597659344,68540.6900534765,79.76285855052492
F72013,50,0.01,165198.74498380013,45137.39197075951,167672.0072051346,270298.6060050764,56519.12190588695
F72013,50,0.1,73086.37610451764,35772.41699322689,63594.68321112438,149647.08982005334,13101.619376173121
F72013,50,0.2,72883.38352369962,35529.896812619976,63594.6539228179,149646.09945059966,13101.619103428986
F72013,50,0.3,72853.82088879394,35495.32661627046,63594.6539228179,149646.0993350994,13101.618994072413
F72013,50,0.4,72851.13491497032,35491.83779377885,63594.65381575018,149646.09916503215,13101.618948068897
F72013,50,0.5,72851.12433341438,35491.8273073296,63594.65381575018,149646.09916503215,13101.618948068897
F72013,50,0.6,72850.93920798656,35491.58862570913,63594.554507560846,149646.09916503215,13101.618948068897
F72013,50,0.7,72843.39681177044,35481.50064780656,63594.17086833469,149646.09916503215,13101.618848587077
F72013,50,0.8,72811.22178886495,35447.28926759771,63594.17086833469,149646.07905807302,13101.614061507267
F72013,50,0.9,72715.23455054167,35353.30838165631,63594.168386166064,149646.07594842964,13101.614061507267
F72013,50,1.0,72638.80876483524,35269.91482742238,63594.16700582026,149646.03647660057,13101.614061507267
