function,dimension,run,checkpoint,error
F92013,10,0,0.01,"[2.726504289517834, 1.2857365612871945]"
F92013,10,0,0.1,"[0, 1.2857365612871945]"
F92013,10,0,0.2,"[0, 1.2857365612871945]"
F92013,10,0,0.3,"[0, 1.2857365612871945]"
F92013,10,0,0.4,"[0, 1.2857365612871945]"
F92013,10,0,0.5,"[0, 1.2857365612871945]"
F92013,10,0,0.6,"[0, 1.2857365612871945]"
F92013,10,0,0.7,"[0, 1.2857365612871945]"
F92013,10,0,0.8,"[0, 1.2857365612871945]"
F92013,10,0,0.9,"[0, 1.2857365612871945]"
F92013,10,0,1.0,"[0, 1.2857365612871945]"
F92013,10,1,0.01,"[1.4963431977331538, 1.6607318231835961]"
F92013,10,1,0.1,"[0, 1.6607318231835961]"
F92013,10,1,0.2,"[0, 1.6607318231835961]"
F92013,10,1,0.3,"[0, 1.6607318231835961]"
F92013,10,1,0.4,"[0, 1.6607318231835961]"
F92013,10,1,0.5,"[0, 1.6607318231835961]"
F92013,10,1,0.6,"[0, 1.6607318231835961]"
F92013,10,1,0.7,"[0, 1.6607318231835961]"
F92013,10,1,0.8,"[0, 1.6607318231835961]"
F92013,10,1,0.9,"[0, 1.6607318231835961]"
F92013,10,1,1.0,"[0, 1.6607318231835961]"
F92013,10,2,0.01,"[1.7322060811030724, 0.7339014387689531]"
F92013,10,2,0.1,"[0, 0.7339014387689531]"
F92013,10,2,0.2,"[0, 0.7339014387689531]"
F92013,10,2,0.3,"[0, 0.7339014387689531]"
F92013,10,2,0.4,"[0, 0.7339014387689531]"
F92013,10,2,0.5,"[0, 0.7339014387689531]"
F92013,10,2,0.6,"[0, 0.7339014387689531]"
F92013,10,2,0.7,"[0, 0.7339014387689531]"
F92013,10,2,0.8,"[0, 0.7339014387689531]"
F92013,10,2,0.9,"[0, 0.7339014387689531]"
F92013,10,2,1.0,"[0, 0.7339014387689531]"
F92013,10,3,0.01,"[1.7438753162604144, 1.7754268101416528]"
F92013,10,3,0.1,"[0, 1.7754268101416528]"
F92013,10,3,0.2,"[0, 1.7754268101416528]"
F92013,10,3,0.3,"[0, 1.7754268101416528]"
F92013,10,3,0.4,"[0, 1.7754268101416528]"
F92013,10,3,0.5,"[0, 1.7754268101416528]"
F92013,10,3,0.6,"[0, 1.7754268101416528]"
F92013,10,3,0.7,"[0, 1.7754268101416528]"
F92013,10,3,0.8,"[0, 1.7754268101416528]"
F92013,10,3,0.9,"[0, 1.7754268101416528]"
F92013,10,3,1.0,"[0, 1.7754268101416528]"
F92013,10,4,0.01,"[3.827453539871726, 0.560219394043088]"
F92013,10,4,0.1,"[0, 0.560219394043088]"
F92013,10,4,0.2,"[0, 0.560219394043088]"
F92013,10,4,0.3,"[0, 0.560219394043088]"
F92013,10,4,0.4,"[0, 0.560219394043088]"
F92013,10,4,0.5,"[0, 0.560219394043088]"
F92013,10,4,0.6,"[0, 0.560219394043088]"
F92013,10,4,0.7,"[0, 0.560219394043088]"
F92013,10,4,0.8,"[0, 0.560219394043088]"
F92013,10,4,0.9,"[0, 0.560219394043088]"
F92013,10,4,1.0,"[0, 0.560219394043088]"
F92013,10,5,0.01,"[4.175348369407402, 1.392741510644555]"
F92013,10,5,0.1,"[0, 1.392741510644555]"
F92013,10,5,0.2,"[0, 1.392741510644555]"
F92013,10,5,0.3,"[0, 1.392741510644555]"
F92013,10,5,0.4,"[0, 1.392741510644555]"
F92013,10,5,0.5,"[0, 1.392741510644555]"
F92013,10,5,0.6,"[0, 1.392741510644555]"
F92013,10,5,0.7,"[0, 1.392741510644555]"
F92013,10,5,0.8,"[0, 1.392741510644555]"
F92013,10,5,0.9,"[0, 1.392741510644555]"
F92013,10,5,1.0,"[0, 1.392741510644555]"
F92013,10,6,0.01,"[4.132733119295267, 1.8317056437954307]"
F92013,10,6,0.1,"[0, 1.8317056437954307]"
F92013,10,6,0.2,"[0, 1.8317056437954307]"
F92013,10,6,0.3,"[0, 1.8317056437954307]"
F92013,10,6,0.4,"[0, 1.8317056437954307]"
F92013,10,6,0.5,"[0, 1.8317056437954307]"
F92013,10,6,0.6,"[0, 1.8317056437954307]"
F92013,10,6,0.7,"[0, 1.8317056437954307]"
F92013,10,6,0.8,"[0, 1.8317056437954307]"
F92013,10,6,0.9,"[0, 1.8317056437954307]"
F92013,10,6,1.0,"[0, 1.8317056437954307]"
F92013,10,7,0.01,"[3.0345989418442514, 1.7089859610423446]"
F92013,10,7,0.1,"[0, 1.7089859610423446]"
F92013,10,7,0.2,"[0, 1.7089859610423446]"
F92013,10,7,0.3,"[0, 1.7089859610423446]"
F92013,10,7,0.4,"[0, 1.7089859610423446]"
F92013,10,7,0.5,"[0, 1.7089859610423446]"
F92013,10,7,0.6,"[0, 1.7089859610423446]"
F92013,10,7,0.7,"[0, 1.7089859610423446]"
F92013,10,7,0.8,"[0, 1.7089859610423446]"
F92013,10,7,0.9,"[0, 1.7089859610423446]"
F92013,10,7,1.0,"[0, 1.7089859610423446]"
F92013,10,8,0.01,"[1.9649587108722244, 1.3947391551919281]"
F92013,10,8,0.1,"[0, 1.3947391551919281]"
F92013,10,8,0.2,"[0, 1.3947391551919281]"
F92013,10,8,0.3,"[0, 1.3947391551919281]"
F92013,10,8,0.4,"[0, 1.3947391551919281]"
F92013,10,8,0.5,"[0, 1.3947391551919281]"
F92013,10,8,0.6,"[0, 1.3947391551919281]"
F92013,10,8,0.7,"[0, 1.3947391551919281]"
F92013,10,8,0.8,"[0, 1.3947391551919281]"
