function,dimensions,checkpoint,mean,std,median,max,min
F132013,10,0.01,40.80492760463605,11.419505250062247,42.26132212742249,62.5608660919691,13.141052586189772
F132013,10,0.1,7.236979271517905,6.072479395998329,5.568462500248671,27.50085677319879,0.9949592675981478
F132013,10,0.2,4.177000269880559,5.638499894569291,2.835804166362493,27.45601630181352,0
F132013,10,0.3,0,0,0,0,0
F132013,10,0.4,1.2942924697429592,1.8417357484765993,0,6.831784959930417,0
F132013,10,0.5,0,0,0,0,0
F132013,10,0.6,0,0,0,0,0
F132013,10,0.7,0,0,0,0,0
F132013,10,0.8,0.7055321121421586,1.7491724595078257,0,10.436269491453004,0
F132013,10,0.9,0,0,0,0,0
F132013,10,1.0,0,0,0,0,0
F132013,30,0.01,177.81427038668605,42.37725736835353,187.80690512883888,234.7920974093296,60.37194860808623
F132013,30,0.1,19.786150084016445,11.619855883593717,16.686051968806282,61.775926652783426,6.298003715559929
F132013,30,0.2,15.691682403885684,19.95552504019151,10.548949070415375,138.08039246573531,3.9870272007667324
F132013,30,0.3,29.668030191448395,41.514434561764205,13.745372055715166,158.4072993171543,2.984878199652769
F132013,30,0.4,0,0,0,0,0
F132013,30,0.5,0,0,0,0,0
F132013,30,0.6,0,0,0,0,0
F132013,30,0.7,0,0,0,0,0
F132013,30,0.8,0,0,0,0,0
F132013,30,0.9,0,0,0,0,0
F132013,30,1.0,0,0,0,0,0
F132013,50,0.01,330.838358503233,81.27452945254186,358.77228629423314,440.6301824631204,184.03753658093189
F132013,50,0.1,46.78530090700991,15.582463060700032,43.766631688654854,73.32861829618415,0
F132013,50,0.2,0,0,0,0,0
F132013,50,0.3,1.5605765565036085,8.485068066387429,0,57.52580619427536,0
F132013,50,0.4,0,0,0,0,0
F132013,50,0.5,0,0,0,0,0
F132013,50,0.6,1.7237989396266076,4.248236026987019,0,20.990811776390387,0
F132013,50,0.7,0,0,0,0,0
F132013,50,0.8,0,0,0,0,0
F132013,50,0.9,0,0,0,0,0
F132013,50,1.0,0,0,0,0,0
