function,dimension,run,checkpoint,error
F282013,10,0,0.01,[400.2982925166641]
F282013,10,0,0.1,[400.00011309102115]
F282013,10,0,0.2,[400.0000006404057]
F282013,10,0,0.3,[0]
F282013,10,0,0.4,[0]
F282013,10,0,0.5,[0]
F282013,10,0,0.6,[0]
F282013,10,0,0.7,[0]
F282013,10,0,0.8,[0]
F282013,10,0,0.9,[0]
F282013,10,0,1.0,[0]
F282013,10,1,0.01,[400.9821321557356]
F282013,10,1,0.1,[400.00015653367313]
F282013,10,1,0.2,[400.00000194111817]
F282013,10,1,0.3,[0]
F282013,10,1,0.4,[0]
F282013,10,1,0.5,[0]
F282013,10,1,0.6,[0]
F282013,10,1,0.7,[0]
F282013,10,1,0.8,[0]
F282013,10,1,0.9,[0]
F282013,10,1,1.0,[0]
F282013,10,2,0.01,[400.3181727499716]
F282013,10,2,0.1,[400.000075088386]
F282013,10,2,0.2,[400.00000088056686]
F282013,10,2,0.3,[0]
F282013,10,2,0.4,[0]
F282013,10,2,0.5,[0]
F282013,10,2,0.6,[0]
F282013,10,2,0.7,[0]
F282013,10,2,0.8,[0]
F282013,10,2,0.9,[0]
F282013,10,2,1.0,[0]
F282013,10,3,0.01,[400.50556158996596]
F282013,10,3,0.1,[400.00009673705426]
F282013,10,3,0.2,[400.0000025159168]
F282013,10,3,0.3,[0]
F282013,10,3,0.4,[0]
F282013,10,3,0.5,[0]
F282013,10,3,0.6,[0]
F282013,10,3,0.7,[0]
F282013,10,3,0.8,[0]
F282013,10,3,0.9,[0]
F282013,10,3,1.0,[0]
F282013,10,4,0.01,[400.6242718657861]
F282013,10,4,0.1,[400.0001213359426]
F282013,10,4,0.2,[400.0000018570488]
F282013,10,4,0.3,[0]
F282013,10,4,0.4,[0]
F282013,10,4,0.5,[0]
F282013,10,4,0.6,[0]
F282013,10,4,0.7,[0]
F282013,10,4,0.8,[0]
F282013,10,4,0.9,[0]
F282013,10,4,1.0,[0]
F282013,10,5,0.01,[400.82020625408495]
F282013,10,5,0.1,[400.0001486375015]
F282013,10,5,0.2,[400.0000015853325]
F282013,10,5,0.3,[0]
F282013,10,5,0.4,[0]
F282013,10,5,0.5,[0]
F282013,10,5,0.6,[0]
F282013,10,5,0.7,[0]
F282013,10,5,0.8,[0]
F282013,10,5,0.9,[0]
F282013,10,5,1.0,[0]
F282013,10,6,0.01,[400.414411174414]
F282013,10,6,0.1,[400.0000778206986]
F282013,10,6,0.2,[400.0000013000381]
F282013,10,6,0.3,[0]
F282013,10,6,0.4,[0]
F282013,10,6,0.5,[0]
F282013,10,6,0.6,[0]
F282013,10,6,0.7,[0]
F282013,10,6,0.8,[0]
F282013,10,6,0.9,[0]
F282013,10,6,1.0,[0]
F282013,10,7,0.01,[400.8832016365386]
F282013,10,7,0.1,[400.0001561618367]
