function,dimension,run,checkpoint,error
F22013,10,0,0.01,[244460.38588418768]
F22013,10,0,0.1,[0]
F22013,10,0,0.2,[0]
F22013,10,0,0.3,[0]
F22013,10,0,0.4,[0]
F22013,10,0,0.5,[0]
F22013,10,0,0.6,[0]
F22013,10,0,0.7,[0]
F22013,10,0,0.8,[0]
F22013,10,0,0.9,[0]
F22013,10,0,1.0,[0]
F22013,10,1,0.01,[63335.73067936376]
F22013,10,1,0.1,[0]
F22013,10,1,0.2,[0]
F22013,10,1,0.3,[0]
F22013,10,1,0.4,[0]
F22013,10,1,0.5,[0]
F22013,10,1,0.6,[0]
F22013,10,1,0.7,[0]
F22013,10,1,0.8,[0]
F22013,10,1,0.9,[0]
F22013,10,1,1.0,[0]
F22013,10,2,0.01,[604394.2298042155]
F22013,10,2,0.1,[0]
F22013,10,2,0.2,[0]
F22013,10,2,0.3,[0]
F22013,10,2,0.4,[0]
F22013,10,2,0.5,[0]
F22013,10,2,0.6,[0]
F22013,10,2,0.7,[0]
F22013,10,2,0.8,[0]
F22013,10,2,0.9,[0]
F22013,10,2,1.0,[0]
F22013,10,3,0.01,[129738.45485938001]
F22013,10,3,0.1,[0]
F22013,10,3,0.2,[0]
F22013,10,3,0.3,[0]
F22013,10,3,0.4,[0]
F22013,10,3,0.5,[0]
F22013,10,3,0.6,[0]
F22013,10,3,0.7,[0]
F22013,10,3,0.8,[0]
F22013,10,3,0.9,[0]
F22013,10,3,1.0,[0]
F22013,10,4,0.01,[188588.6401579786]
F22013,10,4,0.1,[0]
F22013,10,4,0.2,[0]
F22013,10,4,0.3,[0]
F22013,10,4,0.4,[0]
F22013,10,4,0.5,[0]
F22013,10,4,0.6,[0]
F22013,10,4,0.7,[0]
F22013,10,4,0.8,[0]
F22013,10,4,0.9,[0]
F22013,10,4,1.0,[0]
F22013,10,5,0.01,[316430.64659610967]
F22013,10,5,0.1,[0]
F22013,10,5,0.2,[0]
F22013,10,5,0.3,[0]
F22013,10,5,0.4,[0]
F22013,10,5,0.5,[0]
F22013,10,5,0.6,[0]
F22013,10,5,0.7,[0]
F22013,10,5,0.8,[0]
F22013,10,5,0.9,[0]
F22013,10,5,1.0,[0]
F22013,10,6,0.01,[117773.73660881458]
F22013,10,6,0.1,[0]
F22013,10,6,0.2,[0]
F22013,10,6,0.3,[0]
F22013,10,6,0.4,[0]
F22013,10,6,0.5,[0]
F22013,10,6,0.6,[0]
F22013,10,6,0.7,[0]
F22013,10,6,0.8,[0]
F22013,10,6,0.9,[0]
F22013,10,6,1.0,[0]
F22013,10,7,0.01,[108717.15776982346]
F22013,10,7,0.1,[0]
F22013,10,7,0.2,[0]
F22013,10,7,0.3,[0]
F22013,10,7,0.4,[0]
F22013,10,7,0.5,[0]
F22013,10,7,0.6,[0]
F22013,10,7,0.7,[0]
F22013,10,7,0.8,[0]
F22013,10,7,0.9,[0]
F22013,10,7,1.0,[0]
F22013,10,8,0.01,[476119.993946979]
F22013,10,8,0.1,[0]
F22013,10,8,0.2,[0]
F22013,10,8,0.3,[0]
F22013,10,8,0.4,[0]
F22013,10,8,0.5,[0]
F22013,10,8,0.6,[0]
F22013,10,8,0.7,[0]
F22013,10,8,0.8,[0]
F22013,10,8,0.9,[0]
F22013,10,8,1.0,[0]
F22013,10,9,0.01,[144500.7514571031]
F22013,10,9,0.1,[0]
F22013,10,9,0.2,[0]
F22013,10,9,0.3,[0]
F22013,10,9,0.4,[0]
F22013,10,9,0.5,[0]
F22013,10,9,0.6,[0]
F22013,10,9,0.7,[0]
F22013,10,9,0.8,[0]
F22013,10,9,0.9,[0]
F22013,10,9,1.0,[0]
F22013,10,10,0.01,[78150.37246380877]
F22013,10,10,0.1,[0]
F22013,10,10,0.2,[0]
F22013,10,10,0.3,[0]
F22013,10,10,0.4,[0]
F22013,10,10,0.5,[0]
F22013,10,10,0.6,[0]
F22013,10,10,0.7,[0]
F22013,10,10,0.8,[0]
F22013,10,10,0.9,[0]
F22013,10,10,1.0,[0]
F22013,10,11,0.01,[156850.69841542313]
F22013,10,11,0.1,[0]
F22013,10,11,0.2,[0]
F22013,10,11,0.3,[0]
F22013,10,11,0.4,[0]
F22013,10,11,0.5,[0]
F22013,10,11,0.6,[0]
F22013,10,11,0.7,[0]
F22013,10,11,0.8,[0]
F22013,10,11,0.9,[0]
F22013,10,11,1.0,[0]
F22013,10,12,0.01,[3357899.938628447]
F22013,10,12,0.1,[0]
F22013,10,12,0.2,[0]
F22013,10,12,0.3,[0]
F22013,10,12,0.4,[0]
F22013,10,12,0.5,[0]
F22013,10,12,0.6,[0]
F22013,10,12,0.7,[0]
F22013,10,12,0.8,[0]
F22013,10,12,0.9,[0]
F22013,10,12,1.0,[0]
F22013,10,13,0.01,[84355.10306107106]
F22013,10,13,0.1,[0]
F22013,10,13,0.2,[0]
F22013,10,13,0.3,[0]
F22013,10,13,0.4,[0]
F22013,10,13,0.5,[0]
F22013,10,13,0.6,[0]
F22013,10,13,0.7,[0]
F22013,10,13,0.8,[0]
F22013,10,13,0.9,[0]
F22013,10,13,1.0,[0]
F22013,10,14,0.01,[188505.66545200575]
F22013,10,14,0.1,[0]
F22013,10,14,0.2,[0]
F22013,10,14,0.3,[0]
F22013,10,14,0.4,[0]
F22013,10,14,0.5,[0]
F22013,10,14,0.6,[0]
F22013,10,14,0.7,[0]
F22013,10,14,0.8,[0]
F22013,10,14,0.9,[0]
F22013,10,14,1.0,[0]
F22013,10,15,0.01,[298953.2116819476]
F22013,10,15,0.1,[0]
F22013,10,15,0.2,[0]
F22013,10,15,0.3,[0]
F22013,10,15,0.4,[0]
F22013,10,15,0.5,[0]
F22013,10,15,0.6,[0]
F22013,10,15,0.7,[0]
F22013,10,15,0.8,[0]
F22013,10,15,0.9,[0]
F22013,10,15,1.0,[0]
F22013,10,16,0.01,[265380.03248359455]
F22013,10,16,0.1,[0]
F22013,10,16,0.2,[0]
F22013,10,16,0.3,[0]
F22013,10,16,0.4,[0]
F22013,10,16,0.5,[0]
F22013,10,16,0.6,[0]
F22013,10,16,0.7,[0]
F22013,10,16,0.8,[0]
F22013,10,16,0.9,[0]
F22013,10,16,1.0,[0]
F22013,10,17,0.01,[77513.7706320626]
F22013,10,17,0.1,[0]
F22013,10,17,0.2,[0]
F22013,10,17,0.3,[0]
F22013,10,17,0.4,[0]
F22013,10,17,0.5,[0]
F22013,10,17,0.6,[0]
F22013,10,17,0.7,[0]
F22013,10,17,0.8,[0]
F22013,10,17,0.9,[0]
F22013,10,17,1.0,[0]
F22013,10,18,0.01,[390612.8395629796]
F22013,10,18,0.1,[0]
F22013,10,18,0.2,[0]
F22013,10,18,0.3,[0]
F22013,10,18,0.4,[0]
F22013,10,18,0.5,[0]
F22013,10,18,0.6,[0]
F22013,10,18,0.7,[0]
F22013,10,18,0.8,[0]
F22013,10,18,0.9,[0]
F22013,10,18,1.0,[0]
F22013,10,19,0.01,[362560.8782247731]
F22013,10,19,0.1,[0]
F22013,10,19,0.2,[0]
F22013,10,19,0.3,[0]
F22013,10,19,0.4,[0]
F22013,10,19,0.5,[0]
F22013,10,19,0.6,[0]
F22013,10,19,0.7,[0]
F22013,10,19,0.8,[0]
F22013,10,19,0.9,[0]
F22013,10,19,1.0,[0]
F22013,10,20,0.01,[81653.55881486024]
F22013,10,20,0.1,[0]
F22013,10,20,0.2,[0]
F22013,10,20,0.3,[0]
F22013,10,20,0.4,[0]
F22013,10,20,0.5,[0]
F22013,10,20,0.6,[0]
F22013,10,20,0.7,[0]
F22013,10,20,0.8,[0]
F22013,10,20,0.9,[0]
F22013,10,20,1.0,[0]
F22013,10,21,0.01,[155549.75321591162]
F22013,10,21,0.1,[0]
F22013,10,21,0.2,[0]
F22013,10,21,0.3,[0]
F22013,10,21,0.4,[0]
F22013,10,21,0.5,[0]
F22013,10,21,0.6,[0]
F22013,10,21,0.7,[0]
F22013,10,21,0.8,[0]
F22013,10,21,0.9,[0]
F22013,10,21,1.0,[0]
F22013,10,22,0.01,[130031.91775206181]
F22013,10,22,0.1,[0]
F22013,10,22,0.2,[0]
F22013,10,22,0.3,[0]
F22013,10,22,0.4,[0]
F22013,10,22,0.5,[0]
F22013,10,22,0.6,[0]
F22013,10,22,0.7,[0]
F22013,10,22,0.8,[0]
F22013,10,22,0.9,[0]
F22013,10,22,1.0,[0]
F22013,10,23,0.01,[207671.38965300928]
F22013,10,23,0.1,[0]
F22013,10,23,0.2,[0]
F22013,10,23,0.3,[0]
F22013,10,23,0.4,[0]
F22013,10,23,0.5,[0]
F22013,10,23,0.6,[0]
F22013,10,23,0.7,[0]
F22013,10,23,0.8,[0]
F22013,10,23,0.9,[0]
F22013,10,23,1.0,[0]
F22013,10,24,0.01,[333228.8349295222]
F22013,10,24,0.1,[0]
F22013,10,24,0.2,[0]
F22013,10,24,0.3,[0]
F22013,10,24,0.4,[0]
F22013,10,24,0.5,[0]
F22013,10,24,0.6,[0]
F22013,10,24,0.7,[0]
F22013,10,24,0.8,[0]
F22013,10,24,0.9,[0]
F22013,10,24,1.0,[0]
F22013,10,25,0.01,[271835.43107851007]
F22013,10,25,0.1,[0]
F22013,10,25,0.2,[0]
F22013,10,25,0.3,[0]
F22013,10,25,0.4,[0]
F22013,10,25,0.5,[0]
F22013,10,25,0.6,[0]
F22013,10,25,0.7,[0]
F22013,10,25,0.8,[0]
F22013,10,25,0.9,[0]
F22013,10,25,1.0,[0]
F22013,10,26,0.01,[605507.1501866871]
F22013,10,26,0.1,[0]
F22013,10,26,0.2,[0]
F22013,10,26,0.3,[0]
F22013,10,26,0.4,[0]
F22013,10,26,0.5,[0]
F22013,10,26,0.6,[0]
F22013,10,26,0.7,[0]
F22013,10,26,0.8,[0]
F22013,10,26,0.9,[0]
F22013,10,26,1.0,[0]
