function,dimensions,checkpoint,mean,std,median,max,min
F52013,10,0.01,4.161414761269587,5.318469123456135,1.9775774083311717,21.28013853913501,0.07370201470484972
F52013,10,0.1,2.6601524754654495e-07,2.768233886557266e-07,1.9721835542441113e-07,1.622126887923514e-06,2.8932845452800393e-08
F52013,10,0.2,0,0,0,0,0
F52013,10,0.3,0,0,0,0,0
F52013,10,0.4,0,0,0,0,0
F52013,10,0.5,0,0,0,0,0
F52013,10,0.6,0,0,0,0,0
F52013,10,0.7,0,0,0,0,0
F52013,10,0.8,0,0,0,0,0
F52013,10,0.9,0,0,0,0,0
F52013,10,1.0,0,0,0,0,0
F52013,30,0.01,74.96030239038039,29.131857045641446,70.85777240524203,137.2211190297836,27.444141464452514
F52013,30,0.1,6.647854554424104e-08,5.758510372601187e-08,5.323477125784848e-08,3.803365871135611e-07,1.5609543879691046e-08
F52013,30,0.2,2.4908113622515492e-05,4.7330547208578196e-05,2.1679852579836734e-08,0.00020474688437843724,0
F52013,30,0.3,1.3830741765702318e-05,6.870891756506654e-05,1.4886268218106125e-08,0.00038625200465958187,0
F52013,30,0.4,0,0,0,0,0
F52013,30,0.5,0,0,0,0,0
F52013,30,0.6,0,0,0,0,0
F52013,30,0.7,0,0,0,0,0
F52013,30,0.8,0,0,0,0,0
F52013,30,0.9,0,0,0,0,0
F52013,30,1.0,0,0,0,0,0
F52013,50,0.01,122.63459079587525,44.998270761609575,114.5754362284373,239.1513260833492,39.83950518303095
F52013,50,0.1,1.85549593237845e-06,6.619413998215782e-07,1.8698546000450733e-06,3.9717029949315474e-06,5.872111614735331e-07
F52013,50,0.2,6.288147349051524e-07,9.91321007638131e-07,5.66187736694701e-08,4.527504529505677e-06,1.8155674297304358e-08
F52013,50,0.3,3.446259243259299e-06,1.5142899696254078e-06,3.23180961459002e-06,1.0075755085381388e-05,1.1498585763547453e-06
F52013,50,0.4,0,0,0,0,0
F52013,50,0.5,0,0,0,0,0
F52013,50,0.6,0,0,0,2.8303361432335805e-08,0
F52013,50,0.7,0,0,0,0,0
F52013,50,0.8,0,0,0,0,0
F52013,50,0.9,0,0,0,0,0
F52013,50,1.0,0,0,0,0,0
