function,dimension,run,checkpoint,error
F42013,10,0,0.01,[17695.936079014955]
F42013,10,0,0.1,[0.000882633887385964]
F42013,10,0,0.2,[0]
F42013,10,0,0.3,[0]
F42013,10,0,0.4,[0]
F42013,10,0,0.5,[0]
F42013,10,0,0.6,[0]
F42013,10,0,0.7,[0]
F42013,10,0,0.8,[0]
F42013,10,0,0.9,[0]
F42013,10,0,1.0,[0]
F42013,10,1,0.01,[3885.1307388180217]
F42013,10,1,0.1,[6.95263224770315e-09]
F42013,10,1,0.2,[0]
F42013,10,1,0.3,[0]
F42013,10,1,0.4,[0]
F42013,10,1,0.5,[0]
F42013,10,1,0.6,[0]
F42013,10,1,0.7,[0]
F42013,10,1,0.8,[0]
F42013,10,1,0.9,[0]
F42013,10,1,1.0,[0]
F42013,10,2,0.01,[23955.008253227574]
F42013,10,2,0.1,[1.962494025065098e-07]
F42013,10,2,0.2,[0]
F42013,10,2,0.3,[0]
F42013,10,2,0.4,[0]
F42013,10,2,0.5,[0]
F42013,10,2,0.6,[0]
F42013,10,2,0.7,[0]
F42013,10,2,0.8,[0]
F42013,10,2,0.9,[0]
F42013,10,2,1.0,[0]
F42013,10,3,0.01,[5840.466401134421]
F42013,10,3,0.1,[4.592334335029591e-07]
F42013,10,3,0.2,[0]
F42013,10,3,0.3,[0]
F42013,10,3,0.4,[0]
F42013,10,3,0.5,[0]
F42013,10,3,0.6,[0]
F42013,10,3,0.7,[0]
F42013,10,3,0.8,[0]
F42013,10,3,0.9,[0]
F42013,10,3,1.0,[0]
F42013,10,4,0.01,[30121.741840109862]
F42013,10,4,0.1,[1.705452632450033e-07]
F42013,10,4,0.2,[0]
F42013,10,4,0.3,[0]
F42013,10,4,0.4,[0]
F42013,10,4,0.5,[0]
F42013,10,4,0.6,[0]
F42013,10,4,0.7,[0]
F42013,10,4,0.8,[0]
F42013,10,4,0.9,[0]
F42013,10,4,1.0,[0]
F42013,10,5,0.01,[10557.978755448503]
F42013,10,5,0.1,[1.733469275677635e-05]
F42013,10,5,0.2,[0]
F42013,10,5,0.3,[0]
F42013,10,5,0.4,[0]
F42013,10,5,0.5,[0]
F42013,10,5,0.6,[0]
F42013,10,5,0.7,[0]
F42013,10,5,0.8,[0]
F42013,10,5,0.9,[0]
F42013,10,5,1.0,[0]
F42013,10,6,0.01,[45939.05920554733]
F42013,10,6,0.1,[7.329845175263472e-09]
F42013,10,6,0.2,[0]
F42013,10,6,0.3,[0]
F42013,10,6,0.4,[0]
F42013,10,6,0.5,[0]
F42013,10,6,0.6,[0]
F42013,10,6,0.7,[0]
F42013,10,6,0.8,[0]
F42013,10,6,0.9,[0]
F42013,10,6,1.0,[0]
F42013,10,7,0.01,[2833.5967626816396]
F42013,10,7,0.1,[1.8935777046499425]
F42013,10,7,0.2,[0]
F42013,10,7,0.3,[0]
F42013,10,7,0.4,[0]
F42013,10,7,0.5,[0]
F42013,10,7,0.6,[0]
F42013,10,7,0.7,[0]
F42013,10,7,0.8,[0]
F42013,10,7,0.9,[0]
F42013,10,7,1.0,[0]
F42013,10,8,0.01,[4633.363461145535]
F42013,10,8,0.1,[3649.7195545534255]
F42013,10,8,0.2,[0]
F42013,10,8,0.3,[0]
F42013,10,8,0.4,[0]
F42013,10,8,0.5,[0]
F42013,10,8,0.6,[0]
F42013,10,8,0.7,[0]
F42013,10,8,0.8,[0]
F42013,10,8,0.9,[0]
F42013,10,8,1.0,[0]
F42013,10,9,0.01,[15456.827989259344]
F42013,10,9,0.1,[1.6104877431644127e-08]
F42013,10,9,0.2,[0]
F42013,10,9,0.3,[0]
F42013,10,9,0.4,[0]
F42013,10,9,0.5,[0]
F42013,10,9,0.6,[0]
F42013,10,9,0.7,[0]
F42013,10,9,0.8,[0]
F42013,10,9,0.9,[0]
F42013,10,9,1.0,[0]
F42013,10,10,0.01,[22083.57638898472]
F42013,10,10,0.1,[3.4303138818359e-07]
F42013,10,10,0.2,[0]
F42013,10,10,0.3,[0]
F42013,10,10,0.4,[0]
F42013,10,10,0.5,[0]
F42013,10,10,0.6,[0]
