function,dimensions,checkpoint,mean,std,median,max,min
F182013,10,0.01,49.00120211901945,8.099251336121878,49.551414336545804,63.67350973137911,28.073483938117192
F182013,10,0.1,0.5053547810381137,2.7191299170757572,0,18.270570325248855,0
F182013,10,0.2,0,0,0,0,0
F182013,10,0.3,0,0,0,0,0
F182013,10,0.4,0,0,0,0,0
F182013,10,0.5,0,0,0,0,0
F182013,10,0.6,0,0,0,0,0
F182013,10,0.7,0,0,0,0,0
F182013,10,0.8,0,0,0,0,0
F182013,10,0.9,0,0,0,0,0
F182013,10,1.0,0,0,0,0,0
F182013,30,0.01,226.23294252951956,13.93498318492972,225.84615516212523,257.23140307431345,190.03007010736815
F182013,30,0.1,15.146100371748277,34.84382234084222,0,196.52380392720897,0
F182013,30,0.2,0,0,0,0,0
F182013,30,0.3,0,0,0,0,0
F182013,30,0.4,0,0,0,0,0
F182013,30,0.5,0,0,0,0,0
F182013,30,0.6,0,0,0,0,0
F182013,30,0.7,0,0,0,0,0
F182013,30,0.8,0,0,0,0,0
F182013,30,0.9,0,0,0,0,0
F182013,30,1.0,0,0,0,0,0
F182013,50,0.01,422.2213327612846,24.539692551858455,425.9931092370125,469.74467103981885,357.3797870937981
F182013,50,0.1,71.89472253770182,91.48169560656699,76.90152789262129,379.56701598063626,0
F182013,50,0.2,0,0,0,0,0
F182013,50,0.3,0,0,0,0,0
F182013,50,0.4,0,0,0,0,0
F182013,50,0.5,0,0,0,0,0
F182013,50,0.6,0,0,0,0,0
F182013,50,0.7,0,0,0,0,0
F182013,50,0.8,0,0,0,0,0
F182013,50,0.9,0,0,0,0,0
F182013,50,1.0,0,0,0,0,0
