function,dimension,run,checkpoint,error
F62013,10,0,0.01,[9.849508330784715]
F62013,10,0,0.1,[0]
F62013,10,0,0.2,[0]
F62013,10,0,0.3,[0]
F62013,10,0,0.4,[0]
F62013,10,0,0.5,[0]
F62013,10,0,0.6,[0]
F62013,10,0,0.7,[0]
F62013,10,0,0.8,[0]
F62013,10,0,0.9,[0]
F62013,10,0,1.0,[0]
F62013,10,1,0.01,[10.132010851510131]
F62013,10,1,0.1,[0]
F62013,10,1,0.2,[0]
F62013,10,1,0.3,[0]
F62013,10,1,0.4,[0]
F62013,10,1,0.5,[0]
F62013,10,1,0.6,[0]
F62013,10,1,0.7,[0]
F62013,10,1,0.8,[0]
F62013,10,1,0.9,[0]
F62013,10,1,1.0,[0]
F62013,10,2,0.01,[9.629678226373471]
F62013,10,2,0.1,[0]
F62013,10,2,0.2,[0]
F62013,10,2,0.3,[0]
F62013,10,2,0.4,[0]
F62013,10,2,0.5,[0]
F62013,10,2,0.6,[0]
F62013,10,2,0.7,[0]
F62013,10,2,0.8,[0]
F62013,10,2,0.9,[0]
F62013,10,2,1.0,[0]
F62013,10,3,0.01,[75.4939884714687]
F62013,10,3,0.1,[0]
F62013,10,3,0.2,[0]
F62013,10,3,0.3,[0]
F62013,10,3,0.4,[0]
F62013,10,3,0.5,[0]
F62013,10,3,0.6,[0]
F62013,10,3,0.7,[0]
F62013,10,3,0.8,[0]
F62013,10,3,0.9,[0]
F62013,10,3,1.0,[0]
F62013,10,4,0.01,[2.2967082312005687]
F62013,10,4,0.1,[0]
F62013,10,4,0.2,[0]
F62013,10,4,0.3,[0]
F62013,10,4,0.4,[0]
F62013,10,4,0.5,[0]
F62013,10,4,0.6,[0]
F62013,10,4,0.7,[0]
F62013,10,4,0.8,[0]
F62013,10,4,0.9,[0]
F62013,10,4,1.0,[0]
F62013,10,5,0.01,[1.1956562322583295]
F62013,10,5,0.1,[0]
F62013,10,5,0.2,[0]
F62013,10,5,0.3,[0]
F62013,10,5,0.4,[0]
F62013,10,5,0.5,[0]
F62013,10,5,0.6,[0]
F62013,10,5,0.7,[0]
F62013,10,5,0.8,[0]
F62013,10,5,0.9,[0]
F62013,10,5,1.0,[0]
F62013,10,6,0.01,[10.13979114258143]
F62013,10,6,0.1,[0]
F62013,10,6,0.2,[0]
F62013,10,6,0.3,[0]
F62013,10,6,0.4,[0]
F62013,10,6,0.5,[0]
F62013,10,6,0.6,[0]
F62013,10,6,0.7,[0]
F62013,10,6,0.8,[0]
F62013,10,6,0.9,[0]
F62013,10,6,1.0,[0]
F62013,10,7,0.01,[10.391546624661828]
F62013,10,7,0.1,[0]
F62013,10,7,0.2,[0]
F62013,10,7,0.3,[0]
F62013,10,7,0.4,[0]
F62013,10,7,0.5,[0]
F62013,10,7,0.6,[0]
F62013,10,7,0.7,[0]
F62013,10,7,0.8,[0]
F62013,10,7,0.9,[0]
F62013,10,7,1.0,[0]
F62013,10,8,0.01,[9.866901389423674]
F62013,10,8,0.1,[0]
F62013,10,8,0.2,[0]
F62013,10,8,0.3,[0]
F62013,10,8,0.4,[0]
F62013,10,8,0.5,[0]
F62013,10,8,0.6,[0]
F62013,10,8,0.7,[0]
F62013,10,8,0.8,[0]
F62013,10,8,0.9,[0]
F62013,10,8,1.0,[0]
F62013,10,9,0.01,[9.849191219717568]
F62013,10,9,0.1,[0]
F62013,10,9,0.2,[0]
F62013,10,9,0.3,[0]
F62013,10,9,0.4,[0]
F62013,10,9,0.5,[0]
F62013,10,9,0.6,[0]
F62013,10,9,0.7,[0]
F62013,10,9,0.8,[0]
F62013,10,9,0.9,[0]
F62013,10,9,1.0,[0]
F62013,10,10,0.01,[9.84387073446453]
F62013,10,10,0.1,[0]
F62013,10,10,0.2,[0]
F62013,10,10,0.3,[0]
F62013,10,10,0.4,[0]
F62013,10,10,0.5,[0]
F62013,10,10,0.6,[0]
F62013,10,10,0.7,[0]
