function,dimensions,checkpoint,mean,std,median,max,min
F92013,10,0.01,2.6240834330095684,1.5376061724064942,2.3329171741590926,7.154349374439676,0.3304886154410269
F92013,10,0.1,0,0,0,0,0
F92013,10,0.2,0,0,0,0,0
F92013,10,0.3,0,0,0,0,0
F92013,10,0.4,0,0,0,0,0
F92013,10,0.5,0,0,0,0,0
F92013,10,0.6,0,0,0,0,0
F92013,10,0.7,0,0,0,0,0
F92013,10,0.8,0,0,0,0,0
F92013,10,0.9,0,0,0,0,0
F92013,10,1.0,0,0,0,0,0
F92013,30,0.01,7.452672537624278,2.794087455273717,7.235483216947728,15.492907672305932,2.3706585738719923
F92013,30,0.1,0,0,0,0,0
F92013,30,0.2,0,0,0,0,0
F92013,30,0.3,0,0,0,0,0
F92013,30,0.4,0,0,0,0,0
F92013,30,0.5,0,0,0,0,0
F92013,30,0.6,0,0,0,0,0
F92013,30,0.7,0,0,0,0,0
F92013,30,0.8,0,0,0,0,0
F92013,30,0.9,0,0,0,0,0
F92013,30,1.0,0,0,0,0,0
F92013,50,0.01,14.295653739609657,2.7551687892879433,14.44948619543834,20.993562324253844,7.953711976630984
F92013,50,0.1,0,0,0,0,0
F92013,50,0.2,0,0,0,0,0
F92013,50,0.3,0,0,0,0,0
F92013,50,0.4,0,0,0,0,0
F92013,50,0.5,0,0,0,0,0
F92013,50,0.6,0,0,0,0,0
F92013,50,0.7,0,0,0,0,0
F92013,50,0.8,0,0,0,0,0
F92013,50,0.9,0,0,0,0,0
F92013,50,1.0,0,0,0,0,0
