function,dimension,run,checkpoint,error
F22013,10,0,0.01,[264302.3117743262]
F22013,10,0,0.1,[0]
F22013,10,0,0.2,[0]
F22013,10,0,0.3,[0]
F22013,10,0,0.4,[0]
F22013,10,0,0.5,[0]
F22013,10,0,0.6,[0]
F22013,10,0,0.7,[0]
F22013,10,0,0.8,[0]
F22013,10,0,0.9,[0]
F22013,10,0,1.0,[0]
F22013,10,1,0.01,[146610.64533266475]
F22013,10,1,0.1,[0]
F22013,10,1,0.2,[0]
F22013,10,1,0.3,[0]
F22013,10,1,0.4,[0]
F22013,10,1,0.5,[0]
F22013,10,1,0.6,[0]
F22013,10,1,0.7,[0]
F22013,10,1,0.8,[0]
F22013,10,1,0.9,[0]
F22013,10,1,1.0,[0]
F22013,10,2,0.01,[63976.73487448398]
F22013,10,2,0.1,[0]
F22013,10,2,0.2,[0]
F22013,10,2,0.3,[0]
F22013,10,2,0.4,[0]
F22013,10,2,0.5,[0]
F22013,10,2,0.6,[0]
F22013,10,2,0.7,[0]
F22013,10,2,0.8,[0]
F22013,10,2,0.9,[0]
F22013,10,2,1.0,[0]
F22013,10,3,0.01,[109943.26504179771]
F22013,10,3,0.1,[0]
F22013,10,3,0.2,[0]
F22013,10,3,0.3,[0]
F22013,10,3,0.4,[0]
F22013,10,3,0.5,[0]
F22013,10,3,0.6,[0]
F22013,10,3,0.7,[0]
F22013,10,3,0.8,[0]
F22013,10,3,0.9,[0]
F22013,10,3,1.0,[0]
F22013,10,4,0.01,[1079788.2426180842]
F22013,10,4,0.1,[0]
F22013,10,4,0.2,[0]
F22013,10,4,0.3,[0]
F22013,10,4,0.4,[0]
F22013,10,4,0.5,[0]
F22013,10,4,0.6,[0]
F22013,10,4,0.7,[0]
F22013,10,4,0.8,[0]
F22013,10,4,0.9,[0]
F22013,10,4,1.0,[0]
F22013,10,5,0.01,[329082.066024024]
F22013,10,5,0.1,[0]
F22013,10,5,0.2,[0]
F22013,10,5,0.3,[0]
F22013,10,5,0.4,[0]
F22013,10,5,0.5,[0]
F22013,10,5,0.6,[0]
F22013,10,5,0.7,[0]
F22013,10,5,0.8,[0]
F22013,10,5,0.9,[0]
F22013,10,5,1.0,[0]
F22013,10,6,0.01,[305809.65916130535]
F22013,10,6,0.1,[0]
F22013,10,6,0.2,[0]
F22013,10,6,0.3,[0]
F22013,10,6,0.4,[0]
F22013,10,6,0.5,[0]
F22013,10,6,0.6,[0]
F22013,10,6,0.7,[0]
F22013,10,6,0.8,[0]
F22013,10,6,0.9,[0]
F22013,10,6,1.0,[0]
F22013,10,7,0.01,[215538.59484221746]
F22013,10,7,0.1,[0]
F22013,10,7,0.2,[0]
F22013,10,7,0.3,[0]
F22013,10,7,0.4,[0]
F22013,10,7,0.5,[0]
F22013,10,7,0.6,[0]
F22013,10,7,0.7,[0]
F22013,10,7,0.8,[0]
F22013,10,7,0.9,[0]
F22013,10,7,1.0,[0]
F22013,10,8,0.01,[294278.43014795677]
F22013,10,8,0.1,[0]
F22013,10,8,0.2,[0]
F22013,10,8,0.3,[0]
F22013,10,8,0.4,[0]
F22013,10,8,0.5,[0]
F22013,10,8,0.6,[0]
F22013,10,8,0.7,[0]
F22013,10,8,0.8,[0]
F22013,10,8,0.9,[0]
F22013,10,8,1.0,[0]
F22013,10,9,0.01,[98383.88281277631]
F22013,10,9,0.1,[0]
F22013,10,9,0.2,[0]
F22013,10,9,0.3,[0]
F22013,10,9,0.4,[0]
F22013,10,9,0.5,[0]
F22013,10,9,0.6,[0]
F22013,10,9,0.7,[0]
F22013,10,9,0.8,[0]
F22013,10,9,0.9,[0]
F22013,10,9,1.0,[0]
F22013,10,10,0.01,[792556.154705462]
F22013,10,10,0.1,[0]
F22013,10,10,0.2,[0]
F22013,10,10,0.3,[0]
F22013,10,10,0.4,[0]
F22013,10,10,0.5,[0]
F22013,10,10,0.6,[0]
F22013,10,10,0.7,[0]
F22013,10,10,0.8,[0]
F22013,10,10,0.9,[0]
F22013,10,10,1.0,[0]
F22013,10,11,0.01,[56686.76358150365]
F22013,10,11,0.1,[0]
F22013,10,11,0.2,[0]
F22013,10,11,0.3,[0]
F22013,10,11,0.4,[0]
F22013,10,11,0.5,[0]
F22013,10,11,0.6,[0]
F22013,10,11,0.7,[0]
F22013,10,11,0.8,[0]
F22013,10,11,0.9,[0]
F22013,10,11,1.0,[0]
F22013,10,12,0.01,[353432.09391231125]
F22013,10,12,0.1,[0]
F22013,10,12,0.2,[0]
F22013,10,12,0.3,[0]
F22013,10,12,0.4,[0]
F22013,10,12,0.5,[0]
