algorithm,run,checkpoint,error
adam,0,0.01,[0.10121428571428571]
adam,0,0.1,[0.3648571428571429]
adam,0,0.2,[0.5734285714285714]
adam,0,0.3,[0.7021428571428572]
adam,0,0.4,[0.8175714285714286]
adam,0,0.5,[0.8478571428571429]
adam,0,0.6,[0.8752857142857143]
adam,0,0.7,[0.8827857142857143]
adam,0,0.8,[0.8847142857142857]
adam,0,0.9,[0.8903571428571428]
adam,0,1.0,[0.8927142857142857]
adam,1,0.01,[0.09842857142857143]
adam,1,0.1,[0.41978571428571426]
adam,1,0.2,[0.5687857142857143]
adam,1,0.3,[0.6780714285714285]
adam,1,0.4,[0.7642142857142857]
adam,1,0.5,[0.8136428571428571]
adam,1,0.6,[0.8556428571428571]
adam,1,0.7,[0.8719285714285714]
adam,1,0.8,[0.8778571428571429]
adam,1,0.9,[0.8830714285714286]
adam,1,1.0,[0.8842857142857142]
adam,2,0.01,[0.09842857142857143]
adam,2,0.1,[0.3587142857142857]
adam,2,0.2,[0.5515714285714286]
adam,2,0.3,[0.6731428571428572]
adam,2,0.4,[0.8172857142857143]
adam,2,0.5,[0.8521428571428571]
adam,2,0.6,[0.8677857142857143]
adam,2,0.7,[0.8736428571428572]
adam,2,0.8,[0.8786428571428572]
adam,2,0.9,[0.8787857142857143]
adam,2,1.0,[0.886]
adam,3,0.01,[0.09571428571428571]
adam,3,0.1,[0.38471428571428573]
adam,3,0.2,[0.6685]
adam,3,0.3,[0.7216428571428571]
adam,3,0.4,[0.7591428571428571]
adam,3,0.5,[0.8105]
adam,3,0.6,[0.8559285714285715]
adam,3,0.7,[0.8678571428571429]
adam,3,0.8,[0.8777142857142857]
adam,3,0.9,[0.8794285714285714]
adam,3,1.0,[0.878]
adam,4,0.01,[0.11835714285714286]
adam,4,0.1,[0.3665]
adam,4,0.2,[0.5557142857142857]
adam,4,0.3,[0.7049285714285715]
adam,4,0.4,[0.7377857142857143]
adam,4,0.5,[0.7926428571428571]
adam,4,0.6,[0.8461428571428572]
adam,4,0.7,[0.8483571428571428]
adam,4,0.8,[0.8594285714285714]
adam,4,0.9,[0.874]
adam,4,1.0,[0.8827857142857143]
adam,5,0.01,[0.11271428571428571]
adam,5,0.1,[0.4074285714285714]
adam,5,0.2,[0.6246428571428572]
adam,5,0.3,[0.6969285714285715]
adam,5,0.4,[0.8035714285714286]
adam,5,0.5,[0.7777857142857143]
adam,5,0.6,[0.8186428571428571]
adam,5,0.7,[0.8570714285714286]
adam,5,0.8,[0.8708571428571429]
adam,5,0.9,[0.878]
adam,5,1.0,[0.8782857142857143]
adam,6,0.01,[0.10564285714285715]
adam,6,0.1,[0.3984285714285714]
adam,6,0.2,[0.6326428571428572]
adam,6,0.3,[0.7585]
adam,6,0.4,[0.7949285714285714]
adam,6,0.5,[0.859]
adam,6,0.6,[0.8738571428571429]
adam,6,0.7,[0.8781428571428571]
adam,6,0.8,[0.8815714285714286]
adam,6,0.9,[0.8857142857142857]
adam,6,1.0,[0.8867142857142857]
adam,7,0.01,[0.10835714285714286]
adam,7,0.1,[0.3402142857142857]
adam,7,0.2,[0.5614285714285714]
adam,7,0.3,[0.7657857142857143]
adam,7,0.4,[0.7650714285714286]
adam,7,0.5,[0.7777857142857143]
adam,7,0.6,[0.8515]
adam,7,0.7,[0.8766428571428572]
adam,7,0.8,[0.8836428571428572]
adam,7,0.9,[0.8839285714285714]
adam,7,1.0,[0.8902857142857142]
adam,8,0.01,[0.11285714285714285]
adam,8,0.1,[0.32785714285714285]
adam,8,0.2,[0.6219285714285714]
adam,8,0.3,[0.7622857142857142]
adam,8,0.4,[0.7328571428571429]
adam,8,0.5,[0.8211428571428572]
adam,8,0.6,[0.8527142857142858]
adam,8,0.7,[0.8741428571428571]
adam,8,0.8,[0.8798571428571429]
adam,8,0.9,[0.8857142857142857]
adam,8,1.0,[0.8853571428571428]
adam,9,0.01,[0.11428571428571428]
adam,9,0.1,[0.4052857142857143]
adam,9,0.2,[0.5772142857142857]
adam,9,0.3,[0.7756428571428572]
adam,9,0.4,[0.8105714285714286]
adam,9,0.5,[0.8078571428571428]
adam,9,0.6,[0.847]
adam,9,0.7,[0.8792142857142857]
adam,9,0.8,[0.8782142857142857]
adam,9,0.9,[0.8836428571428572]
adam,9,1.0,[0.8888571428571429]
adam,10,0.01,[0.11064285714285714]
adam,10,0.1,[0.42557142857142854]
adam,10,0.2,[0.5592857142857143]
adam,10,0.3,[0.7024285714285714]
adam,10,0.4,[0.7515]
adam,10,0.5,[0.7817857142857143]
adam,10,0.6,[0.8185]
adam,10,0.7,[0.8608571428571429]
adam,10,0.8,[0.8807857142857143]
adam,10,0.9,[0.8873571428571428]
adam,10,1.0,[0.8875714285714286]
adam,11,0.01,[0.11157142857142857]
adam,11,0.1,[0.3752142857142857]
adam,11,0.2,[0.5136428571428572]
adam,11,0.3,[0.6857142857142857]
adam,11,0.4,[0.7648571428571429]
adam,11,0.5,[0.846]
adam,11,0.6,[0.8632857142857143]
adam,11,0.7,[0.8717857142857143]
adam,11,0.8,[0.8779285714285714]
adam,11,0.9,[0.8792142857142857]
adam,11,1.0,[0.8817857142857143]
adam,12,0.01,[0.10942857142857143]
adam,12,0.1,[0.3525714285714286]
adam,12,0.2,[0.6184285714285714]
adam,12,0.3,[0.7049285714285715]
adam,12,0.4,[0.7828571428571428]
adam,12,0.5,[0.8237142857142857]
adam,12,0.6,[0.8550714285714286]
adam,12,0.7,[0.8672857142857143]
adam,12,0.8,[0.8730714285714286]
adam,12,0.9,[0.8812857142857143]
adam,12,1.0,[0.8815714285714286]
adam,13,0.01,[0.10921428571428571]
adam,13,0.1,[0.5541428571428572]
adam,13,0.2,[0.64]
adam,13,0.3,[0.7207857142857143]
adam,13,0.4,[0.776]
adam,13,0.5,[0.8395714285714285]
adam,13,0.6,[0.8641428571428571]
adam,13,0.7,[0.8743571428571428]
adam,13,0.8,[0.8751428571428571]
adam,13,0.9,[0.8794285714285714]
adam,13,1.0,[0.8856428571428572]
adam,14,0.01,[0.10528571428571429]
adam,14,0.1,[0.3375]
adam,14,0.2,[0.6166428571428572]
adam,14,0.3,[0.7068571428571429]
adam,14,0.4,[0.7284285714285714]
adam,14,0.5,[0.8003571428571429]
adam,14,0.6,[0.8257142857142857]
adam,14,0.7,[0.8255]
adam,14,0.8,[0.8655]
adam,14,0.9,[0.8770714285714286]
adam,14,1.0,[0.8810714285714286]
adam,15,0.01,[0.11464285714285714]
adam,15,0.1,[0.29828571428571427]
adam,15,0.2,[0.5188571428571429]
adam,15,0.3,[0.675]
adam,15,0.4,[0.7425714285714285]
adam,15,0.5,[0.8022857142857143]
adam,15,0.6,[0.8527142857142858]
adam,15,0.7,[0.8699285714285714]
adam,15,0.8,[0.8742857142857143]
adam,15,0.9,[0.8778571428571429]
adam,15,1.0,[0.8839285714285714]
adam,16,0.01,[0.16014285714285714]
adam,16,0.1,[0.32221428571428573]
adam,16,0.2,[0.6049285714285715]
adam,16,0.3,[0.6678571428571428]
adam,16,0.4,[0.7519285714285714]
adam,16,0.5,[0.7834285714285715]
adam,16,0.6,[0.8020714285714285]
adam,16,0.7,[0.8067857142857143]
adam,16,0.8,[0.8678571428571429]
adam,16,0.9,[0.8708571428571429]
adam,16,1.0,[0.8798571428571429]
adam,17,0.01,[0.111]
adam,17,0.1,[0.4040714285714286]
adam,17,0.2,[0.6367142857142857]
adam,17,0.3,[0.7192857142857143]
adam,17,0.4,[0.7989285714285714]
adam,17,0.5,[0.8163571428571429]
adam,17,0.6,[0.8410714285714286]
adam,17,0.7,[0.8775714285714286]
adam,17,0.8,[0.8865]
adam,17,0.9,[0.8912857142857142]
adam,17,1.0,[0.891]
adam,18,0.01,[0.11121428571428571]
adam,18,0.1,[0.3524285714285714]
adam,18,0.2,[0.5995]
adam,18,0.3,[0.6342857142857142]
adam,18,0.4,[0.768]
adam,18,0.5,[0.8215714285714286]
adam,18,0.6,[0.8202142857142857]
adam,18,0.7,[0.8222142857142857]
adam,18,0.8,[0.8535714285714285]
adam,18,0.9,[0.8754285714285714]
adam,18,1.0,[0.8810714285714286]
adam,19,0.01,[0.10278571428571429]
adam,19,0.1,[0.423]
adam,19,0.2,[0.6373571428571428]
adam,19,0.3,[0.7171428571428572]
adam,19,0.4,[0.7832142857142858]
adam,19,0.5,[0.831]
adam,19,0.6,[0.8628571428571429]
adam,19,0.7,[0.8808571428571429]
adam,19,0.8,[0.8857857142857143]
adam,19,0.9,[0.8893571428571428]
adam,19,1.0,[0.893]
adam,20,0.01,[0.10514285714285715]
adam,20,0.1,[0.37835714285714284]
adam,20,0.2,[0.5790714285714286]
adam,20,0.3,[0.7332142857142857]
adam,20,0.4,[0.7927857142857143]
adam,20,0.5,[0.7942857142857143]
adam,20,0.6,[0.818]
adam,20,0.7,[0.8380714285714286]
adam,20,0.8,[0.8707857142857143]
adam,20,0.9,[0.8712857142857143]
adam,20,1.0,[0.8837857142857143]
adam,21,0.01,[0.10857142857142857]
adam,21,0.1,[0.3856428571428571]
adam,21,0.2,[0.6602142857142858]
adam,21,0.3,[0.7332142857142857]
adam,21,0.4,[0.7558571428571429]
adam,21,0.5,[0.8317142857142857]
adam,21,0.6,[0.8483571428571428]
adam,21,0.7,[0.8638571428571429]
adam,21,0.8,[0.8766428571428572]
adam,21,0.9,[0.8823571428571428]
adam,21,1.0,[0.8859285714285714]
adam,22,0.01,[0.104]
adam,22,0.1,[0.3967857142857143]
adam,22,0.2,[0.6602857142857143]
adam,22,0.3,[0.7415714285714285]
adam,22,0.4,[0.7697142857142857]
adam,22,0.5,[0.8211428571428572]
adam,22,0.6,[0.8326428571428571]
adam,22,0.7,[0.8563571428571428]
adam,22,0.8,[0.8674285714285714]
adam,22,0.9,[0.873]
adam,22,1.0,[0.8745]
adam,23,0.01,[0.10371428571428572]
adam,23,0.1,[0.3772857142857143]
adam,23,0.2,[0.6101428571428571]
adam,23,0.3,[0.7283571428571428]
adam,23,0.4,[0.7842857142857143]
adam,23,0.5,[0.7552142857142857]
adam,23,0.6,[0.8403571428571428]
adam,23,0.7,[0.838]
adam,23,0.8,[0.8739285714285714]
adam,23,0.9,[0.8815]
adam,23,1.0,[0.8801428571428571]
adam,24,0.01,[0.11364285714285714]
adam,24,0.1,[0.2919285714285714]
adam,24,0.2,[0.6834285714285714]
adam,24,0.3,[0.7881428571428571]
adam,24,0.4,[0.7859285714285714]
adam,24,0.5,[0.8362857142857143]
adam,24,0.6,[0.8431428571428572]
adam,24,0.7,[0.861]
adam,24,0.8,[0.8727142857142857]
adam,24,0.9,[0.8773571428571428]
adam,24,1.0,[0.8774285714285714]
