algorithm,dimension,run,checkpoint,error
cmaes,3658,0,0.01,[0.09242857142857143]
cmaes,3658,0,0.1,[0.1737142857142857]
cmaes,3658,0,0.2,[0.22935714285714287]
cmaes,3658,0,0.3,[0.31485714285714284]
cmaes,3658,0,0.4,[0.4569285714285714]
cmaes,3658,0,0.5,[0.49992857142857144]
cmaes,3658,0,0.6,[0.5709285714285715]
cmaes,3658,0,0.7,[0.6247142857142857]
cmaes,3658,0,0.8,[0.6343571428571428]
cmaes,3658,0,0.9,[0.6389285714285714]
cmaes,3658,0,1.0,[0.6453571428571429]
cmaes,3658,1,0.01,[0.12542857142857142]
cmaes,3658,1,0.1,[0.15007142857142858]
cmaes,3658,1,0.2,[0.22907142857142856]
cmaes,3658,1,0.3,[0.27185714285714285]
cmaes,3658,1,0.4,[0.4130714285714286]
cmaes,3658,1,0.5,[0.4639285714285714]
cmaes,3658,1,0.6,[0.46085714285714285]
cmaes,3658,1,0.7,[0.5588571428571428]
cmaes,3658,1,0.8,[0.623]
cmaes,3658,1,0.9,[0.6466428571428572]
cmaes,3658,1,1.0,[0.6482857142857142]
cmaes,3658,2,0.01,[0.08671428571428572]
cmaes,3658,2,0.1,[0.13514285714285715]
cmaes,3658,2,0.2,[0.25907142857142856]
cmaes,3658,2,0.3,[0.3529285714285714]
cmaes,3658,2,0.4,[0.4792142857142857]
cmaes,3658,2,0.5,[0.5468571428571428]
cmaes,3658,2,0.6,[0.5502857142857143]
cmaes,3658,2,0.7,[0.5647142857142857]
cmaes,3658,2,0.8,[0.5818571428571429]
cmaes,3658,2,0.9,[0.626]
cmaes,3658,2,1.0,[0.6333571428571428]
cmaes,3658,3,0.01,[0.14842857142857144]
cmaes,3658,3,0.1,[0.17285714285714285]
cmaes,3658,3,0.2,[0.21407142857142858]
cmaes,3658,3,0.3,[0.3152857142857143]
cmaes,3658,3,0.4,[0.49742857142857144]
cmaes,3658,3,0.5,[0.5095714285714286]
cmaes,3658,3,0.6,[0.509]
cmaes,3658,3,0.7,[0.5493571428571429]
cmaes,3658,3,0.8,[0.5616428571428571]
cmaes,3658,3,0.9,[0.579]
cmaes,3658,3,1.0,[0.5911428571428572]
cmaes,3658,4,0.01,[0.07614285714285714]
cmaes,3658,4,0.1,[0.15757142857142858]
cmaes,3658,4,0.2,[0.20342857142857143]
cmaes,3658,4,0.3,[0.346]
cmaes,3658,4,0.4,[0.43542857142857144]
cmaes,3658,4,0.5,[0.5690714285714286]
cmaes,3658,4,0.6,[0.6295]
cmaes,3658,4,0.7,[0.6653571428571429]
cmaes,3658,4,0.8,[0.6730714285714285]
cmaes,3658,4,0.9,[0.6774285714285714]
cmaes,3658,4,1.0,[0.6911428571428572]
cmaes,3658,5,0.01,[0.14192857142857143]
cmaes,3658,5,0.1,[0.20964285714285713]
cmaes,3658,5,0.2,[0.3077857142857143]
cmaes,3658,5,0.3,[0.44692857142857145]
cmaes,3658,5,0.4,[0.49092857142857144]
cmaes,3658,5,0.5,[0.5723571428571429]
cmaes,3658,5,0.6,[0.5838571428571429]
cmaes,3658,5,0.7,[0.5902142857142857]
cmaes,3658,5,0.8,[0.5956428571428571]
cmaes,3658,5,0.9,[0.6243571428571428]
cmaes,3658,5,1.0,[0.6272857142857143]
cmaes,3658,6,0.01,[0.10207142857142858]
cmaes,3658,6,0.1,[0.213]
cmaes,3658,6,0.2,[0.271]
cmaes,3658,6,0.3,[0.39714285714285713]
cmaes,3658,6,0.4,[0.4647857142857143]
cmaes,3658,6,0.5,[0.5215714285714286]
cmaes,3658,6,0.6,[0.5201428571428571]
cmaes,3658,6,0.7,[0.5920714285714286]
cmaes,3658,6,0.8,[0.5997857142857143]
cmaes,3658,6,0.9,[0.6372142857142857]
cmaes,3658,6,1.0,[0.6517142857142857]
cmaes,3658,7,0.01,[0.1145]
cmaes,3658,7,0.1,[0.109]
cmaes,3658,7,0.2,[0.3067142857142857]
cmaes,3658,7,0.3,[0.35778571428571426]
cmaes,3658,7,0.4,[0.38185714285714284]
cmaes,3658,7,0.5,[0.46]
cmaes,3658,7,0.6,[0.4551428571428571]
cmaes,3658,7,0.7,[0.4565714285714286]
cmaes,3658,7,0.8,[0.4561428571428571]
cmaes,3658,7,0.9,[0.4652857142857143]
cmaes,3658,7,1.0,[0.4730714285714286]
cmaes,3658,8,0.01,[0.1]
cmaes,3658,8,0.1,[0.13642857142857143]
cmaes,3658,8,0.2,[0.2397142857142857]
cmaes,3658,8,0.3,[0.35035714285714287]
cmaes,3658,8,0.4,[0.4514285714285714]
cmaes,3658,8,0.5,[0.5545714285714286]
cmaes,3658,8,0.6,[0.6244285714285714]
cmaes,3658,8,0.7,[0.6686428571428571]
cmaes,3658,8,0.8,[0.6903571428571429]
cmaes,3658,8,0.9,[0.6896428571428571]
cmaes,3658,8,1.0,[0.6835714285714286]
cmaes,3658,9,0.01,[0.06035714285714286]
cmaes,3658,9,0.1,[0.16157142857142856]
cmaes,3658,9,0.2,[0.20585714285714285]
cmaes,3658,9,0.3,[0.36864285714285716]
cmaes,3658,9,0.4,[0.5320714285714285]
cmaes,3658,9,0.5,[0.5483571428571429]
cmaes,3658,9,0.6,[0.5488571428571428]
cmaes,3658,9,0.7,[0.5482142857142858]
cmaes,3658,9,0.8,[0.5612142857142857]
cmaes,3658,9,0.9,[0.5715]
cmaes,3658,9,1.0,[0.5931428571428572]
