algorithm,dimension,run,checkpoint,error
cmaes,3658,0,0.01,[0.09778571428571428]
cmaes,3658,0,0.1,[0.09407142857142857]
cmaes,3658,0,0.2,[0.09407142857142857]
cmaes,3658,0,0.3,[0.09407142857142857]
cmaes,3658,0,0.4,[0.09407142857142857]
cmaes,3658,0,0.5,[0.09407142857142857]
cmaes,3658,0,0.6,[0.09407142857142857]
cmaes,3658,0,0.7,[0.09407142857142857]
cmaes,3658,0,0.8,[0.09407142857142857]
cmaes,3658,0,0.9,[0.09407142857142857]
cmaes,3658,0,1.0,[0.09407142857142857]
cmaes,3658,1,0.01,[0.1405]
cmaes,3658,1,0.1,[0.06828571428571428]
cmaes,3658,1,0.2,[0.06828571428571428]
cmaes,3658,1,0.3,[0.06828571428571428]
cmaes,3658,1,0.4,[0.06828571428571428]
cmaes,3658,1,0.5,[0.06828571428571428]
cmaes,3658,1,0.6,[0.06828571428571428]
cmaes,3658,1,0.7,[0.06828571428571428]
cmaes,3658,1,0.8,[0.06828571428571428]
cmaes,3658,1,0.9,[0.06828571428571428]
cmaes,3658,1,1.0,[0.06828571428571428]
cmaes,3658,2,0.01,[0.16742857142857143]
cmaes,3658,2,0.1,[0.12164285714285715]
cmaes,3658,2,0.2,[0.12164285714285715]
cmaes,3658,2,0.3,[0.12164285714285715]
cmaes,3658,2,0.4,[0.12164285714285715]
cmaes,3658,2,0.5,[0.12164285714285715]
cmaes,3658,2,0.6,[0.12164285714285715]
cmaes,3658,2,0.7,[0.12164285714285715]
cmaes,3658,2,0.8,[0.12164285714285715]
cmaes,3658,2,0.9,[0.12164285714285715]
cmaes,3658,2,1.0,[0.12164285714285715]
cmaes,3658,3,0.01,[0.12257142857142857]
cmaes,3658,3,0.1,[0.11835714285714286]
cmaes,3658,3,0.2,[0.11835714285714286]
cmaes,3658,3,0.3,[0.11835714285714286]
cmaes,3658,3,0.4,[0.11835714285714286]
cmaes,3658,3,0.5,[0.11835714285714286]
cmaes,3658,3,0.6,[0.11835714285714286]
cmaes,3658,3,0.7,[0.11835714285714286]
cmaes,3658,3,0.8,[0.11835714285714286]
cmaes,3658,3,0.9,[0.11835714285714286]
cmaes,3658,3,1.0,[0.11835714285714286]
cmaes,3658,4,0.01,[0.12592857142857142]
cmaes,3658,4,0.1,[0.13071428571428573]
cmaes,3658,4,0.2,[0.13071428571428573]
cmaes,3658,4,0.3,[0.13071428571428573]
cmaes,3658,4,0.4,[0.13071428571428573]
cmaes,3658,4,0.5,[0.13071428571428573]
cmaes,3658,4,0.6,[0.13071428571428573]
cmaes,3658,4,0.7,[0.13071428571428573]
cmaes,3658,4,0.8,[0.13071428571428573]
cmaes,3658,4,0.9,[0.13071428571428573]
cmaes,3658,4,1.0,[0.13071428571428573]
cmaes,3658,5,0.01,[0.13357142857142856]
cmaes,3658,5,0.1,[0.1575]
cmaes,3658,5,0.2,[0.1575]
cmaes,3658,5,0.3,[0.1575]
cmaes,3658,5,0.4,[0.1575]
cmaes,3658,5,0.5,[0.1575]
cmaes,3658,5,0.6,[0.1575]
cmaes,3658,5,0.7,[0.1575]
cmaes,3658,5,0.8,[0.1575]
cmaes,3658,5,0.9,[0.1575]
cmaes,3658,5,1.0,[0.1575]
cmaes,3658,6,0.01,[0.09857142857142857]
cmaes,3658,6,0.1,[0.07992857142857143]
