algorithm,run,checkpoint,error
adagrad,0,0.01,"[(0.06666666666666665, 0.6940353077395287, 0.02305293083190918)]"
adagrad,0,0.1,"[(0.033333333333333326, 0.2782284929204628, 0.2167205810546875)]"
adagrad,0,0.2,"[(0.0, 0.167278883203318, 0.43169188499450684)]"
adagrad,0,0.3,"[(0.0, 0.12230858990109038, 0.6476931571960449)]"
adagrad,0,0.4,"[(0.0, 0.0977375458289711, 0.8634862899780273)]"
adagrad,0,0.5,"[(0.0, 0.08240989182531482, 1.0833666324615479)]"
adagrad,0,0.6,"[(0.0, 0.07162600173628984, 1.2981457710266113)]"
adagrad,0,0.7,"[(0.0, 0.06378627453079153, 1.5136561393737793)]"
adagrad,0,0.8,"[(0.0, 0.0577941436431721, 1.7284197807312012)]"
adagrad,0,0.9,"[(0.0, 0.05299106822864102, 1.94270658493042)]"
adagrad,0,1.0,"[(0.0, 0.04923889725757136, 2.1568543910980225)]"
adagrad,1,0.01,"[(0.19999999999999996, 0.7279092198055417, 0.02677631378173828)]"
adagrad,1,0.1,"[(0.09999999999999998, 0.29086062529447376, 0.2526428699493408)]"
adagrad,1,0.2,"[(0.0, 0.15368587608958775, 0.5033633708953857)]"
adagrad,1,0.3,"[(0.0, 0.09812010532599949, 0.7544984817504883)]"
adagrad,1,0.4,"[(0.0, 0.07169695083762881, 1.0096688270568848)]"
adagrad,1,0.5,"[(0.0, 0.05678204520106438, 1.2587409019470215)]"
adagrad,1,0.6,"[(0.0, 0.047114110763527194, 1.5074315071105957)]"
adagrad,1,0.7,"[(0.0, 0.04035247068303842, 1.7561683654785156)]"
adagrad,1,0.8,"[(0.0, 0.03534224677372809, 2.004432439804077)]"
adagrad,1,0.9,"[(0.0, 0.031473106577971345, 2.2527337074279785)]"
adagrad,1,1.0,"[(0.0, 0.02839309043914345, 2.5008981227874756)]"
adagrad,2,0.01,"[(0.09999999999999998, 0.7006011837961116, 0.02311873435974121)]"
adagrad,2,0.1,"[(0.033333333333333326, 0.24968437490252052, 0.21704506874084473)]"
adagrad,2,0.2,"[(0.0, 0.13230143666303854, 0.43255615234375)]"
adagrad,2,0.3,"[(0.0, 0.08792550839111489, 0.6483004093170166)]"
adagrad,2,0.4,"[(0.0, 0.0657901775231383, 0.8637688159942627)]"
adagrad,2,0.5,"[(0.0, 0.052829079545871786, 1.0826168060302734)]"
adagrad,2,0.6,"[(0.0, 0.044356618485006306, 1.2976405620574951)]"
adagrad,2,0.7,"[(0.0, 0.038206650494869626, 1.5129010677337646)]"
adagrad,2,0.8,"[(0.0, 0.03364137020255976, 1.7275774478912354)]"
adagrad,2,0.9,"[(0.0, 0.029969084985605965, 1.9425616264343262)]"
adagrad,2,1.0,"[(0.0, 0.027076013971215392, 2.1569275856018066)]"
adagrad,3,0.01,"[(0.3666666666666667, 0.7917803547680253, 0.0232391357421875)]"
adagrad,3,0.1,"[(0.19999999999999996, 0.43087977840187464, 0.21696996688842773)]"
adagrad,3,0.2,"[(0.09999999999999998, 0.28653100724374403, 0.431715726852417)]"
adagrad,3,0.3,"[(0.06666666666666665, 0.21133876166198845, 0.6469147205352783)]"
adagrad,3,0.4,"[(0.06666666666666665, 0.1731545478220925, 0.8618574142456055)]"
adagrad,3,0.5,"[(0.06666666666666665, 0.15433344195381243, 1.0804080963134766)]"
adagrad,3,0.6,"[(0.06666666666666665, 0.1418704300626695, 1.2932007312774658)]"
adagrad,3,0.7,"[(0.06666666666666665, 0.13467200945864483, 1.5067334175109863)]"
adagrad,3,0.8,"[(0.06666666666666665, 0.13203338269543494, 1.7195525169372559)]"
adagrad,3,0.9,"[(0.06666666666666665, 0.12900414644381905, 1.9324424266815186)]"
adagrad,3,1.0,"[(0.06666666666666665, 0.12862648751181607, 2.1451847553253174)]"
adagrad,4,0.01,"[(0.30000000000000004, 0.7745662171431399, 0.023121118545532227)]"
adagrad,4,0.1,"[(0.09999999999999998, 0.37523676887487417, 0.2157909870147705)]"
adagrad,4,0.2,"[(0.033333333333333326, 0.23522138113917423, 0.42952513694763184)]"
adagrad,4,0.3,"[(0.06666666666666665, 0.18233525151067906, 0.6440796852111816)]"
adagrad,4,0.4,"[(0.06666666666666665, 0.160933453202014, 0.8585765361785889)]"
adagrad,4,0.5,"[(0.06666666666666665, 0.15055791706795466, 1.076840877532959)]"
adagrad,4,0.6,"[(0.06666666666666665, 0.14538047120258504, 1.2897164821624756)]"
adagrad,4,0.7,"[(0.06666666666666665, 0.14250299489051738, 1.5026626586914062)]"
adagrad,4,0.8,"[(0.06666666666666665, 0.14112432119689522, 1.7148675918579102)]"
adagrad,4,0.9,"[(0.06666666666666665, 0.14070874246575438, 1.9270172119140625)]"
adagrad,4,1.0,"[(0.06666666666666665, 0.1407727721295621, 2.139366626739502)]"
adagrad,5,0.01,"[(0.19999999999999996, 0.7751680443009646, 0.0231170654296875)]"
adagrad,5,0.1,"[(0.06666666666666665, 0.32213608634187024, 0.21570515632629395)]"
adagrad,5,0.2,"[(0.033333333333333326, 0.19703965977351612, 0.4293496608734131)]"
adagrad,5,0.3,"[(0.033333333333333326, 0.14105474855067643, 0.6437177658081055)]"
adagrad,5,0.4,"[(0.033333333333333326, 0.11168480949750258, 0.8576130867004395)]"
adagrad,5,0.5,"[(0.033333333333333326, 0.09396882997150646, 1.0744054317474365)]"
adagrad,5,0.6,"[(0.033333333333333326, 0.08239388843607462, 1.2884166240692139)]"
adagrad,5,0.7,"[(0.033333333333333326, 0.07439674460608452, 1.502333402633667)]"
adagrad,5,0.8,"[(0.033333333333333326, 0.06832051591927346, 1.7155344486236572)]"
adagrad,5,0.9,"[(0.0, 0.06376722315297621, 1.9288153648376465)]"
adagrad,5,1.0,"[(0.0, 0.06018008097715787, 2.1419472694396973)]"
adagrad,6,0.01,"[(0.23333333333333328, 0.7570905982884591, 0.02295994758605957)]"
adagrad,6,0.1,"[(0.16666666666666663, 0.33241458883501096, 0.21442389488220215)]"
adagrad,6,0.2,"[(0.033333333333333326, 0.186837891093845, 0.4266808032989502)]"
