algorithm,run,checkpoint,error
adagrad,0,0.01,"[(0.43333333333333335, 0.20198947348607288, 0.0551600456237793)]"
adagrad,0,0.1,"[(0.33333333333333337, 0.18470432146559929, 0.5385692119598389)]"
adagrad,0,0.2,"[(0.30000000000000004, 0.17404365978816044, 1.077406644821167)]"
adagrad,0,0.3,"[(0.30000000000000004, 0.16584169735342746, 1.6151587963104248)]"
adagrad,0,0.4,"[(0.30000000000000004, 0.1590213855349349, 2.152731418609619)]"
adagrad,0,0.5,"[(0.30000000000000004, 0.1532087251472211, 2.6891517639160156)]"
adagrad,0,0.6,"[(0.30000000000000004, 0.14813073793356218, 3.2277772426605225)]"
adagrad,0,0.7,"[(0.30000000000000004, 0.14363219214859307, 3.7655553817749023)]"
adagrad,0,0.8,"[(0.30000000000000004, 0.13960245708474495, 4.302368402481079)]"
adagrad,0,0.9,"[(0.30000000000000004, 0.1359992246070947, 4.839394569396973)]"
adagrad,0,1.0,"[(0.30000000000000004, 0.13276878565678457, 5.376466989517212)]"
adagrad,1,0.01,"[(0.4, 0.19512658433379038, 0.05531954765319824)]"
adagrad,1,0.1,"[(0.4666666666666667, 0.18098118991314002, 0.5392329692840576)]"
adagrad,1,0.2,"[(0.33333333333333337, 0.1719496050054852, 1.0795838832855225)]"
adagrad,1,0.3,"[(0.33333333333333337, 0.16475721205067148, 1.6175239086151123)]"
adagrad,1,0.4,"[(0.33333333333333337, 0.1586786378444298, 2.1550989151000977)]"
adagrad,1,0.5,"[(0.33333333333333337, 0.153393368001404, 2.692568302154541)]"
adagrad,1,0.6,"[(0.33333333333333337, 0.1487135848389455, 3.231651782989502)]"
adagrad,1,0.7,"[(0.33333333333333337, 0.14456796497460594, 3.768902063369751)]"
adagrad,1,0.8,"[(0.33333333333333337, 0.14092687956854616, 4.30479621887207)]"
adagrad,1,0.9,"[(0.33333333333333337, 0.13768752094952516, 4.841374158859253)]"
adagrad,1,1.0,"[(0.33333333333333337, 0.13481796853901698, 5.378376007080078)]"
adagrad,2,0.01,"[(0.4, 0.19797363725527334, 0.06854748725891113)]"
adagrad,2,0.1,"[(0.4, 0.18637175843914294, 0.5520482063293457)]"
adagrad,2,0.2,"[(0.4, 0.17909776966087207, 1.0904638767242432)]"
adagrad,2,0.3,"[(0.4, 0.1735227436299633, 1.628067970275879)]"
adagrad,2,0.4,"[(0.4, 0.16888261430330942, 2.2199745178222656)]"
adagrad,2,0.5,"[(0.4, 0.16491234847795364, 2.76096773147583)]"
adagrad,2,0.6,"[(0.4, 0.1614229092758082, 3.2980477809906006)]"
adagrad,2,0.7,"[(0.4, 0.15833317232314453, 3.8342318534851074)]"
adagrad,2,0.8,"[(0.4, 0.15559432550146568, 4.369725942611694)]"
adagrad,2,0.9,"[(0.4, 0.1531550933267901, 4.906282663345337)]"
adagrad,2,1.0,"[(0.4, 0.15095463176520005, 5.441734790802002)]"
adagrad,3,0.01,"[(0.4, 0.19903198248735138, 0.05534219741821289)]"
adagrad,3,0.1,"[(0.6666666666666667, 0.18237499683956762, 0.5398373603820801)]"
adagrad,3,0.2,"[(0.30000000000000004, 0.172024987834094, 1.0804171562194824)]"
adagrad,3,0.3,"[(0.30000000000000004, 0.1639410089075208, 1.6183452606201172)]"
adagrad,3,0.4,"[(0.30000000000000004, 0.15715378143268519, 2.1567623615264893)]"
adagrad,3,0.5,"[(0.30000000000000004, 0.15130093848172935, 2.691349744796753)]"
adagrad,3,0.6,"[(0.30000000000000004, 0.1461461706016703, 3.227576732635498)]"
adagrad,3,0.7,"[(0.30000000000000004, 0.14156630713590876, 3.7627322673797607)]"
adagrad,3,0.8,"[(0.30000000000000004, 0.13749955650139142, 4.296553611755371)]"
adagrad,3,0.9,"[(0.30000000000000004, 0.1339108273161029, 4.83057427406311)]"
adagrad,3,1.0,"[(0.30000000000000004, 0.13072260500423147, 5.364461898803711)]"
adagrad,4,0.01,"[(0.3666666666666667, 0.2022429570039984, 0.0547633171081543)]"
adagrad,4,0.1,"[(0.3666666666666667, 0.1892781114368175, 0.5371870994567871)]"
adagrad,4,0.2,"[(0.3666666666666667, 0.18076791285824068, 1.0769054889678955)]"
adagrad,4,0.3,"[(0.3666666666666667, 0.17408249671534776, 1.614086627960205)]"
adagrad,4,0.4,"[(0.3666666666666667, 0.16847175316668522, 2.1512484550476074)]"
adagrad,4,0.5,"[(0.3666666666666667, 0.1636264156428234, 2.685469388961792)]"
adagrad,4,0.6,"[(0.3666666666666667, 0.15933752985002383, 3.2217092514038086)]"
adagrad,4,0.7,"[(0.3666666666666667, 0.15552617296615945, 3.756443500518799)]"
adagrad,4,0.8,"[(0.3666666666666667, 0.15213674521434278, 4.290839672088623)]"
adagrad,4,0.9,"[(0.3666666666666667, 0.14907500114222585, 4.825909614562988)]"
adagrad,4,1.0,"[(0.3666666666666667, 0.1462856709342873, 5.3609938621521)]"
adagrad,5,0.01,"[(0.4666666666666667, 0.19578784992003254, 0.05522012710571289)]"
adagrad,5,0.1,"[(0.5, 0.1804981975472762, 0.5395715236663818)]"
adagrad,5,0.2,"[(0.30000000000000004, 0.1707466154879643, 1.0792195796966553)]"
adagrad,5,0.3,"[(0.30000000000000004, 0.16296669629181856, 1.6160590648651123)]"
adagrad,5,0.4,"[(0.30000000000000004, 0.15635980850706155, 2.153999090194702)]"
adagrad,5,0.5,"[(0.30000000000000004, 0.15066475248324715, 2.689638376235962)]"
adagrad,5,0.6,"[(0.30000000000000004, 0.14566795228592105, 3.2253847122192383)]"
adagrad,5,0.7,"[(0.30000000000000004, 0.14123606737348107, 3.76212477684021)]"
adagrad,5,0.8,"[(0.30000000000000004, 0.13730433263027658, 4.298126220703125)]"
adagrad,5,0.9,"[(0.30000000000000004, 0.1338289570888123, 4.833121061325073)]"
adagrad,5,1.0,"[(0.30000000000000004, 0.13076550262118106, 5.369012117385864)]"
adagrad,6,0.01,"[(0.3666666666666667, 0.1946159521472385, 0.055049896240234375)]"
adagrad,6,0.1,"[(0.7333333333333334, 0.18100270648546138, 0.5387866497039795)]"
adagrad,6,0.2,"[(0.4, 0.1725133076317397, 1.078256368637085)]"
adagrad,6,0.3,"[(0.4, 0.16586946767775723, 1.6156702041625977)]"
adagrad,6,0.4,"[(0.4, 0.16034568684330505, 2.1524431705474854)]"
adagrad,6,0.5,"[(0.4, 0.1556207908866578, 2.6878275871276855)]"
adagrad,6,0.6,"[(0.4, 0.15149158119364634, 3.2243571281433105)]"
adagrad,6,0.7,"[(0.4, 0.14787731181172153, 3.758502244949341)]"
adagrad,6,0.8,"[(0.4, 0.14470391863225818, 4.292207479476929)]"
adagrad,6,0.9,"[(0.4, 0.14189553862838125, 4.826356649398804)]"
adagrad,6,1.0,"[(0.4, 0.13941082640500385, 5.3626649379730225)]"
adagrad,7,0.01,"[(0.5, 0.19446757461554812, 0.05480480194091797)]"
adagrad,7,0.1,"[(0.5, 0.17984560335344454, 0.5364830493927002)]"
adagrad,7,0.2,"[(0.2666666666666667, 0.17023017391612608, 1.0733418464660645)]"
adagrad,7,0.3,"[(0.2666666666666667, 0.16246003060843373, 1.6086459159851074)]"
adagrad,7,0.4,"[(0.2666666666666667, 0.15585520724784976, 2.1434717178344727)]"
adagrad,7,0.5,"[(0.2666666666666667, 0.15010469829278905, 2.6757569313049316)]"
adagrad,7,0.6,"[(0.2666666666666667, 0.14502793597140126, 3.2096989154815674)]"
adagrad,7,0.7,"[(0.2666666666666667, 0.1405084559218278, 3.7430613040924072)]"
adagrad,7,0.8,"[(0.2666666666666667, 0.13655712609991602, 4.27422833442688)]"
adagrad,7,0.9,"[(0.2666666666666667, 0.13307988027452008, 4.806211233139038)]"
adagrad,7,1.0,"[(0.2666666666666667, 0.13001595613365696, 5.3401007652282715)]"
adagrad,8,0.01,"[(0.30000000000000004, 0.19528839185449098, 0.05475115776062012)]"
adagrad,8,0.1,"[(0.5666666666666667, 0.18050662898550512, 0.5346176624298096)]"
adagrad,8,0.2,"[(0.33333333333333337, 0.17155107365607117, 1.0696043968200684)]"
adagrad,8,0.3,"[(0.33333333333333337, 0.1646478080790513, 1.6022353172302246)]"
adagrad,8,0.4,"[(0.33333333333333337, 0.1588946248692124, 2.1347053050994873)]"
adagrad,8,0.5,"[(0.33333333333333337, 0.15393215204182817, 2.666677713394165)]"
adagrad,8,0.6,"[(0.33333333333333337, 0.1495790928365305, 3.2004587650299072)]"
adagrad,8,0.7,"[(0.33333333333333337, 0.1457871998608977, 3.732393741607666)]"
adagrad,8,0.8,"[(0.33333333333333337, 0.1424498328606162, 4.26253080368042)]"
adagrad,8,0.9,"[(0.33333333333333337, 0.13949621910943116, 4.793584108352661)]"
adagrad,8,1.0,"[(0.33333333333333337, 0.13686542832008317, 5.326406478881836)]"
adagrad,9,0.01,"[(0.43333333333333335, 0.20554280675361147, 0.05484175682067871)]"
adagrad,9,0.1,"[(0.23333333333333328, 0.18816689414214885, 0.5348823070526123)]"
adagrad,9,0.2,"[(0.23333333333333328, 0.17694638739151689, 1.0691134929656982)]"
adagrad,9,0.3,"[(0.23333333333333328, 0.1682045715080988, 1.6013514995574951)]"
adagrad,9,0.4,"[(0.23333333333333328, 0.1608710659615234, 2.134244441986084)]"
adagrad,9,0.5,"[(0.23333333333333328, 0.15453966728929389, 2.6653199195861816)]"
adagrad,9,0.6,"[(0.23333333333333328, 0.14896104651656994, 3.198375940322876)]"
adagrad,9,0.7,"[(0.23333333333333328, 0.1439985350786386, 3.7294931411743164)]"
adagrad,9,0.8,"[(0.23333333333333328, 0.13959554215442413, 4.259517192840576)]"
adagrad,9,0.9,"[(0.23333333333333328, 0.1356488138829385, 4.7910308837890625)]"
adagrad,9,1.0,"[(0.23333333333333328, 0.1321279768726, 5.3233559131622314)]"
adagrad,10,0.01,"[(0.33333333333333337, 0.2004322706321757, 0.05501604080200195)]"
adagrad,10,0.1,"[(0.5, 0.18495599959677947, 0.5377099514007568)]"
adagrad,10,0.2,"[(0.33333333333333337, 0.17537848421789046, 1.0756580829620361)]"
adagrad,10,0.3,"[(0.33333333333333337, 0.1678429155210527, 1.61149263381958)]"
adagrad,10,0.4,"[(0.33333333333333337, 0.16150705418352929, 2.146848678588867)]"
adagrad,10,0.5,"[(0.33333333333333337, 0.15601310282796113, 2.6818959712982178)]"
adagrad,10,0.6,"[(0.33333333333333337, 0.15115009548612168, 3.217677593231201)]"
adagrad,10,0.7,"[(0.33333333333333337, 0.14682982943557124, 3.7523200511932373)]"
adagrad,10,0.8,"[(0.33333333333333337, 0.14300087127090777, 4.285336971282959)]"
adagrad,10,0.9,"[(0.33333333333333337, 0.1395870359971875, 4.8196094036102295)]"
adagrad,10,1.0,"[(0.33333333333333337, 0.13650366904452196, 5.354801893234253)]"
adagrad,11,0.01,"[(0.3666666666666667, 0.20226602006548372, 0.05498194694519043)]"
adagrad,11,0.1,"[(0.5, 0.18376532299601708, 0.5382394790649414)]"
adagrad,11,0.2,"[(0.19999999999999996, 0.17219483757298992, 1.0781185626983643)]"
adagrad,11,0.3,"[(0.19999999999999996, 0.1631002216783543, 1.6124024391174316)]"
adagrad,11,0.4,"[(0.19999999999999996, 0.1554900673348638, 2.1470611095428467)]"
adagrad,11,0.5,"[(0.19999999999999996, 0.14891225172569644, 2.679398536682129)]"
adagrad,11,0.6,"[(0.19999999999999996, 0.14312299629260117, 3.2143399715423584)]"
adagrad,11,0.7,"[(0.19999999999999996, 0.1380140766415103, 3.7497854232788086)]"
adagrad,11,0.8,"[(0.19999999999999996, 0.13351294026056174, 4.284592151641846)]"
adagrad,11,0.9,"[(0.19999999999999996, 0.1295315276894461, 4.8196327686309814)]"
adagrad,11,1.0,"[(0.19999999999999996, 0.12597758655450478, 5.3568994998931885)]"
adagrad,12,0.01,"[(0.4, 0.19580272790154524, 0.05493807792663574)]"
adagrad,12,0.1,"[(0.5, 0.18282078608455868, 0.5378446578979492)]"
adagrad,12,0.2,"[(0.4, 0.17487551983737176, 1.076340675354004)]"
adagrad,12,0.3,"[(0.4, 0.16883230604251975, 1.6119790077209473)]"
adagrad,12,0.4,"[(0.4, 0.16386748390540617, 2.14975643157959)]"
adagrad,12,0.5,"[(0.4, 0.1596254734861762, 2.685492515563965)]"
adagrad,12,0.6,"[(0.4, 0.15589196913521425, 3.224611759185791)]"
adagrad,12,0.7,"[(0.4, 0.15262019108807431, 3.7604761123657227)]"
adagrad,12,0.8,"[(0.4, 0.14976501095391254, 4.294913291931152)]"
adagrad,12,0.9,"[(0.4, 0.14723255154169285, 4.829898118972778)]"
adagrad,12,1.0,"[(0.4, 0.14495272514745977, 5.367990255355835)]"
adagrad,13,0.01,"[(0.33333333333333337, 0.1983196441554373, 0.05493974685668945)]"
adagrad,13,0.1,"[(0.30000000000000004, 0.1826591919164393, 0.5385184288024902)]"
adagrad,13,0.2,"[(0.30000000000000004, 0.17284132810165984, 1.078139066696167)]"
adagrad,13,0.3,"[(0.30000000000000004, 0.16527314713713692, 1.6131515502929688)]"
adagrad,13,0.4,"[(0.30000000000000004, 0.15897871642000289, 2.1493237018585205)]"
adagrad,13,0.5,"[(0.30000000000000004, 0.15357914326765387, 2.681962251663208)]"
adagrad,13,0.6,"[(0.30000000000000004, 0.1488467616562299, 3.2154903411865234)]"
adagrad,13,0.7,"[(0.30000000000000004, 0.14468650642862593, 3.749763011932373)]"
adagrad,13,0.8,"[(0.30000000000000004, 0.14104188347979862, 4.2833099365234375)]"
adagrad,13,0.9,"[(0.30000000000000004, 0.13783658884514008, 4.817491769790649)]"
adagrad,13,1.0,"[(0.30000000000000004, 0.13498675889294806, 5.351012706756592)]"
adagrad,14,0.01,"[(0.33333333333333337, 0.19710569583754745, 0.05577707290649414)]"
adagrad,14,0.1,"[(0.43333333333333335, 0.18269418058616632, 0.5427000522613525)]"
adagrad,14,0.2,"[(0.3666666666666667, 0.17384166326488737, 1.083768606185913)]"
adagrad,14,0.3,"[(0.3666666666666667, 0.1670969240348467, 1.624077558517456)]"
adagrad,14,0.4,"[(0.3666666666666667, 0.16152318676615557, 2.1653800010681152)]"
adagrad,14,0.5,"[(0.3666666666666667, 0.15678651218992795, 2.703596830368042)]"
adagrad,14,0.6,"[(0.3666666666666667, 0.15265510052455644, 3.2442166805267334)]"
adagrad,14,0.7,"[(0.3666666666666667, 0.14899913038194043, 3.7825534343719482)]"
adagrad,14,0.8,"[(0.3666666666666667, 0.14574397041644804, 4.318623781204224)]"
adagrad,14,0.9,"[(0.3666666666666667, 0.14285837815314617, 4.854790210723877)]"
adagrad,14,1.0,"[(0.3666666666666667, 0.14028342455633852, 5.393016338348389)]"
adagrad,15,0.01,"[(0.4666666666666667, 0.20120276154632147, 0.05613279342651367)]"
adagrad,15,0.1,"[(0.3666666666666667, 0.18738995057601335, 0.5500824451446533)]"
adagrad,15,0.2,"[(0.3666666666666667, 0.1785942105932687, 1.0967364311218262)]"
adagrad,15,0.3,"[(0.3666666666666667, 0.1717597245915252, 1.6441090106964111)]"
adagrad,15,0.4,"[(0.3666666666666667, 0.16607269024360427, 2.19193172454834)]"
adagrad,15,0.5,"[(0.3666666666666667, 0.16117290230276768, 2.7380056381225586)]"
adagrad,15,0.6,"[(0.3666666666666667, 0.15685171022801186, 3.287346363067627)]"
adagrad,15,0.7,"[(0.3666666666666667, 0.15301862809755326, 3.834460735321045)]"
adagrad,15,0.8,"[(0.3666666666666667, 0.1496035286808347, 4.379587173461914)]"
adagrad,15,0.9,"[(0.3666666666666667, 0.14651334854465453, 4.925461530685425)]"
adagrad,15,1.0,"[(0.3666666666666667, 0.14369760302359486, 5.473059415817261)]"
adagrad,16,0.01,"[(0.43333333333333335, 0.1972997950308038, 0.05575728416442871)]"
adagrad,16,0.1,"[(0.43333333333333335, 0.18102437393718043, 0.5704176425933838)]"
adagrad,16,0.2,"[(0.16666666666666663, 0.17035039268526067, 1.1153564453125)]"
adagrad,16,0.3,"[(0.23333333333333328, 0.16178133915433587, 1.6598668098449707)]"
adagrad,16,0.4,"[(0.23333333333333328, 0.1544903475481806, 2.2038044929504395)]"
adagrad,16,0.5,"[(0.23333333333333328, 0.1481404437806553, 2.744025707244873)]"
adagrad,16,0.6,"[(0.23333333333333328, 0.1425638844794948, 3.286618709564209)]"
adagrad,16,0.7,"[(0.23333333333333328, 0.13761928074040528, 3.82812762260437)]"
adagrad,16,0.8,"[(0.23333333333333328, 0.1332926570575058, 4.368433475494385)]"
adagrad,16,0.9,"[(0.23333333333333328, 0.1294834357329836, 4.909433603286743)]"
adagrad,16,1.0,"[(0.23333333333333328, 0.12611080560846735, 5.450268983840942)]"
adagrad,17,0.01,"[(0.33333333333333337, 0.1999586496413932, 0.0553891658782959)]"
adagrad,17,0.1,"[(0.5333333333333333, 0.18349769227060359, 0.5414135456085205)]"
adagrad,17,0.2,"[(0.30000000000000004, 0.17325302489019437, 1.0818569660186768)]"
adagrad,17,0.3,"[(0.30000000000000004, 0.16525596685551253, 1.621485948562622)]"
adagrad,17,0.4,"[(0.30000000000000004, 0.15855334717302746, 2.1609628200531006)]"
adagrad,17,0.5,"[(0.30000000000000004, 0.15278586824389873, 2.6992108821868896)]"
adagrad,17,0.6,"[(0.30000000000000004, 0.14771807268756126, 3.2392497062683105)]"
adagrad,17,0.7,"[(0.30000000000000004, 0.14321483735847526, 3.7791175842285156)]"
adagrad,17,0.8,"[(0.30000000000000004, 0.1392305204375656, 4.318304777145386)]"
adagrad,17,0.9,"[(0.30000000000000004, 0.13568287757246814, 4.857098579406738)]"
adagrad,17,1.0,"[(0.30000000000000004, 0.1325137059748346, 5.395270347595215)]"
adagrad,18,0.01,"[(0.3666666666666667, 0.19959766346157906, 0.05513763427734375)]"
adagrad,18,0.1,"[(0.5666666666666667, 0.18315737361573994, 0.5399785041809082)]"
adagrad,18,0.2,"[(0.2666666666666667, 0.17295901017249513, 1.0782368183135986)]"
adagrad,18,0.3,"[(0.2666666666666667, 0.1649297496453046, 1.6166729927062988)]"
adagrad,18,0.4,"[(0.2666666666666667, 0.15819644048476666, 2.156210422515869)]"
adagrad,18,0.5,"[(0.2666666666666667, 0.15237426931872633, 2.6925034523010254)]"
adagrad,18,0.6,"[(0.2666666666666667, 0.14723007873425878, 3.22982120513916)]"
adagrad,18,0.7,"[(0.2666666666666667, 0.14265397463891674, 3.767190933227539)]"
adagrad,18,0.8,"[(0.2666666666666667, 0.13860344715235456, 4.301118612289429)]"
adagrad,18,0.9,"[(0.2666666666666667, 0.1349910772723725, 4.836484432220459)]"
adagrad,18,1.0,"[(0.2666666666666667, 0.13175683834615237, 5.373928546905518)]"
adagrad,19,0.01,"[(0.2666666666666667, 0.19669544895331445, 0.05512523651123047)]"
adagrad,19,0.1,"[(0.4, 0.18390032445524143, 0.5381910800933838)]"
adagrad,19,0.2,"[(0.4, 0.1761448711164488, 1.0749397277832031)]"
