algorithm,run,checkpoint,error
adagrad,0,0.01,"[(0.09999999999999998, 0.07276044277845033, 0.02875828742980957)]"
adagrad,0,0.1,"[(0.033333333333333326, 0.025279013602554832, 0.2776036262512207)]"
adagrad,0,0.2,"[(0.033333333333333326, 0.023594131073189098, 0.5542275905609131)]"
adagrad,0,0.3,"[(0.033333333333333326, 0.02252719560681894, 0.8287496566772461)]"
adagrad,0,0.4,"[(0.033333333333333326, 0.02227073121055413, 1.1091587543487549)]"
adagrad,0,0.5,"[(0.033333333333333326, 0.022890453413685133, 1.3854141235351562)]"
adagrad,0,0.6,"[(0.033333333333333326, 0.024675647889173855, 1.6599557399749756)]"
adagrad,0,0.7,"[(0.033333333333333326, 0.026435828912253673, 1.9353060722351074)]"
adagrad,0,0.8,"[(0.033333333333333326, 0.027736499086521496, 2.2109217643737793)]"
adagrad,0,0.9,"[(0.033333333333333326, 0.029720851402076164, 2.4861438274383545)]"
adagrad,0,1.0,"[(0.06666666666666665, 0.031066757379343616, 2.761782169342041)]"
adagrad,1,0.01,"[(0.16666666666666663, 0.07434466550230982, 0.028827428817749023)]"
adagrad,1,0.1,"[(0.09999999999999998, 0.03128367691389756, 0.27726006507873535)]"
adagrad,1,0.2,"[(0.09999999999999998, 0.03139619007666201, 0.5535581111907959)]"
adagrad,1,0.3,"[(0.06666666666666665, 0.03200490945821809, 0.8273918628692627)]"
adagrad,1,0.4,"[(0.06666666666666665, 0.033161022690325385, 1.1049726009368896)]"
adagrad,1,0.5,"[(0.06666666666666665, 0.034130437032325045, 1.3802180290222168)]"
adagrad,1,0.6,"[(0.06666666666666665, 0.03491911454255909, 1.6539068222045898)]"
adagrad,1,0.7,"[(0.06666666666666665, 0.03544473326909051, 1.9272398948669434)]"
adagrad,1,0.8,"[(0.06666666666666665, 0.036824581316822966, 2.201738119125366)]"
adagrad,1,0.9,"[(0.06666666666666665, 0.037006731052716485, 2.4750609397888184)]"
adagrad,1,1.0,"[(0.06666666666666665, 0.03759749683693473, 2.749048948287964)]"
adagrad,2,0.01,"[(0.033333333333333326, 0.06357811469970262, 0.0287783145904541)]"
adagrad,2,0.1,"[(0.0, 0.010306743868698785, 0.27588677406311035)]"
adagrad,2,0.2,"[(0.0, 0.0066448139427144285, 0.5504341125488281)]"
adagrad,2,0.3,"[(0.033333333333333326, 0.009679953627722651, 0.822716236114502)]"
adagrad,2,0.4,"[(0.0, 0.007859614358846986, 1.098642349243164)]"
adagrad,2,0.5,"[(0.0, 0.0077632013131704695, 1.3724737167358398)]"
adagrad,2,0.6,"[(0.033333333333333326, 0.010315800321938058, 1.644575834274292)]"
adagrad,2,0.7,"[(0.033333333333333326, 0.00994915236533219, 1.9173426628112793)]"
adagrad,2,0.8,"[(0.033333333333333326, 0.010253986525594404, 2.190376043319702)]"
adagrad,2,0.9,"[(0.033333333333333326, 0.009168687055433515, 2.4627127647399902)]"
adagrad,2,1.0,"[(0.033333333333333326, 0.008759447758517667, 2.7346794605255127)]"
adagrad,3,0.01,"[(0.06666666666666665, 0.061740820207781405, 0.02874135971069336)]"
adagrad,3,0.1,"[(0.033333333333333326, 0.022886463479932992, 0.27684545516967773)]"
adagrad,3,0.2,"[(0.033333333333333326, 0.022568396128823713, 0.5523374080657959)]"
adagrad,3,0.3,"[(0.033333333333333326, 0.02164613621841568, 0.8259503841400146)]"
adagrad,3,0.4,"[(0.033333333333333326, 0.021766116759391337, 1.1007730960845947)]"
adagrad,3,0.5,"[(0.033333333333333326, 0.02077319228864619, 1.3752622604370117)]"
adagrad,3,0.6,"[(0.033333333333333326, 0.02170896641960825, 1.6488053798675537)]"
adagrad,3,0.7,"[(0.033333333333333326, 0.021909862982928463, 1.9230010509490967)]"
adagrad,3,0.8,"[(0.033333333333333326, 0.020940490417528865, 2.197275161743164)]"
adagrad,3,0.9,"[(0.033333333333333326, 0.021559727072297155, 2.4704957008361816)]"
adagrad,3,1.0,"[(0.033333333333333326, 0.021466461729979926, 2.7442867755889893)]"
adagrad,4,0.01,"[(0.06666666666666665, 0.06081829304699785, 0.02864670753479004)]"
adagrad,4,0.1,"[(0.09999999999999998, 0.036979095360560335, 0.2753565311431885)]"
adagrad,4,0.2,"[(0.06666666666666665, 0.02752770198470378, 0.5496265888214111)]"
adagrad,4,0.3,"[(0.06666666666666665, 0.02813667242209482, 0.8209960460662842)]"
adagrad,4,0.4,"[(0.06666666666666665, 0.02687863225198108, 1.094351053237915)]"
adagrad,4,0.5,"[(0.06666666666666665, 0.02706305309832887, 1.367238998413086)]"
adagrad,4,0.6,"[(0.06666666666666665, 0.03155602624388886, 1.6384317874908447)]"
adagrad,4,0.7,"[(0.06666666666666665, 0.02908386291301068, 1.9097774028778076)]"
adagrad,4,0.8,"[(0.06666666666666665, 0.028699746327899907, 2.1814286708831787)]"
adagrad,4,0.9,"[(0.06666666666666665, 0.03085319954033748, 2.4529380798339844)]"
