algorithm,run,checkpoint,error
adagrad,0,0.01,"[(0.7, 0.4664097038329884, 0.03357720375061035)]"
adagrad,0,0.1,"[(0.3666666666666667, 0.12147213070522571, 0.32433319091796875)]"
adagrad,0,0.2,"[(0.33333333333333337, 0.11732186960575076, 0.6455178260803223)]"
adagrad,0,0.3,"[(0.3666666666666667, 0.11851506594493834, 0.9660642147064209)]"
adagrad,0,0.4,"[(0.33333333333333337, 0.1166885959690854, 1.2900891304016113)]"
adagrad,0,0.5,"[(0.3666666666666667, 0.11999073474954534, 1.6121699810028076)]"
adagrad,0,0.6,"[(0.3666666666666667, 0.12040324693931763, 1.9330837726593018)]"
adagrad,0,0.7,"[(0.33333333333333337, 0.11647644614751523, 2.2546327114105225)]"
adagrad,0,0.8,"[(0.033333333333333326, 0.014696006455978369, 2.5761122703552246)]"
adagrad,0,0.9,"[(0.0, 0.0024392023283553886, 2.8977298736572266)]"
adagrad,0,1.0,"[(0.0, 0.0006870084287196003, 3.2211382389068604)]"
adagrad,1,0.01,"[(0.6333333333333333, 0.4221296335684629, 0.03359818458557129)]"
adagrad,1,0.1,"[(0.3666666666666667, 0.12531917460315936, 0.3249995708465576)]"
adagrad,1,0.2,"[(0.2666666666666667, 0.10309667440340133, 0.6472656726837158)]"
adagrad,1,0.3,"[(0.3666666666666667, 0.11193715668194426, 0.9685225486755371)]"
adagrad,1,0.4,"[(0.3666666666666667, 0.10971050546393223, 1.2936131954193115)]"
adagrad,1,0.5,"[(0.3666666666666667, 0.1065998510109766, 1.6160008907318115)]"
adagrad,1,0.6,"[(0.3666666666666667, 0.10877352469172369, 1.9374046325683594)]"
adagrad,1,0.7,"[(0.0, 0.0010045755746436594, 2.2597718238830566)]"
adagrad,1,0.8,"[(0.06666666666666665, 0.03625776869652675, 2.582397222518921)]"
adagrad,1,0.9,"[(0.0, 0.0029286395020047965, 2.904449462890625)]"
adagrad,1,1.0,"[(0.06666666666666665, 0.022272571287406645, 3.2279343605041504)]"
adagrad,2,0.01,"[(0.6666666666666667, 0.37211327502096314, 0.03340506553649902)]"
adagrad,2,0.1,"[(0.6666666666666667, 0.2887512224539908, 0.3233332633972168)]"
adagrad,2,0.2,"[(0.09999999999999998, 0.05672459954749644, 0.6446342468261719)]"
adagrad,2,0.3,"[(0.033333333333333326, 0.010897451873609982, 0.9665277004241943)]"
adagrad,2,0.4,"[(0.0, 0.0038899476860950032, 1.2908027172088623)]"
adagrad,2,0.5,"[(0.033333333333333326, 0.020482295774842015, 1.613358497619629)]"
adagrad,2,0.6,"[(0.033333333333333326, 0.020774248656145716, 1.9356706142425537)]"
adagrad,2,0.7,"[(0.033333333333333326, 0.020839006602223747, 2.2581472396850586)]"
adagrad,2,0.8,"[(0.033333333333333326, 0.02093076951901021, 2.5803239345550537)]"
adagrad,2,0.9,"[(0.033333333333333326, 0.020947522065797832, 2.902198076248169)]"
adagrad,2,1.0,"[(0.033333333333333326, 0.02097034090071304, 3.2259416580200195)]"
adagrad,3,0.01,"[(0.7, 0.4666060265543361, 0.033608198165893555)]"
adagrad,3,0.1,"[(0.43333333333333335, 0.1470676238305625, 0.32464599609375)]"
adagrad,3,0.2,"[(0.30000000000000004, 0.13086885325477662, 0.6460661888122559)]"
adagrad,3,0.3,"[(0.2666666666666667, 0.11528651124747055, 0.9677670001983643)]"
adagrad,3,0.4,"[(0.2666666666666667, 0.11160178813525017, 1.291670560836792)]"
adagrad,3,0.5,"[(0.4, 0.11609533602782819, 1.613663673400879)]"
adagrad,3,0.6,"[(0.4, 0.11316416335737492, 1.935199499130249)]"
adagrad,3,0.7,"[(0.2666666666666667, 0.1106357273234808, 2.2571353912353516)]"
adagrad,3,0.8,"[(0.1333333333333333, 0.07683347730737669, 2.5794167518615723)]"
adagrad,3,0.9,"[(0.033333333333333326, 0.020137735763411237, 2.9015321731567383)]"
adagrad,3,1.0,"[(0.033333333333333326, 0.01503380720533441, 3.2258505821228027)]"
adagrad,4,0.01,"[(0.43333333333333335, 0.1999682351599894, 0.033574581146240234)]"
adagrad,4,0.1,"[(0.09999999999999998, 0.06034084236780752, 0.32445740699768066)]"
adagrad,4,0.2,"[(0.1333333333333333, 0.08439541449557844, 0.6462008953094482)]"
adagrad,4,0.3,"[(0.1333333333333333, 0.08555828639374513, 0.9680159091949463)]"
adagrad,4,0.4,"[(0.1333333333333333, 0.08612601314144346, 1.2930049896240234)]"
adagrad,4,0.5,"[(0.1333333333333333, 0.08646612041579939, 1.6155481338500977)]"
adagrad,4,0.6,"[(0.1333333333333333, 0.08671103137100858, 1.9370489120483398)]"
adagrad,4,0.7,"[(0.1333333333333333, 0.08689146933574046, 2.2587409019470215)]"
adagrad,4,0.8,"[(0.1333333333333333, 0.08703442019060267, 2.580038547515869)]"
adagrad,4,0.9,"[(0.1333333333333333, 0.0871510095755555, 2.9017107486724854)]"
adagrad,4,1.0,"[(0.1333333333333333, 0.08724686939588108, 3.2248833179473877)]"
adagrad,5,0.01,"[(0.6, 0.2982604087110972, 0.034104108810424805)]"
adagrad,5,0.1,"[(0.0, 0.0005258689957957333, 0.32706665992736816)]"
adagrad,5,0.2,"[(0.06666666666666665, 0.0422122094283297, 0.6506562232971191)]"
adagrad,5,0.3,"[(0.06666666666666665, 0.04375813022609564, 0.973426103591919)]"
adagrad,5,0.4,"[(0.06666666666666665, 0.04401017099457219, 1.2991931438446045)]"
adagrad,5,0.5,"[(0.06666666666666665, 0.04411153229914255, 1.6234524250030518)]"
adagrad,5,0.6,"[(0.06666666666666665, 0.044163962675382584, 1.9467625617980957)]"
adagrad,5,0.7,"[(0.06666666666666665, 0.04420014730207092, 2.27053165435791)]"
adagrad,5,0.8,"[(0.06666666666666665, 0.044224713205607454, 2.5945539474487305)]"
adagrad,5,0.9,"[(0.06666666666666665, 0.044244048616678903, 2.917518138885498)]"
adagrad,5,1.0,"[(0.06666666666666665, 0.04425916847308436, 3.242790699005127)]"
adagrad,6,0.01,"[(0.3666666666666667, 0.12034178841471391, 0.03383278846740723)]"
adagrad,6,0.1,"[(0.06666666666666665, 0.0394157188177131, 0.3276939392089844)]"
adagrad,6,0.2,"[(0.06666666666666665, 0.03388149657823416, 0.6520311832427979)]"
adagrad,6,0.3,"[(0.033333333333333326, 0.027288168674169975, 0.9758284091949463)]"
adagrad,6,0.4,"[(0.033333333333333326, 0.02647852164905808, 1.3031411170959473)]"
adagrad,6,0.5,"[(0.06666666666666665, 0.02788086805776187, 1.6288485527038574)]"
adagrad,6,0.6,"[(0.033333333333333326, 0.02575253640119486, 1.954160213470459)]"
adagrad,6,0.7,"[(0.033333333333333326, 0.022568520887875237, 2.2791149616241455)]"
adagrad,6,0.8,"[(0.033333333333333326, 0.024899491895676328, 2.604147434234619)]"
adagrad,6,0.9,"[(0.033333333333333326, 0.022532693135211296, 2.928591012954712)]"
adagrad,6,1.0,"[(0.033333333333333326, 0.02459756626555252, 3.2544479370117188)]"
adagrad,7,0.01,"[(0.7666666666666666, 0.5111067972567067, 0.03389096260070801)]"
adagrad,7,0.1,"[(0.6666666666666667, 0.44391508107366745, 0.32744812965393066)]"
adagrad,7,0.2,"[(0.6, 0.3178401232975439, 0.6523702144622803)]"
adagrad,7,0.3,"[(0.6, 0.28889214348769243, 0.9770729541778564)]"
adagrad,7,0.4,"[(0.5333333333333333, 0.2909197117940516, 1.303184986114502)]"
adagrad,7,0.5,"[(0.5333333333333333, 0.28643943528796184, 1.6287195682525635)]"
adagrad,7,0.6,"[(0.5333333333333333, 0.29151944048744627, 1.9534730911254883)]"
