algorithm,run,checkpoint,error
adagrad,0,0.01,"[(0.033333333333333326, 0.029303609038458203, 0.028937578201293945)]"
adagrad,0,0.1,"[(0.0, 0.005176637789405404, 0.2794811725616455)]"
adagrad,0,0.2,"[(0.0, 0.0049509458102611, 0.5581777095794678)]"
adagrad,0,0.3,"[(0.0, 0.005614551388435833, 0.8350915908813477)]"
adagrad,0,0.4,"[(0.033333333333333326, 0.00708657894398266, 1.1146249771118164)]"
adagrad,0,0.5,"[(0.0, 0.005956691748505046, 1.3921658992767334)]"
adagrad,0,0.6,"[(0.033333333333333326, 0.007102835710094997, 1.6687989234924316)]"
adagrad,0,0.7,"[(0.033333333333333326, 0.006964169440410428, 1.9458897113800049)]"
adagrad,0,0.8,"[(0.033333333333333326, 0.007047315836078253, 2.2237155437469482)]"
adagrad,0,0.9,"[(0.033333333333333326, 0.006800902303438418, 2.4996657371520996)]"
adagrad,0,1.0,"[(0.033333333333333326, 0.006903235979628191, 2.77624249458313)]"
adagrad,1,0.01,"[(0.19999999999999996, 0.0775712824184006, 0.029090166091918945)]"
adagrad,1,0.1,"[(0.16666666666666663, 0.06784029535035821, 0.31154441833496094)]"
adagrad,1,0.2,"[(0.16666666666666663, 0.08152851801950908, 0.5897054672241211)]"
adagrad,1,0.3,"[(0.16666666666666663, 0.08745602573736418, 0.8663408756256104)]"
adagrad,1,0.4,"[(0.16666666666666663, 0.08931863613768908, 1.1457343101501465)]"
adagrad,1,0.5,"[(0.16666666666666663, 0.0926871679482168, 1.4240262508392334)]"
adagrad,1,0.6,"[(0.16666666666666663, 0.09324312265884233, 1.7006821632385254)]"
adagrad,1,0.7,"[(0.16666666666666663, 0.09346057927046424, 1.9774482250213623)]"
adagrad,1,0.8,"[(0.16666666666666663, 0.09472820319660392, 2.254467248916626)]"
adagrad,1,0.9,"[(0.16666666666666663, 0.09445973687159644, 2.529376268386841)]"
adagrad,1,1.0,"[(0.16666666666666663, 0.09469530685404683, 2.8056559562683105)]"
adagrad,2,0.01,"[(0.06666666666666665, 0.03986327287135212, 0.028942584991455078)]"
adagrad,2,0.1,"[(0.0, 0.0038902424288743145, 0.2789342403411865)]"
adagrad,2,0.2,"[(0.0, 0.0033431219026724295, 0.5567178726196289)]"
adagrad,2,0.3,"[(0.0, 0.0020314826733957517, 0.8334159851074219)]"
adagrad,2,0.4,"[(0.0, 0.0024172028067901163, 1.1129200458526611)]"
adagrad,2,0.5,"[(0.0, 0.0020623185380393475, 1.3896353244781494)]"
adagrad,2,0.6,"[(0.0, 0.002546625369694663, 1.6652498245239258)]"
adagrad,2,0.7,"[(0.0, 0.0029236061512522035, 1.9412145614624023)]"
adagrad,2,0.8,"[(0.0, 0.0025399798144867987, 2.2178616523742676)]"
adagrad,2,0.9,"[(0.0, 0.0014137311682481516, 2.493783950805664)]"
adagrad,2,1.0,"[(0.0, 0.001366286975868477, 2.7699718475341797)]"
adagrad,3,0.01,"[(0.06666666666666665, 0.04505486143952182, 0.02891230583190918)]"
adagrad,3,0.1,"[(0.033333333333333326, 0.026443490025239044, 0.27752065658569336)]"
adagrad,3,0.2,"[(0.033333333333333326, 0.027504525911067484, 0.5540285110473633)]"
adagrad,3,0.3,"[(0.033333333333333326, 0.02745127665795134, 0.8281271457672119)]"
adagrad,3,0.4,"[(0.033333333333333326, 0.025180410135180277, 1.1048083305358887)]"
