algorithm,run,checkpoint,error
adagrad,0,0.01,"[(0.06666666666666665, 0.31730936186044156, 0.022756099700927734)]"
adagrad,0,0.1,"[(0.033333333333333326, 0.0727939448399744, 0.21520757675170898)]"
adagrad,0,0.2,"[(0.0, 0.06125520543226774, 0.4284954071044922)]"
adagrad,0,0.3,"[(0.0, 0.05592986250797331, 0.6419429779052734)]"
adagrad,0,0.4,"[(0.0, 0.05487167246017172, 0.8546991348266602)]"
adagrad,0,0.5,"[(0.0, 0.05696072666119996, 1.071502685546875)]"
adagrad,0,0.6,"[(0.0, 0.05774388329997482, 1.2841553688049316)]"
adagrad,0,0.7,"[(0.0, 0.05901523351851474, 1.4978892803192139)]"
adagrad,0,0.8,"[(0.0, 0.06120733074328586, 1.7108879089355469)]"
adagrad,0,0.9,"[(0.0, 0.06356399565968303, 1.9241688251495361)]"
adagrad,0,1.0,"[(0.0, 0.06626721007187543, 2.1373589038848877)]"
adagrad,1,0.01,"[(0.1333333333333333, 0.292238591441874, 0.022850513458251953)]"
adagrad,1,0.1,"[(0.033333333333333326, 0.0727740299259158, 0.21532177925109863)]"
adagrad,1,0.2,"[(0.033333333333333326, 0.06271795316435798, 0.42830872535705566)]"
adagrad,1,0.3,"[(0.033333333333333326, 0.060779380344968444, 0.6421067714691162)]"
adagrad,1,0.4,"[(0.033333333333333326, 0.05703999031254891, 0.8557116985321045)]"
adagrad,1,0.5,"[(0.033333333333333326, 0.055539095116373484, 1.0713212490081787)]"
adagrad,1,0.6,"[(0.033333333333333326, 0.05703351827993162, 1.283351182937622)]"
adagrad,1,0.7,"[(0.033333333333333326, 0.05611878746440538, 1.4956185817718506)]"
adagrad,1,0.8,"[(0.033333333333333326, 0.056901223055881314, 1.7072670459747314)]"
adagrad,1,0.9,"[(0.033333333333333326, 0.057723287936460574, 1.9191625118255615)]"
adagrad,1,1.0,"[(0.033333333333333326, 0.059024907946390794, 2.1310298442840576)]"
adagrad,2,0.01,"[(0.0, 0.19982272674970253, 0.022734880447387695)]"
adagrad,2,0.1,"[(0.033333333333333326, 0.10140126040697937, 0.2151482105255127)]"
adagrad,2,0.2,"[(0.033333333333333326, 0.12972696426994237, 0.42810487747192383)]"
adagrad,2,0.3,"[(0.033333333333333326, 0.14992413537468624, 0.6412577629089355)]"
adagrad,2,0.4,"[(0.033333333333333326, 0.1706461732866383, 0.8542091846466064)]"
adagrad,2,0.5,"[(0.033333333333333326, 0.19029153577595512, 1.071126937866211)]"
adagrad,2,0.6,"[(0.033333333333333326, 0.20476268398434805, 1.2844359874725342)]"
adagrad,2,0.7,"[(0.033333333333333326, 0.22025587640961053, 1.4980690479278564)]"
adagrad,2,0.8,"[(0.033333333333333326, 0.23266081333151092, 1.7112267017364502)]"
