algorithm,run,checkpoint,error
adam,0,0.01,"[(0.033333333333333326, 0.3022286750265059, 0.026850223541259766)]"
adam,0,0.1,"[(0.033333333333333326, 0.12240700539867283, 0.26215529441833496)]"
adam,0,0.2,"[(0.033333333333333326, 0.22460013105744142, 0.5237395763397217)]"
adam,0,0.3,"[(0.033333333333333326, 0.30940250364013616, 0.7845001220703125)]"
adam,0,0.4,"[(0.033333333333333326, 0.38180063726965907, 1.0496635437011719)]"
adam,0,0.5,"[(0.033333333333333326, 0.43441317365875237, 1.309906005859375)]"
adam,0,0.6,"[(0.033333333333333326, 0.4719004802293197, 1.5712802410125732)]"
adam,0,0.7,"[(0.033333333333333326, 0.49944726391870464, 1.832259178161621)]"
adam,0,0.8,"[(0.033333333333333326, 0.5233602108045602, 2.0931148529052734)]"
adam,0,0.9,"[(0.033333333333333326, 0.5437220751619257, 2.3538026809692383)]"
adam,0,1.0,"[(0.033333333333333326, 0.562356759223352, 2.6143877506256104)]"
adam,1,0.01,"[(0.0, 0.3149429169363177, 0.02740788459777832)]"
adam,1,0.1,"[(0.033333333333333326, 0.14359424170346455, 0.26674461364746094)]"
adam,1,0.2,"[(0.033333333333333326, 0.23321789415112715, 0.5325748920440674)]"
adam,1,0.3,"[(0.033333333333333326, 0.3166178313468146, 0.7987959384918213)]"
adam,1,0.4,"[(0.033333333333333326, 0.3882405721063008, 1.0678248405456543)]"
adam,1,0.5,"[(0.033333333333333326, 0.44169363489246016, 1.33343505859375)]"
adam,1,0.6,"[(0.033333333333333326, 0.4798203650860348, 1.600628137588501)]"
adam,1,0.7,"[(0.033333333333333326, 0.5145475632214868, 1.8672316074371338)]"
adam,1,0.8,"[(0.033333333333333326, 0.547391794050477, 2.1335713863372803)]"
adam,1,0.9,"[(0.033333333333333326, 0.5737192298957885, 2.4000954627990723)]"
adam,1,1.0,"[(0.033333333333333326, 0.5986772534758115, 2.6667587757110596)]"
adam,2,0.01,"[(0.09999999999999998, 0.3410148788876906, 0.027105093002319336)]"
adam,2,0.1,"[(0.033333333333333326, 0.12802978728258257, 0.26482558250427246)]"
adam,2,0.2,"[(0.033333333333333326, 0.18748845295339947, 0.5285584926605225)]"
adam,2,0.3,"[(0.033333333333333326, 0.25693467213551263, 0.7913718223571777)]"
adam,2,0.4,"[(0.033333333333333326, 0.36950450671506224, 1.0587568283081055)]"
adam,2,0.5,"[(0.033333333333333326, 0.4611017273226885, 1.3225023746490479)]"
adam,2,0.6,"[(0.033333333333333326, 0.5222258496202082, 1.5883638858795166)]"
adam,2,0.7,"[(0.033333333333333326, 0.5695353018927768, 1.8533971309661865)]"
adam,2,0.8,"[(0.033333333333333326, 0.6085381654001325, 2.1179862022399902)]"
adam,2,0.9,"[(0.033333333333333326, 0.6153619541173481, 2.383009195327759)]"
adam,2,1.0,"[(0.033333333333333326, 0.6152368132159325, 2.648029327392578)]"
adam,3,0.01,"[(0.16666666666666663, 0.3926694942255243, 0.0273284912109375)]"
adam,3,0.1,"[(0.06666666666666665, 0.17157163452108304, 0.26493382453918457)]"
adam,3,0.2,"[(0.06666666666666665, 0.15547188902957002, 0.5282211303710938)]"
adam,3,0.3,"[(0.06666666666666665, 0.15801836701445515, 0.7911121845245361)]"
adam,3,0.4,"[(0.06666666666666665, 0.26015581144037014, 1.057724952697754)]"
adam,3,0.5,"[(0.06666666666666665, 0.36935252235093363, 1.3196446895599365)]"
adam,3,0.6,"[(0.06666666666666665, 0.6095341853143759, 1.5829534530639648)]"
adam,3,0.7,"[(0.1333333333333333, 0.9160321870024235, 1.8455619812011719)]"
adam,3,0.8,"[(0.06666666666666665, 0.9384397410703552, 2.108576774597168)]"
adam,3,0.9,"[(0.06666666666666665, 0.9499625006486226, 2.371591329574585)]"
adam,3,1.0,"[(0.06666666666666665, 0.977705054183351, 2.6349196434020996)]"
adam,4,0.01,"[(0.09999999999999998, 0.36473465329687843, 0.032526254653930664)]"
adam,4,0.1,"[(0.033333333333333326, 0.1386898632658347, 0.26934218406677246)]"
adam,4,0.2,"[(0.033333333333333326, 0.1703781874406117, 0.5312306880950928)]"
adam,4,0.3,"[(0.033333333333333326, 0.23073291879092697, 0.7921719551086426)]"
adam,4,0.4,"[(0.033333333333333326, 0.28886690740048376, 1.0569162368774414)]"
adam,4,0.5,"[(0.033333333333333326, 0.43132787321314076, 1.3189527988433838)]"
adam,4,0.6,"[(0.033333333333333326, 0.5250237511872501, 1.5823004245758057)]"
adam,4,0.7,"[(0.033333333333333326, 0.5885908165810072, 1.8461225032806396)]"
adam,4,0.8,"[(0.033333333333333326, 0.6140296430478149, 2.109360694885254)]"
adam,4,0.9,"[(0.033333333333333326, 0.6140253752481323, 2.372533082962036)]"
adam,4,1.0,"[(0.033333333333333326, 0.6140238247741474, 2.6358654499053955)]"
adam,5,0.01,"[(0.033333333333333326, 0.3258438514538049, 0.02975916862487793)]"
