algorithm,run,checkpoint,error
adam,0,0.01,"[(0.4, 0.20859553485633317)]"
adam,0,0.1,"[(0.06666666666666665, 0.06850948018892918)]"
adam,0,0.2,"[(0.0, 0.02040752321032479)]"
adam,0,0.3,"[(0.0, 0.007819931454550797)]"
adam,0,0.4,"[(0.0, 0.003918688566867313)]"
adam,0,0.5,"[(0.0, 0.002494560602259713)]"
adam,0,0.6,"[(0.0, 0.0018692163447117716)]"
adam,0,0.7,"[(0.0, 0.0015113693360469898)]"
adam,0,0.8,"[(0.0, 0.0012883963185226894)]"
adam,0,0.9,"[(0.0, 0.0011534505639821107)]"
adam,0,1.0,"[(0.0, 0.0010780965113296203)]"
adam,1,0.01,"[(0.4666666666666667, 0.2151593892213971)]"
adam,1,0.1,"[(0.06666666666666665, 0.08770352840645089)]"
adam,1,0.2,"[(0.06666666666666665, 0.04277099156379744)]"
adam,1,0.3,"[(0.033333333333333326, 0.02987890838442158)]"
adam,1,0.4,"[(0.033333333333333326, 0.02661517474119114)]"
adam,1,0.5,"[(0.033333333333333326, 0.026485733027204587)]"
adam,1,0.6,"[(0.06666666666666665, 0.027804059428553667)]"
adam,1,0.7,"[(0.06666666666666665, 0.03014874449674974)]"
adam,1,0.8,"[(0.06666666666666665, 0.033009415593375946)]"
adam,1,0.9,"[(0.06666666666666665, 0.03582524626852105)]"
adam,1,1.0,"[(0.09999999999999998, 0.03862650399694055)]"
adam,2,0.01,"[(0.7333333333333334, 0.2264394389332023)]"
adam,2,0.1,"[(0.06666666666666665, 0.08806414974525219)]"
adam,2,0.2,"[(0.033333333333333326, 0.02751332870507735)]"
adam,2,0.3,"[(0.033333333333333326, 0.014873762370065312)]"
adam,2,0.4,"[(0.033333333333333326, 0.010904644726797292)]"
adam,2,0.5,"[(0.033333333333333326, 0.008942879679681524)]"
adam,2,0.6,"[(0.033333333333333326, 0.007627309109572092)]"
adam,2,0.7,"[(0.033333333333333326, 0.006640249170798835)]"
adam,2,0.8,"[(0.033333333333333326, 0.005941724200086978)]"
adam,2,0.9,"[(0.0, 0.005466831126374547)]"
adam,2,1.0,"[(0.0, 0.005160675260719237)]"
adam,3,0.01,"[(0.5, 0.21135054591113175)]"
adam,3,0.1,"[(0.06666666666666665, 0.05845383931063118)]"
adam,3,0.2,"[(0.06666666666666665, 0.022082911050762537)]"
adam,3,0.3,"[(0.033333333333333326, 0.01680701227796043)]"
adam,3,0.4,"[(0.033333333333333326, 0.014275590107675986)]"
adam,3,0.5,"[(0.033333333333333326, 0.013088200672975154)]"
adam,3,0.6,"[(0.033333333333333326, 0.012859649242810986)]"
adam,3,0.7,"[(0.033333333333333326, 0.013363562632713906)]"
adam,3,0.8,"[(0.033333333333333326, 0.014558277114172223)]"
adam,3,0.9,"[(0.033333333333333326, 0.016571025458047558)]"
adam,3,1.0,"[(0.033333333333333326, 0.01946025789642216)]"
adam,4,0.01,"[(0.6666666666666667, 0.21878567839630816)]"
adam,4,0.1,"[(0.033333333333333326, 0.0787737213216729)]"
adam,4,0.2,"[(0.033333333333333326, 0.02479195584726771)]"
adam,4,0.3,"[(0.033333333333333326, 0.01563556199328124)]"
adam,4,0.4,"[(0.033333333333333326, 0.014981830957552922)]"
adam,4,0.5,"[(0.033333333333333326, 0.016360803747495083)]"
adam,4,0.6,"[(0.033333333333333326, 0.018185531024467367)]"
adam,4,0.7,"[(0.033333333333333326, 0.019750058372420633)]"
adam,4,0.8,"[(0.033333333333333326, 0.020834854033641402)]"
adam,4,0.9,"[(0.033333333333333326, 0.021524471771732355)]"
adam,4,1.0,"[(0.033333333333333326, 0.021932299505664173)]"
adam,5,0.01,"[(0.43333333333333335, 0.21294638588494613)]"
adam,5,0.1,"[(0.0, 0.06202543327332085)]"
adam,5,0.2,"[(0.0, 0.013415771594922996)]"
adam,5,0.3,"[(0.0, 0.004600723781882711)]"
adam,5,0.4,"[(0.0, 0.0019192285052569364)]"
adam,5,0.5,"[(0.0, 0.0008805662442893014)]"
adam,5,0.6,"[(0.0, 0.0004580147310281912)]"
adam,5,0.7,"[(0.0, 0.00027814916498073214)]"
adam,5,0.8,"[(0.0, 0.0001944852495238034)]"
adam,5,0.9,"[(0.0, 0.00015034246343754548)]"
adam,5,1.0,"[(0.0, 0.00012533736137500408)]"
adam,6,0.01,"[(0.7333333333333334, 0.21728012328559118)]"
adam,6,0.1,"[(0.0, 0.08502097816682584)]"
adam,6,0.2,"[(0.0, 0.025977645342228337)]"
adam,6,0.3,"[(0.0, 0.01193668117922446)]"
adam,6,0.4,"[(0.0, 0.007330458886463042)]"
adam,6,0.5,"[(0.0, 0.005153698669582706)]"
adam,6,0.6,"[(0.0, 0.00391614894949519)]"
adam,6,0.7,"[(0.0, 0.0030660125700928895)]"
adam,6,0.8,"[(0.0, 0.002413555588159959)]"
adam,6,0.9,"[(0.0, 0.0019080465904821136)]"
adam,6,1.0,"[(0.0, 0.001525812763252545)]"
adam,7,0.01,"[(0.5333333333333333, 0.21238774178536973)]"
adam,7,0.1,"[(0.09999999999999998, 0.09124344807105982)]"
adam,7,0.2,"[(0.06666666666666665, 0.042903867208686046)]"
