algorithm,run,checkpoint,error
adam,0,0.01,"[(0.033333333333333326, 0.04422454651190545, 0.03671717643737793)]"
adam,0,0.1,"[(0.033333333333333326, 0.019335148445653098, 0.35636472702026367)]"
adam,0,0.2,"[(0.033333333333333326, 0.022045817500212672, 0.711848258972168)]"
adam,0,0.3,"[(0.033333333333333326, 0.022174644665270117, 1.0688450336456299)]"
adam,0,0.4,"[(0.033333333333333326, 0.02219841281102849, 1.4236857891082764)]"
adam,0,0.5,"[(0.033333333333333326, 0.02220756770774422, 1.7784607410430908)]"
adam,0,0.6,"[(0.033333333333333326, 0.022212750557277647, 2.130174398422241)]"
adam,0,0.7,"[(0.033333333333333326, 0.022215962364261644, 2.4817264080047607)]"
adam,0,0.8,"[(0.033333333333333326, 0.0222180035462041, 2.8340816497802734)]"
adam,0,0.9,"[(0.033333333333333326, 0.02221964010668871, 3.1877434253692627)]"
adam,0,1.0,"[(0.033333333333333326, 0.022220776939691208, 3.5399084091186523)]"
adam,1,0.01,"[(0.06666666666666665, 0.052543005051403135, 0.0370478630065918)]"
adam,1,0.1,"[(0.0, 0.0017821090858567421, 0.41550660133361816)]"
adam,1,0.2,"[(0.0, 0.00024456683966942914, 0.7714860439300537)]"
adam,1,0.3,"[(0.0, 0.00020601375867354332, 1.1294972896575928)]"
adam,1,0.4,"[(0.0, 6.524091690291352e-05, 1.485260248184204)]"
adam,1,0.5,"[(0.0, 4.905242871021113e-05, 1.8412840366363525)]"
adam,1,0.6,"[(0.0, 4.851863916180397e-05, 2.1945629119873047)]"
adam,1,0.7,"[(0.0, 4.81015523855125e-05, 2.548326253890991)]"
adam,1,0.8,"[(0.0, 4.673069611081004e-05, 2.9021196365356445)]"
adam,1,0.9,"[(0.0, 4.542341221524867e-05, 3.2560484409332275)]"
adam,1,1.0,"[(0.0, 4.701863676757484e-05, 3.6093099117279053)]"
adam,2,0.01,"[(0.09999999999999998, 0.04274257360103602, 0.06278443336486816)]"
adam,2,0.1,"[(0.033333333333333326, 0.018980236216756756, 0.3809337615966797)]"
adam,2,0.2,"[(0.033333333333333326, 0.02186327761235462, 0.7338354587554932)]"
adam,2,0.3,"[(0.033333333333333326, 0.021965471693411804, 1.0874240398406982)]"
adam,2,0.4,"[(0.033333333333333326, 0.022176353629639975, 1.441779613494873)]"
adam,2,0.5,"[(0.033333333333333326, 0.022215708133051203, 1.7962298393249512)]"
adam,2,0.6,"[(0.033333333333333326, 0.022217677845152602, 2.147712230682373)]"
adam,2,0.7,"[(0.033333333333333326, 0.022219288161100602, 2.500014543533325)]"
adam,2,0.8,"[(0.033333333333333326, 0.02221939635853289, 2.85256290435791)]"
adam,2,0.9,"[(0.033333333333333326, 0.022219717302944735, 3.2053170204162598)]"
adam,2,1.0,"[(0.033333333333333326, 0.022220034182070542, 3.5576372146606445)]"
adam,3,0.01,"[(0.09999999999999998, 0.04050981353803029, 0.03671765327453613)]"
adam,3,0.1,"[(0.033333333333333326, 0.007627009785609344, 0.3550388813018799)]"
adam,3,0.2,"[(0.033333333333333326, 0.013154096960927345, 0.708076000213623)]"
adam,3,0.3,"[(0.033333333333333326, 0.013427687806104314, 1.062793254852295)]"
adam,3,0.4,"[(0.033333333333333326, 0.014713454797850162, 1.4161250591278076)]"
