algorithm,run,checkpoint,error
adam,0,0.01,"[(0.033333333333333326, 0.03142640985059349, 0.0364222526550293)]"
adam,0,0.1,"[(0.033333333333333326, 0.007209620509266352, 0.34879565238952637)]"
adam,0,0.2,"[(0.033333333333333326, 0.007673616823262751, 0.6953938007354736)]"
adam,0,0.3,"[(0.033333333333333326, 0.010089175736626385, 1.0433523654937744)]"
adam,0,0.4,"[(0.033333333333333326, 0.01397322642145233, 1.3897051811218262)]"
adam,0,0.5,"[(0.033333333333333326, 0.01388170078280806, 1.735748529434204)]"
adam,0,0.6,"[(0.033333333333333326, 0.013905083229169456, 2.0790176391601562)]"
adam,0,0.7,"[(0.033333333333333326, 0.012980375494021803, 2.423362970352173)]"
adam,0,0.8,"[(0.033333333333333326, 0.012367064225764819, 2.76853346824646)]"
adam,0,0.9,"[(0.033333333333333326, 0.011486136460828921, 3.113348960876465)]"
adam,0,1.0,"[(0.033333333333333326, 0.010554296546962348, 3.456886053085327)]"
adam,1,0.01,"[(0.033333333333333326, 0.03389900490912272, 0.03642082214355469)]"
adam,1,0.1,"[(0.033333333333333326, 0.020512834818831774, 0.34851670265197754)]"
adam,1,0.2,"[(0.06666666666666665, 0.02739957229443357, 0.6944255828857422)]"
adam,1,0.3,"[(0.06666666666666665, 0.02927566228919928, 1.042891263961792)]"
adam,1,0.4,"[(0.06666666666666665, 0.03150087854958352, 1.3883836269378662)]"
adam,1,0.5,"[(0.06666666666666665, 0.03189990611864295, 1.733853816986084)]"
adam,1,0.6,"[(0.06666666666666665, 0.03309214407339588, 2.0771164894104004)]"
adam,1,0.7,"[(0.06666666666666665, 0.032105719123999545, 2.4207234382629395)]"
adam,1,0.8,"[(0.06666666666666665, 0.033230918032042894, 2.7646560668945312)]"
adam,1,0.9,"[(0.06666666666666665, 0.03147359679664287, 3.108613967895508)]"
adam,1,1.0,"[(0.06666666666666665, 0.023396915046935175, 3.452153205871582)]"
adam,2,0.01,"[(0.033333333333333326, 0.0338293950774955, 0.05845975875854492)]"
adam,2,0.1,"[(0.033333333333333326, 0.021366631994305163, 0.3690955638885498)]"
adam,2,0.2,"[(0.033333333333333326, 0.02424095031108258, 0.7135632038116455)]"
adam,2,0.3,"[(0.06666666666666665, 0.032795504164389845, 1.0601003170013428)]"
adam,2,0.4,"[(0.06666666666666665, 0.04096844361487941, 1.4054951667785645)]"
adam,2,0.5,"[(0.06666666666666665, 0.042857240460227077, 1.7503020763397217)]"
adam,2,0.6,"[(0.06666666666666665, 0.04437193811843524, 2.0930705070495605)]"
adam,2,0.7,"[(0.06666666666666665, 0.04447512374077223, 2.436901569366455)]"
adam,2,0.8,"[(0.06666666666666665, 0.044458246239616736, 2.781083345413208)]"
adam,2,0.9,"[(0.06666666666666665, 0.04445068060849291, 3.125047206878662)]"
adam,2,1.0,"[(0.06666666666666665, 0.04444580053992585, 3.4679830074310303)]"
adam,3,0.01,"[(0.0, 0.025296698997496155, 0.03641343116760254)]"
adam,3,0.1,"[(0.0, 0.0052742879512388905, 0.3480236530303955)]"
adam,3,0.2,"[(0.0, 0.004512054205585889, 0.6934938430786133)]"
adam,3,0.3,"[(0.0, 0.0025310511390229285, 1.0396955013275146)]"
adam,3,0.4,"[(0.0, 0.0015699541206664848, 1.385746955871582)]"
adam,3,0.5,"[(0.0, 0.0015301979059155683, 1.7317726612091064)]"
adam,3,0.6,"[(0.0, 0.0010737857135503324, 2.0745317935943604)]"
adam,3,0.7,"[(0.0, 0.000794402051791393, 2.4181933403015137)]"
adam,3,0.8,"[(0.0, 0.0007014773615348919, 2.7624430656433105)]"
adam,3,0.9,"[(0.0, 0.0005978506175484415, 3.1071994304656982)]"
adam,3,1.0,"[(0.0, 0.0005151030594841513, 3.45162296295166)]"
adam,4,0.01,"[(0.06666666666666665, 0.04097988003979472, 0.036359548568725586)]"
adam,4,0.1,"[(0.06666666666666665, 0.03857103182022013, 0.3479585647583008)]"
adam,4,0.2,"[(0.06666666666666665, 0.043025746542978, 0.6941354274749756)]"
adam,4,0.3,"[(0.06666666666666665, 0.04374467678941293, 1.0411338806152344)]"
adam,4,0.4,"[(0.06666666666666665, 0.043997413328828824, 1.3870899677276611)]"
adam,4,0.5,"[(0.06666666666666665, 0.04409237667424948, 1.7321369647979736)]"
adam,4,0.6,"[(0.06666666666666665, 0.0442020720211734, 2.0748870372772217)]"
adam,4,0.7,"[(0.06666666666666665, 0.04423519853406785, 2.4178593158721924)]"
adam,4,0.8,"[(0.06666666666666665, 0.044265173105884216, 2.7621140480041504)]"
adam,4,0.9,"[(0.06666666666666665, 0.044295726488029694, 3.1087841987609863)]"
adam,4,1.0,"[(0.06666666666666665, 0.04432454682940223, 3.4549615383148193)]"
adam,5,0.01,"[(0.0, 0.027680486018944288, 0.036466360092163086)]"
adam,5,0.1,"[(0.0, 0.0016676980457330118, 0.3477973937988281)]"
adam,5,0.2,"[(0.0, 0.0003148829019300167, 0.6927075386047363)]"
adam,5,0.3,"[(0.0, 7.552242974943047e-05, 1.0390148162841797)]"
adam,5,0.4,"[(0.0, 2.886156862495388e-05, 1.3838083744049072)]"
adam,5,0.5,"[(0.0, 1.389086710727087e-05, 1.7286629676818848)]"
adam,5,0.6,"[(0.0, 8.091044114511044e-06, 2.073434829711914)]"
adam,5,0.7,"[(0.0, 5.163810316753004e-06, 2.418505907058716)]"
adam,5,0.8,"[(0.0, 3.453862008619275e-06, 2.7639498710632324)]"
adam,5,0.9,"[(0.0, 2.370260382111978e-06, 3.110523223876953)]"
adam,5,1.0,"[(0.0, 1.6516947567410651e-06, 3.4556949138641357)]"
adam,6,0.01,"[(0.0, 0.027615179860543074, 0.03634047508239746)]"
adam,6,0.1,"[(0.033333333333333326, 0.012676940790214669, 0.3573739528656006)]"
adam,6,0.2,"[(0.0, 0.008182008657270506, 0.7006845474243164)]"
adam,6,0.3,"[(0.033333333333333326, 0.016732177504484167, 1.0472543239593506)]"
adam,6,0.4,"[(0.033333333333333326, 0.02968660232680413, 1.3925848007202148)]"
adam,6,0.5,"[(0.06666666666666665, 0.03644827578650704, 1.7378873825073242)]"
adam,6,0.6,"[(0.06666666666666665, 0.04888816064879849, 2.082132339477539)]"
adam,6,0.7,"[(0.06666666666666665, 0.049178829600859654, 2.4267823696136475)]"
adam,6,0.8,"[(0.06666666666666665, 0.04857685905685962, 2.7712810039520264)]"
adam,6,0.9,"[(0.09999999999999998, 0.05156476092436808, 3.116443395614624)]"
adam,6,1.0,"[(0.09999999999999998, 0.05816146212814243, 3.4602203369140625)]"
adam,7,0.01,"[(0.033333333333333326, 0.02975100802496945, 0.036383628845214844)]"
adam,7,0.1,"[(0.0, 0.007501278342973247, 0.3471512794494629)]"
adam,7,0.2,"[(0.033333333333333326, 0.0137559999842725, 0.6937458515167236)]"
adam,7,0.3,"[(0.033333333333333326, 0.018867267255025962, 1.040909767150879)]"
adam,7,0.4,"[(0.033333333333333326, 0.018910949400653285, 1.3878130912780762)]"
adam,7,0.5,"[(0.033333333333333326, 0.019655747016635836, 1.735290765762329)]"
adam,7,0.6,"[(0.033333333333333326, 0.01981531853298433, 2.0808420181274414)]"
adam,7,0.7,"[(0.033333333333333326, 0.019903194977562925, 2.4268271923065186)]"
adam,7,0.8,"[(0.033333333333333326, 0.020091733029053517, 2.7731997966766357)]"
adam,7,0.9,"[(0.033333333333333326, 0.020127245720979216, 3.1190855503082275)]"
adam,7,1.0,"[(0.033333333333333326, 0.020083630927940344, 3.4632349014282227)]"
adam,8,0.01,"[(0.06666666666666665, 0.04763008487285389, 0.036765098571777344)]"
adam,8,0.1,"[(0.09999999999999998, 0.038512516498845586, 0.34981298446655273)]"
adam,8,0.2,"[(0.09999999999999998, 0.06053917108517892, 0.6962532997131348)]"
adam,8,0.3,"[(0.09999999999999998, 0.06260326264657912, 1.042717695236206)]"
adam,8,0.4,"[(0.09999999999999998, 0.0652995654733081, 1.3889689445495605)]"
adam,8,0.5,"[(0.1333333333333333, 0.07301683728926106, 1.734576940536499)]"
adam,8,0.6,"[(0.1333333333333333, 0.07286371606730394, 2.078465223312378)]"
adam,8,0.7,"[(0.1333333333333333, 0.07800324085728842, 2.422645092010498)]"
adam,8,0.8,"[(0.1333333333333333, 0.08147883045693079, 2.7681260108947754)]"
adam,8,0.9,"[(0.1333333333333333, 0.0835481163948519, 3.1121342182159424)]"
adam,8,1.0,"[(0.1333333333333333, 0.08493622161022943, 3.4541592597961426)]"
adam,9,0.01,"[(0.0, 0.023881188298886545, 0.0366213321685791)]"
adam,9,0.1,"[(0.0, 0.0010075911912305019, 0.35018134117126465)]"
adam,9,0.2,"[(0.0, 0.0006925295386243807, 0.6978600025177002)]"
adam,9,0.3,"[(0.033333333333333326, 0.009847431156627688, 1.046616792678833)]"
adam,9,0.4,"[(0.033333333333333326, 0.00906081396969029, 1.393989086151123)]"
adam,9,0.5,"[(0.0, 0.008345827857246392, 1.7417786121368408)]"
adam,9,0.6,"[(0.0, 0.0067030722425512005, 2.0861659049987793)]"
adam,9,0.7,"[(0.033333333333333326, 0.006896655580946584, 2.4315526485443115)]"
adam,9,0.8,"[(0.033333333333333326, 0.007204543739263898, 2.777270555496216)]"
adam,9,0.9,"[(0.033333333333333326, 0.008336995250299952, 3.123664617538452)]"
adam,9,1.0,"[(0.033333333333333326, 0.009328770520996555, 3.468613386154175)]"
adam,10,0.01,"[(0.033333333333333326, 0.03650580615539932, 0.0366363525390625)]"
adam,10,0.1,"[(0.033333333333333326, 0.01130607159495744, 0.3511695861816406)]"
adam,10,0.2,"[(0.033333333333333326, 0.017738477757219408, 0.6993598937988281)]"
adam,10,0.3,"[(0.033333333333333326, 0.019463581782872382, 1.0485901832580566)]"
adam,10,0.4,"[(0.033333333333333326, 0.020221762141174264, 1.3969402313232422)]"
