algorithm,run,checkpoint,error
adam,0,0.01,"[(0.8666666666666667, 0.25830256515240746, 0.02945852279663086)]"
adam,0,0.1,"[(0.033333333333333326, 0.12790701928272658, 0.28649449348449707)]"
adam,0,0.2,"[(0.0, 0.050411237685488254, 0.5721824169158936)]"
adam,0,0.3,"[(0.0, 0.02404302366484578, 0.8569576740264893)]"
adam,0,0.4,"[(0.0, 0.013489173546210055, 1.1453297138214111)]"
adam,0,0.5,"[(0.0, 0.008471113161660103, 1.4299216270446777)]"
adam,0,0.6,"[(0.0, 0.0057631573791478785, 1.713524580001831)]"
adam,0,0.7,"[(0.0, 0.004113622166242856, 1.9972529411315918)]"
adam,0,0.8,"[(0.0, 0.0030343405128610283, 2.2819695472717285)]"
adam,0,0.9,"[(0.0, 0.002313040930891643, 2.565397024154663)]"
adam,0,1.0,"[(0.0, 0.001794766680811574, 2.8492870330810547)]"
adam,1,0.01,"[(0.8666666666666667, 0.2593924498079383, 0.029291152954101562)]"
adam,1,0.1,"[(0.033333333333333326, 0.14379937192065395, 0.28582048416137695)]"
adam,1,0.2,"[(0.06666666666666665, 0.06675191966214804, 0.5713932514190674)]"
adam,1,0.3,"[(0.033333333333333326, 0.03974018545534139, 0.8554952144622803)]"
adam,1,0.4,"[(0.033333333333333326, 0.02813851338819919, 1.142418384552002)]"
adam,1,0.5,"[(0.033333333333333326, 0.022744348539455426, 1.4264793395996094)]"
adam,1,0.6,"[(0.033333333333333326, 0.020349885776490346, 1.7092609405517578)]"
adam,1,0.7,"[(0.033333333333333326, 0.019237649917555277, 1.99229097366333)]"
adam,1,0.8,"[(0.033333333333333326, 0.018759754607399783, 2.2763328552246094)]"
adam,1,0.9,"[(0.06666666666666665, 0.018634332132180492, 2.5589520931243896)]"
adam,1,1.0,"[(0.06666666666666665, 0.01884298272993895, 2.84179425239563)]"
adam,2,0.01,"[(0.8333333333333334, 0.2741426213575693, 0.029248952865600586)]"
adam,2,0.1,"[(0.033333333333333326, 0.1355054129538259, 0.28582215309143066)]"
adam,2,0.2,"[(0.033333333333333326, 0.06347051078522917, 0.5719244480133057)]"
adam,2,0.3,"[(0.033333333333333326, 0.041119416788652476, 0.8574433326721191)]"
adam,2,0.4,"[(0.033333333333333326, 0.03270219108998927, 1.145524024963379)]"
adam,2,0.5,"[(0.033333333333333326, 0.02869395825393816, 1.4308922290802002)]"
adam,2,0.6,"[(0.033333333333333326, 0.026368747696113356, 1.71539306640625)]"
adam,2,0.7,"[(0.033333333333333326, 0.024681003425210433, 2.0009312629699707)]"
adam,2,0.8,"[(0.033333333333333326, 0.023335472462168234, 2.2861273288726807)]"
adam,2,0.9,"[(0.033333333333333326, 0.022261298777428336, 2.570258140563965)]"
adam,2,1.0,"[(0.033333333333333326, 0.021329499209493983, 2.854304552078247)]"
adam,3,0.01,"[(0.8, 0.26687553933294844, 0.029298067092895508)]"
adam,3,0.1,"[(0.06666666666666665, 0.13182576093763368, 0.2865121364593506)]"
adam,3,0.2,"[(0.06666666666666665, 0.06527808016578202, 0.5720734596252441)]"
adam,3,0.3,"[(0.06666666666666665, 0.043145418677862, 0.8566887378692627)]"
adam,3,0.4,"[(0.06666666666666665, 0.03399611223652674, 1.1439063549041748)]"
adam,3,0.5,"[(0.06666666666666665, 0.029232264111249826, 1.4314939975738525)]"
adam,3,0.6,"[(0.06666666666666665, 0.026124929368703403, 1.715691089630127)]"
adam,3,0.7,"[(0.06666666666666665, 0.023261458528338972, 1.999561071395874)]"
adam,3,0.8,"[(0.06666666666666665, 0.020167736254677156, 2.284406900405884)]"
adam,3,0.9,"[(0.033333333333333326, 0.017153616114350404, 2.5676817893981934)]"
adam,3,1.0,"[(0.033333333333333326, 0.014526054023625695, 2.8515870571136475)]"
adam,4,0.01,"[(0.8666666666666667, 0.27438382140321776, 0.029291868209838867)]"
adam,4,0.1,"[(0.06666666666666665, 0.12448791409863066, 0.2867436408996582)]"
adam,4,0.2,"[(0.033333333333333326, 0.054241115046642426, 0.573155403137207)]"
adam,4,0.3,"[(0.033333333333333326, 0.03224457297261624, 0.85819411277771)]"
adam,4,0.4,"[(0.033333333333333326, 0.023380825521785824, 1.1440467834472656)]"
adam,4,0.5,"[(0.033333333333333326, 0.01867490536840051, 1.4306647777557373)]"
adam,4,0.6,"[(0.033333333333333326, 0.015387704072636057, 1.7162389755249023)]"
adam,4,0.7,"[(0.033333333333333326, 0.012648697341667263, 2.0020015239715576)]"
adam,4,0.8,"[(0.033333333333333326, 0.010294183059797844, 2.2875208854675293)]"
adam,4,0.9,"[(0.033333333333333326, 0.008027339836468897, 2.5720367431640625)]"
adam,4,1.0,"[(0.0, 0.0062458766190712925, 2.8571417331695557)]"
adam,5,0.01,"[(0.9333333333333333, 0.25203982726015245, 0.0291745662689209)]"
adam,5,0.1,"[(0.2666666666666667, 0.16269422763071675, 0.28547191619873047)]"
adam,5,0.2,"[(0.06666666666666665, 0.08241564231816756, 0.5699677467346191)]"
adam,5,0.3,"[(0.06666666666666665, 0.05629677564331974, 0.8536694049835205)]"
adam,5,0.4,"[(0.06666666666666665, 0.047753049010886436, 1.1396615505218506)]"
adam,5,0.5,"[(0.06666666666666665, 0.04425397723022176, 1.4243922233581543)]"
adam,5,0.6,"[(0.06666666666666665, 0.04256548331017109, 1.7074358463287354)]"
adam,5,0.7,"[(0.06666666666666665, 0.04174500989646094, 1.9911150932312012)]"
adam,5,0.8,"[(0.06666666666666665, 0.04145296364190294, 2.275761365890503)]"
adam,5,0.9,"[(0.06666666666666665, 0.041378532518114006, 2.5595414638519287)]"
adam,5,1.0,"[(0.06666666666666665, 0.041250824224357246, 2.843846321105957)]"
adam,6,0.01,"[(0.9, 0.27532270717884944, 0.0290524959564209)]"
adam,6,0.1,"[(0.033333333333333326, 0.12258674670071756, 0.3367278575897217)]"
