algorithm,run,checkpoint,error
adam,0,0.01,"[(0.06666666666666665, 0.28804646140762463, 0.03676128387451172)]"
adam,0,0.1,"[(0.06666666666666665, 0.22312953154539014, 0.3592982292175293)]"
adam,0,0.2,"[(0.06666666666666665, 0.35316689849192806, 0.7107126712799072)]"
adam,0,0.3,"[(0.033333333333333326, 0.388999323637724, 1.0674514770507812)]"
adam,0,0.4,"[(0.033333333333333326, 0.41776830722525304, 1.4200630187988281)]"
adam,0,0.5,"[(0.033333333333333326, 0.4439409302372069, 1.772047996520996)]"
adam,0,0.6,"[(0.033333333333333326, 0.468289156727721, 2.126521348953247)]"
adam,0,0.7,"[(0.033333333333333326, 0.4912243486510564, 2.4790968894958496)]"
adam,0,0.8,"[(0.033333333333333326, 0.513139768097247, 2.831289768218994)]"
adam,0,0.9,"[(0.033333333333333326, 0.5343730845186244, 3.181208848953247)]"
adam,0,1.0,"[(0.033333333333333326, 0.5551575554548661, 3.5323173999786377)]"
adam,1,0.01,"[(0.06666666666666665, 0.3364060343995264, 0.07329249382019043)]"
adam,1,0.1,"[(0.033333333333333326, 0.052956826804633206, 0.466475248336792)]"
adam,1,0.2,"[(0.033333333333333326, 0.15318808329775802, 0.822319507598877)]"
adam,1,0.3,"[(0.033333333333333326, 0.24699441116670154, 1.1780729293823242)]"
adam,1,0.4,"[(0.033333333333333326, 0.3100131991120508, 1.534686803817749)]"
adam,1,0.5,"[(0.06666666666666665, 0.3526170686213141, 1.889577865600586)]"
adam,1,0.6,"[(0.06666666666666665, 0.38580847047525973, 2.2500622272491455)]"
adam,1,0.7,"[(0.06666666666666665, 0.4138061851961743, 2.607592821121216)]"
adam,1,0.8,"[(0.033333333333333326, 0.43863342051930615, 2.9623212814331055)]"
adam,1,0.9,"[(0.033333333333333326, 0.4614658638332167, 3.3199820518493652)]"
adam,1,1.0,"[(0.033333333333333326, 0.4830160542211835, 3.6756081581115723)]"
adam,2,0.01,"[(0.0, 0.19781723472022836, 0.10432720184326172)]"
adam,2,0.1,"[(0.0, 0.0242248089520587, 0.44008541107177734)]"
adam,2,0.2,"[(0.0, 0.016051046611644006, 0.7922830581665039)]"
adam,2,0.3,"[(0.0, 0.013073693200247958, 1.1480348110198975)]"
adam,2,0.4,"[(0.0, 0.029338562737494633, 1.5039465427398682)]"
adam,2,0.5,"[(0.033333333333333326, 0.04253025194235425, 1.8579933643341064)]"
adam,2,0.6,"[(0.06666666666666665, 0.3049883172355569, 2.212819814682007)]"
adam,2,0.7,"[(0.06666666666666665, 0.358012995630124, 2.570782423019409)]"
adam,2,0.8,"[(0.06666666666666665, 0.39779850251324, 2.9324891567230225)]"
adam,2,0.9,"[(0.06666666666666665, 0.4334095999459745, 3.287856101989746)]"
adam,2,1.0,"[(0.06666666666666665, 0.46739867819021946, 3.644606828689575)]"
adam,3,0.01,"[(0.033333333333333326, 0.25562979334770874, 0.038132429122924805)]"
adam,3,0.1,"[(0.09999999999999998, 0.4152392492373158, 0.3576657772064209)]"
adam,3,0.2,"[(0.09999999999999998, 0.5848208364729403, 0.7176504135131836)]"
adam,3,0.3,"[(0.09999999999999998, 0.6662966697214802, 1.0715522766113281)]"
adam,3,0.4,"[(0.09999999999999998, 0.7303095985647582, 1.423119306564331)]"
adam,3,0.5,"[(0.09999999999999998, 0.7872637478732895, 1.7736904621124268)]"
adam,3,0.6,"[(0.09999999999999998, 0.8404656442339834, 2.124619483947754)]"
adam,3,0.7,"[(0.09999999999999998, 0.8914046514455148, 2.4772756099700928)]"
adam,3,0.8,"[(0.09999999999999998, 0.9407768680753487, 2.827843189239502)]"
adam,3,0.9,"[(0.09999999999999998, 0.9890880232461482, 3.179964780807495)]"
adam,3,1.0,"[(0.09999999999999998, 1.0366876309404247, 3.5328173637390137)]"
adam,4,0.01,"[(0.06666666666666665, 0.2650253625919503, 0.06305408477783203)]"
adam,4,0.1,"[(0.033333333333333326, 0.2091413632932393, 0.39162516593933105)]"
adam,4,0.2,"[(0.06666666666666665, 0.5020427694566291, 0.7408790588378906)]"
adam,4,0.3,"[(0.06666666666666665, 0.9025468612472611, 1.0881080627441406)]"
adam,4,0.4,"[(0.06666666666666665, 0.9297588296566185, 1.4376051425933838)]"
adam,4,0.5,"[(0.06666666666666665, 0.8928688349484691, 1.7916193008422852)]"
adam,4,0.6,"[(0.06666666666666665, 0.8302736117913678, 2.139784097671509)]"
adam,4,0.7,"[(0.06666666666666665, 0.7514518316531797, 2.4881930351257324)]"
adam,4,0.8,"[(0.06666666666666665, 0.6691917414453513, 2.8355910778045654)]"
adam,4,0.9,"[(0.033333333333333326, 0.6194539211782664, 3.194110155105591)]"
adam,4,1.0,"[(0.033333333333333326, 0.6143052917391153, 3.5526115894317627)]"
adam,5,0.01,"[(0.0, 0.23270454226341952, 0.11800074577331543)]"
adam,5,0.1,"[(0.0, 0.021847950010331033, 0.4391634464263916)]"
adam,5,0.2,"[(0.0, 0.02030868590621054, 0.7951443195343018)]"
adam,5,0.3,"[(0.0, 0.004053510904533671, 1.1501948833465576)]"
adam,5,0.4,"[(0.0, 0.0033218637515228734, 1.5016772747039795)]"
adam,5,0.5,"[(0.0, 0.0027359778443885947, 1.8527605533599854)]"
adam,5,0.6,"[(0.0, 0.0021655321104391612, 2.2038559913635254)]"
adam,5,0.7,"[(0.0, 0.0016899946289556994, 2.5562713146209717)]"
adam,5,0.8,"[(0.0, 0.0013094221839791364, 2.9116451740264893)]"
adam,5,0.9,"[(0.0, 0.0010074464494072807, 3.2657454013824463)]"
adam,5,1.0,"[(0.0, 0.0007687926608025426, 3.6195316314697266)]"
adam,6,0.01,"[(0.033333333333333326, 0.22274567219414598, 0.07783246040344238)]"
adam,6,0.1,"[(0.033333333333333326, 0.03159419000060633, 0.4513285160064697)]"
adam,6,0.2,"[(0.033333333333333326, 0.09037254729913012, 0.8050739765167236)]"
adam,6,0.3,"[(0.09999999999999998, 0.742139415108046, 1.1583950519561768)]"
adam,6,0.4,"[(0.06666666666666665, 0.9308805748110237, 1.5095369815826416)]"
adam,6,0.5,"[(0.06666666666666665, 0.9748513733933987, 1.8641300201416016)]"
adam,6,0.6,"[(0.06666666666666665, 1.004403436058434, 2.2181754112243652)]"
adam,6,0.7,"[(0.06666666666666665, 1.0286535094104743, 2.5702409744262695)]"
adam,6,0.8,"[(0.06666666666666665, 1.0504041720308173, 2.9272966384887695)]"
adam,6,0.9,"[(0.06666666666666665, 1.0708127874206042, 3.2871804237365723)]"
adam,6,1.0,"[(0.06666666666666665, 1.0904255462760164, 3.648573160171509)]"
adam,7,0.01,"[(0.033333333333333326, 0.24089989334260156, 0.12458276748657227)]"
adam,7,0.1,"[(0.0, 0.003328999147233947, 0.4893307685852051)]"
adam,7,0.2,"[(0.0, 0.002127316571566824, 0.8436250686645508)]"
adam,7,0.3,"[(0.0, 0.00023302998698269248, 1.2043445110321045)]"
adam,7,0.4,"[(0.0, 7.900000025437272e-05, 1.5618817806243896)]"
adam,7,0.5,"[(0.0, 3.64789280870184e-05, 1.9173412322998047)]"
adam,7,0.6,"[(0.0, 1.8567326351569738e-05, 2.2723755836486816)]"
adam,7,0.7,"[(0.0, 9.783683151058102e-06, 2.628936767578125)]"
adam,7,0.8,"[(0.0, 5.233042178609384e-06, 2.984755277633667)]"
adam,7,0.9,"[(0.0, 2.8208517440335516e-06, 3.344271659851074)]"
adam,7,1.0,"[(0.0, 1.5291143124344247e-06, 3.704775094985962)]"
adam,8,0.01,"[(0.0, 0.23648316579845746, 0.07515525817871094)]"
adam,8,0.1,"[(0.033333333333333326, 0.23844757476827846, 0.40359950065612793)]"
adam,8,0.2,"[(0.033333333333333326, 0.35782703760057105, 0.761120080947876)]"
adam,8,0.3,"[(0.033333333333333326, 0.39922963001751277, 1.122347354888916)]"
adam,8,0.4,"[(0.033333333333333326, 0.42805080189140815, 1.4764010906219482)]"
adam,8,0.5,"[(0.033333333333333326, 0.4527179392649658, 1.8267185688018799)]"
adam,8,0.6,"[(0.033333333333333326, 0.47569289429235107, 2.1819546222686768)]"
adam,8,0.7,"[(0.033333333333333326, 0.4978693186258474, 2.540907621383667)]"
adam,8,0.8,"[(0.033333333333333326, 0.5195720661138422, 2.8976545333862305)]"
adam,8,0.9,"[(0.033333333333333326, 0.5409859124228793, 3.2574708461761475)]"
adam,8,1.0,"[(0.033333333333333326, 0.5622188280116471, 3.718973398208618)]"
adam,9,0.01,"[(0.0, 0.2436913164921049, 0.10412859916687012)]"
adam,9,0.1,"[(0.0, 0.01226496330552285, 0.490917444229126)]"
adam,9,0.2,"[(0.0, 0.002313049355122986, 0.8524692058563232)]"
adam,9,0.3,"[(0.0, 0.0005660281727512046, 1.2162127494812012)]"
adam,9,0.4,"[(0.0, 0.00022477939401082317, 1.581350564956665)]"
adam,9,0.5,"[(0.0, 0.00010684098540310536, 1.9468872547149658)]"
adam,9,0.6,"[(0.0, 5.593018884116622e-05, 2.3114876747131348)]"
adam,9,0.7,"[(0.0, 3.111205148901324e-05, 2.677372455596924)]"
adam,9,0.8,"[(0.0, 1.816492570087683e-05, 3.0416665077209473)]"
adam,9,0.9,"[(0.0, 1.108821788324861e-05, 3.4094533920288086)]"
adam,9,1.0,"[(0.0, 7.076347285692324e-06, 3.774468421936035)]"
adam,10,0.01,"[(0.06666666666666665, 0.24669757169297576, 0.11373519897460938)]"
adam,10,0.1,"[(0.033333333333333326, 0.05047858345288457, 0.48792552947998047)]"
adam,10,0.2,"[(0.033333333333333326, 0.08071268963677249, 0.8415157794952393)]"
adam,10,0.3,"[(0.033333333333333326, 0.252388438278124, 1.1996386051177979)]"
adam,10,0.4,"[(0.033333333333333326, 0.34411493079545075, 1.5558156967163086)]"
adam,10,0.5,"[(0.033333333333333326, 0.3857480386761875, 1.9155871868133545)]"
adam,10,0.6,"[(0.033333333333333326, 0.4157083156920844, 2.2803375720977783)]"
adam,10,0.7,"[(0.033333333333333326, 0.4408632109791967, 2.6378657817840576)]"
adam,10,0.8,"[(0.033333333333333326, 0.46354739218094865, 2.992215156555176)]"
adam,10,0.9,"[(0.033333333333333326, 0.4848707841390977, 3.3544037342071533)]"
adam,10,1.0,"[(0.033333333333333326, 0.5054225540716764, 3.7345268726348877)]"
adam,11,0.01,"[(0.06666666666666665, 0.24981078915312918, 0.06311511993408203)]"
adam,11,0.1,"[(0.033333333333333326, 0.06274570747316276, 0.3880574703216553)]"
adam,11,0.2,"[(0.06666666666666665, 0.08242915393361093, 0.7396273612976074)]"
adam,11,0.3,"[(0.06666666666666665, 0.2694144543551422, 1.0971426963806152)]"
adam,11,0.4,"[(0.06666666666666665, 0.5239767147207393, 1.449537754058838)]"
adam,11,0.5,"[(0.06666666666666665, 0.6079239811766094, 1.801093339920044)]"
adam,11,0.6,"[(0.06666666666666665, 0.667656457732304, 2.155324935913086)]"
adam,11,0.7,"[(0.06666666666666665, 0.715852978420307, 2.5120701789855957)]"
adam,11,0.8,"[(0.06666666666666665, 0.7561970929861129, 2.8652288913726807)]"
adam,11,0.9,"[(0.06666666666666665, 0.7902886879707992, 3.2210323810577393)]"
adam,11,1.0,"[(0.06666666666666665, 0.8189819297013375, 3.586679697036743)]"
adam,12,0.01,"[(0.0, 0.21049634798292585, 0.1135106086730957)]"
adam,12,0.1,"[(0.033333333333333326, 0.25021656884708415, 0.4361081123352051)]"
adam,12,0.2,"[(0.033333333333333326, 0.368529871721884, 0.7845726013183594)]"
adam,12,0.3,"[(0.06666666666666665, 0.4264636174488589, 1.1367707252502441)]"
adam,12,0.4,"[(0.06666666666666665, 0.47016443313173856, 1.487736701965332)]"
adam,12,0.5,"[(0.06666666666666665, 0.5093233381325678, 1.8359529972076416)]"
adam,12,0.6,"[(0.06666666666666665, 0.5469580592572016, 2.1896190643310547)]"
adam,12,0.7,"[(0.06666666666666665, 0.5842906305042544, 2.5383055210113525)]"
adam,12,0.8,"[(0.06666666666666665, 0.6217592795290711, 2.891258955001831)]"
adam,12,0.9,"[(0.06666666666666665, 0.659560180918799, 3.2447102069854736)]"
adam,12,1.0,"[(0.06666666666666665, 0.697735011234478, 3.595576286315918)]"
adam,13,0.01,"[(0.1333333333333333, 0.3603944294656166, 0.03598928451538086)]"
adam,13,0.1,"[(0.06666666666666665, 0.12818397334563625, 0.35155272483825684)]"
adam,13,0.2,"[(0.06666666666666665, 0.18522181650707933, 0.7007477283477783)]"
adam,13,0.3,"[(0.09999999999999998, 0.4213066105292287, 1.0521442890167236)]"
adam,13,0.4,"[(0.09999999999999998, 0.5378060522061021, 1.4012737274169922)]"
adam,13,0.5,"[(0.1333333333333333, 0.625350933879014, 1.7491884231567383)]"
adam,13,0.6,"[(0.1333333333333333, 0.6942755344843803, 2.099447011947632)]"
adam,13,0.7,"[(0.1333333333333333, 0.7547444837990995, 2.4491043090820312)]"
adam,13,0.8,"[(0.1333333333333333, 0.8115069141489852, 2.7990403175354004)]"
adam,13,0.9,"[(0.1333333333333333, 0.8672403806157631, 3.1488916873931885)]"
adam,13,1.0,"[(0.1333333333333333, 0.9243188577249691, 3.4990830421447754)]"
adam,14,0.01,"[(0.09999999999999998, 0.35610621363833256, 0.07470273971557617)]"
adam,14,0.1,"[(0.06666666666666665, 0.3924439340725709, 0.3879580497741699)]"
adam,14,0.2,"[(0.06666666666666665, 0.44016684123160016, 0.7372498512268066)]"
adam,14,0.3,"[(0.06666666666666665, 0.5683699623198507, 1.0889456272125244)]"
adam,14,0.4,"[(0.06666666666666665, 0.6740973150846009, 1.4400784969329834)]"
adam,14,0.5,"[(0.06666666666666665, 0.7380470005405164, 1.791335105895996)]"
adam,14,0.6,"[(0.06666666666666665, 0.7886745555922642, 2.143008232116699)]"
adam,14,0.7,"[(0.06666666666666665, 0.8334247513260901, 2.4964611530303955)]"
adam,14,0.8,"[(0.06666666666666665, 0.8751558926094735, 2.8471012115478516)]"
