algorithm,run,checkpoint,error
adam,0,0.01,"[(0.4, 0.7997615304475637, 0.009472846984863281)]"
adam,0,0.1,"[(0.06666666666666665, 0.12002916153154881, 0.09010910987854004)]"
adam,0,0.2,"[(0.033333333333333326, 0.07345842748707779, 0.17946887016296387)]"
adam,0,0.3,"[(0.06666666666666665, 0.19164749039702367, 0.2688329219818115)]"
adam,0,0.4,"[(0.09999999999999998, 0.32429688411182295, 0.35928988456726074)]"
adam,0,0.5,"[(0.09999999999999998, 0.33399066567765645, 0.4498140811920166)]"
adam,0,0.6,"[(0.09999999999999998, 0.3121666406486543, 0.5403475761413574)]"
adam,0,0.7,"[(0.09999999999999998, 0.31086874362033573, 0.6315288543701172)]"
adam,0,0.8,"[(0.09999999999999998, 0.30690237767637146, 0.7200424671173096)]"
adam,0,0.9,"[(0.09999999999999998, 0.3018216384343809, 0.8076028823852539)]"
adam,0,1.0,"[(0.09999999999999998, 0.30170998629569445, 0.8985748291015625)]"
adam,1,0.01,"[(0.4666666666666667, 0.8164571809491857, 0.022649526596069336)]"
adam,1,0.1,"[(0.0, 0.06121560694028008, 0.10313868522644043)]"
adam,1,0.2,"[(0.0, 0.04018358309757426, 0.19102835655212402)]"
adam,1,0.3,"[(0.0, 0.04156843311440561, 0.27835822105407715)]"
adam,1,0.4,"[(0.0, 0.04166480922266586, 0.3657350540161133)]"
adam,1,0.5,"[(0.0, 0.040180398394528444, 0.4532194137573242)]"
adam,1,0.6,"[(0.0, 0.03768040035911564, 0.5414512157440186)]"
adam,1,0.7,"[(0.0, 0.035297578009610045, 0.629253625869751)]"
adam,1,0.8,"[(0.0, 0.0306353625221946, 0.7173521518707275)]"
adam,1,0.9,"[(0.0, 0.023804924373153222, 0.804966926574707)]"
adam,1,1.0,"[(0.0, 0.019105995629276524, 0.8938665390014648)]"
adam,2,0.01,"[(0.3666666666666667, 0.7929485947361901, 0.009632587432861328)]"
adam,2,0.1,"[(0.033333333333333326, 0.08846797571558071, 0.08975982666015625)]"
adam,2,0.2,"[(0.033333333333333326, 0.05523496033426543, 0.17901301383972168)]"
adam,2,0.3,"[(0.033333333333333326, 0.054159757196056334, 0.26726865768432617)]"
adam,2,0.4,"[(0.033333333333333326, 0.05566806970571257, 0.35616421699523926)]"
adam,2,0.5,"[(0.033333333333333326, 0.05748376112751135, 0.4448542594909668)]"
adam,2,0.6,"[(0.033333333333333326, 0.05918962025500509, 0.5324201583862305)]"
adam,2,0.7,"[(0.033333333333333326, 0.060049347227724086, 0.6211447715759277)]"
adam,2,0.8,"[(0.033333333333333326, 0.06002330028347478, 0.7097322940826416)]"
adam,2,0.9,"[(0.033333333333333326, 0.07190694517154862, 0.7981493473052979)]"
adam,2,1.0,"[(0.033333333333333326, 0.08136560965577257, 0.8871049880981445)]"
