algorithm,run,checkpoint,error
adam,0,0.01,"[(0.19999999999999996, 0.5193447107976598, 0.02765059471130371)]"
adam,0,0.1,"[(0.0, 0.01797805053195214, 0.263930082321167)]"
adam,0,0.2,"[(0.06666666666666665, 0.23504449777890699, 0.5265915393829346)]"
adam,0,0.3,"[(0.06666666666666665, 0.3400248240732066, 0.7876427173614502)]"
adam,0,0.4,"[(0.06666666666666665, 0.38305326648869303, 1.052344799041748)]"
adam,0,0.5,"[(0.06666666666666665, 0.39228353750940015, 1.3137662410736084)]"
adam,0,0.6,"[(0.06666666666666665, 0.22652864004874745, 1.5772693157196045)]"
adam,0,0.7,"[(0.033333333333333326, 0.13265879944776066, 1.8404524326324463)]"
adam,0,0.8,"[(0.033333333333333326, 0.1267109505792436, 2.102891206741333)]"
adam,0,0.9,"[(0.033333333333333326, 0.12860026846032077, 2.3654818534851074)]"
adam,0,1.0,"[(0.033333333333333326, 0.13401191232371348, 2.6281278133392334)]"
adam,1,0.01,"[(0.23333333333333328, 0.5018752884375324, 0.027335405349731445)]"
adam,1,0.1,"[(0.0, 0.012778067011241567, 0.26458096504211426)]"
adam,1,0.2,"[(0.033333333333333326, 0.05031974719588608, 0.5271742343902588)]"
adam,1,0.3,"[(0.033333333333333326, 0.1304523868991766, 0.7905445098876953)]"
adam,1,0.4,"[(0.033333333333333326, 0.09582485684705114, 1.0560352802276611)]"
adam,1,0.5,"[(0.033333333333333326, 0.06718287161833464, 1.3190217018127441)]"
adam,1,0.6,"[(0.0, 0.015017237143688657, 1.5836470127105713)]"
adam,1,0.7,"[(0.0, 0.007783236214331054, 1.847611665725708)]"
adam,1,0.8,"[(0.0, 0.01671764256731302, 2.111456871032715)]"
adam,1,0.9,"[(0.0, 0.021623390021685018, 2.3746931552886963)]"
adam,1,1.0,"[(0.033333333333333326, 0.028310657560584908, 2.640479326248169)]"
adam,2,0.01,"[(0.1333333333333333, 0.4388244667681044, 0.027155637741088867)]"
adam,2,0.1,"[(0.033333333333333326, 0.15035349614365476, 0.2640347480773926)]"
adam,2,0.2,"[(0.033333333333333326, 0.2328362888292511, 0.5268158912658691)]"
adam,2,0.3,"[(0.033333333333333326, 0.2767465745731967, 0.788902759552002)]"
adam,2,0.4,"[(0.033333333333333326, 0.30623551245978997, 1.0543105602264404)]"
adam,2,0.5,"[(0.033333333333333326, 0.3315173971769661, 1.3148913383483887)]"
adam,2,0.6,"[(0.033333333333333326, 0.3545517681252643, 1.5782337188720703)]"
adam,2,0.7,"[(0.033333333333333326, 0.376526653781508, 1.8426909446716309)]"
adam,2,0.8,"[(0.033333333333333326, 0.3978872847121667, 2.1079273223876953)]"
adam,2,0.9,"[(0.033333333333333326, 0.4190296632355567, 2.3736724853515625)]"
adam,2,1.0,"[(0.033333333333333326, 0.4401456378852678, 2.6394424438476562)]"
