algorithm,dimension,run,checkpoint,error
bfgs,39,0,0.01,"[(0.033333333333333326, 0.014011185135430211, 0.03434276580810547)]"
bfgs,39,0,0.1,"[(0.2666666666666667, 0.13719443656170935, 0.3491055965423584)]"
bfgs,39,0,0.2,"[(0.19999999999999996, 0.13796084102561817, 0.6802871227264404)]"
bfgs,39,0,0.3,"[(0.19999999999999996, 0.13796084257651683, 5.460367744803627e-06)]"
bfgs,39,0,0.4,"[(0.19999999999999996, 0.13796084257651683, 5.460367744803627e-06)]"
bfgs,39,0,0.5,"[(0.19999999999999996, 0.13796084257651683, 5.460367744803627e-06)]"
bfgs,39,0,0.6,"[(0.19999999999999996, 0.13796084257651683, 5.460367744803627e-06)]"
bfgs,39,0,0.7,"[(0.19999999999999996, 0.13796084257651683, 5.460367744803627e-06)]"
bfgs,39,0,0.8,"[(0.19999999999999996, 0.13796084257651683, 5.460367744803627e-06)]"
bfgs,39,0,0.9,"[(0.19999999999999996, 0.13796084257651683, 5.460367744803627e-06)]"
bfgs,39,0,1.0,"[(0.19999999999999996, 0.13796084257651683, 5.460367744803627e-06)]"
bfgs,39,1,0.01,"[(0.16666666666666663, 0.05584948935714989, 0.03417682647705078)]"
bfgs,39,1,0.1,"[(0.09999999999999998, 0.048837800184388075, 0.34122347831726074)]"
bfgs,39,1,0.2,"[(0.06666666666666665, 0.04418628758832052, 0.6718380451202393)]"
bfgs,39,1,0.3,"[(0.06666666666666665, 0.04418672923395459, 1.0103189945220947)]"
bfgs,39,1,0.4,"[(0.06666666666666665, 0.0441862199958708, 0.00035810962476087634)]"
bfgs,39,1,0.5,"[(0.06666666666666665, 0.0441862199958708, 0.00035810962476087634)]"
bfgs,39,1,0.6,"[(0.06666666666666665, 0.0441862199958708, 0.00035810962476087634)]"
bfgs,39,1,0.7,"[(0.06666666666666665, 0.0441862199958708, 0.00035810962476087634)]"
bfgs,39,1,0.8,"[(0.06666666666666665, 0.0441862199958708, 0.00035810962476087634)]"
bfgs,39,1,0.9,"[(0.06666666666666665, 0.0441862199958708, 0.00035810962476087634)]"
bfgs,39,1,1.0,"[(0.06666666666666665, 0.0441862199958708, 0.00035810962476087634)]"
bfgs,39,2,0.01,"[(0.1333333333333333, 0.059544192402876214, 0.03397178649902344)]"
bfgs,39,2,0.1,"[(0.1333333333333333, 0.07076726577695688, 0.3308987617492676)]"
bfgs,39,2,0.2,"[(0.1333333333333333, 0.07078163996371191, 5.351527168576374e-07)]"
bfgs,39,2,0.3,"[(0.1333333333333333, 0.07078163996371191, 5.351527168576374e-07)]"
bfgs,39,2,0.4,"[(0.1333333333333333, 0.07078163996371191, 5.351527168576374e-07)]"
bfgs,39,2,0.5,"[(0.1333333333333333, 0.07078163996371191, 5.351527168576374e-07)]"
bfgs,39,2,0.6,"[(0.1333333333333333, 0.07078163996371191, 5.351527168576374e-07)]"
bfgs,39,2,0.7,"[(0.1333333333333333, 0.07078163996371191, 5.351527168576374e-07)]"
bfgs,39,2,0.8,"[(0.1333333333333333, 0.07078163996371191, 5.351527168576374e-07)]"
bfgs,39,2,0.9,"[(0.1333333333333333, 0.07078163996371191, 5.351527168576374e-07)]"
bfgs,39,2,1.0,"[(0.1333333333333333, 0.07078163996371191, 5.351527168576374e-07)]"
bfgs,39,3,0.01,"[(0.19999999999999996, 0.08753264201742447, 0.03393840789794922)]"
bfgs,39,3,0.1,"[(0.09999999999999998, 0.05974052462812079, 0.33005380630493164)]"
bfgs,39,3,0.2,"[(0.09999999999999998, 0.044171484651881004, 0.6607801914215088)]"
bfgs,39,3,0.3,"[(0.033333333333333326, 0.016693570109582383, 0.9909002780914307)]"
bfgs,39,3,0.4,"[(0.033333333333333326, 0.011007477018181281, 1.3214259147644043)]"
bfgs,39,3,0.5,"[(0.033333333333333326, 0.011007481434778163, 2.2382736829543705e-06)]"
bfgs,39,3,0.6,"[(0.033333333333333326, 0.011007481434778163, 2.2382736829543705e-06)]"
bfgs,39,3,0.7,"[(0.033333333333333326, 0.011007481434778163, 2.2382736829543705e-06)]"
bfgs,39,3,0.8,"[(0.033333333333333326, 0.011007481434778163, 2.2382736829543705e-06)]"
bfgs,39,3,0.9,"[(0.033333333333333326, 0.011007481434778163, 2.2382736829543705e-06)]"
bfgs,39,3,1.0,"[(0.033333333333333326, 0.011007481434778163, 2.2382736829543705e-06)]"
bfgs,39,4,0.01,"[(0.16666666666666663, 0.09044220630475976, 0.03354191780090332)]"
bfgs,39,4,0.1,"[(0.033333333333333326, 0.011438725843106621, 0.32909703254699707)]"
bfgs,39,4,0.2,"[(0.0, 0.0020364716639215594, 0.6567518711090088)]"
bfgs,39,4,0.3,"[(0.0, 0.0006209740509403642, 0.9831640720367432)]"
bfgs,39,4,0.4,"[(0.0, 0.006724839215156939, 1.3133478164672852)]"
bfgs,39,4,0.5,"[(0.0, 0.006760086415988174, 0.00013706215403102762)]"
bfgs,39,4,0.6,"[(0.0, 0.006760086415988174, 0.00013706215403102762)]"
