algorithm,dimension,run,checkpoint,error
bfgs,39,0,0.01,"[(0.6333333333333333, 1.1140028634078267, 1.045329752646305)]"
bfgs,39,0,0.1,"[(0.6333333333333333, 1.1140028634078267, 1.045329752646305)]"
bfgs,39,0,0.2,"[(0.6333333333333333, 1.1140028634078267, 1.045329752646305)]"
bfgs,39,0,0.3,"[(0.6333333333333333, 1.1140028634078267, 1.045329752646305)]"
bfgs,39,0,0.4,"[(0.6333333333333333, 1.1140028634078267, 1.045329752646305)]"
bfgs,39,0,0.5,"[(0.6333333333333333, 1.1140028634078267, 1.045329752646305)]"
bfgs,39,0,0.6,"[(0.6333333333333333, 1.1140028634078267, 1.045329752646305)]"
bfgs,39,0,0.7,"[(0.6333333333333333, 1.1140028634078267, 1.045329752646305)]"
bfgs,39,0,0.8,"[(0.6333333333333333, 1.1140028634078267, 1.045329752646305)]"
bfgs,39,0,0.9,"[(0.6333333333333333, 1.1140028634078267, 1.045329752646305)]"
bfgs,39,0,1.0,"[(0.6333333333333333, 1.1140028634078267, 1.045329752646305)]"
bfgs,39,1,0.01,"[(0.6333333333333333, 1.115792947236759, 0.9999809310552628)]"
bfgs,39,1,0.1,"[(0.6333333333333333, 1.115792947236759, 0.9999809310552628)]"
bfgs,39,1,0.2,"[(0.6333333333333333, 1.115792947236759, 0.9999809310552628)]"
bfgs,39,1,0.3,"[(0.6333333333333333, 1.115792947236759, 0.9999809310552628)]"
bfgs,39,1,0.4,"[(0.6333333333333333, 1.115792947236759, 0.9999809310552628)]"
bfgs,39,1,0.5,"[(0.6333333333333333, 1.115792947236759, 0.9999809310552628)]"
bfgs,39,1,0.6,"[(0.6333333333333333, 1.115792947236759, 0.9999809310552628)]"
bfgs,39,1,0.7,"[(0.6333333333333333, 1.115792947236759, 0.9999809310552628)]"
bfgs,39,1,0.8,"[(0.6333333333333333, 1.115792947236759, 0.9999809310552628)]"
bfgs,39,1,0.9,"[(0.6333333333333333, 1.115792947236759, 0.9999809310552628)]"
bfgs,39,1,1.0,"[(0.6333333333333333, 1.115792947236759, 0.9999809310552628)]"
bfgs,39,2,0.01,"[(0.3666666666666667, 1.3907121817640307, 0.9308819310522556)]"
