algorithm,dimension,run,checkpoint,error
bfgs,39,0,0.01,"[(0.7333333333333334, 0.45888924957814176)]"
bfgs,39,0,0.1,"[(0.7333333333333334, 0.45888924957814176)]"
bfgs,39,0,0.2,"[(0.7333333333333334, 0.45888924957814176)]"
bfgs,39,0,0.3,"[(0.7333333333333334, 0.45888924957814176)]"
bfgs,39,0,0.4,"[(0.7333333333333334, 0.45888924957814176)]"
bfgs,39,0,0.5,"[(0.7333333333333334, 0.45888924957814176)]"
bfgs,39,0,0.6,"[(0.7333333333333334, 0.45888924957814176)]"
bfgs,39,0,0.7,"[(0.7333333333333334, 0.45888924957814176)]"
bfgs,39,0,0.8,"[(0.7333333333333334, 0.45888924957814176)]"
bfgs,39,0,0.9,"[(0.7333333333333334, 0.45888924957814176)]"
bfgs,39,0,1.0,"[(0.7333333333333334, 0.45888924957814176)]"
bfgs,39,1,0.01,"[(0.6, 0.3756184535568063)]"
bfgs,39,1,0.1,"[(0.6, 0.3756184535568063)]"
bfgs,39,1,0.2,"[(0.6, 0.3756184535568063)]"
bfgs,39,1,0.3,"[(0.6, 0.3756184535568063)]"
bfgs,39,1,0.4,"[(0.6, 0.3756184535568063)]"
bfgs,39,1,0.5,"[(0.6, 0.3756184535568063)]"
bfgs,39,1,0.6,"[(0.6, 0.3756184535568063)]"
bfgs,39,1,0.7,"[(0.6, 0.3756184535568063)]"
bfgs,39,1,0.8,"[(0.6, 0.3756184535568063)]"
bfgs,39,1,0.9,"[(0.6, 0.3756184535568063)]"
bfgs,39,1,1.0,"[(0.6, 0.3756184535568063)]"
bfgs,39,2,0.01,"[(0.5666666666666667, 0.354952110439998)]"
bfgs,39,2,0.1,"[(0.5666666666666667, 0.354952110439998)]"
bfgs,39,2,0.2,"[(0.5666666666666667, 0.354952110439998)]"
bfgs,39,2,0.3,"[(0.5666666666666667, 0.354952110439998)]"
bfgs,39,2,0.4,"[(0.5666666666666667, 0.354952110439998)]"
bfgs,39,2,0.5,"[(0.5666666666666667, 0.354952110439998)]"
bfgs,39,2,0.6,"[(0.5666666666666667, 0.354952110439998)]"
bfgs,39,2,0.7,"[(0.5666666666666667, 0.354952110439998)]"
bfgs,39,2,0.8,"[(0.5666666666666667, 0.354952110439998)]"
bfgs,39,2,0.9,"[(0.5666666666666667, 0.354952110439998)]"
bfgs,39,2,1.0,"[(0.5666666666666667, 0.354952110439998)]"
bfgs,39,3,0.01,"[(0.6666666666666667, 0.417253851567474)]"
bfgs,39,3,0.1,"[(0.6666666666666667, 0.417253851567474)]"
bfgs,39,3,0.2,"[(0.6666666666666667, 0.417253851567474)]"
bfgs,39,3,0.3,"[(0.6666666666666667, 0.417253851567474)]"
bfgs,39,3,0.4,"[(0.6666666666666667, 0.417253851567474)]"
bfgs,39,3,0.5,"[(0.6666666666666667, 0.417253851567474)]"
bfgs,39,3,0.6,"[(0.6666666666666667, 0.417253851567474)]"
bfgs,39,3,0.7,"[(0.6666666666666667, 0.417253851567474)]"
bfgs,39,3,0.8,"[(0.6666666666666667, 0.417253851567474)]"
bfgs,39,3,0.9,"[(0.6666666666666667, 0.417253851567474)]"
bfgs,39,3,1.0,"[(0.6666666666666667, 0.417253851567474)]"
bfgs,39,4,0.01,"[(0.6, 0.3756184535568063)]"
bfgs,39,4,0.1,"[(0.6, 0.3756184535568063)]"
bfgs,39,4,0.2,"[(0.6, 0.3756184535568063)]"
bfgs,39,4,0.3,"[(0.6, 0.3756184535568063)]"
bfgs,39,4,0.4,"[(0.6, 0.3756184535568063)]"
bfgs,39,4,0.5,"[(0.6, 0.3756184535568063)]"
bfgs,39,4,0.6,"[(0.6, 0.3756184535568063)]"
bfgs,39,4,0.7,"[(0.6, 0.3756184535568063)]"
bfgs,39,4,0.8,"[(0.6, 0.3756184535568063)]"
bfgs,39,4,0.9,"[(0.6, 0.3756184535568063)]"
bfgs,39,4,1.0,"[(0.6, 0.3756184535568063)]"
bfgs,39,5,0.01,"[(0.6333333333333333, 0.3960281920431088)]"
bfgs,39,5,0.1,"[(0.6333333333333333, 0.3960281920431088)]"
bfgs,39,5,0.2,"[(0.6333333333333333, 0.3960281920431088)]"
bfgs,39,5,0.3,"[(0.6333333333333333, 0.3960281920431088)]"
bfgs,39,5,0.4,"[(0.6333333333333333, 0.3960281920431088)]"
bfgs,39,5,0.5,"[(0.6333333333333333, 0.3960281920431088)]"
bfgs,39,5,0.6,"[(0.6333333333333333, 0.3960281920431088)]"
bfgs,39,5,0.7,"[(0.6333333333333333, 0.3960281920431088)]"
