algorithm,dimension,run,checkpoint,error
bfgs,39,0,0.01,"[(0.033333333333333326, 0.039704091521847215)]"
bfgs,39,0,0.1,"[(0.06666666666666665, 0.02180321881948451)]"
bfgs,39,0,0.2,"[(0.06666666666666665, 0.02180321881948451)]"
bfgs,39,0,0.3,"[(0.06666666666666665, 0.02180321881948451)]"
bfgs,39,0,0.4,"[(0.06666666666666665, 0.02180321881948451)]"
bfgs,39,0,0.5,"[(0.06666666666666665, 0.02180321881948451)]"
bfgs,39,0,0.6,"[(0.06666666666666665, 0.02180321881948451)]"
bfgs,39,0,0.7,"[(0.06666666666666665, 0.02180321881948451)]"
bfgs,39,0,0.8,"[(0.06666666666666665, 0.02180321881948451)]"
bfgs,39,0,0.9,"[(0.06666666666666665, 0.02180321881948451)]"
bfgs,39,0,1.0,"[(0.06666666666666665, 0.02180321881948451)]"
bfgs,39,1,0.01,"[(0.033333333333333326, 0.020212214788713444)]"
bfgs,39,1,0.1,"[(0.033333333333333326, 0.02005351431372026)]"
bfgs,39,1,0.2,"[(0.033333333333333326, 0.02005351431372026)]"
bfgs,39,1,0.3,"[(0.033333333333333326, 0.02005351431372026)]"
bfgs,39,1,0.4,"[(0.033333333333333326, 0.02005351431372026)]"
bfgs,39,1,0.5,"[(0.033333333333333326, 0.02005351431372026)]"
bfgs,39,1,0.6,"[(0.033333333333333326, 0.02005351431372026)]"
bfgs,39,1,0.7,"[(0.033333333333333326, 0.02005351431372026)]"
bfgs,39,1,0.8,"[(0.033333333333333326, 0.02005351431372026)]"
bfgs,39,1,0.9,"[(0.033333333333333326, 0.02005351431372026)]"
bfgs,39,1,1.0,"[(0.033333333333333326, 0.02005351431372026)]"
bfgs,39,2,0.01,"[(0.06666666666666665, 0.02511964974219681)]"
bfgs,39,2,0.1,"[(0.033333333333333326, 0.0236574508873182)]"
bfgs,39,2,0.2,"[(0.033333333333333326, 0.0236574508873182)]"
bfgs,39,2,0.3,"[(0.033333333333333326, 0.0236574508873182)]"
bfgs,39,2,0.4,"[(0.033333333333333326, 0.0236574508873182)]"
bfgs,39,2,0.5,"[(0.033333333333333326, 0.0236574508873182)]"
bfgs,39,2,0.6,"[(0.033333333333333326, 0.0236574508873182)]"
bfgs,39,2,0.7,"[(0.033333333333333326, 0.0236574508873182)]"
bfgs,39,2,0.8,"[(0.033333333333333326, 0.0236574508873182)]"
bfgs,39,2,0.9,"[(0.033333333333333326, 0.0236574508873182)]"
bfgs,39,2,1.0,"[(0.033333333333333326, 0.0236574508873182)]"
bfgs,39,3,0.01,"[(0.033333333333333326, 0.023973202814771312)]"
bfgs,39,3,0.1,"[(0.033333333333333326, 0.02098938760221244)]"
bfgs,39,3,0.2,"[(0.033333333333333326, 0.02098938760221244)]"
bfgs,39,3,0.3,"[(0.033333333333333326, 0.02098938760221244)]"
bfgs,39,3,0.4,"[(0.033333333333333326, 0.02098938760221244)]"
bfgs,39,3,0.5,"[(0.033333333333333326, 0.02098938760221244)]"
bfgs,39,3,0.6,"[(0.033333333333333326, 0.02098938760221244)]"
bfgs,39,3,0.7,"[(0.033333333333333326, 0.02098938760221244)]"
bfgs,39,3,0.8,"[(0.033333333333333326, 0.02098938760221244)]"
bfgs,39,3,0.9,"[(0.033333333333333326, 0.02098938760221244)]"
bfgs,39,3,1.0,"[(0.033333333333333326, 0.02098938760221244)]"
bfgs,39,4,0.01,"[(0.4666666666666667, 0.1321982955590138)]"
bfgs,39,4,0.1,"[(0.4666666666666667, 0.13219734505463795)]"
bfgs,39,4,0.2,"[(0.4666666666666667, 0.13219734505463795)]"
bfgs,39,4,0.3,"[(0.4666666666666667, 0.13219734505463795)]"
bfgs,39,4,0.4,"[(0.4666666666666667, 0.13219734505463795)]"
bfgs,39,4,0.5,"[(0.4666666666666667, 0.13219734505463795)]"
bfgs,39,4,0.6,"[(0.4666666666666667, 0.13219734505463795)]"
bfgs,39,4,0.7,"[(0.4666666666666667, 0.13219734505463795)]"
bfgs,39,4,0.8,"[(0.4666666666666667, 0.13219734505463795)]"
bfgs,39,4,0.9,"[(0.4666666666666667, 0.13219734505463795)]"
bfgs,39,4,1.0,"[(0.4666666666666667, 0.13219734505463795)]"
bfgs,39,5,0.01,"[(0.1333333333333333, 0.05954405077938278)]"
bfgs,39,5,0.1,"[(0.1333333333333333, 0.05954405077938278)]"
bfgs,39,5,0.2,"[(0.1333333333333333, 0.05954405077938278)]"
bfgs,39,5,0.3,"[(0.1333333333333333, 0.05954405077938278)]"
bfgs,39,5,0.4,"[(0.1333333333333333, 0.05954405077938278)]"
bfgs,39,5,0.5,"[(0.1333333333333333, 0.05954405077938278)]"
bfgs,39,5,0.6,"[(0.1333333333333333, 0.05954405077938278)]"
bfgs,39,5,0.7,"[(0.1333333333333333, 0.05954405077938278)]"
bfgs,39,5,0.8,"[(0.1333333333333333, 0.05954405077938278)]"
bfgs,39,5,0.9,"[(0.1333333333333333, 0.05954405077938278)]"
bfgs,39,5,1.0,"[(0.1333333333333333, 0.05954405077938278)]"
bfgs,39,6,0.01,"[(0.0, 0.031911207806489914)]"
bfgs,39,6,0.1,"[(0.0, 0.005840610304349274)]"
bfgs,39,6,0.2,"[(0.0, 0.005840610304349274)]"
bfgs,39,6,0.3,"[(0.0, 0.005840610304349274)]"
bfgs,39,6,0.4,"[(0.0, 0.005840610304349274)]"
bfgs,39,6,0.5,"[(0.0, 0.005840610304349274)]"
bfgs,39,6,0.6,"[(0.0, 0.005840610304349274)]"
bfgs,39,6,0.7,"[(0.0, 0.005840610304349274)]"
bfgs,39,6,0.8,"[(0.0, 0.005840610304349274)]"
bfgs,39,6,0.9,"[(0.0, 0.005840610304349274)]"
bfgs,39,6,1.0,"[(0.0, 0.005840610304349274)]"
bfgs,39,7,0.01,"[(0.06666666666666665, 0.03212699769860088)]"
bfgs,39,7,0.1,"[(0.06666666666666665, 0.02564581716737555)]"
bfgs,39,7,0.2,"[(0.06666666666666665, 0.02564581716737555)]"
bfgs,39,7,0.3,"[(0.06666666666666665, 0.02564581716737555)]"
bfgs,39,7,0.4,"[(0.06666666666666665, 0.02564581716737555)]"
bfgs,39,7,0.5,"[(0.06666666666666665, 0.02564581716737555)]"
bfgs,39,7,0.6,"[(0.06666666666666665, 0.02564581716737555)]"
bfgs,39,7,0.7,"[(0.06666666666666665, 0.02564581716737555)]"
bfgs,39,7,0.8,"[(0.06666666666666665, 0.02564581716737555)]"
bfgs,39,7,0.9,"[(0.06666666666666665, 0.02564581716737555)]"
bfgs,39,7,1.0,"[(0.06666666666666665, 0.02564581716737555)]"
bfgs,39,8,0.01,"[(0.3666666666666667, 0.09813524197837477)]"
bfgs,39,8,0.1,"[(0.3666666666666667, 0.09813125975019561)]"
bfgs,39,8,0.2,"[(0.3666666666666667, 0.09813125975019561)]"
bfgs,39,8,0.3,"[(0.3666666666666667, 0.09813125975019561)]"
bfgs,39,8,0.4,"[(0.3666666666666667, 0.09813125975019561)]"
bfgs,39,8,0.5,"[(0.3666666666666667, 0.09813125975019561)]"
bfgs,39,8,0.6,"[(0.3666666666666667, 0.09813125975019561)]"
bfgs,39,8,0.7,"[(0.3666666666666667, 0.09813125975019561)]"
bfgs,39,8,0.8,"[(0.3666666666666667, 0.09813125975019561)]"
bfgs,39,8,0.9,"[(0.3666666666666667, 0.09813125975019561)]"
bfgs,39,8,1.0,"[(0.3666666666666667, 0.09813125975019561)]"
