algorithm,dimension,run,checkpoint,error
bfgs,39,0,0.01,"[(0.6666666666666667, array([[0.24473184, 0.23702174, 0.22116395]]), 0.19594287872314453)]"
bfgs,39,0,0.1,"[(0.33333333333333337, array([[0.14893803, 0.32436016, 0.1361176 ]]), 2.1249401569366455)]"
bfgs,39,0,0.2,"[(0.19999999999999996, array([[0.01763565, 0.17599988, 0.15410093]]), 4.539000749588013)]"
bfgs,39,0,0.3,"[(0.06666666666666665, array([[0.00871122, 0.0679524 , 0.05208883]]), 7.002066612243652)]"
bfgs,39,0,0.4,"[(0.09999999999999998, array([[0.00084339, 0.08668427, 0.08636535]]), 8.935134410858154)]"
bfgs,39,0,0.5,"[(0.06666666666666665, array([[0.00039222, 0.06370225, 0.06332082]]), 10.869667291641235)]"
bfgs,39,0,0.6,"[(0.06666666666666665, array([[0.00028955, 0.06572457, 0.06572419]]), 12.800704002380371)]"
bfgs,39,0,0.7,"[(0.09999999999999998, array([[0.00037033, 0.0886579 , 0.08895859]]), 14.730921268463135)]"
bfgs,39,0,0.8,"[(0.1333333333333333, array([[0.00054007, 0.09853503, 0.09943657]]), 16.657291173934937)]"
bfgs,39,0,0.9,"[(0.1333333333333333, array([[0.00074694, 0.10241282, 0.1046345 ]]), 18.795265674591064)]"
bfgs,39,0,1.0,"[(0.1333333333333333, array([[0.00076365, 0.10252153, 0.10482417]]), 20.497540712356567)]"
bfgs,39,1,0.01,"[(0.6, array([[0.25180554, 0.37643686, 0.23770551]]), 0.19626092910766602)]"
bfgs,39,1,0.1,"[(0.6, array([[0.20127493, 0.24350692, 0.22241493]]), 2.1172144412994385)]"
bfgs,39,1,0.2,"[(0.5, array([[0.19213624, 0.24433947, 0.21249007]]), 4.059419631958008)]"
bfgs,39,1,0.3,"[(0.30000000000000004, array([[0.09139433, 0.22390426, 0.11046705]]), 5.9859912395477295)]"
bfgs,39,1,0.4,"[(0.06666666666666665, array([[0.0393185 , 0.15894607, 0.10671206]]), 7.908991575241089)]"
bfgs,39,1,0.5,"[(0.06666666666666665, array([[0.06521572, 0.16005908, 0.0539546 ]]), 9.834352254867554)]"
bfgs,39,1,0.6,"[(0.033333333333333326, array([[0.04436149, 0.14268584, 0.06389373]]), 11.763400554656982)]"
bfgs,39,1,0.7,"[(0.033333333333333326, array([[0.03827608, 0.13890298, 0.06503573]]), 13.68754506111145)]"
bfgs,39,1,0.8,"[(0.033333333333333326, array([[0.04077648, 0.13818836, 0.06142868]]), 15.614617586135864)]"
bfgs,39,1,0.9,"[(0.033333333333333326, array([[0.04348755, 0.13876054, 0.05955231]]), 17.725635290145874)]"
bfgs,39,1,1.0,"[(0.033333333333333326, array([[0.04125106, 0.13801966, 0.06078086]]), 19.458661317825317)]"
bfgs,39,2,0.01,"[(0.5666666666666667, array([[0.25555764, 0.21454682, 0.29179785]]), 0.19604015350341797)]"
bfgs,39,2,0.1,"[(0.5666666666666667, array([[0.24866874, 0.19914544, 0.21066068]]), 2.1202261447906494)]"
