algorithm,dimension,run,checkpoint,error
bfgs,39,0,0.01,"[(0.19999999999999996, 0.10560435446671909, 9.325957298278809)]"
bfgs,39,0,0.1,"[(0.06666666666666665, 0.09138715749042345, 31.693271160125732)]"
bfgs,39,0,0.2,"[(0.06666666666666665, 0.09138715749042345, 31.69327449798584)]"
bfgs,39,0,0.3,"[(0.06666666666666665, 0.09138715749042345, 31.69327688217163)]"
bfgs,39,0,0.4,"[(0.06666666666666665, 0.09138715749042345, 31.693279027938843)]"
bfgs,39,0,0.5,"[(0.06666666666666665, 0.09138715749042345, 31.693281173706055)]"
bfgs,39,0,0.6,"[(0.06666666666666665, 0.09138715749042345, 31.69328284263611)]"
bfgs,39,0,0.7,"[(0.06666666666666665, 0.09138715749042345, 31.693284034729004)]"
bfgs,39,0,0.8,"[(0.06666666666666665, 0.09138715749042345, 31.693286180496216)]"
bfgs,39,0,0.9,"[(0.06666666666666665, 0.09138715749042345, 31.69328761100769)]"
bfgs,39,0,1.0,"[(0.06666666666666665, 0.09138715749042345, 31.693289756774902)]"
bfgs,39,1,0.01,"[(0.4, 0.14996120649929387, 9.384144067764282)]"
bfgs,39,1,0.1,"[(0.0, 0.09557133886528568, 29.360435247421265)]"
bfgs,39,1,0.2,"[(0.0, 0.09557133886528568, 29.36043930053711)]"
bfgs,39,1,0.3,"[(0.0, 0.09557133886528568, 29.360442638397217)]"
bfgs,39,1,0.4,"[(0.0, 0.09557133886528568, 29.36044406890869)]"
bfgs,39,1,0.5,"[(0.0, 0.09557133886528568, 29.360445976257324)]"
bfgs,39,1,0.6,"[(0.0, 0.09557133886528568, 29.3604474067688)]"
bfgs,39,1,0.7,"[(0.0, 0.09557133886528568, 29.360449075698853)]"
bfgs,39,1,0.8,"[(0.0, 0.09557133886528568, 29.360450506210327)]"
bfgs,39,1,0.9,"[(0.0, 0.09557133886528568, 29.36045241355896)]"
bfgs,39,1,1.0,"[(0.0, 0.09557133886528568, 29.360454082489014)]"
bfgs,39,2,0.01,"[(0.33333333333333337, 0.12906836613004039, 9.326358556747437)]"
bfgs,39,2,0.1,"[(0.06666666666666665, 0.09451881567682092, 35.54011631011963)]"
bfgs,39,2,0.2,"[(0.06666666666666665, 0.09451881567682092, 35.540119886398315)]"
bfgs,39,2,0.3,"[(0.06666666666666665, 0.09451881567682092, 35.540125131607056)]"
bfgs,39,2,0.4,"[(0.06666666666666665, 0.09451881567682092, 35.54012703895569)]"
bfgs,39,2,0.5,"[(0.06666666666666665, 0.09451881567682092, 35.54012870788574)]"
bfgs,39,2,0.6,"[(0.06666666666666665, 0.09451881567682092, 35.540130376815796)]"
bfgs,39,2,0.7,"[(0.06666666666666665, 0.09451881567682092, 35.54013156890869)]"
bfgs,39,2,0.8,"[(0.06666666666666665, 0.09451881567682092, 35.540133237838745)]"
bfgs,39,2,0.9,"[(0.06666666666666665, 0.09451881567682092, 35.54013466835022)]"
bfgs,39,2,1.0,"[(0.06666666666666665, 0.09451881567682092, 35.54013657569885)]"
bfgs,39,3,0.01,"[(0.23333333333333328, 0.12412108506896563, 9.30045223236084)]"
bfgs,39,3,0.1,"[(0.06666666666666665, 0.10214028571119955, 43.69260931015015)]"
bfgs,39,3,0.2,"[(0.06666666666666665, 0.10214028571119955, 43.692612409591675)]"
bfgs,39,3,0.3,"[(0.06666666666666665, 0.10214028571119955, 43.69261431694031)]"
bfgs,39,3,0.4,"[(0.06666666666666665, 0.10214028571119955, 43.69261598587036)]"
bfgs,39,3,0.5,"[(0.06666666666666665, 0.10214028571119955, 43.692617654800415)]"
bfgs,39,3,0.6,"[(0.06666666666666665, 0.10214028571119955, 43.69261932373047)]"
bfgs,39,3,0.7,"[(0.06666666666666665, 0.10214028571119955, 43.692620515823364)]"
bfgs,39,3,0.8,"[(0.06666666666666665, 0.10214028571119955, 43.69262218475342)]"
bfgs,39,3,0.9,"[(0.06666666666666665, 0.10214028571119955, 43.69262361526489)]"
bfgs,39,3,1.0,"[(0.06666666666666665, 0.10214028571119955, 43.692625284194946)]"
bfgs,39,4,0.01,"[(0.19999999999999996, 0.12315511198468922, 9.271252870559692)]"
bfgs,39,4,0.1,"[(0.033333333333333326, 0.09999081949240615, 53.288888454437256)]"
bfgs,39,4,0.2,"[(0.033333333333333326, 0.09999081949240615, 53.28889346122742)]"
bfgs,39,4,0.3,"[(0.033333333333333326, 0.09999081949240615, 53.288898944854736)]"
bfgs,39,4,0.4,"[(0.033333333333333326, 0.09999081949240615, 53.28890037536621)]"
bfgs,39,4,0.5,"[(0.033333333333333326, 0.09999081949240615, 53.288904428482056)]"
bfgs,39,4,0.6,"[(0.033333333333333326, 0.09999081949240615, 53.28890609741211)]"
bfgs,39,4,0.7,"[(0.033333333333333326, 0.09999081949240615, 53.288907289505005)]"
bfgs,39,4,0.8,"[(0.033333333333333326, 0.09999081949240615, 53.28890919685364)]"
bfgs,39,4,0.9,"[(0.033333333333333326, 0.09999081949240615, 53.28891038894653)]"
bfgs,39,4,1.0,"[(0.033333333333333326, 0.09999081949240615, 53.28891634941101)]"
bfgs,39,5,0.01,"[(0.16666666666666663, 0.13072502305609096, 9.258238554000854)]"
bfgs,39,5,0.1,"[(0.09999999999999998, 0.09808559211254268, 31.009313344955444)]"
bfgs,39,5,0.2,"[(0.09999999999999998, 0.09808559211254268, 31.00931715965271)]"
bfgs,39,5,0.3,"[(0.09999999999999998, 0.09808559211254268, 31.0093195438385)]"
