algorithm,dimension,run,checkpoint,error
bfgs,39,0,0.01,"[(0.09999999999999998, 0.0422564707682715, 0.0760354995727539)]"
bfgs,39,0,0.1,"[(0.06666666666666665, 0.04310543351062419, 0.39577436447143555)]"
bfgs,39,0,0.2,"[(0.033333333333333326, 0.021691064298164635, 0.7671911716461182)]"
bfgs,39,0,0.3,"[(0.033333333333333326, 0.021691064298164635, 1.1203052997589111)]"
bfgs,39,0,0.4,"[(0.06666666666666665, 0.027503123995621825, 1.4853911399841309)]"
bfgs,39,0,0.5,"[(0.06666666666666665, 0.027503123995621825, 1.831815481185913)]"
bfgs,39,0,0.6,"[(0.06666666666666665, 0.027503123995621825, 2.183243989944458)]"
bfgs,39,0,0.7,"[(0.06666666666666665, 0.027503123995621825, 2.5293686389923096)]"
bfgs,39,0,0.8,"[(0.06666666666666665, 0.027503123995621825, 2.9085693359375)]"
bfgs,39,0,0.9,"[(0.06666666666666665, 0.04405337527053198, 3.2657523155212402)]"
bfgs,39,0,1.0,"[(0.06666666666666665, 0.04405337527053198, 3.627197742462158)]"
bfgs,39,1,0.01,"[(0.033333333333333326, 0.01079411547095522, 0.0622251033782959)]"
bfgs,39,1,0.1,"[(0.06666666666666665, 0.03757002090026214, 0.3994476795196533)]"
bfgs,39,1,0.2,"[(0.033333333333333326, 0.024487882771853875, 0.7422478199005127)]"
bfgs,39,1,0.3,"[(0.033333333333333326, 0.02185130059741982, 1.0925006866455078)]"
bfgs,39,1,0.4,"[(0.0, 0.004779040982969513, 1.438375473022461)]"
bfgs,39,1,0.5,"[(0.033333333333333326, 0.02148898162806811, 1.7796356678009033)]"
bfgs,39,1,0.6,"[(0.0, 0.000276571010576002, 2.121342182159424)]"
bfgs,39,1,0.7,"[(0.0, 0.000276571010576002, 2.4632749557495117)]"
bfgs,39,1,0.8,"[(0.09999999999999998, 0.04780462636170624, 2.815962314605713)]"
bfgs,39,1,0.9,"[(0.033333333333333326, 0.021945551554563063, 3.1579017639160156)]"
bfgs,39,1,1.0,"[(0.033333333333333326, 0.02290282003877858, 3.499359130859375)]"
bfgs,39,2,0.01,"[(0.033333333333333326, 0.021249379711394224, 0.045074462890625)]"
bfgs,39,2,0.1,"[(0.033333333333333326, 0.02237671742652079, 0.35348987579345703)]"
bfgs,39,2,0.2,"[(0.0, 0.0002089261701246891, 0.6958189010620117)]"
bfgs,39,2,0.3,"[(0.0, 0.00032874407089433235, 1.0438668727874756)]"
bfgs,39,2,0.4,"[(0.0, 0.00032874407089433235, 1.3845744132995605)]"
bfgs,39,2,0.5,"[(0.0, 0.00032874407089433235, 1.7243051528930664)]"
bfgs,39,2,0.6,"[(0.0, 0.00032874407089433235, 2.0650064945220947)]"
bfgs,39,2,0.7,"[(0.0, 0.00019047138434587812, 2.4057323932647705)]"
bfgs,39,2,0.8,"[(0.033333333333333326, 0.007618340715231444, 2.7904043197631836)]"
bfgs,39,2,0.9,"[(0.033333333333333326, 0.007618340715231444, 3.17154598236084)]"
bfgs,39,2,1.0,"[(0.033333333333333326, 0.007618340715231444, 3.732860565185547)]"
bfgs,39,3,0.01,"[(0.06666666666666665, 0.025386156354952394, 0.04930377006530762)]"
bfgs,39,3,0.1,"[(0.06666666666666665, 0.0361541520037435, 0.3562755584716797)]"
bfgs,39,3,0.2,"[(0.0, 0.0007574318667997246, 0.6970596313476562)]"
bfgs,39,3,0.3,"[(0.0, 0.0007574318667997246, 1.0411245822906494)]"
bfgs,39,3,0.4,"[(0.0, 0.0007574318667997246, 1.394468069076538)]"
bfgs,39,3,0.5,"[(0.0, 0.0007574318667997246, 1.7335283756256104)]"
bfgs,39,3,0.6,"[(0.0, 0.0007574318667997246, 2.0728750228881836)]"
bfgs,39,3,0.7,"[(0.0, 0.0007574318667997246, 2.4109158515930176)]"
bfgs,39,3,0.8,"[(0.0, 0.0005033972993005789, 2.7860190868377686)]"
bfgs,39,3,0.9,"[(0.0, 0.0005033972993005789, 3.224851131439209)]"
bfgs,39,3,1.0,"[(0.0, 0.0005033972993005789, 3.5639243125915527)]"
bfgs,39,4,0.01,"[(0.33333333333333337, 0.18412381990700663, 0.04319262504577637)]"
bfgs,39,4,0.1,"[(0.0, 0.004983876902247146, 0.39801812171936035)]"
bfgs,39,4,0.2,"[(0.0, 0.004983876902247146, 0.7898294925689697)]"
bfgs,39,4,0.3,"[(0.0, 0.004983876902247146, 1.18609619140625)]"
bfgs,39,4,0.4,"[(0.19999999999999996, 0.11036989109670978, 1.643078088760376)]"
bfgs,39,4,0.5,"[(0.19999999999999996, 0.11036989109670978, 2.313157081604004)]"
bfgs,39,4,0.6,"[(0.19999999999999996, 0.11036989109670978, 2.7422266006469727)]"
bfgs,39,4,0.7,"[(0.19999999999999996, 0.11036989109670978, 3.196636438369751)]"
bfgs,39,4,0.8,"[(0.0, 0.00421458569697462, 3.5330426692962646)]"
bfgs,39,4,0.9,"[(0.0, 0.003455520205424512, 3.878993034362793)]"
bfgs,39,4,1.0,"[(0.0, 0.003455520205424512, 4.2144200801849365)]"
bfgs,39,5,0.01,"[(0.033333333333333326, 0.06856221341960682, 0.05017256736755371)]"
bfgs,39,5,0.1,"[(0.0, 0.00693813162857783, 0.3549976348876953)]"
bfgs,39,5,0.2,"[(0.0, 0.004691016076976794, 0.6929917335510254)]"
bfgs,39,5,0.3,"[(0.0, 0.004691016076976794, 1.0317163467407227)]"
