algorithm,dimension,run,checkpoint,error
bfgs,39,0,0.01,"[(0.5, 0.16691455680644693, 0.034726858139038086)]"
bfgs,39,0,0.1,"[(0.09999999999999998, 0.054384999159913336, 0.5108401775360107)]"
bfgs,39,0,0.2,"[(0.09999999999999998, 0.054384999159913336, 1.1453588008880615)]"
bfgs,39,0,0.3,"[(0.09999999999999998, 0.054384999159913336, 1.7488369941711426)]"
bfgs,39,0,0.4,"[(0.06666666666666665, 0.04591398445496289, 2.381526231765747)]"
bfgs,39,0,0.5,"[(0.06666666666666665, 0.04591398445496289, 3.027895212173462)]"
bfgs,39,0,0.6,"[(0.1333333333333333, 0.08141234654726864, 3.6738078594207764)]"
bfgs,39,0,0.7,"[(0.1333333333333333, 0.08141234654726864, 4.361401796340942)]"
bfgs,39,0,0.8,"[(0.1333333333333333, 0.08141234654726864, 5.056555271148682)]"
bfgs,39,0,0.9,"[(0.1333333333333333, 0.08141234654726864, 5.64012336730957)]"
bfgs,39,0,1.0,"[(0.1333333333333333, 0.08141234654726864, 6.243797540664673)]"
bfgs,39,1,0.01,"[(0.033333333333333326, 0.026932269504848214, 0.03575849533081055)]"
bfgs,39,1,0.1,"[(0.06666666666666665, 0.044214255459254205, 0.5074396133422852)]"
bfgs,39,1,0.2,"[(0.06666666666666665, 0.044214255459254205, 1.1352906227111816)]"
bfgs,39,1,0.3,"[(0.033333333333333326, 0.02205895264307758, 1.7731778621673584)]"
bfgs,39,1,0.4,"[(0.033333333333333326, 0.02205895264307758, 2.3663768768310547)]"
bfgs,39,1,0.5,"[(0.033333333333333326, 0.02205895264307758, 2.9751369953155518)]"
bfgs,39,1,0.6,"[(0.033333333333333326, 0.02205895264307758, 3.5795328617095947)]"
bfgs,39,1,0.7,"[(0.033333333333333326, 0.02205895264307758, 4.137052536010742)]"
bfgs,39,1,0.8,"[(0.033333333333333326, 0.02205895264307758, 4.726562261581421)]"
bfgs,39,1,0.9,"[(0.033333333333333326, 0.02205895264307758, 5.317187309265137)]"
bfgs,39,1,1.0,"[(0.033333333333333326, 0.02205895264307758, 5.892045259475708)]"
bfgs,39,2,0.01,"[(0.5666666666666667, 0.2440846722569721, 0.035186767578125)]"
bfgs,39,2,0.1,"[(0.09999999999999998, 0.058277009315476594, 0.4530363082885742)]"
bfgs,39,2,0.2,"[(0.16666666666666663, 0.08896270073882083, 1.0187928676605225)]"
bfgs,39,2,0.3,"[(0.16666666666666663, 0.08896270073882083, 1.562382698059082)]"
bfgs,39,2,0.4,"[(0.16666666666666663, 0.08896270073882083, 2.1161091327667236)]"
bfgs,39,2,0.5,"[(0.033333333333333326, 0.025889490925753173, 2.7070555686950684)]"
bfgs,39,2,0.6,"[(0.033333333333333326, 0.025889490925753173, 3.2376620769500732)]"
bfgs,39,2,0.7,"[(0.033333333333333326, 0.025889490925753173, 3.7585670948028564)]"
bfgs,39,2,0.8,"[(0.033333333333333326, 0.025889490925753173, 4.315166711807251)]"
bfgs,39,2,0.9,"[(0.2666666666666667, 0.17603021157109663, 4.877552509307861)]"
bfgs,39,2,1.0,"[(0.2666666666666667, 0.17603021157109663, 5.402862548828125)]"
bfgs,39,3,0.01,"[(0.033333333333333326, 0.08080514462918215, 0.035329341888427734)]"
bfgs,39,3,0.1,"[(0.06666666666666665, 0.02926827712649421, 0.45527124404907227)]"
bfgs,39,3,0.2,"[(0.09999999999999998, 0.06408295097639723, 0.9641039371490479)]"
bfgs,39,3,0.3,"[(0.09999999999999998, 0.05884958103795279, 1.5346989631652832)]"
bfgs,39,3,0.4,"[(0.09999999999999998, 0.05884958103795279, 2.1070196628570557)]"
bfgs,39,3,0.5,"[(0.09999999999999998, 0.05884958103795279, 2.674474000930786)]"
bfgs,39,3,0.6,"[(0.1333333333333333, 0.07919246570797676, 3.2666690349578857)]"
bfgs,39,3,0.7,"[(0.1333333333333333, 0.07919246570797676, 3.8126957416534424)]"
bfgs,39,3,0.8,"[(0.16666666666666663, 0.06639495142902128, 4.372490644454956)]"
bfgs,39,3,0.9,"[(0.16666666666666663, 0.06639495142902128, 4.925009250640869)]"
bfgs,39,3,1.0,"[(0.16666666666666663, 0.09433636565503736, 5.5113160610198975)]"
bfgs,39,4,0.01,"[(0.06666666666666665, 0.06901817266532843, 0.0356752872467041)]"
bfgs,39,4,0.1,"[(0.09999999999999998, 0.04007349463286705, 0.47645998001098633)]"
bfgs,39,4,0.2,"[(0.09999999999999998, 0.04007349463286705, 1.0163774490356445)]"
bfgs,39,4,0.3,"[(0.1333333333333333, 0.06643463318565919, 1.5613253116607666)]"
bfgs,39,4,0.4,"[(0.1333333333333333, 0.06643463318565919, 2.1100082397460938)]"
bfgs,39,4,0.5,"[(0.1333333333333333, 0.07100702154630721, 2.688866376876831)]"
bfgs,39,4,0.6,"[(0.1333333333333333, 0.07100702154630721, 3.2042853832244873)]"
bfgs,39,4,0.7,"[(0.19999999999999996, 0.096454723249549, 3.7311365604400635)]"
bfgs,39,4,0.8,"[(0.19999999999999996, 0.096454723249549, 4.291991949081421)]"
bfgs,39,4,0.9,"[(0.19999999999999996, 0.096454723249549, 4.817557096481323)]"
bfgs,39,4,1.0,"[(0.19999999999999996, 0.096454723249549, 5.364426851272583)]"
bfgs,39,5,0.01,"[(0.0, 0.04531366608047719, 0.03555035591125488)]"
bfgs,39,5,0.1,"[(0.06666666666666665, 0.034932670615818305, 0.45353269577026367)]"
bfgs,39,5,0.2,"[(0.0, 0.0009078224117047394, 1.0589778423309326)]"
bfgs,39,5,0.3,"[(0.0, 0.0009078224117047394, 1.6108176708221436)]"
bfgs,39,5,0.4,"[(0.0, 0.0009078224117047394, 2.1867589950561523)]"
bfgs,39,5,0.5,"[(0.0, 0.0009078224117047394, 2.7429325580596924)]"
bfgs,39,5,0.6,"[(0.0, 0.0009078224117047394, 3.314621925354004)]"
bfgs,39,5,0.7,"[(0.0, 0.0009078224117047394, 3.8584303855895996)]"
bfgs,39,5,0.8,"[(0.0, 0.0009078224117047394, 4.401339530944824)]"
bfgs,39,5,0.9,"[(0.0, 0.0009078224117047394, 4.936234712600708)]"
bfgs,39,5,1.0,"[(0.0, 0.0009078224117047394, 5.425625324249268)]"
bfgs,39,6,0.01,"[(0.33333333333333337, 0.10149117346970547, 0.03542757034301758)]"
bfgs,39,6,0.1,"[(0.06666666666666665, 0.04301062452696058, 0.5062634944915771)]"
bfgs,39,6,0.2,"[(0.09999999999999998, 0.05569586127827568, 1.1188530921936035)]"
bfgs,39,6,0.3,"[(0.06666666666666665, 0.044399956503349255, 1.720296859741211)]"
bfgs,39,6,0.4,"[(0.06666666666666665, 0.043764172329641346, 2.3363983631134033)]"
bfgs,39,6,0.5,"[(0.09999999999999998, 0.05777365018730188, 2.9512906074523926)]"
bfgs,39,6,0.6,"[(0.09999999999999998, 0.05777365018730188, 3.538699150085449)]"
bfgs,39,6,0.7,"[(0.09999999999999998, 0.05777365018730188, 4.126669883728027)]"
bfgs,39,6,0.8,"[(0.09999999999999998, 0.05777365018730188, 4.644017457962036)]"
bfgs,39,6,0.9,"[(0.09999999999999998, 0.05777365018730188, 5.220561504364014)]"
bfgs,39,6,1.0,"[(0.09999999999999998, 0.05777365018730188, 5.7652716636657715)]"
bfgs,39,7,0.01,"[(0.43333333333333335, 0.16784911873488842, 0.035163164138793945)]"
bfgs,39,7,0.1,"[(0.1333333333333333, 0.07639638840328415, 0.4552443027496338)]"
bfgs,39,7,0.2,"[(0.1333333333333333, 0.07639638840328415, 0.9815881252288818)]"
bfgs,39,7,0.3,"[(0.1333333333333333, 0.08533024434498583, 1.5209431648254395)]"
bfgs,39,7,0.4,"[(0.30000000000000004, 0.1997110011145879, 2.0501868724823)]"
bfgs,39,7,0.5,"[(0.30000000000000004, 0.1997110011145879, 2.6078405380249023)]"
bfgs,39,7,0.6,"[(0.30000000000000004, 0.1997110011145879, 3.1636908054351807)]"
bfgs,39,7,0.7,"[(0.30000000000000004, 0.1997110011145879, 3.6872735023498535)]"
bfgs,39,7,0.8,"[(0.30000000000000004, 0.1997110011145879, 4.219177961349487)]"
bfgs,39,7,0.9,"[(0.30000000000000004, 0.1997110011145879, 4.779362440109253)]"
bfgs,39,7,1.0,"[(0.30000000000000004, 0.1997110011145879, 5.32660436630249)]"
bfgs,39,8,0.01,"[(0.09999999999999998, 0.0444029386247425, 0.03536176681518555)]"
bfgs,39,8,0.1,"[(0.033333333333333326, 0.02129335937517636, 0.5178346633911133)]"
bfgs,39,8,0.2,"[(0.06666666666666665, 0.04207261743098111, 1.1164319515228271)]"
bfgs,39,8,0.3,"[(0.06666666666666665, 0.04207261743098111, 1.6858437061309814)]"
bfgs,39,8,0.4,"[(0.06666666666666665, 0.04207261743098111, 2.2895829677581787)]"
bfgs,39,8,0.5,"[(0.033333333333333326, 0.021988226416816026, 2.945773124694824)]"
bfgs,39,8,0.6,"[(0.033333333333333326, 0.021988226416816026, 3.568875789642334)]"
bfgs,39,8,0.7,"[(0.033333333333333326, 0.021988226416816026, 4.176320552825928)]"
bfgs,39,8,0.8,"[(0.033333333333333326, 0.021988226416816026, 4.7828309535980225)]"
bfgs,39,8,0.9,"[(0.033333333333333326, 0.021988226416816026, 5.393832445144653)]"
bfgs,39,8,1.0,"[(0.033333333333333326, 0.021988226416816026, 5.976031064987183)]"
bfgs,39,9,0.01,"[(0.033333333333333326, 0.04948480813805229, 0.03465676307678223)]"
bfgs,39,9,0.1,"[(0.06666666666666665, 0.027630097351216625, 0.5229880809783936)]"
bfgs,39,9,0.2,"[(0.06666666666666665, 0.027630097351216625, 1.1705434322357178)]"
bfgs,39,9,0.3,"[(0.06666666666666665, 0.027630097351216625, 1.7712182998657227)]"
bfgs,39,9,0.4,"[(0.0, 0.0009414720658583006, 2.3635406494140625)]"
bfgs,39,9,0.5,"[(0.0, 8.216218474169512e-05, 2.9467368125915527)]"
bfgs,39,9,0.6,"[(0.0, 8.216218474169512e-05, 3.5436277389526367)]"
bfgs,39,9,0.7,"[(0.0, 8.216218474169512e-05, 4.1631834506988525)]"
bfgs,39,9,0.8,"[(0.0, 8.216218474169512e-05, 4.739678382873535)]"
bfgs,39,9,0.9,"[(0.1333333333333333, 0.08311389020888535, 5.310973882675171)]"
bfgs,39,9,1.0,"[(0.1333333333333333, 0.08311389020888535, 5.8956873416900635)]"
bfgs,39,10,0.01,"[(0.3666666666666667, 0.13306628883747615, 0.03498649597167969)]"
bfgs,39,10,0.1,"[(0.33333333333333337, 0.1375004908011184, 0.4577186107635498)]"
bfgs,39,10,0.2,"[(0.33333333333333337, 0.1375004908011184, 0.9866518974304199)]"
bfgs,39,10,0.3,"[(0.33333333333333337, 0.1554485686401156, 1.5455987453460693)]"
bfgs,39,10,0.4,"[(0.1333333333333333, 0.0845910670455719, 2.0528290271759033)]"
bfgs,39,10,0.5,"[(0.16666666666666663, 0.06842096819100542, 2.613452672958374)]"
bfgs,39,10,0.6,"[(0.16666666666666663, 0.06842096819100542, 3.1724984645843506)]"
bfgs,39,10,0.7,"[(0.16666666666666663, 0.06842096819100542, 3.726328134536743)]"
bfgs,39,10,0.8,"[(0.16666666666666663, 0.06842096819100542, 4.266266345977783)]"
