algorithm,dimension,run,checkpoint,error
bfgs,39,0,0.01,"[(0.1333333333333333, 0.08294608521604158, 0.03394770622253418)]"
bfgs,39,0,0.1,"[(0.033333333333333326, 0.020804843908757052, 0.636899471282959)]"
bfgs,39,0,0.2,"[(0.1333333333333333, 0.0763069849639013, 1.3792953491210938)]"
bfgs,39,0,0.3,"[(0.16666666666666663, 0.09886329021319833, 2.1407179832458496)]"
bfgs,39,0,0.4,"[(0.16666666666666663, 0.09886329021319833, 2.8795177936553955)]"
bfgs,39,0,0.5,"[(0.16666666666666663, 0.09886329021319833, 3.628178119659424)]"
bfgs,39,0,0.6,"[(0.16666666666666663, 0.09886329021319833, 4.3853254318237305)]"
bfgs,39,0,0.7,"[(0.16666666666666663, 0.09886329021319833, 5.1565399169921875)]"
bfgs,39,0,0.8,"[(0.16666666666666663, 0.09886329021319833, 5.914074659347534)]"
bfgs,39,0,0.9,"[(0.16666666666666663, 0.09886329021319833, 6.660943269729614)]"
bfgs,39,0,1.0,"[(0.16666666666666663, 0.09886329021319833, 7.410126447677612)]"
bfgs,39,1,0.01,"[(0.0, 0.0026342348131892543, 0.04453635215759277)]"
bfgs,39,1,0.1,"[(0.4, 0.26647678442421385, 0.6076722145080566)]"
bfgs,39,1,0.2,"[(0.4, 0.26647678442421385, 1.3023009300231934)]"
bfgs,39,1,0.3,"[(0.4, 0.26647678442421385, 1.9733319282531738)]"
bfgs,39,1,0.4,"[(0.4, 0.26647678442421385, 2.618535280227661)]"
bfgs,39,1,0.5,"[(0.4, 0.26647678442421385, 3.299391508102417)]"
bfgs,39,1,0.6,"[(0.4, 0.26647678442421385, 4.013228178024292)]"
bfgs,39,1,0.7,"[(0.033333333333333326, 0.024898622933387307, 4.7712907791137695)]"
bfgs,39,1,0.8,"[(0.0, 0.00016383591163313073, 5.5372960567474365)]"
bfgs,39,1,0.9,"[(0.1333333333333333, 0.064941424459519, 6.312371253967285)]"
bfgs,39,1,1.0,"[(0.1333333333333333, 0.064941424459519, 7.090357303619385)]"
bfgs,39,2,0.01,"[(0.06666666666666665, 0.03609095702257788, 0.03956866264343262)]"
bfgs,39,2,0.1,"[(0.23333333333333328, 0.1261730821864981, 0.6243090629577637)]"
bfgs,39,2,0.2,"[(0.16666666666666663, 0.09064732441929407, 1.36281418800354)]"
bfgs,39,2,0.3,"[(0.16666666666666663, 0.09064732441929407, 2.096618890762329)]"
bfgs,39,2,0.4,"[(0.1333333333333333, 0.08758851206739884, 2.7788140773773193)]"
bfgs,39,2,0.5,"[(0.1333333333333333, 0.08758851206739884, 3.5007050037384033)]"
bfgs,39,2,0.6,"[(0.1333333333333333, 0.08758851206739884, 4.224563360214233)]"
bfgs,39,2,0.7,"[(0.1333333333333333, 0.08758851206739884, 4.941458702087402)]"
bfgs,39,2,0.8,"[(0.1333333333333333, 0.06886241354365912, 5.610680341720581)]"
bfgs,39,2,0.9,"[(0.1333333333333333, 0.06886241354365912, 6.350496292114258)]"
bfgs,39,2,1.0,"[(0.1333333333333333, 0.06886241354365912, 7.095923900604248)]"
