algorithm,dimension,run,checkpoint,error
bfgs,39,0,0.01,"[(0.06666666666666665, 0.07653576936060978, 0.022821664810180664)]"
bfgs,39,0,0.1,"[(0.09999999999999998, 0.04761427043056541, 0.4052872657775879)]"
bfgs,39,0,0.2,"[(0.09999999999999998, 0.04761427043056541, 0.9109792709350586)]"
bfgs,39,0,0.3,"[(0.2666666666666667, 0.17430071459949176, 1.4060556888580322)]"
bfgs,39,0,0.4,"[(0.2666666666666667, 0.17430071459949176, 1.9373352527618408)]"
bfgs,39,0,0.5,"[(0.2666666666666667, 0.17430071459949176, 2.434386968612671)]"
bfgs,39,0,0.6,"[(0.2666666666666667, 0.17430071459949176, 2.9188780784606934)]"
bfgs,39,0,0.7,"[(0.2666666666666667, 0.17430071459949176, 3.4321706295013428)]"
bfgs,39,0,0.8,"[(0.2666666666666667, 0.17430071459949176, 3.937990427017212)]"
bfgs,39,0,0.9,"[(0.2666666666666667, 0.17430071459949176, 4.466646909713745)]"
bfgs,39,0,1.0,"[(0.2666666666666667, 0.17430071459949176, 4.9637062549591064)]"
bfgs,39,1,0.01,"[(0.5333333333333333, 0.28140536310315595, 0.02303600311279297)]"
bfgs,39,1,0.1,"[(0.5, 0.33301994245803274, 0.3919181823730469)]"
bfgs,39,1,0.2,"[(0.5, 0.33301994245803274, 0.8964025974273682)]"
bfgs,39,1,0.3,"[(0.5, 0.33301994245803274, 1.403785228729248)]"
bfgs,39,1,0.4,"[(0.5, 0.33301994245803274, 1.9064018726348877)]"
bfgs,39,1,0.5,"[(0.5, 0.33301994245803274, 2.439628839492798)]"
bfgs,39,1,0.6,"[(0.5, 0.33301994245803274, 2.9930851459503174)]"
bfgs,39,1,0.7,"[(0.5, 0.33301994245803274, 3.567565441131592)]"
bfgs,39,1,0.8,"[(0.5, 0.33301994245803274, 4.066105365753174)]"
bfgs,39,1,0.9,"[(0.5, 0.33301994245803274, 4.602065801620483)]"
bfgs,39,1,1.0,"[(0.23333333333333328, 0.13558176074472653, 5.120589017868042)]"
bfgs,39,2,0.01,"[(0.033333333333333326, 0.12019566348129239, 0.02317333221435547)]"
bfgs,39,2,0.1,"[(0.09999999999999998, 0.070801970707685, 0.4046344757080078)]"
bfgs,39,2,0.2,"[(0.033333333333333326, 0.0222538706055041, 0.8695473670959473)]"
bfgs,39,2,0.3,"[(0.033333333333333326, 0.0222538706055041, 1.3859210014343262)]"
bfgs,39,2,0.4,"[(0.033333333333333326, 0.02327873104188213, 1.8811540603637695)]"
bfgs,39,2,0.5,"[(0.033333333333333326, 0.02327873104188213, 2.3928062915802)]"
bfgs,39,2,0.6,"[(0.033333333333333326, 0.02327873104188213, 2.901015043258667)]"
bfgs,39,2,0.7,"[(0.033333333333333326, 0.02327873104188213, 3.4096310138702393)]"
bfgs,39,2,0.8,"[(0.033333333333333326, 0.02327873104188213, 3.9476656913757324)]"
bfgs,39,2,0.9,"[(0.033333333333333326, 0.02327873104188213, 4.466109991073608)]"
bfgs,39,2,1.0,"[(0.033333333333333326, 0.02327873104188213, 4.949341773986816)]"
bfgs,39,3,0.01,"[(0.7, 0.22653392100057085, 0.02310633659362793)]"
bfgs,39,3,0.1,"[(0.06666666666666665, 0.024801490005711493, 0.37989044189453125)]"
bfgs,39,3,0.2,"[(0.16666666666666663, 0.09250520906623684, 0.8285365104675293)]"
bfgs,39,3,0.3,"[(0.16666666666666663, 0.09250520906623684, 1.278486728668213)]"
bfgs,39,3,0.4,"[(0.16666666666666663, 0.09250520906623684, 1.7283201217651367)]"
bfgs,39,3,0.5,"[(0.09999999999999998, 0.047815329706430626, 2.19673490524292)]"
bfgs,39,3,0.6,"[(0.09999999999999998, 0.06792774610036299, 2.6860527992248535)]"
bfgs,39,3,0.7,"[(0.09999999999999998, 0.06792774610036299, 3.1424224376678467)]"
bfgs,39,3,0.8,"[(0.06666666666666665, 0.04436271617057326, 3.610866069793701)]"
bfgs,39,3,0.9,"[(0.06666666666666665, 0.04436271617057326, 4.117277383804321)]"
bfgs,39,3,1.0,"[(0.09999999999999998, 0.06810529287455823, 4.613970756530762)]"
bfgs,39,4,0.01,"[(0.43333333333333335, 0.21968619447869814, 0.02302098274230957)]"
bfgs,39,4,0.1,"[(0.09999999999999998, 0.03570844143657548, 0.37921571731567383)]"
bfgs,39,4,0.2,"[(0.09999999999999998, 0.03570844143657548, 0.8270080089569092)]"
bfgs,39,4,0.3,"[(0.09999999999999998, 0.03570844143657548, 1.2773933410644531)]"
bfgs,39,4,0.4,"[(0.09999999999999998, 0.03570844143657548, 1.7252321243286133)]"
bfgs,39,4,0.5,"[(0.09999999999999998, 0.03570844143657548, 2.169851064682007)]"
bfgs,39,4,0.6,"[(0.09999999999999998, 0.03570844143657548, 2.6196417808532715)]"
bfgs,39,4,0.7,"[(0.09999999999999998, 0.03570844143657548, 3.0663602352142334)]"
bfgs,39,4,0.8,"[(0.1333333333333333, 0.058564601416749726, 3.5152206420898438)]"
bfgs,39,4,0.9,"[(0.1333333333333333, 0.058564601416749726, 3.9583566188812256)]"
bfgs,39,4,1.0,"[(0.1333333333333333, 0.058564601416749726, 4.4034504890441895)]"
bfgs,39,5,0.01,"[(0.4, 0.11669662734110661, 0.023181438446044922)]"
bfgs,39,5,0.1,"[(0.23333333333333328, 0.1553363969026012, 0.42264389991760254)]"
bfgs,39,5,0.2,"[(0.23333333333333328, 0.1553363969026012, 0.9872853755950928)]"
bfgs,39,5,0.3,"[(0.23333333333333328, 0.1553363969026012, 1.5137667655944824)]"
bfgs,39,5,0.4,"[(0.0, 0.0018028793479581804, 2.012465238571167)]"
bfgs,39,5,0.5,"[(0.0, 0.0018028793479581804, 2.523237943649292)]"
bfgs,39,5,0.6,"[(0.0, 0.0018028793479581804, 3.0397989749908447)]"
bfgs,39,5,0.7,"[(0.0, 0.0018028793479581804, 3.5867249965667725)]"
bfgs,39,5,0.8,"[(0.0, 0.0018028793479581804, 4.1191184520721436)]"
bfgs,39,5,0.9,"[(0.0, 0.0018028793479581804, 4.656728267669678)]"
bfgs,39,5,1.0,"[(0.0, 0.0018028793479581804, 5.175446271896362)]"
bfgs,39,6,0.01,"[(0.4, 0.17482359256261448, 0.02302408218383789)]"
bfgs,39,6,0.1,"[(0.0, 0.0003240912182583573, 0.3836026191711426)]"
bfgs,39,6,0.2,"[(0.033333333333333326, 0.013311723602903787, 0.8345127105712891)]"
bfgs,39,6,0.3,"[(0.033333333333333326, 0.008057076990858029, 1.283228874206543)]"
bfgs,39,6,0.4,"[(0.0, 0.00021526601541008581, 1.739342451095581)]"
bfgs,39,6,0.5,"[(0.0, 0.00021526601541008581, 2.189723491668701)]"
bfgs,39,6,0.6,"[(0.0, 0.00021526601541008581, 2.6387102603912354)]"
bfgs,39,6,0.7,"[(0.033333333333333326, 0.028794477890019085, 3.087667465209961)]"
bfgs,39,6,0.8,"[(0.033333333333333326, 0.028794477890019085, 3.655538558959961)]"
bfgs,39,6,0.9,"[(0.033333333333333326, 0.028794477890019085, 4.1676037311553955)]"
bfgs,39,6,1.0,"[(0.19999999999999996, 0.12847260607544014, 4.682482004165649)]"
bfgs,39,7,0.01,"[(0.3666666666666667, 0.11903592720624344, 0.02298593521118164)]"
bfgs,39,7,0.1,"[(0.06666666666666665, 0.02458217287847521, 0.38083934783935547)]"
bfgs,39,7,0.2,"[(0.09999999999999998, 0.04688314854234402, 0.8359785079956055)]"
bfgs,39,7,0.3,"[(0.09999999999999998, 0.04688314854234402, 1.2883973121643066)]"
bfgs,39,7,0.4,"[(0.09999999999999998, 0.04688314854234402, 1.7373230457305908)]"
bfgs,39,7,0.5,"[(0.09999999999999998, 0.04688314854234402, 2.1852166652679443)]"
bfgs,39,7,0.6,"[(0.09999999999999998, 0.04688314854234402, 2.6305506229400635)]"
bfgs,39,7,0.7,"[(0.09999999999999998, 0.04688314854234402, 3.0865705013275146)]"
bfgs,39,7,0.8,"[(0.09999999999999998, 0.04688314854234402, 3.5329036712646484)]"
bfgs,39,7,0.9,"[(0.09999999999999998, 0.04688314854234402, 3.9754817485809326)]"
bfgs,39,7,1.0,"[(0.09999999999999998, 0.04688314854234402, 4.4222939014434814)]"
bfgs,39,8,0.01,"[(0.7, 0.22142043221167582, 0.02288365364074707)]"
bfgs,39,8,0.1,"[(0.1333333333333333, 0.08860081100534183, 0.40722060203552246)]"
bfgs,39,8,0.2,"[(0.09999999999999998, 0.05300315058759823, 0.8828630447387695)]"
bfgs,39,8,0.3,"[(0.09999999999999998, 0.05300315058759823, 1.3652927875518799)]"
bfgs,39,8,0.4,"[(0.1333333333333333, 0.09395813518242434, 1.8340222835540771)]"
bfgs,39,8,0.5,"[(0.16666666666666663, 0.10620451083266853, 2.305454969406128)]"
bfgs,39,8,0.6,"[(0.16666666666666663, 0.10620451083266853, 2.806936264038086)]"
bfgs,39,8,0.7,"[(0.16666666666666663, 0.10620451083266853, 3.279437303543091)]"
bfgs,39,8,0.8,"[(0.16666666666666663, 0.10620451083266853, 3.7456629276275635)]"
bfgs,39,8,0.9,"[(0.16666666666666663, 0.10620451083266853, 4.193876266479492)]"
bfgs,39,8,1.0,"[(0.16666666666666663, 0.10620451083266853, 4.686620235443115)]"
bfgs,39,9,0.01,"[(0.7666666666666666, 0.23477235018718087, 0.02306652069091797)]"
bfgs,39,9,0.1,"[(0.06666666666666665, 0.041439050030699344, 0.3824961185455322)]"
bfgs,39,9,0.2,"[(0.16666666666666663, 0.1100111370034628, 0.83945631980896)]"
bfgs,39,9,0.3,"[(0.16666666666666663, 0.1100111370034628, 1.3022000789642334)]"
bfgs,39,9,0.4,"[(0.06666666666666665, 0.044314217053358154, 1.7633724212646484)]"
bfgs,39,9,0.5,"[(0.06666666666666665, 0.04431459600304435, 2.2235817909240723)]"
bfgs,39,9,0.6,"[(0.19999999999999996, 0.1312140337450037, 2.709141731262207)]"
bfgs,39,9,0.7,"[(0.19999999999999996, 0.12934278352523326, 3.2030906677246094)]"
bfgs,39,9,0.8,"[(0.19999999999999996, 0.12934278352523326, 3.6934287548065186)]"
bfgs,39,9,0.9,"[(0.19999999999999996, 0.12934278352523326, 4.181423664093018)]"
bfgs,39,9,1.0,"[(0.06666666666666665, 0.047490967772070056, 4.6612019538879395)]"
bfgs,39,10,0.01,"[(0.6, 0.20420171799249312, 0.022682666778564453)]"
bfgs,39,10,0.1,"[(0.06666666666666665, 0.04306833538756236, 0.37857484817504883)]"
bfgs,39,10,0.2,"[(0.09999999999999998, 0.05674972785511337, 0.829056978225708)]"
bfgs,39,10,0.3,"[(0.3666666666666667, 0.23872467466785616, 1.279404640197754)]"
bfgs,39,10,0.4,"[(0.3666666666666667, 0.23872467466785616, 1.726071834564209)]"
bfgs,39,10,0.5,"[(0.3666666666666667, 0.23872467466785616, 2.174100637435913)]"
bfgs,39,10,0.6,"[(0.3666666666666667, 0.23872467466785616, 2.622131109237671)]"
bfgs,39,10,0.7,"[(0.3666666666666667, 0.23872467466785616, 3.074819326400757)]"
bfgs,39,10,0.8,"[(0.3666666666666667, 0.23872467466785616, 3.519134998321533)]"
bfgs,39,10,0.9,"[(0.3666666666666667, 0.23872467466785616, 3.965912103652954)]"
bfgs,39,10,1.0,"[(0.3666666666666667, 0.23872467466785616, 4.407748460769653)]"
bfgs,39,11,0.01,"[(0.4, 0.19180923697383637, 0.022708415985107422)]"
bfgs,39,11,0.1,"[(0.033333333333333326, 0.013442439656764586, 0.3762168884277344)]"
bfgs,39,11,0.2,"[(0.033333333333333326, 0.01708678436864303, 0.8480591773986816)]"
bfgs,39,11,0.3,"[(0.033333333333333326, 0.01708678436864303, 1.3342435359954834)]"
bfgs,39,11,0.4,"[(0.033333333333333326, 0.01708678436864303, 1.8400311470031738)]"
bfgs,39,11,0.5,"[(0.033333333333333326, 0.01708678436864303, 2.3074886798858643)]"
bfgs,39,11,0.6,"[(0.033333333333333326, 0.026159155779698035, 2.779998302459717)]"
bfgs,39,11,0.7,"[(0.033333333333333326, 0.026159155779698035, 3.2310986518859863)]"
bfgs,39,11,0.8,"[(0.033333333333333326, 0.026159155779698035, 3.69777250289917)]"
bfgs,39,11,0.9,"[(0.033333333333333326, 0.026159155779698035, 4.163381338119507)]"
