algorithm,dimension,run,checkpoint,error
cmaes,39,0,0.01,"[(0.3666666666666667, 1.0301820627738925, 2.5587652469985187)]"
cmaes,39,0,0.1,"[(0.033333333333333326, 0.25057979464003727, 39.56691223569214)]"
cmaes,39,0,0.2,"[(0.033333333333333326, 0.2025258698398433, 77.16232181387022)]"
cmaes,39,0,0.3,"[(0.033333333333333326, 0.18321179379149866, 122.19831460760906)]"
cmaes,39,0,0.4,"[(0.0, 0.1796354451720993, 157.06430528266355)]"
cmaes,39,0,0.5,"[(0.0, 0.1796354451720993, 157.06430528266355)]"
cmaes,39,0,0.6,"[(0.0, 0.1796354451720993, 157.06430528266355)]"
cmaes,39,0,0.7,"[(0.0, 0.1796354451720993, 157.06430528266355)]"
cmaes,39,0,0.8,"[(0.0, 0.1796354451720993, 157.06430528266355)]"
cmaes,39,0,0.9,"[(0.0, 0.1796354451720993, 157.06430528266355)]"
cmaes,39,0,1.0,"[(0.0, 0.1796354451720993, 157.06430528266355)]"
cmaes,39,1,0.01,"[(0.5333333333333333, 1.0552380046353482, 3.8732242858968675)]"
cmaes,39,1,0.1,"[(0.09999999999999998, 0.32853261443355114, 38.729382222052664)]"
cmaes,39,1,0.2,"[(0.09999999999999998, 0.29240814032153367, 76.07436057599261)]"
cmaes,39,1,0.3,"[(0.09999999999999998, 0.2721635465083959, 123.22997134178877)]"
cmaes,39,1,0.4,"[(0.09999999999999998, 0.2660956914768195, 155.89361075684428)]"
cmaes,39,1,0.5,"[(0.06666666666666665, 0.2650557653510759, 180.01668855780736)]"
cmaes,39,1,0.6,"[(0.06666666666666665, 0.2650557653510759, 180.01668855780736)]"
cmaes,39,1,0.7,"[(0.06666666666666665, 0.2650557653510759, 180.01668855780736)]"
cmaes,39,1,0.8,"[(0.06666666666666665, 0.2650557653510759, 180.01668855780736)]"
cmaes,39,1,0.9,"[(0.06666666666666665, 0.2650557653510759, 180.01668855780736)]"
cmaes,39,1,1.0,"[(0.06666666666666665, 0.2650557653510759, 180.01668855780736)]"
cmaes,39,2,0.01,"[(0.33333333333333337, 0.9612759504706999, 3.5913156331516802)]"
cmaes,39,2,0.1,"[(0.033333333333333326, 0.20804269807884115, 37.88633143575862)]"
cmaes,39,2,0.2,"[(0.033333333333333326, 0.1888941630949042, 74.49505698215216)]"
cmaes,39,2,0.3,"[(0.033333333333333326, 0.1883744119135246, 109.27482356317341)]"
cmaes,39,2,0.4,"[(0.033333333333333326, 0.18808696113884302, 116.08382869372144)]"
cmaes,39,2,0.5,"[(0.033333333333333326, 0.18808696113884302, 116.08382869372144)]"
cmaes,39,2,0.6,"[(0.033333333333333326, 0.18808696113884302, 116.08382869372144)]"
cmaes,39,2,0.7,"[(0.033333333333333326, 0.18808696113884302, 116.08382869372144)]"
cmaes,39,2,0.8,"[(0.033333333333333326, 0.18808696113884302, 116.08382869372144)]"
cmaes,39,2,0.9,"[(0.033333333333333326, 0.18808696113884302, 116.08382869372144)]"
cmaes,39,2,1.0,"[(0.033333333333333326, 0.18808696113884302, 116.08382869372144)]"
cmaes,39,3,0.01,"[(0.3666666666666667, 0.9458729650623372, 3.0660929628647864)]"
cmaes,39,3,0.1,"[(0.033333333333333326, 0.2531042506086795, 35.7129305251874)]"
cmaes,39,3,0.2,"[(0.033333333333333326, 0.2281511079530993, 80.96296490821987)]"
cmaes,39,3,0.3,"[(0.033333333333333326, 0.22033971098299862, 122.27294292207807)]"
cmaes,39,3,0.4,"[(0.033333333333333326, 0.21479465703825026, 162.29729464603588)]"
cmaes,39,3,0.5,"[(0.033333333333333326, 0.21479465703825026, 162.29729464603588)]"
cmaes,39,3,0.6,"[(0.033333333333333326, 0.21479465703825026, 162.29729464603588)]"
cmaes,39,3,0.7,"[(0.033333333333333326, 0.21479465703825026, 162.29729464603588)]"
cmaes,39,3,0.8,"[(0.033333333333333326, 0.21479465703825026, 162.29729464603588)]"
cmaes,39,3,0.9,"[(0.033333333333333326, 0.21479465703825026, 162.29729464603588)]"
cmaes,39,3,1.0,"[(0.033333333333333326, 0.21479465703825026, 162.29729464603588)]"
cmaes,39,4,0.01,"[(0.3666666666666667, 1.02158521928142, 3.4051951547153294)]"
cmaes,39,4,0.1,"[(0.0, 0.21686172639601084, 40.245770258829)]"
cmaes,39,4,0.2,"[(0.0, 0.18324922826555107, 82.01285713678226)]"
cmaes,39,4,0.3,"[(0.0, 0.1779762185449328, 121.465649174992)]"
cmaes,39,4,0.4,"[(0.0, 0.17930128211333213, 127.85133353061974)]"
cmaes,39,4,0.5,"[(0.0, 0.17930128211333213, 127.85133353061974)]"
cmaes,39,4,0.6,"[(0.0, 0.17930128211333213, 127.85133353061974)]"
cmaes,39,4,0.7,"[(0.0, 0.17930128211333213, 127.85133353061974)]"
cmaes,39,4,0.8,"[(0.0, 0.17930128211333213, 127.85133353061974)]"
cmaes,39,4,0.9,"[(0.0, 0.17930128211333213, 127.85133353061974)]"
cmaes,39,4,1.0,"[(0.0, 0.17930128211333213, 127.85133353061974)]"
cmaes,39,5,0.01,"[(0.6333333333333333, 1.0178181146817928, 2.9922044216655195)]"
cmaes,39,5,0.1,"[(0.06666666666666665, 0.29381560580715027, 38.742161456961185)]"
cmaes,39,5,0.2,"[(0.06666666666666665, 0.26765828274710046, 76.16166428802535)]"
cmaes,39,5,0.3,"[(0.06666666666666665, 0.263293996424029, 97.03857286274433)]"
cmaes,39,5,0.4,"[(0.06666666666666665, 0.2635239618617712, 127.68677934259176)]"
cmaes,39,5,0.5,"[(0.06666666666666665, 0.2635239618617712, 127.68677934259176)]"
cmaes,39,5,0.6,"[(0.06666666666666665, 0.2635239618617712, 127.68677934259176)]"
cmaes,39,5,0.7,"[(0.06666666666666665, 0.2635239618617712, 127.68677934259176)]"
cmaes,39,5,0.8,"[(0.06666666666666665, 0.2635239618617712, 127.68677934259176)]"
cmaes,39,5,0.9,"[(0.06666666666666665, 0.2635239618617712, 127.68677934259176)]"
cmaes,39,5,1.0,"[(0.06666666666666665, 0.2635239618617712, 127.68677934259176)]"
cmaes,39,6,0.01,"[(0.2666666666666667, 0.9182464371052309, 3.3660532291978598)]"
cmaes,39,6,0.1,"[(0.0, 0.22397203708032992, 33.97056521801278)]"
cmaes,39,6,0.2,"[(0.0, 0.20854486774560382, 65.0683788121678)]"
cmaes,39,6,0.3,"[(0.0, 0.2072027288238193, 94.71143980603665)]"
cmaes,39,6,0.4,"[(0.0, 0.20766152609256233, 130.85228169616312)]"
cmaes,39,6,0.5,"[(0.0, 0.20766152609256233, 130.85228169616312)]"
cmaes,39,6,0.6,"[(0.0, 0.20766152609256233, 130.85228169616312)]"
cmaes,39,6,0.7,"[(0.0, 0.20766152609256233, 130.85228169616312)]"
cmaes,39,6,0.8,"[(0.0, 0.20766152609256233, 130.85228169616312)]"
cmaes,39,6,0.9,"[(0.0, 0.20766152609256233, 130.85228169616312)]"
cmaes,39,6,1.0,"[(0.0, 0.20766152609256233, 130.85228169616312)]"
cmaes,39,7,0.01,"[(0.33333333333333337, 0.9612980955529192, 3.5411421549506485)]"
cmaes,39,7,0.1,"[(0.033333333333333326, 0.2509879884681012, 36.803302600979805)]"
cmaes,39,7,0.2,"[(0.033333333333333326, 0.23248098054161837, 71.55526691908017)]"
cmaes,39,7,0.3,"[(0.033333333333333326, 0.23382232627063224, 112.88491660915315)]"
cmaes,39,7,0.4,"[(0.033333333333333326, 0.23291284860315592, 138.02021399280056)]"
cmaes,39,7,0.5,"[(0.033333333333333326, 0.23291284860315592, 138.02021399280056)]"
cmaes,39,7,0.6,"[(0.033333333333333326, 0.23291284860315592, 138.02021399280056)]"
cmaes,39,7,0.7,"[(0.033333333333333326, 0.23291284860315592, 138.02021399280056)]"
cmaes,39,7,0.8,"[(0.033333333333333326, 0.23291284860315592, 138.02021399280056)]"
cmaes,39,7,0.9,"[(0.033333333333333326, 0.23291284860315592, 138.02021399280056)]"
cmaes,39,7,1.0,"[(0.033333333333333326, 0.23291284860315592, 138.02021399280056)]"
cmaes,39,8,0.01,"[(0.4, 1.0747951874317523, 3.2175239929929376)]"
cmaes,39,8,0.1,"[(0.033333333333333326, 0.26099205444775075, 35.54820874193683)]"
cmaes,39,8,0.2,"[(0.033333333333333326, 0.22943385970078678, 79.95750594884157)]"
cmaes,39,8,0.3,"[(0.033333333333333326, 0.22432501374648647, 113.18440199596807)]"
cmaes,39,8,0.4,"[(0.033333333333333326, 0.2231788595505056, 135.23504821769893)]"
cmaes,39,8,0.5,"[(0.033333333333333326, 0.2231788595505056, 135.23504821769893)]"
cmaes,39,8,0.6,"[(0.033333333333333326, 0.2231788595505056, 135.23504821769893)]"
cmaes,39,8,0.7,"[(0.033333333333333326, 0.2231788595505056, 135.23504821769893)]"
cmaes,39,8,0.8,"[(0.033333333333333326, 0.2231788595505056, 135.23504821769893)]"
cmaes,39,8,0.9,"[(0.033333333333333326, 0.2231788595505056, 135.23504821769893)]"
cmaes,39,8,1.0,"[(0.033333333333333326, 0.2231788595505056, 135.23504821769893)]"
cmaes,39,9,0.01,"[(0.7333333333333334, 1.0570107014295684, 3.2415395230054855)]"
cmaes,39,9,0.1,"[(0.0, 0.19739912868190804, 37.56617935560644)]"
cmaes,39,9,0.2,"[(0.0, 0.16750178385264203, 78.01794520160183)]"
cmaes,39,9,0.3,"[(0.0, 0.16683514348957543, 113.20670553762466)]"
cmaes,39,9,0.4,"[(0.0, 0.16642177996123503, 125.18766418192536)]"
cmaes,39,9,0.5,"[(0.0, 0.16642177996123503, 125.18766418192536)]"
cmaes,39,9,0.6,"[(0.0, 0.16642177996123503, 125.18766418192536)]"
cmaes,39,9,0.7,"[(0.0, 0.16642177996123503, 125.18766418192536)]"
cmaes,39,9,0.8,"[(0.0, 0.16642177996123503, 125.18766418192536)]"
cmaes,39,9,0.9,"[(0.0, 0.16642177996123503, 125.18766418192536)]"
cmaes,39,9,1.0,"[(0.0, 0.16642177996123503, 125.18766418192536)]"
cmaes,39,10,0.01,"[(0.7666666666666666, 1.032460008857396, 3.0629497980698943)]"
