algorithm,dimension,run,checkpoint,error
cmaes,39,0,0.01,"[(0.6333333333333333, 1.0882845305675997, 0.13550277380272746)]"
cmaes,39,0,0.1,"[(0.1333333333333333, 0.7084163066581941, 10.001262353733182)]"
cmaes,39,0,0.2,"[(0.06666666666666665, 0.40136060002291685, 19.113470719661564)]"
cmaes,39,0,0.3,"[(0.1333333333333333, 0.336711511165227, 30.542145556770265)]"
cmaes,39,0,0.4,"[(0.06666666666666665, 0.2919125643446484, 35.030811288859695)]"
cmaes,39,0,0.5,"[(0.06666666666666665, 0.28249828233481344, 45.36732307262719)]"
cmaes,39,0,0.6,"[(0.0, 0.27094963197464833, 49.929692431818694)]"
cmaes,39,0,0.7,"[(0.033333333333333326, 0.2629271652073525, 61.86924628680572)]"
cmaes,39,0,0.8,"[(0.033333333333333326, 0.2587708654404944, 69.16350982058793)]"
cmaes,39,0,0.9,"[(0.0, 0.25510151523276303, 75.67635771166533)]"
cmaes,39,0,1.0,"[(0.0, 0.25411186063460006, 84.7080761808902)]"
cmaes,39,1,0.01,"[(0.4, 1.1008879032986931, 0.5266110762022436)]"
cmaes,39,1,0.1,"[(0.033333333333333326, 0.5573752196922087, 9.13515671622008)]"
cmaes,39,1,0.2,"[(0.033333333333333326, 0.298749871525554, 20.259266765788198)]"
cmaes,39,1,0.3,"[(0.033333333333333326, 0.24873689034179586, 31.202245314139873)]"
cmaes,39,1,0.4,"[(0.09999999999999998, 0.26892096632332635, 37.702633142936975)]"
cmaes,39,1,0.5,"[(0.06666666666666665, 0.24495995323294759, 51.52800768380985)]"
cmaes,39,1,0.6,"[(0.033333333333333326, 0.23289489642572575, 59.613781065214425)]"
cmaes,39,1,0.7,"[(0.06666666666666665, 0.23744246260179988, 71.23150685383007)]"
cmaes,39,1,0.8,"[(0.06666666666666665, 0.24104315287907344, 77.13909974414855)]"
cmaes,39,1,0.9,"[(0.06666666666666665, 0.24502354611935004, 89.05991046503186)]"
cmaes,39,1,1.0,"[(0.06666666666666665, 0.24410237052393852, 96.39014325011522)]"
cmaes,39,2,0.01,"[(0.7666666666666666, 1.1084725579657768, 0.48635449912399054)]"
cmaes,39,2,0.1,"[(0.1333333333333333, 0.4799883164207326, 9.995890090242028)]"
cmaes,39,2,0.2,"[(0.033333333333333326, 0.31292664774057444, 21.671939043328166)]"
cmaes,39,2,0.3,"[(0.033333333333333326, 0.24971033077674482, 32.075484985951334)]"
cmaes,39,2,0.4,"[(0.06666666666666665, 0.22502226794835853, 38.23805544432253)]"
cmaes,39,2,0.5,"[(0.033333333333333326, 0.22493448380477638, 50.93710484402254)]"
cmaes,39,2,0.6,"[(0.033333333333333326, 0.21854667126832408, 55.799309463240206)]"
cmaes,39,2,0.7,"[(0.033333333333333326, 0.22975134695134594, 67.9357457170263)]"
cmaes,39,2,0.8,"[(0.033333333333333326, 0.22537120703501995, 79.87010089913383)]"
cmaes,39,2,0.9,"[(0.033333333333333326, 0.22537120703501995, 79.87010089913383)]"
cmaes,39,2,1.0,"[(0.033333333333333326, 0.2216505625483249, 98.09430982312188)]"
cmaes,39,3,0.01,"[(0.7666666666666666, 1.104095656275166, 0.5235233712010086)]"
cmaes,39,3,0.1,"[(0.23333333333333328, 0.647288308923488, 8.61504022590816)]"
cmaes,39,3,0.2,"[(0.1333333333333333, 0.34325793169654556, 18.128166861832142)]"
cmaes,39,3,0.3,"[(0.06666666666666665, 0.2677168562731399, 26.325482320971787)]"
cmaes,39,3,0.4,"[(0.033333333333333326, 0.24330646050243623, 39.800151272211224)]"
cmaes,39,3,0.5,"[(0.0, 0.22703147955144046, 47.61375245684758)]"
cmaes,39,3,0.6,"[(0.0, 0.21714585508361617, 58.86886630393565)]"
cmaes,39,3,0.7,"[(0.0, 0.21005670937362753, 67.8305189087987)]"
cmaes,39,3,0.8,"[(0.0, 0.20380117843493614, 77.91646842798218)]"
cmaes,39,3,0.9,"[(0.0, 0.20282354751969137, 89.01457149814814)]"
cmaes,39,3,1.0,"[(0.0, 0.200726148536373, 97.9639475857839)]"
cmaes,39,4,0.01,"[(0.8666666666666667, 1.1506516979086752, 0.13478193106129766)]"
cmaes,39,4,0.1,"[(0.30000000000000004, 0.5382458263064892, 8.716665645129979)]"
cmaes,39,4,0.2,"[(0.06666666666666665, 0.2933472264540963, 16.851351710036397)]"
cmaes,39,4,0.3,"[(0.033333333333333326, 0.2521614043755029, 27.719917160924524)]"
cmaes,39,4,0.4,"[(0.033333333333333326, 0.24221250416767964, 38.57282238313928)]"
cmaes,39,4,0.5,"[(0.033333333333333326, 0.23736161777309114, 49.07752716494724)]"
