algorithm,dimension,run,checkpoint,error
cmaes,39,0,0.01,"[(0.6666666666666667, 1.1672684551666765, 1.0530887600034475)]"
cmaes,39,0,0.1,"[(0.43333333333333335, 0.5279705808868203, 21.70791774103418)]"
cmaes,39,0,0.2,"[(0.06666666666666665, 0.27562423443476564, 46.73126487899572)]"
cmaes,39,0,0.3,"[(0.1333333333333333, 0.25811184833574186, 71.34582302765921)]"
cmaes,39,0,0.4,"[(0.06666666666666665, 0.19049996055507348, 89.84722221968696)]"
cmaes,39,0,0.5,"[(0.033333333333333326, 0.19561164601701372, 98.87928699888289)]"
cmaes,39,0,0.6,"[(0.033333333333333326, 0.19561164601701372, 98.87928699888289)]"
cmaes,39,0,0.7,"[(0.033333333333333326, 0.19561164601701372, 98.87928699888289)]"
cmaes,39,0,0.8,"[(0.033333333333333326, 0.19561164601701372, 98.87928699888289)]"
cmaes,39,0,0.9,"[(0.06666666666666665, 0.2615105493766211, 200.94780776277184)]"
cmaes,39,0,1.0,"[(0.09999999999999998, 0.2502533953452158, 211.74394818861037)]"
cmaes,39,1,0.01,"[(0.8666666666666667, 1.1476102465355411, 1.8906961372122169)]"
cmaes,39,1,0.1,"[(0.19999999999999996, 0.6344642151865281, 22.942657109349966)]"
cmaes,39,1,0.2,"[(0.09999999999999998, 0.3934994065052528, 46.29179472895339)]"
cmaes,39,1,0.3,"[(0.09999999999999998, 0.21382874666556992, 69.0856064222753)]"
cmaes,39,1,0.4,"[(0.09999999999999998, 0.22342736153245282, 96.78328492632136)]"
cmaes,39,1,0.5,"[(0.09999999999999998, 0.20356202125533532, 118.85971858724952)]"
cmaes,39,1,0.6,"[(0.09999999999999998, 0.21905714700197942, 147.2813710309565)]"
cmaes,39,1,0.7,"[(0.09999999999999998, 0.2168488590614094, 152.38338612997904)]"
cmaes,39,1,0.8,"[(0.09999999999999998, 0.2168488590614094, 152.38338612997904)]"
cmaes,39,1,0.9,"[(0.09999999999999998, 0.2848700866610439, 208.1833037659526)]"
cmaes,39,1,1.0,"[(0.09999999999999998, 0.2814267993140781, 224.37957256706432)]"
cmaes,39,2,0.01,"[(0.30000000000000004, 0.692323872860251, 0.34295975510030985)]"
cmaes,39,2,0.1,"[(0.30000000000000004, 0.5693734282684175, 24.871005645021796)]"
cmaes,39,2,0.2,"[(0.3666666666666667, 0.484451734383395, 44.12421359634027)]"
cmaes,39,2,0.3,"[(0.3666666666666667, 0.49260148046789703, 70.2932509672828)]"
cmaes,39,2,0.4,"[(0.30000000000000004, 0.4790420633982256, 97.634739857167)]"
cmaes,39,2,0.5,"[(0.1333333333333333, 0.30651819916121004, 119.16792144440114)]"
cmaes,39,2,0.6,"[(0.06666666666666665, 0.21120562824059508, 141.30887934425846)]"
cmaes,39,2,0.7,"[(0.033333333333333326, 0.1277355315197112, 158.15942593617365)]"
cmaes,39,2,0.8,"[(0.033333333333333326, 0.1371161745957477, 165.44887333502993)]"
cmaes,39,2,0.9,"[(0.033333333333333326, 0.1371161745957477, 165.44887333502993)]"
cmaes,39,2,1.0,"[(0.033333333333333326, 0.1371161745957477, 165.44887333502993)]"
cmaes,39,3,0.01,"[(0.7, 1.0043944694591054, 0.3677792139351368)]"
cmaes,39,3,0.1,"[(0.16666666666666663, 0.4221167557863918, 18.800602949690074)]"
cmaes,39,3,0.2,"[(0.09999999999999998, 0.4072497607973445, 41.0876559028402)]"
cmaes,39,3,0.3,"[(0.09999999999999998, 0.29871525674459304, 57.485282541718334)]"
cmaes,39,3,0.4,"[(0.16666666666666663, 0.7639494001920557, 80.27120692282915)]"
cmaes,39,3,0.5,"[(0.09999999999999998, 0.50161562245507, 112.25794771173969)]"
cmaes,39,3,0.6,"[(0.09999999999999998, 0.5346963353545361, 115.67992400284857)]"
cmaes,39,3,0.7,"[(0.09999999999999998, 0.5346963353545361, 115.67992400284857)]"
cmaes,39,3,0.8,"[(0.09999999999999998, 0.5346963353545361, 115.67992400284857)]"
cmaes,39,3,0.9,"[(0.09999999999999998, 0.5346963353545361, 115.67992400284857)]"
cmaes,39,3,1.0,"[(0.09999999999999998, 0.5346963353545361, 115.67992400284857)]"
cmaes,39,4,0.01,"[(0.6, 1.0615196536256764, 2.330650988034904)]"
cmaes,39,4,0.1,"[(0.2666666666666667, 0.4825773716563541, 24.291271922178566)]"
