algorithm,dimension,run,checkpoint,error
cmaes,39,0,0.01,"[(0.6333333333333333, 0.18982480113478833, 0.7325983135960996)]"
cmaes,39,0,0.1,"[(0.033333333333333326, 0.031960804088731726, 55.20190234063193)]"
cmaes,39,0,0.2,"[(0.033333333333333326, 0.021666826664684714, 81.10757036274299)]"
cmaes,39,0,0.3,"[(0.033333333333333326, 0.021666826664684714, 81.10757036274299)]"
cmaes,39,0,0.4,"[(0.0, 0.016433497286008868, 221.43252637889236)]"
cmaes,39,0,0.5,"[(0.0, 0.016072244628802433, 281.05151418270543)]"
cmaes,39,0,0.6,"[(0.0, 0.016072244628802433, 281.05151418270543)]"
cmaes,39,0,0.7,"[(0.0, 0.015342326862526836, 437.4945632969029)]"
cmaes,39,0,0.8,"[(0.0, 0.0172079402103742, 447.87090880796313)]"
cmaes,39,0,0.9,"[(0.0, 0.0172079402103742, 447.87090880796313)]"
cmaes,39,0,1.0,"[(0.0, 0.018604398194348247, 507.7779247206636)]"
cmaes,39,1,0.01,"[(0.6333333333333333, 0.2105565718174957, 4.451502509880811)]"
cmaes,39,1,0.1,"[(0.09999999999999998, 0.037466399029167666, 39.56620112294331)]"
cmaes,39,1,0.2,"[(0.09999999999999998, 0.03796957570139551, 51.9569551339373)]"
cmaes,39,1,0.3,"[(0.09999999999999998, 0.03796957570139551, 51.9569551339373)]"
cmaes,39,1,0.4,"[(0.09999999999999998, 0.03796957570139551, 51.9569551339373)]"
cmaes,39,1,0.5,"[(0.09999999999999998, 0.03796957570139551, 51.9569551339373)]"
cmaes,39,1,0.6,"[(0.09999999999999998, 0.03764445901725734, 212.37816162779927)]"
cmaes,39,1,0.7,"[(0.09999999999999998, 0.03764445901725734, 212.37816162779927)]"
cmaes,39,1,0.8,"[(0.09999999999999998, 0.03764445901725734, 311.4155685356818)]"
cmaes,39,1,0.9,"[(0.09999999999999998, 0.03764445901725734, 311.4155685356818)]"
cmaes,39,1,1.0,"[(0.09999999999999998, 0.03764445901725734, 349.1669822637923)]"
cmaes,39,2,0.01,"[(0.4, 0.17462601493194504, 1.2054705917835236)]"
cmaes,39,2,0.1,"[(0.06666666666666665, 0.03679623038800965, 36.46849388908595)]"
cmaes,39,2,0.2,"[(0.06666666666666665, 0.03286339614472377, 50.09814922278747)]"
cmaes,39,2,0.3,"[(0.06666666666666665, 0.03239693989078905, 135.03853347618133)]"
cmaes,39,2,0.4,"[(0.06666666666666665, 0.03239693989078905, 135.03853347618133)]"
cmaes,39,2,0.5,"[(0.06666666666666665, 0.03239693989078905, 135.03853347618133)]"
cmaes,39,2,0.6,"[(0.06666666666666665, 0.03170278469328027, 267.42842088919133)]"
cmaes,39,2,0.7,"[(0.06666666666666665, 0.031994794359187215, 314.61278872704133)]"
cmaes,39,2,0.8,"[(0.06666666666666665, 0.031994794359187215, 314.61278872704133)]"
cmaes,39,2,0.9,"[(0.06666666666666665, 0.031994794359187215, 314.61278872704133)]"
cmaes,39,2,1.0,"[(0.06666666666666665, 0.031994794359187215, 314.61278872704133)]"
cmaes,39,3,0.01,"[(0.23333333333333328, 0.1568624577138931, 1.2551128440536559)]"
cmaes,39,3,0.1,"[(0.06666666666666665, 0.05636564652596639, 40.15423251176253)]"
cmaes,39,3,0.2,"[(0.033333333333333326, 0.05400693020816964, 71.54284124774858)]"
cmaes,39,3,0.3,"[(0.033333333333333326, 0.05197836222107702, 106.5021266490221)]"
cmaes,39,3,0.4,"[(0.033333333333333326, 0.05171300485830973, 146.4890767969191)]"
cmaes,39,3,0.5,"[(0.033333333333333326, 0.0508926214371688, 171.38257186487317)]"
cmaes,39,3,0.6,"[(0.033333333333333326, 0.051143708943960434, 198.75178518891335)]"
cmaes,39,3,0.7,"[(0.033333333333333326, 0.051143708943960434, 198.75178518891335)]"
cmaes,39,3,0.8,"[(0.033333333333333326, 0.051143708943960434, 198.75178518891335)]"
cmaes,39,3,0.9,"[(0.033333333333333326, 0.051143708943960434, 198.75178518891335)]"
cmaes,39,3,1.0,"[(0.033333333333333326, 0.051143708943960434, 198.75178518891335)]"
cmaes,39,4,0.01,"[(0.30000000000000004, 0.18205733073707828, 5.130251559894532)]"
cmaes,39,4,0.1,"[(0.1333333333333333, 0.090748798554908, 39.75011223228648)]"
cmaes,39,4,0.2,"[(0.1333333333333333, 0.08979524660286574, 89.84766873391345)]"
cmaes,39,4,0.3,"[(0.1333333333333333, 0.09013712916407166, 120.55667644413188)]"
cmaes,39,4,0.4,"[(0.1333333333333333, 0.08998542253180679, 157.3543681469746)]"
cmaes,39,4,0.5,"[(0.1333333333333333, 0.08998542253180679, 157.3543681469746)]"
cmaes,39,4,0.6,"[(0.1333333333333333, 0.08938282126472732, 296.775003680028)]"
cmaes,39,4,0.7,"[(0.1333333333333333, 0.08938282126472732, 296.775003680028)]"
cmaes,39,4,0.8,"[(0.1333333333333333, 0.08938282126472732, 296.775003680028)]"
cmaes,39,4,0.9,"[(0.1333333333333333, 0.08938282126472732, 296.775003680028)]"
cmaes,39,4,1.0,"[(0.1333333333333333, 0.08938282126472732, 469.98984810803086)]"
cmaes,39,5,0.01,"[(0.5, 0.247283108646891, 2.1000197613611817)]"
cmaes,39,5,0.1,"[(0.09999999999999998, 0.040735959175719864, 38.10562566621229)]"
cmaes,39,5,0.2,"[(0.033333333333333326, 0.03499661390885063, 71.21563648432493)]"
cmaes,39,5,0.3,"[(0.033333333333333326, 0.03535954217648707, 95.02858202904463)]"
cmaes,39,5,0.4,"[(0.033333333333333326, 0.03535954217648707, 95.02858202904463)]"
cmaes,39,5,0.5,"[(0.033333333333333326, 0.03535954217648707, 95.02858202904463)]"
cmaes,39,5,0.6,"[(0.033333333333333326, 0.03535954217648707, 95.02858202904463)]"
cmaes,39,5,0.7,"[(0.033333333333333326, 0.03535954217648707, 95.02858202904463)]"
cmaes,39,5,0.8,"[(0.033333333333333326, 0.03535954217648707, 95.02858202904463)]"
cmaes,39,5,0.9,"[(0.033333333333333326, 0.03535954217648707, 95.02858202904463)]"
cmaes,39,5,1.0,"[(0.033333333333333326, 0.03535954217648707, 95.02858202904463)]"
cmaes,39,6,0.01,"[(0.4, 0.1883147537385421, 4.994477011729032)]"
cmaes,39,6,0.1,"[(0.033333333333333326, 0.015897035780627553, 64.38434180896729)]"
cmaes,39,6,0.2,"[(0.033333333333333326, 0.008962565950150209, 123.56927024386823)]"
cmaes,39,6,0.3,"[(0.033333333333333326, 0.008962565950150209, 123.56927024386823)]"
cmaes,39,6,0.4,"[(0.033333333333333326, 0.008962565950150209, 123.56927024386823)]"
cmaes,39,6,0.5,"[(0.033333333333333326, 0.008962565950150209, 123.56927024386823)]"
cmaes,39,6,0.6,"[(0.033333333333333326, 0.008962565950150209, 123.56927024386823)]"
cmaes,39,6,0.7,"[(0.033333333333333326, 0.007467145135773666, 455.8830619188957)]"
cmaes,39,6,0.8,"[(0.033333333333333326, 0.007467145135773666, 455.8830619188957)]"
cmaes,39,6,0.9,"[(0.033333333333333326, 0.007467145135773666, 455.8830619188957)]"
cmaes,39,6,1.0,"[(0.033333333333333326, 0.007467145135773666, 455.8830619188957)]"
cmaes,39,7,0.01,"[(0.3666666666666667, 0.1394043705575943, 4.381223256699741)]"
cmaes,39,7,0.1,"[(0.06666666666666665, 0.047263281622167023, 52.446955075953156)]"
cmaes,39,7,0.2,"[(0.06666666666666665, 0.04304049774708877, 106.43802126171067)]"
cmaes,39,7,0.3,"[(0.06666666666666665, 0.033367629491418804, 161.02396339876577)]"
cmaes,39,7,0.4,"[(0.06666666666666665, 0.025736504177336434, 216.71085417456925)]"
cmaes,39,7,0.5,"[(0.06666666666666665, 0.02228809607346994, 244.94764274079353)]"
cmaes,39,7,0.6,"[(0.06666666666666665, 0.02228809607346994, 244.94764274079353)]"
cmaes,39,7,0.7,"[(0.06666666666666665, 0.02228809607346994, 244.94764274079353)]"
cmaes,39,7,0.8,"[(0.06666666666666665, 0.02228809607346994, 417.22459634859115)]"
cmaes,39,7,0.9,"[(0.06666666666666665, 0.02228809607346994, 417.22459634859115)]"
cmaes,39,7,1.0,"[(0.06666666666666665, 0.02228809607346994, 417.22459634859115)]"
cmaes,39,8,0.01,"[(0.33333333333333337, 0.21040207926635088, 4.331714989151806)]"
cmaes,39,8,0.1,"[(0.0, 0.007310211039267998, 44.344896202906966)]"
cmaes,39,8,0.2,"[(0.0, 0.0048890928667956485, 80.87419414008036)]"
cmaes,39,8,0.3,"[(0.0, 0.0037274997742688617, 126.69246169505641)]"
cmaes,39,8,0.4,"[(0.0, 0.005452424059071784, 141.05898953601718)]"
cmaes,39,8,0.5,"[(0.0, 0.004316168488865232, 198.3884250363335)]"
cmaes,39,8,0.6,"[(0.0, 0.004316168488865232, 198.3884250363335)]"
cmaes,39,8,0.7,"[(0.0, 0.004316168488865232, 198.3884250363335)]"
cmaes,39,8,0.8,"[(0.0, 0.004316168488865232, 198.3884250363335)]"
cmaes,39,8,0.9,"[(0.0, 0.004316168488865232, 198.3884250363335)]"
cmaes,39,8,1.0,"[(0.0, 0.004316168488865232, 198.3884250363335)]"
cmaes,39,9,0.01,"[(0.4, 0.19519147322696948, 7.168678526766598)]"
cmaes,39,9,0.1,"[(0.0, 0.011689006517396164, 51.49745748890564)]"
cmaes,39,9,0.2,"[(0.0, 0.0029209574879841107, 104.75089356675744)]"
cmaes,39,9,0.3,"[(0.0, 0.0029026589656793497, 213.67081704363227)]"
cmaes,39,9,0.4,"[(0.0, 0.0029026589656793497, 213.67081704363227)]"
cmaes,39,9,0.5,"[(0.0, 0.0029026589656793497, 213.67081704363227)]"
cmaes,39,9,0.6,"[(0.0, 0.0029026589656793497, 213.67081704363227)]"
cmaes,39,9,0.7,"[(0.0, 0.0029026589656793497, 213.67081704363227)]"
cmaes,39,9,0.8,"[(0.0, 0.0029026589656793497, 213.67081704363227)]"
cmaes,39,9,0.9,"[(0.0, 0.0029026589656793497, 213.67081704363227)]"
cmaes,39,9,1.0,"[(0.0, 0.0029026589656793497, 213.67081704363227)]"
cmaes,39,10,0.01,"[(0.43333333333333335, 0.14643219787410683, 1.9956657802686095)]"
cmaes,39,10,0.1,"[(0.033333333333333326, 0.01747753497636406, 46.606858124025166)]"
cmaes,39,10,0.2,"[(0.033333333333333326, 0.01747753497636406, 65.02399171609432)]"
cmaes,39,10,0.3,"[(0.033333333333333326, 0.013067642968679802, 110.87352421833202)]"
cmaes,39,10,0.4,"[(0.033333333333333326, 0.013222874844570994, 196.69082563137636)]"
cmaes,39,10,0.5,"[(0.033333333333333326, 0.013835097891049657, 249.11891766125336)]"
cmaes,39,10,0.6,"[(0.033333333333333326, 0.012217084766752687, 290.6874810969457)]"
cmaes,39,10,0.7,"[(0.033333333333333326, 0.012217084766752687, 290.6874810969457)]"
cmaes,39,10,0.8,"[(0.033333333333333326, 0.012217084766752687, 290.6874810969457)]"
cmaes,39,10,0.9,"[(0.033333333333333326, 0.012217084766752687, 290.6874810969457)]"
cmaes,39,10,1.0,"[(0.033333333333333326, 0.012217084766752687, 290.6874810969457)]"
cmaes,39,11,0.01,"[(0.30000000000000004, 0.19724925887678818, 2.7040217579342425)]"
cmaes,39,11,0.1,"[(0.033333333333333326, 0.024203628547458545, 50.829217473976314)]"
cmaes,39,11,0.2,"[(0.0, 0.023516917348158382, 105.13228728016838)]"
cmaes,39,11,0.3,"[(0.0, 0.023516917348158382, 105.13228728016838)]"
cmaes,39,11,0.4,"[(0.0, 0.023516917348158382, 105.13228728016838)]"
cmaes,39,11,0.5,"[(0.0, 0.023516917348158382, 105.13228728016838)]"
cmaes,39,11,0.6,"[(0.033333333333333326, 0.019960732888123268, 316.5501593258232)]"
cmaes,39,11,0.7,"[(0.033333333333333326, 0.019960732888123268, 316.5501593258232)]"
cmaes,39,11,0.8,"[(0.033333333333333326, 0.019960732888123268, 384.2772306231782)]"
cmaes,39,11,0.9,"[(0.033333333333333326, 0.019960732888123268, 384.2772306231782)]"
cmaes,39,11,1.0,"[(0.033333333333333326, 0.019960732888123268, 384.2772306231782)]"
cmaes,39,12,0.01,"[(0.4, 0.22145613836605396, 4.9272358398884535)]"
cmaes,39,12,0.1,"[(0.06666666666666665, 0.03373968070006223, 50.13369530392811)]"
cmaes,39,12,0.2,"[(0.06666666666666665, 0.030283700289283157, 99.24353960389271)]"
cmaes,39,12,0.3,"[(0.06666666666666665, 0.028419660856210224, 136.8119595539756)]"
cmaes,39,12,0.4,"[(0.06666666666666665, 0.028419660856210224, 136.8119595539756)]"
cmaes,39,12,0.5,"[(0.06666666666666665, 0.028419660856210224, 191.56615734100342)]"
cmaes,39,12,0.6,"[(0.06666666666666665, 0.028419660856210224, 237.05797116504982)]"
cmaes,39,12,0.7,"[(0.06666666666666665, 0.028419660856210224, 237.05797116504982)]"
cmaes,39,12,0.8,"[(0.06666666666666665, 0.028419660856210224, 237.05797116504982)]"
cmaes,39,12,0.9,"[(0.033333333333333326, 0.02732615182681685, 363.5853982530534)]"
cmaes,39,12,1.0,"[(0.033333333333333326, 0.02732615182681685, 363.5853982530534)]"
cmaes,39,13,0.01,"[(0.16666666666666663, 0.09574055624723325, 4.255900656804442)]"
cmaes,39,13,0.1,"[(0.06666666666666665, 0.03841503651433118, 41.147521833889186)]"
cmaes,39,13,0.2,"[(0.06666666666666665, 0.03740406383194835, 62.09341474575922)]"
cmaes,39,13,0.3,"[(0.06666666666666665, 0.03583350874188404, 113.2354125417769)]"
cmaes,39,13,0.4,"[(0.06666666666666665, 0.03583350874188404, 113.2354125417769)]"
cmaes,39,13,0.5,"[(0.06666666666666665, 0.03583350874188404, 113.2354125417769)]"
cmaes,39,13,0.6,"[(0.06666666666666665, 0.03583350874188404, 113.2354125417769)]"
cmaes,39,13,0.7,"[(0.06666666666666665, 0.03583350874188404, 113.2354125417769)]"
cmaes,39,13,0.8,"[(0.06666666666666665, 0.03583350874188404, 113.2354125417769)]"
cmaes,39,13,0.9,"[(0.06666666666666665, 0.03583350874188404, 113.2354125417769)]"
cmaes,39,13,1.0,"[(0.06666666666666665, 0.03583350874188404, 113.2354125417769)]"
cmaes,39,14,0.01,"[(0.19999999999999996, 0.1270629524295911, 2.882981357164681)]"
cmaes,39,14,0.1,"[(0.1333333333333333, 0.06275477442197035, 41.564036128111184)]"
cmaes,39,14,0.2,"[(0.09999999999999998, 0.0437019484381276, 79.26922666281462)]"
cmaes,39,14,0.3,"[(0.09999999999999998, 0.0437019484381276, 79.26922666281462)]"
cmaes,39,14,0.4,"[(0.16666666666666663, 0.04210648556197371, 145.53020151518285)]"
cmaes,39,14,0.5,"[(0.16666666666666663, 0.04210648556197371, 145.53020151518285)]"
cmaes,39,14,0.6,"[(0.16666666666666663, 0.04212062261702856, 222.42655786313117)]"
cmaes,39,14,0.7,"[(0.09999999999999998, 0.040761859885534504, 251.25186495203525)]"
cmaes,39,14,0.8,"[(0.09999999999999998, 0.040761859885534504, 251.25186495203525)]"
cmaes,39,14,0.9,"[(0.09999999999999998, 0.040761859885534504, 251.25186495203525)]"
cmaes,39,14,1.0,"[(0.09999999999999998, 0.040761859885534504, 251.25186495203525)]"
cmaes,39,15,0.01,"[(0.33333333333333337, 0.1859443983173535, 1.1356208357028663)]"
cmaes,39,15,0.1,"[(0.0, 0.03939904043534588, 33.90420543588698)]"
cmaes,39,15,0.2,"[(0.0, 0.03374401011137121, 74.74098416278139)]"
cmaes,39,15,0.3,"[(0.0, 0.032504162560604295, 130.27133486187086)]"
cmaes,39,15,0.4,"[(0.0, 0.03263677425957822, 154.90386416576803)]"
cmaes,39,15,0.5,"[(0.0, 0.032736938213027846, 235.93069829186425)]"
cmaes,39,15,0.6,"[(0.0, 0.032736938213027846, 235.93069829186425)]"
cmaes,39,15,0.7,"[(0.0, 0.032736938213027846, 235.93069829186425)]"
cmaes,39,15,0.8,"[(0.0, 0.032736938213027846, 235.93069829186425)]"
cmaes,39,15,0.9,"[(0.0, 0.032736938213027846, 235.93069829186425)]"
cmaes,39,15,1.0,"[(0.0, 0.03162463195487834, 456.36104254983366)]"
cmaes,39,16,0.01,"[(0.3666666666666667, 0.15743792319276884, 2.669319458771497)]"
cmaes,39,16,0.1,"[(0.06666666666666665, 0.04759041699460866, 33.143030947074294)]"
cmaes,39,16,0.2,"[(0.033333333333333326, 0.03432747383567301, 72.71353301312774)]"
cmaes,39,16,0.3,"[(0.033333333333333326, 0.03432747383567301, 72.71353301312774)]"
cmaes,39,16,0.4,"[(0.033333333333333326, 0.03343582361517741, 132.04925020877272)]"
cmaes,39,16,0.5,"[(0.033333333333333326, 0.03343582361517741, 163.12076567811891)]"
cmaes,39,16,0.6,"[(0.033333333333333326, 0.03343582361517741, 163.12076567811891)]"
cmaes,39,16,0.7,"[(0.033333333333333326, 0.03343582361517741, 163.12076567811891)]"
cmaes,39,16,0.8,"[(0.033333333333333326, 0.03343582361517741, 163.12076567811891)]"
cmaes,39,16,0.9,"[(0.033333333333333326, 0.03343582361517741, 163.12076567811891)]"
cmaes,39,16,1.0,"[(0.033333333333333326, 0.03343582361517741, 163.12076567811891)]"
cmaes,39,17,0.01,"[(0.3666666666666667, 0.1897281492144333, 4.685432888101786)]"
cmaes,39,17,0.1,"[(0.09999999999999998, 0.03856659812340824, 61.74561601597816)]"
cmaes,39,17,0.2,"[(0.09999999999999998, 0.03856659812340824, 61.74561601597816)]"
cmaes,39,17,0.3,"[(0.09999999999999998, 0.03856659812340824, 61.74561601597816)]"
cmaes,39,17,0.4,"[(0.09999999999999998, 0.03856659812340824, 61.74561601597816)]"
cmaes,39,17,0.5,"[(0.09999999999999998, 0.03856659812340824, 61.74561601597816)]"
cmaes,39,17,0.6,"[(0.06666666666666665, 0.031236591746710344, 311.61785868927836)]"
cmaes,39,17,0.7,"[(0.06666666666666665, 0.031345170393068576, 406.79324503801763)]"
cmaes,39,17,0.8,"[(0.06666666666666665, 0.031345170393068576, 406.79324503801763)]"
cmaes,39,17,0.9,"[(0.06666666666666665, 0.031345170393068576, 406.79324503801763)]"
cmaes,39,17,1.0,"[(0.06666666666666665, 0.031345170393068576, 406.79324503801763)]"
cmaes,39,18,0.01,"[(0.1333333333333333, 0.10417452938989732, 4.747510766144842)]"
cmaes,39,18,0.1,"[(0.033333333333333326, 0.025066876741958732, 49.76583100296557)]"
cmaes,39,18,0.2,"[(0.033333333333333326, 0.02470844324662277, 102.39750807220116)]"
cmaes,39,18,0.3,"[(0.033333333333333326, 0.025935286986690047, 169.81681511830539)]"
cmaes,39,18,0.4,"[(0.033333333333333326, 0.025935286986690047, 169.81681511830539)]"
cmaes,39,18,0.5,"[(0.033333333333333326, 0.025935286986690047, 274.27657217532396)]"
cmaes,39,18,0.6,"[(0.033333333333333326, 0.024107839754037446, 326.7203781749122)]"
cmaes,39,18,0.7,"[(0.033333333333333326, 0.024107839754037446, 391.5934651629068)]"
cmaes,39,18,0.8,"[(0.033333333333333326, 0.024107839754037446, 391.5934651629068)]"
cmaes,39,18,0.9,"[(0.033333333333333326, 0.024107839754037446, 391.5934651629068)]"
cmaes,39,18,1.0,"[(0.033333333333333326, 0.024107839754037446, 391.5934651629068)]"
cmaes,39,19,0.01,"[(0.033333333333333326, 0.10989636551384899, 4.6285769529640675)]"
cmaes,39,19,0.1,"[(0.033333333333333326, 0.039584581715095477, 50.13694058638066)]"
cmaes,39,19,0.2,"[(0.033333333333333326, 0.02169415828533779, 106.44785274425521)]"
cmaes,39,19,0.3,"[(0.0, 0.009283749311556892, 159.43070284835994)]"
cmaes,39,19,0.4,"[(0.0, 0.007287414463271884, 185.6185204279609)]"
