algorithm,dimension,run,checkpoint,error
cmaes,39,0,0.01,"[(0.033333333333333326, 0.03176415377084117, 13.621507697738707)]"
cmaes,39,0,0.1,"[(0.4, 0.2594887139539475, 48.24814695864916)]"
cmaes,39,0,0.2,"[(0.4, 0.2594887139539475, 48.24814695864916)]"
cmaes,39,0,0.3,"[(0.4, 0.2594887139539475, 48.24814695864916)]"
cmaes,39,0,0.4,"[(0.4, 0.2594887139539475, 48.24814695864916)]"
cmaes,39,0,0.5,"[(0.6333333333333333, 0.3547056010548807, 183.88860387401655)]"
cmaes,39,0,0.6,"[(0.6333333333333333, 0.3547056010548807, 183.88860387401655)]"
cmaes,39,0,0.7,"[(0.6333333333333333, 0.3547056010548807, 183.88860387401655)]"
cmaes,39,0,0.8,"[(0.6333333333333333, 0.3547056010548807, 183.88860387401655)]"
cmaes,39,0,0.9,"[(0.6333333333333333, 0.3547056010548807, 183.88860387401655)]"
cmaes,39,0,1.0,"[(0.6333333333333333, 0.3547056010548807, 183.88860387401655)]"
cmaes,39,1,0.01,"[(0.06666666666666665, 0.02159851492577103, 16.088737331796438)]"
cmaes,39,1,0.1,"[(0.1333333333333333, 0.06000383838840676, 48.20100278407335)]"
cmaes,39,1,0.2,"[(0.1333333333333333, 0.06000383838840676, 48.20100278407335)]"
cmaes,39,1,0.3,"[(0.1333333333333333, 0.06000383838840676, 48.20100278407335)]"
cmaes,39,1,0.4,"[(0.6, 0.3970109099886573, 157.7753492258489)]"
cmaes,39,1,0.5,"[(0.6, 0.3970109099886573, 184.09422753704712)]"
cmaes,39,1,0.6,"[(0.5666666666666667, 0.34669776768941013, 201.29907361604273)]"
cmaes,39,1,0.7,"[(0.5666666666666667, 0.34669776768941013, 201.29907361604273)]"
cmaes,39,1,0.8,"[(0.5666666666666667, 0.34669776768941013, 201.29907361604273)]"
cmaes,39,1,0.9,"[(0.5666666666666667, 0.34669776768941013, 201.29907361604273)]"
cmaes,39,1,1.0,"[(0.5666666666666667, 0.34669776768941013, 201.29907361604273)]"
cmaes,39,2,0.01,"[(0.06666666666666665, 0.02788099146537313, 14.540348314680159)]"
cmaes,39,2,0.1,"[(0.4, 0.26651581040384853, 32.6372450357303)]"
cmaes,39,2,0.2,"[(0.4, 0.26651581040384853, 32.6372450357303)]"
cmaes,39,2,0.3,"[(0.4, 0.2666107242529849, 127.31410480896011)]"
cmaes,39,2,0.4,"[(0.4, 0.26696812450454716, 132.6850204449147)]"
