algorithm,dimension,run,checkpoint,error
cmaes,39,0,0.01,"[(0.7666666666666666, 0.26960809236613237, 2.396378912962973)]"
cmaes,39,0,0.1,"[(0.6, 0.17341509268302546, 34.8006825982593)]"
cmaes,39,0,0.2,"[(0.06666666666666665, 0.0170583726739394, 55.050301826093346)]"
cmaes,39,0,0.3,"[(0.06666666666666665, 0.01884934808866671, 85.3241823092103)]"
cmaes,39,0,0.4,"[(0.033333333333333326, 0.009701866001593153, 113.41414481634274)]"
cmaes,39,0,0.5,"[(0.033333333333333326, 0.009681194687663059, 136.80578808719292)]"
cmaes,39,0,0.6,"[(0.033333333333333326, 0.009681194687663059, 136.80578808719292)]"
cmaes,39,0,0.7,"[(0.033333333333333326, 0.009681194687663059, 136.80578808719292)]"
cmaes,39,0,0.8,"[(0.033333333333333326, 0.009681194687663059, 136.80578808719292)]"
cmaes,39,0,0.9,"[(0.033333333333333326, 0.009681194687663059, 136.80578808719292)]"
cmaes,39,0,1.0,"[(0.033333333333333326, 0.009681194687663059, 136.80578808719292)]"
cmaes,39,1,0.01,"[(0.6666666666666667, 0.21109975106141993, 0.8002690970897675)]"
cmaes,39,1,0.1,"[(0.33333333333333337, 0.17490874030068618, 38.551610777154565)]"
cmaes,39,1,0.2,"[(0.1333333333333333, 0.04826384791299196, 61.599692611023784)]"
cmaes,39,1,0.3,"[(0.1333333333333333, 0.05849066107150321, 72.85892341379076)]"
cmaes,39,1,0.4,"[(0.1333333333333333, 0.05849066107150321, 72.85892341379076)]"
cmaes,39,1,0.5,"[(0.09999999999999998, 0.05853860640458038, 130.18914173496887)]"
cmaes,39,1,0.6,"[(0.16666666666666663, 0.10991953112430977, 139.50201972806826)]"
cmaes,39,1,0.7,"[(0.16666666666666663, 0.10991953112430977, 139.50201972806826)]"
cmaes,39,1,0.8,"[(0.09999999999999998, 0.06688206877154787, 195.83106127288193)]"
cmaes,39,1,0.9,"[(0.16666666666666663, 0.09866594887500683, 212.2241856381297)]"
cmaes,39,1,1.0,"[(0.16666666666666663, 0.09866594887500683, 212.2241856381297)]"
cmaes,39,2,0.01,"[(0.5, 0.2365577401411199, 3.551328191999346)]"
cmaes,39,2,0.1,"[(0.033333333333333326, 0.022746420570534116, 31.49203680967912)]"
cmaes,39,2,0.2,"[(0.1333333333333333, 0.06881026159328302, 52.26745635876432)]"
cmaes,39,2,0.3,"[(0.09999999999999998, 0.04790149619119081, 77.3620458538644)]"
cmaes,39,2,0.4,"[(0.16666666666666663, 0.08047561843639453, 92.98701090272516)]"
cmaes,39,2,0.5,"[(0.1333333333333333, 0.06557665682400951, 97.60310380067676)]"
cmaes,39,2,0.6,"[(0.1333333333333333, 0.06557665682400951, 97.60310380067676)]"
cmaes,39,2,0.7,"[(0.1333333333333333, 0.07058919876575079, 147.691004792694)]"
cmaes,39,2,0.8,"[(0.1333333333333333, 0.07058919876575079, 147.691004792694)]"
cmaes,39,2,0.9,"[(0.1333333333333333, 0.07058919876575079, 147.691004792694)]"
cmaes,39,2,1.0,"[(0.1333333333333333, 0.07058919876575079, 147.691004792694)]"
cmaes,39,3,0.01,"[(0.33333333333333337, 0.18930051703952291, 4.168238652404398)]"
cmaes,39,3,0.1,"[(0.06666666666666665, 0.04089447954538341, 32.19792426517233)]"
cmaes,39,3,0.2,"[(0.033333333333333326, 0.023152991921434322, 50.63215225934982)]"
cmaes,39,3,0.3,"[(0.033333333333333326, 0.019463048993771364, 56.33327855402604)]"
cmaes,39,3,0.4,"[(0.033333333333333326, 0.02293985816488999, 73.28867820231244)]"
cmaes,39,3,0.5,"[(0.033333333333333326, 0.02653623967094192, 103.46983719337732)]"
cmaes,39,3,0.6,"[(0.033333333333333326, 0.009095007105524617, 120.17311927303672)]"
cmaes,39,3,0.7,"[(0.0, 0.0010918352337995307, 142.62796836625785)]"
cmaes,39,3,0.8,"[(0.0, 0.0010918352337995307, 142.62796836625785)]"
cmaes,39,3,0.9,"[(0.0, 0.0010918352337995307, 142.62796836625785)]"
cmaes,39,3,1.0,"[(0.0, 0.0010918352337995307, 142.62796836625785)]"
cmaes,39,4,0.01,"[(0.3666666666666667, 0.16693813848311895, 3.407834507059306)]"
cmaes,39,4,0.1,"[(0.30000000000000004, 0.14068819685265332, 40.09437720198184)]"
cmaes,39,4,0.2,"[(0.23333333333333328, 0.12693771726506042, 46.06257492816076)]"
cmaes,39,4,0.3,"[(0.23333333333333328, 0.12693771726506042, 46.06257492816076)]"
cmaes,39,4,0.4,"[(0.033333333333333326, 0.007636312130982412, 113.25917345425114)]"
cmaes,39,4,0.5,"[(0.0, 0.014929761368587162, 143.05812251986936)]"
cmaes,39,4,0.6,"[(0.0, 0.014929761368587162, 143.05812251986936)]"
cmaes,39,4,0.7,"[(0.0, 0.014929761368587162, 143.05812251986936)]"
cmaes,39,4,0.8,"[(0.0, 0.014929761368587162, 143.05812251986936)]"
cmaes,39,4,0.9,"[(0.1333333333333333, 0.07268156527880279, 248.92839868087322)]"
cmaes,39,4,1.0,"[(0.1333333333333333, 0.08890743964490982, 252.69020716194063)]"
cmaes,39,5,0.01,"[(0.3666666666666667, 0.17325087687896887, 3.5837545678950846)]"
cmaes,39,5,0.1,"[(0.2666666666666667, 0.10980278165432582, 28.44629740389064)]"
cmaes,39,5,0.2,"[(0.0, 0.011030464180217752, 45.79262005817145)]"
cmaes,39,5,0.3,"[(0.1333333333333333, 0.044727150416869275, 69.47929127281532)]"
