algorithm,dimension,run,checkpoint,error
cmaes,39,0,0.01,"[(0.5333333333333333, 0.22751638934391735, 0.3496299423277378)]"
cmaes,39,0,0.1,"[(0.06666666666666665, 0.04263564063127083, 27.13987226737663)]"
cmaes,39,0,0.2,"[(0.06666666666666665, 0.043635600971509335, 52.70645588822663)]"
cmaes,39,0,0.3,"[(0.09999999999999998, 0.0678542288207047, 80.25591647811234)]"
cmaes,39,0,0.4,"[(0.09999999999999998, 0.0678542288207047, 80.25591647811234)]"
cmaes,39,0,0.5,"[(0.09999999999999998, 0.0678542288207047, 80.25591647811234)]"
cmaes,39,0,0.6,"[(0.09999999999999998, 0.0678542288207047, 80.25591647811234)]"
cmaes,39,0,0.7,"[(0.09999999999999998, 0.0678542288207047, 80.25591647811234)]"
cmaes,39,0,0.8,"[(0.09999999999999998, 0.0678542288207047, 80.25591647811234)]"
cmaes,39,0,0.9,"[(0.09999999999999998, 0.0678542288207047, 80.25591647811234)]"
cmaes,39,0,1.0,"[(0.09999999999999998, 0.0678542288207047, 80.25591647811234)]"
cmaes,39,1,0.01,"[(0.43333333333333335, 0.23092912705813823, 0.2995995879173279)]"
cmaes,39,1,0.1,"[(0.16666666666666663, 0.10308104488710572, 40.24197614192963)]"
cmaes,39,1,0.2,"[(0.1333333333333333, 0.07843031072555157, 49.51364099280909)]"
cmaes,39,1,0.3,"[(0.16666666666666663, 0.07462163155976095, 97.87803807994351)]"
cmaes,39,1,0.4,"[(0.2666666666666667, 0.11234948831818721, 106.5752654937096)]"
cmaes,39,1,0.5,"[(0.2666666666666667, 0.11234948831818721, 106.5752654937096)]"
cmaes,39,1,0.6,"[(0.30000000000000004, 0.17164847348057838, 194.4104591459036)]"
cmaes,39,1,0.7,"[(0.16666666666666663, 0.11297537567845034, 214.78663457976654)]"
cmaes,39,1,0.8,"[(0.16666666666666663, 0.11297537567845034, 214.78663457976654)]"
cmaes,39,1,0.9,"[(0.16666666666666663, 0.10739203280958097, 253.07814882183447)]"
cmaes,39,1,1.0,"[(0.16666666666666663, 0.10739203280958097, 253.07814882183447)]"
cmaes,39,2,0.01,"[(0.16666666666666663, 0.10368344011866455, 2.9656671416014433)]"
cmaes,39,2,0.1,"[(0.06666666666666665, 0.038155071234640715, 32.18720015557483)]"
cmaes,39,2,0.2,"[(0.033333333333333326, 0.019525080922090227, 42.69899446563795)]"
cmaes,39,2,0.3,"[(0.033333333333333326, 0.01696686128385536, 68.21994311502203)]"
cmaes,39,2,0.4,"[(0.09999999999999998, 0.04247625304950879, 111.98237843066454)]"
cmaes,39,2,0.5,"[(0.09999999999999998, 0.04263009755762126, 113.099496898707)]"
cmaes,39,2,0.6,"[(0.09999999999999998, 0.029004422326872604, 149.38410319574177)]"
cmaes,39,2,0.7,"[(0.09999999999999998, 0.029004422326872604, 149.38410319574177)]"
cmaes,39,2,0.8,"[(0.09999999999999998, 0.029004422326872604, 149.38410319574177)]"
cmaes,39,2,0.9,"[(0.09999999999999998, 0.029004422326872604, 149.38410319574177)]"
cmaes,39,2,1.0,"[(0.09999999999999998, 0.029004422326872604, 149.38410319574177)]"
cmaes,39,3,0.01,"[(0.5666666666666667, 0.22546382295300735, 1.5013061361387372)]"
cmaes,39,3,0.1,"[(0.2666666666666667, 0.09133376823719533, 33.25557305011898)]"
cmaes,39,3,0.2,"[(0.1333333333333333, 0.05541517429291912, 63.68330497900024)]"
cmaes,39,3,0.3,"[(0.06666666666666665, 0.04807863457803425, 88.37309309700504)]"
cmaes,39,3,0.4,"[(0.06666666666666665, 0.04629499661404481, 92.52515025017783)]"
cmaes,39,3,0.5,"[(0.06666666666666665, 0.04629499661404481, 92.52515025017783)]"
cmaes,39,3,0.6,"[(0.06666666666666665, 0.04629499661404481, 92.52515025017783)]"
cmaes,39,3,0.7,"[(0.06666666666666665, 0.04629499661404481, 92.52515025017783)]"
cmaes,39,3,0.8,"[(0.09999999999999998, 0.0634378394700521, 190.713842228055)]"
cmaes,39,3,0.9,"[(0.16666666666666663, 0.11011298338560896, 226.16651590308174)]"
cmaes,39,3,1.0,"[(0.16666666666666663, 0.11011298338560896, 226.16651590308174)]"
cmaes,39,4,0.01,"[(0.33333333333333337, 0.14433902899056486, 3.1714482768438756)]"
cmaes,39,4,0.1,"[(0.0, 0.014112353804709925, 38.997820287011564)]"
cmaes,39,4,0.2,"[(0.06666666666666665, 0.03252377060239643, 57.77697241213173)]"
cmaes,39,4,0.3,"[(0.06666666666666665, 0.03252377060239643, 57.77697241213173)]"
cmaes,39,4,0.4,"[(0.1333333333333333, 0.0747118302213221, 105.11047104280442)]"
cmaes,39,4,0.5,"[(0.1333333333333333, 0.0747118302213221, 105.11047104280442)]"
cmaes,39,4,0.6,"[(0.033333333333333326, 0.021856326967476483, 161.3041238808073)]"
cmaes,39,4,0.7,"[(0.033333333333333326, 0.021856326967476483, 161.3041238808073)]"
cmaes,39,4,0.8,"[(0.033333333333333326, 0.021856326967476483, 161.3041238808073)]"
cmaes,39,4,0.9,"[(0.033333333333333326, 0.021856326967476483, 161.3041238808073)]"
cmaes,39,4,1.0,"[(0.033333333333333326, 0.021856326967476483, 161.3041238808073)]"
cmaes,39,5,0.01,"[(0.3666666666666667, 0.21144875398724564, 4.788939688354731)]"
cmaes,39,5,0.1,"[(0.2666666666666667, 0.16349482764255371, 34.063943127170205)]"
cmaes,39,5,0.2,"[(0.1333333333333333, 0.09116522494310186, 46.023534084204584)]"
cmaes,39,5,0.3,"[(0.1333333333333333, 0.07689966542058436, 76.05641714623198)]"
cmaes,39,5,0.4,"[(0.033333333333333326, 0.017175663805964952, 88.11584372539073)]"
cmaes,39,5,0.5,"[(0.033333333333333326, 0.017175663805964952, 88.11584372539073)]"
cmaes,39,5,0.6,"[(0.033333333333333326, 0.017175663805964952, 88.11584372539073)]"
cmaes,39,5,0.7,"[(0.033333333333333326, 0.017175663805964952, 88.11584372539073)]"
cmaes,39,5,0.8,"[(0.033333333333333326, 0.017175663805964952, 88.11584372539073)]"
cmaes,39,5,0.9,"[(0.033333333333333326, 0.017175663805964952, 88.11584372539073)]"
cmaes,39,5,1.0,"[(0.033333333333333326, 0.017175663805964952, 88.11584372539073)]"
cmaes,39,6,0.01,"[(0.5333333333333333, 0.2701771822237398, 0.8527158042415977)]"
cmaes,39,6,0.1,"[(0.0, 0.0063998548557504175, 33.75767117505893)]"
cmaes,39,6,0.2,"[(0.033333333333333326, 0.015310057746757833, 42.75908798119053)]"
cmaes,39,6,0.3,"[(0.06666666666666665, 0.018621695078654868, 43.72398348106071)]"
cmaes,39,6,0.4,"[(0.06666666666666665, 0.018621695078654868, 43.72398348106071)]"
cmaes,39,6,0.5,"[(0.06666666666666665, 0.018621695078654868, 43.72398348106071)]"
cmaes,39,6,0.6,"[(0.09999999999999998, 0.039446355392946594, 138.3993033231236)]"
