algorithm,dimension,run,checkpoint,error
cmaes,39,0,0.01,"[(0.16666666666666663, 0.07487029198769554, 2.8017686340026557)]"
cmaes,39,0,0.1,"[(0.16666666666666663, 0.08341115023253089, 30.06896130880341)]"
cmaes,39,0,0.2,"[(0.09999999999999998, 0.06591447580425189, 49.61367177590728)]"
cmaes,39,0,0.3,"[(0.09999999999999998, 0.06591447580425189, 49.61367177590728)]"
cmaes,39,0,0.4,"[(0.09999999999999998, 0.06591447580425189, 49.61367177590728)]"
cmaes,39,0,0.5,"[(0.09999999999999998, 0.06591447580425189, 49.61367177590728)]"
cmaes,39,0,0.6,"[(0.09999999999999998, 0.06591447580425189, 49.61367177590728)]"
cmaes,39,0,0.7,"[(0.09999999999999998, 0.06591447580425189, 49.61367177590728)]"
cmaes,39,0,0.8,"[(0.09999999999999998, 0.06591447580425189, 49.61367177590728)]"
cmaes,39,0,0.9,"[(0.09999999999999998, 0.06591447580425189, 49.61367177590728)]"
cmaes,39,0,1.0,"[(0.09999999999999998, 0.06591447580425189, 49.61367177590728)]"
cmaes,39,1,0.01,"[(0.3666666666666667, 0.11407311358806208, 4.545447515789419)]"
cmaes,39,1,0.1,"[(0.033333333333333326, 0.016745284335966188, 31.498112559784204)]"
cmaes,39,1,0.2,"[(0.16666666666666663, 0.08654641609234279, 53.799328073859215)]"
cmaes,39,1,0.3,"[(0.16666666666666663, 0.08654641609234279, 53.799328073859215)]"
cmaes,39,1,0.4,"[(0.16666666666666663, 0.08654641609234279, 53.799328073859215)]"
cmaes,39,1,0.5,"[(0.16666666666666663, 0.08654641609234279, 53.799328073859215)]"
cmaes,39,1,0.6,"[(0.16666666666666663, 0.08654641609234279, 53.799328073859215)]"
cmaes,39,1,0.7,"[(0.16666666666666663, 0.08654641609234279, 53.799328073859215)]"
cmaes,39,1,0.8,"[(0.16666666666666663, 0.08654641609234279, 53.799328073859215)]"
cmaes,39,1,0.9,"[(0.16666666666666663, 0.08654641609234279, 53.799328073859215)]"
cmaes,39,1,1.0,"[(0.16666666666666663, 0.08654641609234279, 53.799328073859215)]"
