algorithm,dimension,run,checkpoint,error
cmaes,39,0,0.01,"[(0.5333333333333333, 0.2148095362843354, 0.7043613940477371)]"
cmaes,39,0,0.1,"[(0.16666666666666663, 0.14413960405492451, 8.828240191098303)]"
cmaes,39,0,0.2,"[(0.1333333333333333, 0.08280369633793049, 18.844829684123397)]"
cmaes,39,0,0.3,"[(0.06666666666666665, 0.07742211365860412, 29.101411406416446)]"
cmaes,39,0,0.4,"[(0.09999999999999998, 0.04582169600306639, 38.141065776348114)]"
cmaes,39,0,0.5,"[(0.09999999999999998, 0.04582169600306639, 38.141065776348114)]"
cmaes,39,0,0.6,"[(0.033333333333333326, 0.027305653139917948, 54.97400043299422)]"
cmaes,39,0,0.7,"[(0.06666666666666665, 0.028410297018426962, 65.61104058707133)]"
cmaes,39,0,0.8,"[(0.06666666666666665, 0.028410297018426962, 65.61104058707133)]"
cmaes,39,0,0.9,"[(0.033333333333333326, 0.022106982882330047, 79.7166324192658)]"
cmaes,39,0,1.0,"[(0.033333333333333326, 0.022106982882330047, 79.7166324192658)]"
cmaes,39,1,0.01,"[(0.33333333333333337, 0.19051451299003766, 0.7788369948975742)]"
cmaes,39,1,0.1,"[(0.33333333333333337, 0.19051451299003766, 2.9363305061124265)]"
cmaes,39,1,0.2,"[(0.3666666666666667, 0.13721348275071474, 20.876116869039834)]"
cmaes,39,1,0.3,"[(0.09999999999999998, 0.08548297467727393, 28.87312447000295)]"
cmaes,39,1,0.4,"[(0.1333333333333333, 0.06777815776792835, 40.2423424590379)]"
cmaes,39,1,0.5,"[(0.1333333333333333, 0.045092621622145265, 52.0569521212019)]"
cmaes,39,1,0.6,"[(0.09999999999999998, 0.0330748018107708, 63.5675925319083)]"
cmaes,39,1,0.7,"[(0.09999999999999998, 0.030893119162150807, 72.20252938801423)]"
cmaes,39,1,0.8,"[(0.06666666666666665, 0.029955119357577838, 76.07459613122046)]"
cmaes,39,1,0.9,"[(0.09999999999999998, 0.03545260865063573, 90.63173489505425)]"
cmaes,39,1,1.0,"[(0.09999999999999998, 0.03545260865063573, 90.63173489505425)]"
cmaes,39,2,0.01,"[(0.7, 0.2646032614018094, 0.06277412222698331)]"
cmaes,39,2,0.1,"[(0.4, 0.14993816996531692, 9.489469703286886)]"
cmaes,39,2,0.2,"[(0.30000000000000004, 0.11419824694966363, 20.21339408494532)]"
cmaes,39,2,0.3,"[(0.09999999999999998, 0.07379360320994036, 30.667044200003147)]"
cmaes,39,2,0.4,"[(0.033333333333333326, 0.045257185499130034, 37.50368194794282)]"
cmaes,39,2,0.5,"[(0.033333333333333326, 0.024822643997716724, 50.27021552808583)]"
cmaes,39,2,0.6,"[(0.033333333333333326, 0.024623429108715393, 60.50868831714615)]"
cmaes,39,2,0.7,"[(0.06666666666666665, 0.022476655136102103, 70.44532695924863)]"
cmaes,39,2,0.8,"[(0.06666666666666665, 0.022476655136102103, 70.44532695924863)]"
cmaes,39,2,0.9,"[(0.033333333333333326, 0.018797590711017064, 84.42834237031639)]"
cmaes,39,2,1.0,"[(0.033333333333333326, 0.02351869295547821, 90.03007613215595)]"
cmaes,39,3,0.01,"[(0.43333333333333335, 0.2336574719962275, 0.26407021516934037)]"
cmaes,39,3,0.1,"[(0.33333333333333337, 0.1243378844973419, 4.612903672736138)]"
cmaes,39,3,0.2,"[(0.033333333333333326, 0.06269365891561839, 6.599952078890055)]"
cmaes,39,3,0.3,"[(0.033333333333333326, 0.027212601118067767, 15.138703195843846)]"
cmaes,39,3,0.4,"[(0.033333333333333326, 0.018916181919099145, 25.20795203372836)]"
cmaes,39,3,0.5,"[(0.06666666666666665, 0.02916553794722807, 26.852407136000693)]"
cmaes,39,3,0.6,"[(0.033333333333333326, 0.016890295497976545, 43.96584401000291)]"
cmaes,39,3,0.7,"[(0.0, 0.007574712302303519, 49.28753023175523)]"
cmaes,39,3,0.8,"[(0.0, 0.010131294307475646, 59.06097700307146)]"
cmaes,39,3,0.9,"[(0.0, 0.007310122718526953, 71.53554175188765)]"
cmaes,39,3,1.0,"[(0.0, 0.007310122718526953, 71.53554175188765)]"
cmaes,39,4,0.01,"[(0.6666666666666667, 0.22651486479953437, 0.3156822472810745)]"
cmaes,39,4,0.1,"[(0.33333333333333337, 0.1848385586214829, 6.832936936058104)]"
cmaes,39,4,0.2,"[(0.23333333333333328, 0.08801191110820686, 20.320184946991503)]"
cmaes,39,4,0.3,"[(0.23333333333333328, 0.08801191110820686, 21.63135255733505)]"
cmaes,39,4,0.4,"[(0.0, 0.03632037777177983, 39.54190120333806)]"
cmaes,39,4,0.5,"[(0.033333333333333326, 0.022170957211647704, 50.81637953221798)]"
cmaes,39,4,0.6,"[(0.0, 0.017731692390644146, 52.35763819515705)]"
