algorithm,dimension,run,checkpoint,error
nlshade,39,0,0.01,"[(0.8, 1.1150514610251065, 1.4520034790039062)]"
nlshade,39,0,0.1,"[(0.19999999999999996, 0.9452006398226612, 12.702012062072754)]"
nlshade,39,0,0.2,"[(0.33333333333333337, 0.7900187253051508, 25.293538570404053)]"
nlshade,39,0,0.3,"[(0.33333333333333337, 0.5726834603812966, 37.544804096221924)]"
nlshade,39,0,0.4,"[(0.30000000000000004, 0.47633319547142156, 50.16201043128967)]"
nlshade,39,0,0.5,"[(0.23333333333333328, 0.4070953106842759, 62.823275327682495)]"
nlshade,39,0,0.6,"[(0.033333333333333326, 0.24887224356228413, 75.7175362110138)]"
nlshade,39,0,0.7,"[(0.06666666666666665, 0.2326409895487688, 88.62719893455505)]"
nlshade,39,0,0.8,"[(0.06666666666666665, 0.23091772203397345, 101.83567309379578)]"
nlshade,39,0,0.9,"[(0.06666666666666665, 0.23098524382352245, 115.36070704460144)]"
nlshade,39,0,1.0,"[(0.06666666666666665, 0.23107100817853132, 129.34759831428528)]"
nlshade,39,1,0.01,"[(0.7333333333333334, 1.105400950467917, 1.4731237888336182)]"
nlshade,39,1,0.1,"[(0.5, 1.0353581257539977, 12.672696828842163)]"
nlshade,39,1,0.2,"[(0.06666666666666665, 0.8234345007246193, 24.93350887298584)]"
nlshade,39,1,0.3,"[(0.2666666666666667, 0.6658837335380275, 37.13746690750122)]"
nlshade,39,1,0.4,"[(0.09999999999999998, 0.543605442178661, 49.6161584854126)]"
nlshade,39,1,0.5,"[(0.2666666666666667, 0.48524749667843625, 62.24174785614014)]"
nlshade,39,1,0.6,"[(0.06666666666666665, 0.33042396271835256, 75.09690833091736)]"
nlshade,39,1,0.7,"[(0.06666666666666665, 0.23591872799027788, 87.91586899757385)]"
nlshade,39,1,0.8,"[(0.06666666666666665, 0.21259256497201748, 101.07215642929077)]"
nlshade,39,1,0.9,"[(0.06666666666666665, 0.20706871039558783, 114.47952365875244)]"
nlshade,39,1,1.0,"[(0.06666666666666665, 0.20593530944318203, 128.34277248382568)]"
nlshade,39,2,0.01,"[(0.7, 1.1094702044489275, 1.4506444931030273)]"
nlshade,39,2,0.1,"[(0.5, 1.0548367449014158, 12.644012212753296)]"
nlshade,39,2,0.2,"[(0.5, 0.7694253768997137, 26.232354879379272)]"
nlshade,39,2,0.3,"[(0.30000000000000004, 0.5535725389658356, 40.611408948898315)]"
nlshade,39,2,0.4,"[(0.23333333333333328, 0.48604646190186857, 55.4660849571228)]"
nlshade,39,2,0.5,"[(0.16666666666666663, 0.4364534349823603, 70.32704162597656)]"
nlshade,39,2,0.6,"[(0.033333333333333326, 0.3168505724692507, 85.42569923400879)]"
nlshade,39,2,0.7,"[(0.033333333333333326, 0.258037666100598, 100.51610779762268)]"
nlshade,39,2,0.8,"[(0.033333333333333326, 0.25478577893212456, 115.92923903465271)]"
nlshade,39,2,0.9,"[(0.033333333333333326, 0.24440197164905603, 131.57925629615784)]"
nlshade,39,2,1.0,"[(0.033333333333333326, 0.2414513329162601, 145.53695368766785)]"
nlshade,39,3,0.01,"[(0.3666666666666667, 1.096143580877693, 1.4640982151031494)]"
nlshade,39,3,0.1,"[(0.6666666666666667, 1.0319617503096552, 12.819242715835571)]"
nlshade,39,3,0.2,"[(0.33333333333333337, 0.7771146564571189, 25.45620584487915)]"
nlshade,39,3,0.3,"[(0.33333333333333337, 0.652669985260335, 37.647984743118286)]"
nlshade,39,3,0.4,"[(0.16666666666666663, 0.49025145278712223, 50.28077435493469)]"
nlshade,39,3,0.5,"[(0.06666666666666665, 0.40205402445087185, 62.91758608818054)]"
nlshade,39,3,0.6,"[(0.0, 0.29425113141810383, 75.73775720596313)]"
nlshade,39,3,0.7,"[(0.0, 0.2336916662379858, 88.56412315368652)]"
nlshade,39,3,0.8,"[(0.0, 0.19978014355390533, 101.75842213630676)]"
nlshade,39,3,0.9,"[(0.0, 0.1964944835990413, 115.22396039962769)]"
nlshade,39,3,1.0,"[(0.0, 0.19530013232368806, 129.12062287330627)]"
nlshade,39,4,0.01,"[(0.7333333333333334, 1.0942438132738554, 1.4525516033172607)]"
nlshade,39,4,0.1,"[(0.5666666666666667, 0.9910996322178603, 12.735876321792603)]"
nlshade,39,4,0.2,"[(0.19999999999999996, 0.6605260953854768, 25.047346591949463)]"
nlshade,39,4,0.3,"[(0.033333333333333326, 0.6355282415807816, 37.35064888000488)]"
nlshade,39,4,0.4,"[(0.033333333333333326, 0.5217046603789718, 50.16574478149414)]"
nlshade,39,4,0.5,"[(0.033333333333333326, 0.4912944573538681, 63.25122690200806)]"
nlshade,39,4,0.6,"[(0.033333333333333326, 0.41614039030112765, 76.07395267486572)]"
nlshade,39,4,0.7,"[(0.033333333333333326, 0.28565826344489936, 88.87822008132935)]"
nlshade,39,4,0.8,"[(0.033333333333333326, 0.2635522643868096, 102.06516194343567)]"
nlshade,39,4,0.9,"[(0.033333333333333326, 0.25730254774810796, 115.55327868461609)]"
nlshade,39,4,1.0,"[(0.033333333333333326, 0.2562753861182548, 129.48662996292114)]"
nlshade,39,5,0.01,"[(0.7666666666666666, 1.1068752736751626, 1.453066110610962)]"
nlshade,39,5,0.1,"[(0.7333333333333334, 1.0776351854387396, 12.70836067199707)]"
nlshade,39,5,0.2,"[(0.4, 0.9047620362370813, 25.051297426223755)]"
nlshade,39,5,0.3,"[(0.4, 0.7557959633492541, 37.324204444885254)]"
nlshade,39,5,0.4,"[(0.4, 0.6075160618093063, 49.972663164138794)]"
nlshade,39,5,0.5,"[(0.4, 0.5740217152489251, 62.627317667007446)]"
nlshade,39,5,0.6,"[(0.1333333333333333, 0.4444966998445671, 75.49795079231262)]"
nlshade,39,5,0.7,"[(0.06666666666666665, 0.303311842496903, 88.35307097434998)]"
nlshade,39,5,0.8,"[(0.06666666666666665, 0.277501149076739, 101.55936598777771)]"
nlshade,39,5,0.9,"[(0.06666666666666665, 0.2589187628937259, 115.05639338493347)]"
nlshade,39,5,1.0,"[(0.06666666666666665, 0.26264422050220554, 129.0163917541504)]"
nlshade,39,6,0.01,"[(0.6333333333333333, 1.0915116432133039, 1.4581139087677002)]"
nlshade,39,6,0.1,"[(0.33333333333333337, 0.9610346874102913, 12.729827404022217)]"
nlshade,39,6,0.2,"[(0.06666666666666665, 0.6153864180775945, 25.052637815475464)]"
nlshade,39,6,0.3,"[(0.16666666666666663, 0.46415554742087956, 37.38509821891785)]"
nlshade,39,6,0.4,"[(0.06666666666666665, 0.39085701472629913, 49.99529695510864)]"
nlshade,39,6,0.5,"[(0.0, 0.31291873519710806, 62.70012426376343)]"
nlshade,39,6,0.6,"[(0.0, 0.2664522217144334, 75.67724347114563)]"
nlshade,39,6,0.7,"[(0.0, 0.19849135362428288, 88.5898277759552)]"
nlshade,39,6,0.8,"[(0.0, 0.17861932427099989, 101.82430815696716)]"
nlshade,39,6,0.9,"[(0.0, 0.17425324428434838, 115.38360619544983)]"
nlshade,39,6,1.0,"[(0.0, 0.1739274824808522, 129.38745045661926)]"
nlshade,39,7,0.01,"[(0.7, 1.09651427295874, 1.4971566200256348)]"
nlshade,39,7,0.1,"[(0.5, 0.9659451090063068, 12.871901750564575)]"
nlshade,39,7,0.2,"[(0.3666666666666667, 0.7637394145977593, 25.25592064857483)]"
nlshade,39,7,0.3,"[(0.19999999999999996, 0.6075482227928382, 37.46618890762329)]"
nlshade,39,7,0.4,"[(0.1333333333333333, 0.4965218426605852, 50.04145312309265)]"
nlshade,39,7,0.5,"[(0.06666666666666665, 0.3988937075999679, 62.731993198394775)]"
nlshade,39,7,0.6,"[(0.033333333333333326, 0.30325223980637755, 75.57362532615662)]"
nlshade,39,7,0.7,"[(0.033333333333333326, 0.2308365808950351, 88.42114186286926)]"
nlshade,39,7,0.8,"[(0.033333333333333326, 0.207469021694549, 101.61970853805542)]"
nlshade,39,7,0.9,"[(0.033333333333333326, 0.2091951772358309, 115.13663387298584)]"
nlshade,39,7,1.0,"[(0.033333333333333326, 0.2089455651630127, 129.11216807365417)]"
nlshade,39,8,0.01,"[(0.7, 1.1144038077583245, 1.4507131576538086)]"
nlshade,39,8,0.1,"[(0.30000000000000004, 0.8221416998191269, 12.62968373298645)]"
nlshade,39,8,0.2,"[(0.19999999999999996, 0.7078039583064398, 25.004281044006348)]"
nlshade,39,8,0.3,"[(0.1333333333333333, 0.5253929469726104, 37.22858738899231)]"
nlshade,39,8,0.4,"[(0.1333333333333333, 0.34022432243866074, 49.82797908782959)]"
nlshade,39,8,0.5,"[(0.033333333333333326, 0.32421286085781076, 62.47025537490845)]"
nlshade,39,8,0.6,"[(0.033333333333333326, 0.24745870989182944, 75.2827775478363)]"
nlshade,39,8,0.7,"[(0.033333333333333326, 0.20756127769321325, 88.13051176071167)]"
nlshade,39,8,0.8,"[(0.033333333333333326, 0.18086009854517907, 101.3313536643982)]"
nlshade,39,8,0.9,"[(0.033333333333333326, 0.18007175282316323, 114.86166143417358)]"
nlshade,39,8,1.0,"[(0.033333333333333326, 0.1804514074372769, 128.82161021232605)]"
nlshade,39,9,0.01,"[(0.7666666666666666, 1.1561212848600662, 1.450331211090088)]"
nlshade,39,9,0.1,"[(0.4666666666666667, 0.9951114769013449, 12.70482873916626)]"
nlshade,39,9,0.2,"[(0.4666666666666667, 0.7179511123374297, 25.080506563186646)]"
nlshade,39,9,0.3,"[(0.16666666666666663, 0.513296564558201, 37.32312750816345)]"
nlshade,39,9,0.4,"[(0.1333333333333333, 0.4561129171530455, 49.89718723297119)]"
nlshade,39,9,0.5,"[(0.033333333333333326, 0.3784323526987693, 62.566410303115845)]"
nlshade,39,9,0.6,"[(0.06666666666666665, 0.33168151913619415, 75.46003818511963)]"
nlshade,39,9,0.7,"[(0.033333333333333326, 0.2908225007216831, 88.3287513256073)]"
nlshade,39,9,0.8,"[(0.033333333333333326, 0.26494636350706247, 101.58627772331238)]"
nlshade,39,9,0.9,"[(0.033333333333333326, 0.25818048018528905, 115.13598942756653)]"
nlshade,39,9,1.0,"[(0.033333333333333326, 0.24874044872988502, 129.14906311035156)]"
nlshade,39,10,0.01,"[(0.7666666666666666, 1.1249632639354938, 1.4570882320404053)]"
nlshade,39,10,0.1,"[(0.7, 1.0525285244290838, 12.745449542999268)]"
nlshade,39,10,0.2,"[(0.30000000000000004, 0.7204542796037346, 25.069023370742798)]"
nlshade,39,10,0.3,"[(0.2666666666666667, 0.4966370917980234, 37.35892105102539)]"
nlshade,39,10,0.4,"[(0.09999999999999998, 0.4361553328857671, 50.019882917404175)]"
nlshade,39,10,0.5,"[(0.06666666666666665, 0.3647738090567743, 62.87280583381653)]"
nlshade,39,10,0.6,"[(0.0, 0.26773205728498334, 75.82704162597656)]"
nlshade,39,10,0.7,"[(0.0, 0.20251640912380148, 88.79697632789612)]"
nlshade,39,10,0.8,"[(0.0, 0.19678892485773178, 102.1184606552124)]"
nlshade,39,10,0.9,"[(0.0, 0.19859884796356156, 115.71601271629333)]"
nlshade,39,10,1.0,"[(0.0, 0.1962391406583179, 129.77410364151)]"
nlshade,39,11,0.01,"[(0.8333333333333334, 1.1278356114215355, 1.4851479530334473)]"
nlshade,39,11,0.1,"[(0.6333333333333333, 1.0582189062653231, 12.758885622024536)]"
nlshade,39,11,0.2,"[(0.3666666666666667, 0.7724828217408048, 25.014335870742798)]"
nlshade,39,11,0.3,"[(0.09999999999999998, 0.5466274739640328, 37.301453828811646)]"
nlshade,39,11,0.4,"[(0.06666666666666665, 0.44769534219944934, 49.958016872406006)]"
nlshade,39,11,0.5,"[(0.033333333333333326, 0.3472480307721684, 62.727083683013916)]"
nlshade,39,11,0.6,"[(0.0, 0.3355415821572088, 75.72225022315979)]"
nlshade,39,11,0.7,"[(0.06666666666666665, 0.3002777521438059, 88.6645975112915)]"
nlshade,39,11,0.8,"[(0.033333333333333326, 0.23950214386761834, 101.98003196716309)]"
nlshade,39,11,0.9,"[(0.033333333333333326, 0.24202485700237047, 115.59042525291443)]"
nlshade,39,11,1.0,"[(0.033333333333333326, 0.24355245928370034, 129.64520382881165)]"
nlshade,39,12,0.01,"[(0.7333333333333334, 1.107897899491018, 1.7077369689941406)]"
nlshade,39,12,0.1,"[(0.6333333333333333, 1.0319141486934345, 15.006369352340698)]"
nlshade,39,12,0.2,"[(0.43333333333333335, 0.7299167880232591, 28.158576726913452)]"
nlshade,39,12,0.3,"[(0.2666666666666667, 0.6668574168158025, 40.47361159324646)]"
nlshade,39,12,0.4,"[(0.16666666666666663, 0.5400620781155818, 53.13228678703308)]"
nlshade,39,12,0.5,"[(0.06666666666666665, 0.4104166674748807, 65.8477852344513)]"
nlshade,39,12,0.6,"[(0.06666666666666665, 0.3686483470268143, 78.75965929031372)]"
nlshade,39,12,0.7,"[(0.06666666666666665, 0.28546099834691263, 91.70531272888184)]"
nlshade,39,12,0.8,"[(0.06666666666666665, 0.2827313336153523, 105.04264998435974)]"
nlshade,39,12,0.9,"[(0.06666666666666665, 0.2762080262723414, 118.66425609588623)]"
nlshade,39,12,1.0,"[(0.06666666666666665, 0.27373943952916835, 132.7067677974701)]"
nlshade,39,13,0.01,"[(0.7, 1.095840670230323, 1.4510738849639893)]"
nlshade,39,13,0.1,"[(0.30000000000000004, 0.9549227164064729, 12.796016693115234)]"
nlshade,39,13,0.2,"[(0.3666666666666667, 0.6725772404122647, 25.27252697944641)]"
nlshade,39,13,0.3,"[(0.2666666666666667, 0.5398271074632166, 37.57837104797363)]"
nlshade,39,13,0.4,"[(0.2666666666666667, 0.46673863636567486, 50.29229712486267)]"
nlshade,39,13,0.5,"[(0.033333333333333326, 0.40482260287191507, 63.09493041038513)]"
nlshade,39,13,0.6,"[(0.033333333333333326, 0.2698116889473576, 76.11589050292969)]"
nlshade,39,13,0.7,"[(0.033333333333333326, 0.24035071078148246, 89.14757370948792)]"
nlshade,39,13,0.8,"[(0.033333333333333326, 0.22022820177134256, 102.53514790534973)]"
nlshade,39,13,0.9,"[(0.033333333333333326, 0.21581240366475057, 116.2208411693573)]"
nlshade,39,13,1.0,"[(0.033333333333333326, 0.21555477339481716, 130.34061121940613)]"
nlshade,39,14,0.01,"[(0.7666666666666666, 1.1105218206215066, 1.446354627609253)]"
nlshade,39,14,0.1,"[(0.33333333333333337, 0.8793637304584311, 12.91943883895874)]"
