algorithm,dimension,run,checkpoint,error
nlshade,39,0,0.01,"[(0.6666666666666667, 1.0885822657758493, 1.4396965503692627)]"
nlshade,39,0,0.1,"[(0.6666666666666667, 1.084343512098259, 3.469249963760376)]"
nlshade,39,0,0.2,"[(0.30000000000000004, 1.0247562149340153, 6.448860168457031)]"
nlshade,39,0,0.3,"[(0.2666666666666667, 0.9680070864307175, 9.419379711151123)]"
nlshade,39,0,0.4,"[(0.4, 0.8985728794480404, 12.20465898513794)]"
nlshade,39,0,0.5,"[(0.16666666666666663, 0.8085665307395858, 15.542102098464966)]"
nlshade,39,0,0.6,"[(0.33333333333333337, 0.6042114852437049, 18.626344919204712)]"
nlshade,39,0,0.7,"[(0.33333333333333337, 0.5666032199058345, 21.7541983127594)]"
nlshade,39,0,0.8,"[(0.033333333333333326, 0.48678350618743044, 25.000871658325195)]"
nlshade,39,0,0.9,"[(0.0, 0.3912449358275314, 28.30828595161438)]"
nlshade,39,0,1.0,"[(0.0, 0.3824559975177797, 31.761451244354248)]"
nlshade,39,1,0.01,"[(0.7333333333333334, 1.092233266410314, 1.4361305236816406)]"
nlshade,39,1,0.1,"[(0.7333333333333334, 1.0921875293117322, 3.4802398681640625)]"
nlshade,39,1,0.2,"[(0.6333333333333333, 1.0827448510595594, 6.458691120147705)]"
nlshade,39,1,0.3,"[(0.33333333333333337, 1.028431693674798, 9.418992757797241)]"
nlshade,39,1,0.4,"[(0.5333333333333333, 1.0083409496556326, 12.19710898399353)]"
nlshade,39,1,0.5,"[(0.23333333333333328, 0.9275753588678242, 15.513067722320557)]"
nlshade,39,1,0.6,"[(0.2666666666666667, 0.7373809007306036, 18.585688829421997)]"
nlshade,39,1,0.7,"[(0.16666666666666663, 0.5444503461632686, 21.708594799041748)]"
nlshade,39,1,0.8,"[(0.0, 0.45177499620674294, 24.95262861251831)]"
nlshade,39,1,0.9,"[(0.06666666666666665, 0.41831300269476007, 28.35721206665039)]"
nlshade,39,1,1.0,"[(0.1333333333333333, 0.399673214772519, 32.195748805999756)]"
nlshade,39,2,0.01,"[(0.6333333333333333, 1.0857815669661137, 1.4428393840789795)]"
nlshade,39,2,0.1,"[(0.6333333333333333, 1.0857815669661137, 3.467975378036499)]"
nlshade,39,2,0.2,"[(0.33333333333333337, 1.0634479915660018, 6.460702896118164)]"
nlshade,39,2,0.3,"[(0.3666666666666667, 1.0603568022294207, 9.428608655929565)]"
nlshade,39,2,0.4,"[(0.3666666666666667, 0.98931161350706, 12.221208810806274)]"
nlshade,39,2,0.5,"[(0.30000000000000004, 0.9473374032154859, 15.545033931732178)]"
nlshade,39,2,0.6,"[(0.5, 0.8140943661257193, 18.615846633911133)]"
nlshade,39,2,0.7,"[(0.1333333333333333, 0.6794405793054833, 21.74649977684021)]"
nlshade,39,2,0.8,"[(0.33333333333333337, 0.5011781106887524, 24.995112657546997)]"
nlshade,39,2,0.9,"[(0.30000000000000004, 0.44681898415672594, 28.281396865844727)]"
nlshade,39,2,1.0,"[(0.30000000000000004, 0.4282608692415725, 31.724621057510376)]"
nlshade,39,3,0.01,"[(0.7, 1.0982254015209842, 1.4279775619506836)]"
nlshade,39,3,0.1,"[(0.7, 1.0847092327075665, 3.471959114074707)]"
nlshade,39,3,0.2,"[(0.3666666666666667, 1.0482231624520897, 6.465576171875)]"
nlshade,39,3,0.3,"[(0.3666666666666667, 1.0427041133537303, 9.442467212677002)]"
nlshade,39,3,0.4,"[(0.3666666666666667, 0.928061972315824, 12.243126630783081)]"
nlshade,39,3,0.5,"[(0.3666666666666667, 0.7813868179036695, 15.561971187591553)]"
nlshade,39,3,0.6,"[(0.3666666666666667, 0.7030099762478179, 18.64103388786316)]"
nlshade,39,3,0.7,"[(0.09999999999999998, 0.500665259986222, 21.768120050430298)]"
nlshade,39,3,0.8,"[(0.09999999999999998, 0.4523364775652909, 25.01435613632202)]"
nlshade,39,3,0.9,"[(0.033333333333333326, 0.38317250610493486, 28.354026556015015)]"
nlshade,39,3,1.0,"[(0.0, 0.36881034157459286, 32.06653690338135)]"
nlshade,39,4,0.01,"[(0.7666666666666666, 1.1134402637403034, 1.425689458847046)]"
nlshade,39,4,0.1,"[(0.7666666666666666, 1.0951162252971356, 3.470574378967285)]"
nlshade,39,4,0.2,"[(0.43333333333333335, 1.05727315892219, 6.4555041790008545)]"
nlshade,39,4,0.3,"[(0.7666666666666666, 1.0785008210645597, 9.413780689239502)]"
nlshade,39,4,0.4,"[(0.4, 0.9679335396092793, 12.19889211654663)]"
nlshade,39,4,0.5,"[(0.09999999999999998, 0.8215524384681705, 15.518207788467407)]"
nlshade,39,4,0.6,"[(0.16666666666666663, 0.6601787514924183, 18.598646879196167)]"
nlshade,39,4,0.7,"[(0.1333333333333333, 0.493407592572563, 21.71140432357788)]"
