algorithm,dimension,run,checkpoint,error
nlshade,39,0,0.01,"[(0.7666666666666666, 1.1088758195192205, 0.4566800594329834)]"
nlshade,39,0,0.1,"[(0.7666666666666666, 1.129714845398276, 3.841820478439331)]"
nlshade,39,0,0.2,"[(0.7666666666666666, 1.1426092313555138, 7.6571948528289795)]"
nlshade,39,0,0.3,"[(0.7333333333333334, 1.1200456131594294, 11.613481283187866)]"
nlshade,39,0,0.4,"[(0.5, 1.027735940993186, 15.682620763778687)]"
nlshade,39,0,0.5,"[(0.09999999999999998, 0.7697265908916918, 19.840181827545166)]"
nlshade,39,0,0.6,"[(0.033333333333333326, 0.41476701180040204, 24.151447534561157)]"
nlshade,39,0,0.7,"[(0.033333333333333326, 0.21017012012288216, 28.7003231048584)]"
nlshade,39,0,0.8,"[(0.033333333333333326, 0.19773318180092808, 33.53316831588745)]"
nlshade,39,0,0.9,"[(0.033333333333333326, 0.19476946241226054, 38.62707448005676)]"
nlshade,39,0,1.0,"[(0.033333333333333326, 0.1964003364465978, 43.87686252593994)]"
nlshade,39,1,0.01,"[(0.8, 1.1950317760176488, 0.45797109603881836)]"
nlshade,39,1,0.1,"[(0.8, 1.180704174952829, 3.858398675918579)]"
nlshade,39,1,0.2,"[(0.8, 1.1876590320931535, 7.692975997924805)]"
nlshade,39,1,0.3,"[(0.8, 1.1623373160811699, 11.64142107963562)]"
nlshade,39,1,0.4,"[(0.8, 1.077558318749076, 15.675256729125977)]"
nlshade,39,1,0.5,"[(0.3666666666666667, 0.8298746936549425, 19.815911769866943)]"
nlshade,39,1,0.6,"[(0.09999999999999998, 0.4220369605203316, 24.13130521774292)]"
nlshade,39,1,0.7,"[(0.033333333333333326, 0.23240194762508717, 28.680350303649902)]"
nlshade,39,1,0.8,"[(0.033333333333333326, 0.18732854898823564, 33.52036952972412)]"
nlshade,39,1,0.9,"[(0.033333333333333326, 0.1882168355762222, 38.61367082595825)]"
nlshade,39,1,1.0,"[(0.033333333333333326, 0.1876885599709214, 43.87813091278076)]"
nlshade,39,2,0.01,"[(0.7333333333333334, 1.1305254223634442, 0.4577775001525879)]"
nlshade,39,2,0.1,"[(0.7333333333333334, 1.1475747996748573, 3.8419761657714844)]"
