algorithm,dimension,run,checkpoint,error
nlshade,39,0,0.01,"[(0.33333333333333337, 0.15295905779105176)]"
nlshade,39,0,0.1,"[(0.033333333333333326, 0.0908349610672191)]"
nlshade,39,0,0.2,"[(0.1333333333333333, 0.0804951372656993)]"
nlshade,39,0,0.3,"[(0.06666666666666665, 0.06609894926129636)]"
nlshade,39,0,0.4,"[(0.06666666666666665, 0.050956746947130774)]"
nlshade,39,0,0.5,"[(0.09999999999999998, 0.05357473192166295)]"
nlshade,39,0,0.6,"[(0.09999999999999998, 0.041911342106479635)]"
nlshade,39,0,0.7,"[(0.09999999999999998, 0.040643240501010265)]"
nlshade,39,0,0.8,"[(0.033333333333333326, 0.022537523593683904)]"
nlshade,39,0,0.9,"[(0.06666666666666665, 0.02846528939758878)]"
nlshade,39,0,1.0,"[(0.06666666666666665, 0.028266181293726232)]"
nlshade,39,1,0.01,"[(0.5, 0.2062874173260118)]"
nlshade,39,1,0.1,"[(0.2666666666666667, 0.16220084872645377)]"
nlshade,39,1,0.2,"[(0.19999999999999996, 0.10346296444218939)]"
nlshade,39,1,0.3,"[(0.09999999999999998, 0.0845445999549727)]"
nlshade,39,1,0.4,"[(0.09999999999999998, 0.0829598794853845)]"
nlshade,39,1,0.5,"[(0.033333333333333326, 0.027313509778469518)]"
nlshade,39,1,0.6,"[(0.09999999999999998, 0.05301861606234047)]"
nlshade,39,1,0.7,"[(0.06666666666666665, 0.01822713618635593)]"
nlshade,39,1,0.8,"[(0.06666666666666665, 0.018012471890012875)]"
nlshade,39,1,0.9,"[(0.06666666666666665, 0.018012471890012875)]"
nlshade,39,1,1.0,"[(0.06666666666666665, 0.02360644153625148)]"
nlshade,39,2,0.01,"[(0.2666666666666667, 0.13447888952569353)]"
nlshade,39,2,0.1,"[(0.3666666666666667, 0.12612823616243166)]"
nlshade,39,2,0.2,"[(0.33333333333333337, 0.10310504742856304)]"
nlshade,39,2,0.3,"[(0.06666666666666665, 0.07364478145503052)]"
nlshade,39,2,0.4,"[(0.033333333333333326, 0.033822489304274804)]"
nlshade,39,2,0.5,"[(0.033333333333333326, 0.033822489304274804)]"
nlshade,39,2,0.6,"[(0.033333333333333326, 0.02264332953952087)]"
nlshade,39,2,0.7,"[(0.033333333333333326, 0.0189325331953409)]"
nlshade,39,2,0.8,"[(0.033333333333333326, 0.0372554498831152)]"
nlshade,39,2,0.9,"[(0.033333333333333326, 0.037236045369178225)]"
nlshade,39,2,1.0,"[(0.033333333333333326, 0.037236045369178225)]"
nlshade,39,3,0.01,"[(0.33333333333333337, 0.1957597425578748)]"
nlshade,39,3,0.1,"[(0.1333333333333333, 0.10729626926593375)]"
nlshade,39,3,0.2,"[(0.16666666666666663, 0.10751325702170449)]"
nlshade,39,3,0.3,"[(0.23333333333333328, 0.10289253343342186)]"
nlshade,39,3,0.4,"[(0.06666666666666665, 0.04610479050565719)]"
nlshade,39,3,0.5,"[(0.1333333333333333, 0.06281030646250937)]"
nlshade,39,3,0.6,"[(0.09999999999999998, 0.05545104953297513)]"
nlshade,39,3,0.7,"[(0.09999999999999998, 0.055933157448623885)]"
nlshade,39,3,0.8,"[(0.1333333333333333, 0.050474110931062674)]"
nlshade,39,3,0.9,"[(0.06666666666666665, 0.03500475549525704)]"
nlshade,39,3,1.0,"[(0.06666666666666665, 0.03527533555229261)]"
nlshade,39,4,0.01,"[(0.4, 0.1470471534191786)]"
nlshade,39,4,0.1,"[(0.06666666666666665, 0.054606489684255605)]"
nlshade,39,4,0.2,"[(0.16666666666666663, 0.07418875292056772)]"
nlshade,39,4,0.3,"[(0.16666666666666663, 0.07418875292056772)]"
nlshade,39,4,0.4,"[(0.16666666666666663, 0.07418875292056772)]"
nlshade,39,4,0.5,"[(0.033333333333333326, 0.03148533664668626)]"
nlshade,39,4,0.6,"[(0.033333333333333326, 0.03148533664668626)]"
nlshade,39,4,0.7,"[(0.06666666666666665, 0.028054623766836467)]"
nlshade,39,4,0.8,"[(0.033333333333333326, 0.022555249781787138)]"
nlshade,39,4,0.9,"[(0.033333333333333326, 0.013104376614340966)]"
nlshade,39,4,1.0,"[(0.033333333333333326, 0.013104376614340966)]"
nlshade,39,5,0.01,"[(0.5, 0.15299999677731976)]"
nlshade,39,5,0.1,"[(0.33333333333333337, 0.13046443482263548)]"
nlshade,39,5,0.2,"[(0.09999999999999998, 0.08003718725964443)]"
nlshade,39,5,0.3,"[(0.09999999999999998, 0.07944427842432705)]"
nlshade,39,5,0.4,"[(0.033333333333333326, 0.06922365835555665)]"
nlshade,39,5,0.5,"[(0.06666666666666665, 0.048593636224079674)]"
nlshade,39,5,0.6,"[(0.06666666666666665, 0.04778834884679976)]"
nlshade,39,5,0.7,"[(0.0, 0.02869561091793453)]"
nlshade,39,5,0.8,"[(0.0, 0.02907903141585153)]"
nlshade,39,5,0.9,"[(0.0, 0.019615279966200123)]"
nlshade,39,5,1.0,"[(0.06666666666666665, 0.029809184136567256)]"
nlshade,39,6,0.01,"[(0.4666666666666667, 0.2407597975507783)]"
nlshade,39,6,0.1,"[(0.43333333333333335, 0.15280121476977465)]"
nlshade,39,6,0.2,"[(0.43333333333333335, 0.15280121476977465)]"
nlshade,39,6,0.3,"[(0.06666666666666665, 0.08979420518623057)]"
nlshade,39,6,0.4,"[(0.16666666666666663, 0.07726815333639518)]"
nlshade,39,6,0.5,"[(0.16666666666666663, 0.07726815333639518)]"
nlshade,39,6,0.6,"[(0.16666666666666663, 0.08184284345908638)]"
nlshade,39,6,0.7,"[(0.16666666666666663, 0.08184284345908638)]"
nlshade,39,6,0.8,"[(0.0, 0.029986018705454677)]"
nlshade,39,6,0.9,"[(0.033333333333333326, 0.020525375765722508)]"
nlshade,39,6,1.0,"[(0.033333333333333326, 0.019219772437048567)]"
nlshade,39,7,0.01,"[(0.33333333333333337, 0.14234382602714837)]"
nlshade,39,7,0.1,"[(0.30000000000000004, 0.10891398269828735)]"
nlshade,39,7,0.2,"[(0.033333333333333326, 0.06449523982332327)]"
nlshade,39,7,0.3,"[(0.06666666666666665, 0.050514895805008835)]"
nlshade,39,7,0.4,"[(0.033333333333333326, 0.04421148250759128)]"
nlshade,39,7,0.5,"[(0.06666666666666665, 0.035791667565193815)]"
nlshade,39,7,0.6,"[(0.033333333333333326, 0.022849483158642814)]"
nlshade,39,7,0.7,"[(0.033333333333333326, 0.022849483158642814)]"
nlshade,39,7,0.8,"[(0.033333333333333326, 0.022849483158642814)]"
nlshade,39,7,0.9,"[(0.033333333333333326, 0.020896588555533748)]"
nlshade,39,7,1.0,"[(0.033333333333333326, 0.01690107627743176)]"
nlshade,39,8,0.01,"[(0.4, 0.1755516064984438)]"
nlshade,39,8,0.1,"[(0.23333333333333328, 0.11309610582880188)]"
nlshade,39,8,0.2,"[(0.16666666666666663, 0.0977225632979921)]"
nlshade,39,8,0.3,"[(0.033333333333333326, 0.06920642211191462)]"
nlshade,39,8,0.4,"[(0.033333333333333326, 0.06920347243942526)]"
nlshade,39,8,0.5,"[(0.09999999999999998, 0.06495491115273)]"
nlshade,39,8,0.6,"[(0.06666666666666665, 0.038051097984246475)]"
nlshade,39,8,0.7,"[(0.06666666666666665, 0.03376092377323591)]"
nlshade,39,8,0.8,"[(0.06666666666666665, 0.03534190734128428)]"
nlshade,39,8,0.9,"[(0.06666666666666665, 0.032982874820770426)]"
nlshade,39,8,1.0,"[(0.09999999999999998, 0.03947622109566751)]"
nlshade,39,9,0.01,"[(0.4666666666666667, 0.15840194414698)]"
nlshade,39,9,0.1,"[(0.1333333333333333, 0.09381403607995484)]"
nlshade,39,9,0.2,"[(0.09999999999999998, 0.07524075135171618)]"
nlshade,39,9,0.3,"[(0.06666666666666665, 0.05697857486119688)]"
nlshade,39,9,0.4,"[(0.033333333333333326, 0.03772558200525248)]"
nlshade,39,9,0.5,"[(0.033333333333333326, 0.037861516840111104)]"
nlshade,39,9,0.6,"[(0.033333333333333326, 0.02841058823773237)]"
nlshade,39,9,0.7,"[(0.033333333333333326, 0.023791315201577477)]"
nlshade,39,9,0.8,"[(0.06666666666666665, 0.02034094690583156)]"
nlshade,39,9,0.9,"[(0.06666666666666665, 0.02034094690583156)]"
nlshade,39,9,1.0,"[(0.033333333333333326, 0.018619324281238178)]"
nlshade,39,10,0.01,"[(0.2666666666666667, 0.15100596780052913)]"
nlshade,39,10,0.1,"[(0.23333333333333328, 0.11867256594045075)]"
nlshade,39,10,0.2,"[(0.16666666666666663, 0.07463886823224962)]"
nlshade,39,10,0.3,"[(0.1333333333333333, 0.06880411894687538)]"
nlshade,39,10,0.4,"[(0.1333333333333333, 0.06880411894687538)]"
nlshade,39,10,0.5,"[(0.09999999999999998, 0.04551705310223834)]"
nlshade,39,10,0.6,"[(0.06666666666666665, 0.0546833767574072)]"
nlshade,39,10,0.7,"[(0.06666666666666665, 0.0546833767574072)]"
nlshade,39,10,0.8,"[(0.06666666666666665, 0.02915223849167698)]"
nlshade,39,10,0.9,"[(0.06666666666666665, 0.02915223849167698)]"
nlshade,39,10,1.0,"[(0.06666666666666665, 0.02441544499393887)]"
nlshade,39,11,0.01,"[(0.23333333333333328, 0.13522355156669824)]"
nlshade,39,11,0.1,"[(0.19999999999999996, 0.08572761584467443)]"
nlshade,39,11,0.2,"[(0.19999999999999996, 0.08572761584467443)]"
nlshade,39,11,0.3,"[(0.033333333333333326, 0.03996924576080753)]"
nlshade,39,11,0.4,"[(0.0, 0.036212656707343395)]"
nlshade,39,11,0.5,"[(0.0, 0.036212656707343395)]"
nlshade,39,11,0.6,"[(0.0, 0.0203796704753782)]"
nlshade,39,11,0.7,"[(0.033333333333333326, 0.02182339954192932)]"
nlshade,39,11,0.8,"[(0.0, 0.007737547185103033)]"
nlshade,39,11,0.9,"[(0.0, 0.008441419792015487)]"
nlshade,39,11,1.0,"[(0.0, 0.007992415518216936)]"
nlshade,39,12,0.01,"[(0.6, 0.27846262662140303)]"
nlshade,39,12,0.1,"[(0.30000000000000004, 0.127853096464967)]"
nlshade,39,12,0.2,"[(0.30000000000000004, 0.11664945109679431)]"
nlshade,39,12,0.3,"[(0.30000000000000004, 0.11664945109679431)]"
nlshade,39,12,0.4,"[(0.23333333333333328, 0.1021967466442962)]"
nlshade,39,12,0.5,"[(0.23333333333333328, 0.1021967466442962)]"
nlshade,39,12,0.6,"[(0.1333333333333333, 0.06091503953141757)]"
nlshade,39,12,0.7,"[(0.06666666666666665, 0.04924950937906663)]"
nlshade,39,12,0.8,"[(0.06666666666666665, 0.03927170336620859)]"
nlshade,39,12,0.9,"[(0.06666666666666665, 0.03409118013726471)]"
nlshade,39,12,1.0,"[(0.06666666666666665, 0.04321168889063268)]"
nlshade,39,13,0.01,"[(0.43333333333333335, 0.16195551945481038)]"
nlshade,39,13,0.1,"[(0.033333333333333326, 0.05992710166207259)]"
nlshade,39,13,0.2,"[(0.2666666666666667, 0.09314497235180791)]"
nlshade,39,13,0.3,"[(0.19999999999999996, 0.07418562527422251)]"
nlshade,39,13,0.4,"[(0.033333333333333326, 0.04244596708646819)]"
nlshade,39,13,0.5,"[(0.033333333333333326, 0.03977290632991554)]"
nlshade,39,13,0.6,"[(0.09999999999999998, 0.049052764724513344)]"
nlshade,39,13,0.7,"[(0.033333333333333326, 0.02354033002617132)]"
nlshade,39,13,0.8,"[(0.033333333333333326, 0.025123141386607595)]"
nlshade,39,13,0.9,"[(0.033333333333333326, 0.025334196258290524)]"
nlshade,39,13,1.0,"[(0.033333333333333326, 0.025290563443098026)]"
nlshade,39,14,0.01,"[(0.43333333333333335, 0.16375429515467518)]"
nlshade,39,14,0.1,"[(0.3666666666666667, 0.13445201747809354)]"
nlshade,39,14,0.2,"[(0.23333333333333328, 0.09634755908989992)]"
nlshade,39,14,0.3,"[(0.09999999999999998, 0.07890804687031387)]"
nlshade,39,14,0.4,"[(0.09999999999999998, 0.07890804687031387)]"
nlshade,39,14,0.5,"[(0.06666666666666665, 0.05041337330199231)]"
nlshade,39,14,0.6,"[(0.09999999999999998, 0.042204401684447265)]"
nlshade,39,14,0.7,"[(0.1333333333333333, 0.04778783369745874)]"
nlshade,39,14,0.8,"[(0.1333333333333333, 0.04779737158011112)]"
nlshade,39,14,0.9,"[(0.1333333333333333, 0.04779737158011112)]"
nlshade,39,14,1.0,"[(0.0, 0.016770775006941113)]"
nlshade,39,15,0.01,"[(0.4, 0.1540823292344957)]"
nlshade,39,15,0.1,"[(0.43333333333333335, 0.1609345505759182)]"
nlshade,39,15,0.2,"[(0.43333333333333335, 0.1447003224826863)]"
nlshade,39,15,0.3,"[(0.19999999999999996, 0.10647305513334802)]"
nlshade,39,15,0.4,"[(0.19999999999999996, 0.10647305513334802)]"
nlshade,39,15,0.5,"[(0.06666666666666665, 0.06567679587111679)]"
nlshade,39,15,0.6,"[(0.06666666666666665, 0.035944665717233)]"
nlshade,39,15,0.7,"[(0.1333333333333333, 0.04777948921589063)]"
nlshade,39,15,0.8,"[(0.09999999999999998, 0.05117943091903319)]"
nlshade,39,15,0.9,"[(0.09999999999999998, 0.05054903528807689)]"
nlshade,39,15,1.0,"[(0.09999999999999998, 0.05054903528807689)]"
nlshade,39,16,0.01,"[(0.5333333333333333, 0.19169344374959774)]"
nlshade,39,16,0.1,"[(0.1333333333333333, 0.07752482490445818)]"
nlshade,39,16,0.2,"[(0.1333333333333333, 0.074258037319383)]"
nlshade,39,16,0.3,"[(0.09999999999999998, 0.06403428324903712)]"
nlshade,39,16,0.4,"[(0.06666666666666665, 0.037245323552629744)]"
nlshade,39,16,0.5,"[(0.0, 0.023470947642603667)]"
nlshade,39,16,0.6,"[(0.09999999999999998, 0.03798673073917328)]"
nlshade,39,16,0.7,"[(0.033333333333333326, 0.01901131324974643)]"
nlshade,39,16,0.8,"[(0.0, 0.008391040762828754)]"
nlshade,39,16,0.9,"[(0.0, 0.008894560491778223)]"
nlshade,39,16,1.0,"[(0.0, 0.005335628856934334)]"
nlshade,39,17,0.01,"[(0.4666666666666667, 0.22597235516570122)]"
nlshade,39,17,0.1,"[(0.4666666666666667, 0.1459669426026907)]"
nlshade,39,17,0.2,"[(0.2666666666666667, 0.09515067698615388)]"
nlshade,39,17,0.3,"[(0.06666666666666665, 0.08581870235787828)]"
nlshade,39,17,0.4,"[(0.09999999999999998, 0.05378634077530829)]"
