algorithm,dimension,run,checkpoint,error
nlshade,39,0,0.01,"[(0.8, 0.23037973169110415, 0.31836938858032227)]"
nlshade,39,0,0.1,"[(0.3666666666666667, 0.22647845729404553, 2.707700252532959)]"
nlshade,39,0,0.2,"[(0.43333333333333335, 0.23808426634930233, 5.245028972625732)]"
nlshade,39,0,0.3,"[(0.43333333333333335, 0.23808426634930233, 7.7923057079315186)]"
nlshade,39,0,0.4,"[(0.43333333333333335, 0.23808426634930233, 10.437617778778076)]"
nlshade,39,0,0.5,"[(0.43333333333333335, 0.19574498845471475, 13.107357740402222)]"
nlshade,39,0,0.6,"[(0.43333333333333335, 0.19094356687517008, 15.827631711959839)]"
nlshade,39,0,0.7,"[(0.3666666666666667, 0.17087839647161343, 18.72017240524292)]"
nlshade,39,0,0.8,"[(0.3666666666666667, 0.1244931302031543, 21.64582347869873)]"
nlshade,39,0,0.9,"[(0.09999999999999998, 0.08751717668838264, 24.704237937927246)]"
nlshade,39,0,1.0,"[(0.033333333333333326, 0.08732829967943757, 27.860862016677856)]"
nlshade,39,1,0.01,"[(0.5666666666666667, 0.22182240325123445, 0.3139662742614746)]"
nlshade,39,1,0.1,"[(0.43333333333333335, 0.22096902356053036, 2.5516252517700195)]"
nlshade,39,1,0.2,"[(0.43333333333333335, 0.21010391822704208, 5.235212564468384)]"
nlshade,39,1,0.3,"[(0.43333333333333335, 0.20314915106971826, 7.792033910751343)]"
nlshade,39,1,0.4,"[(0.43333333333333335, 0.2048910914231171, 10.441949367523193)]"
nlshade,39,1,0.5,"[(0.4666666666666667, 0.16147706224112637, 13.108834743499756)]"
nlshade,39,1,0.6,"[(0.43333333333333335, 0.15802999022677688, 15.830318450927734)]"
nlshade,39,1,0.7,"[(0.43333333333333335, 0.15802999022677688, 18.6703782081604)]"
nlshade,39,1,0.8,"[(0.43333333333333335, 0.1626316054887499, 21.63555145263672)]"
nlshade,39,1,0.9,"[(0.43333333333333335, 0.17670449533928262, 24.69120168685913)]"
nlshade,39,1,1.0,"[(0.43333333333333335, 0.17670449533928262, 27.817599296569824)]"
nlshade,39,2,0.01,"[(0.7666666666666666, 0.22735305200704536, 0.32520270347595215)]"
nlshade,39,2,0.1,"[(0.7666666666666666, 0.27734101057116683, 2.714069366455078)]"
nlshade,39,2,0.2,"[(0.6333333333333333, 0.22161911438770812, 5.2626848220825195)]"
nlshade,39,2,0.3,"[(0.43333333333333335, 0.19414099244969057, 7.811198711395264)]"
nlshade,39,2,0.4,"[(0.43333333333333335, 0.1917885267961526, 10.467608451843262)]"
nlshade,39,2,0.5,"[(0.5, 0.1853765155676787, 13.137275457382202)]"
nlshade,39,2,0.6,"[(0.33333333333333337, 0.15533298431448184, 15.855709314346313)]"
nlshade,39,2,0.7,"[(0.33333333333333337, 0.15835593690460248, 18.695183277130127)]"
nlshade,39,2,0.8,"[(0.4, 0.13935716758964836, 21.66533088684082)]"
nlshade,39,2,0.9,"[(0.4, 0.13583090015030042, 24.717463731765747)]"
nlshade,39,2,1.0,"[(0.4, 0.13058607734895766, 27.84324550628662)]"
nlshade,39,3,0.01,"[(0.5666666666666667, 0.22259611854517194, 0.3189845085144043)]"
nlshade,39,3,0.1,"[(0.7, 0.22231515546160022, 2.560318946838379)]"
nlshade,39,3,0.2,"[(0.5333333333333333, 0.2118190254592652, 5.2641284465789795)]"
nlshade,39,3,0.3,"[(0.43333333333333335, 0.19737211102548935, 7.814877510070801)]"
nlshade,39,3,0.4,"[(0.30000000000000004, 0.18466977932920903, 10.467761754989624)]"
nlshade,39,3,0.5,"[(0.30000000000000004, 0.1773504479740464, 13.122935056686401)]"
nlshade,39,3,0.6,"[(0.5, 0.17597072098388375, 15.841503381729126)]"
nlshade,39,3,0.7,"[(0.30000000000000004, 0.15161836233695736, 18.685998916625977)]"
nlshade,39,3,0.8,"[(0.43333333333333335, 0.17058565204676632, 21.658142805099487)]"
nlshade,39,3,0.9,"[(0.43333333333333335, 0.1475625888180014, 24.709618091583252)]"
nlshade,39,3,1.0,"[(0.4, 0.14019504809383315, 27.835439920425415)]"
nlshade,39,4,0.01,"[(0.7333333333333334, 0.2250597483797387, 0.3136122226715088)]"
nlshade,39,4,0.1,"[(0.6333333333333333, 0.20823930602727667, 2.5570921897888184)]"
nlshade,39,4,0.2,"[(0.4, 0.21295316611719678, 5.239288091659546)]"
nlshade,39,4,0.3,"[(0.4, 0.2129525598169672, 7.789798974990845)]"
nlshade,39,4,0.4,"[(0.4, 0.2129525598169672, 10.427511215209961)]"
nlshade,39,4,0.5,"[(0.4, 0.2129525598169672, 13.08834195137024)]"
nlshade,39,4,0.6,"[(0.3666666666666667, 0.16691982357832946, 15.802265644073486)]"
nlshade,39,4,0.7,"[(0.30000000000000004, 0.15918591994833972, 18.636828422546387)]"
nlshade,39,4,0.8,"[(0.0, 0.15536049991515335, 21.60006284713745)]"
nlshade,39,4,0.9,"[(0.2666666666666667, 0.1287857642515448, 24.649556398391724)]"
nlshade,39,4,1.0,"[(0.2666666666666667, 0.09464271786811046, 27.765281915664673)]"
nlshade,39,5,0.01,"[(0.7, 0.22891001054291424, 0.3179011344909668)]"
nlshade,39,5,0.1,"[(0.5333333333333333, 0.23840394769730527, 2.5650107860565186)]"
nlshade,39,5,0.2,"[(0.3666666666666667, 0.2052246603078872, 5.274132490158081)]"
nlshade,39,5,0.3,"[(0.3666666666666667, 0.1990301084737254, 7.820678472518921)]"
nlshade,39,5,0.4,"[(0.3666666666666667, 0.1990301084737254, 10.46817660331726)]"
nlshade,39,5,0.5,"[(0.33333333333333337, 0.17533802023241804, 13.134501934051514)]"
nlshade,39,5,0.6,"[(0.33333333333333337, 0.17533802023241804, 15.85202145576477)]"
nlshade,39,5,0.7,"[(0.3666666666666667, 0.16835772534222895, 18.693247318267822)]"
nlshade,39,5,0.8,"[(0.3666666666666667, 0.1466340675026338, 21.658302307128906)]"
nlshade,39,5,0.9,"[(0.33333333333333337, 0.12837052470703048, 24.707245111465454)]"
nlshade,39,5,1.0,"[(0.30000000000000004, 0.12341091692605313, 27.827593564987183)]"
nlshade,39,6,0.01,"[(0.6, 0.21953867974757943, 0.3136742115020752)]"
nlshade,39,6,0.1,"[(0.4666666666666667, 0.20754830910625618, 2.5628607273101807)]"
nlshade,39,6,0.2,"[(0.6333333333333333, 0.20412260417090036, 5.262099504470825)]"
nlshade,39,6,0.3,"[(0.6333333333333333, 0.20097119791640558, 7.8111817836761475)]"
nlshade,39,6,0.4,"[(0.6, 0.19897195865269, 10.465243816375732)]"
nlshade,39,6,0.5,"[(0.6, 0.1997220336109803, 13.125910520553589)]"
nlshade,39,6,0.6,"[(0.6, 0.1997220336109803, 15.842007398605347)]"
nlshade,39,6,0.7,"[(0.3666666666666667, 0.17529773344952979, 18.6806161403656)]"
nlshade,39,6,0.8,"[(0.4, 0.16570206697551296, 21.642942667007446)]"
nlshade,39,6,0.9,"[(0.4, 0.15160180523660982, 24.69412660598755)]"
nlshade,39,6,1.0,"[(0.4, 0.13821346099931253, 27.82762336730957)]"
nlshade,39,7,0.01,"[(0.6333333333333333, 0.23673567610076826, 0.3342134952545166)]"
nlshade,39,7,0.1,"[(0.5, 0.21157934117372093, 2.7122697830200195)]"
nlshade,39,7,0.2,"[(0.5, 0.212038895831846, 5.245639801025391)]"
nlshade,39,7,0.3,"[(0.43333333333333335, 0.2072348421580104, 7.791894197463989)]"
nlshade,39,7,0.4,"[(0.43333333333333335, 0.20574819174174197, 10.425554990768433)]"
nlshade,39,7,0.5,"[(0.43333333333333335, 0.20574819174174197, 13.074191570281982)]"
nlshade,39,7,0.6,"[(0.43333333333333335, 0.20574819174174197, 15.77926754951477)]"
nlshade,39,7,0.7,"[(0.30000000000000004, 0.14626262581791208, 18.61337375640869)]"
