algorithm,dimension,run,checkpoint,error
nlshade,39,0,0.01,"[(0.4666666666666667, 0.19965025180731283, 0.39783263206481934)]"
nlshade,39,0,0.1,"[(0.1333333333333333, 0.13860278164745704, 3.3680131435394287)]"
nlshade,39,0,0.2,"[(0.1333333333333333, 0.10196128860069877, 6.804908037185669)]"
nlshade,39,0,0.3,"[(0.1333333333333333, 0.08514749341805056, 11.378750801086426)]"
nlshade,39,0,0.4,"[(0.09999999999999998, 0.07225828208903905, 16.29057264328003)]"
nlshade,39,0,0.5,"[(0.09999999999999998, 0.07225828208903905, 21.504875659942627)]"
nlshade,39,0,0.6,"[(0.033333333333333326, 0.04635094829196896, 27.294020891189575)]"
nlshade,39,0,0.7,"[(0.09999999999999998, 0.04626443029296931, 33.72579598426819)]"
nlshade,39,0,0.8,"[(0.033333333333333326, 0.03446386970667668, 40.93819832801819)]"
nlshade,39,0,0.9,"[(0.033333333333333326, 0.03446386970667668, 49.07465600967407)]"
nlshade,39,0,1.0,"[(0.06666666666666665, 0.036144529139372585, 56.93122220039368)]"
nlshade,39,1,0.01,"[(0.8, 0.21970511229900605, 0.35061216354370117)]"
nlshade,39,1,0.1,"[(0.43333333333333335, 0.2013096352902473, 2.864593029022217)]"
nlshade,39,1,0.2,"[(0.19999999999999996, 0.12821302548204921, 5.766797304153442)]"
nlshade,39,1,0.3,"[(0.19999999999999996, 0.09260911130300543, 9.779134273529053)]"
nlshade,39,1,0.4,"[(0.19999999999999996, 0.09260911130300543, 14.061156511306763)]"
nlshade,39,1,0.5,"[(0.19999999999999996, 0.09260911130300543, 18.619351387023926)]"
nlshade,39,1,0.6,"[(0.19999999999999996, 0.09260911130300543, 23.628443002700806)]"
nlshade,39,1,0.7,"[(0.43333333333333335, 0.1967917388163229, 29.243107795715332)]"
nlshade,39,1,0.8,"[(0.43333333333333335, 0.2730897799495184, 35.67702388763428)]"
nlshade,39,1,0.9,"[(0.43333333333333335, 0.2730897799495184, 42.89271283149719)]"
nlshade,39,1,1.0,"[(0.43333333333333335, 0.2730897799495184, 50.72911190986633)]"
nlshade,39,2,0.01,"[(0.5666666666666667, 0.22716267998856077, 0.352069616317749)]"
nlshade,39,2,0.1,"[(0.5666666666666667, 0.21435810626930177, 2.872087001800537)]"
nlshade,39,2,0.2,"[(0.5333333333333333, 0.2010908468972953, 5.764629125595093)]"
nlshade,39,2,0.3,"[(0.30000000000000004, 0.15095559292489644, 9.762489557266235)]"
nlshade,39,2,0.4,"[(0.30000000000000004, 0.11019512718890113, 14.115011215209961)]"
