algorithm,dimension,run,checkpoint,error
nlshade,39,0,0.01,"[(0.6666666666666667, 0.22454267286140184, 1.2845423221588135)]"
nlshade,39,0,0.1,"[(0.6333333333333333, 0.20461734680345672, 3.49908447265625)]"
nlshade,39,0,0.2,"[(0.6333333333333333, 0.20461734680345672, 6.1278908252716064)]"
nlshade,39,0,0.3,"[(0.6333333333333333, 0.19368474889555698, 8.303982496261597)]"
nlshade,39,0,0.4,"[(0.3666666666666667, 0.20209739989164696, 10.325238943099976)]"
nlshade,39,0,0.5,"[(0.5666666666666667, 0.20744688034078182, 12.33069396018982)]"
nlshade,39,0,0.6,"[(0.33333333333333337, 0.18122174335394062, 14.456321716308594)]"
nlshade,39,0,0.7,"[(0.30000000000000004, 0.13113521492016217, 16.588472843170166)]"
nlshade,39,0,0.8,"[(0.23333333333333328, 0.11773392862227161, 18.83272099494934)]"
nlshade,39,0,0.9,"[(0.23333333333333328, 0.11773392862227161, 21.265767335891724)]"
nlshade,39,0,1.0,"[(0.16666666666666663, 0.09933650826107374, 23.89364004135132)]"
nlshade,39,1,0.01,"[(0.7, 0.23341170057611274, 2.072403907775879)]"
nlshade,39,1,0.1,"[(0.7, 0.23341170057611274, 3.6334900856018066)]"
nlshade,39,1,0.2,"[(0.6, 0.2091922510901058, 6.5461742877960205)]"
nlshade,39,1,0.3,"[(0.6, 0.2091922510901058, 8.786595821380615)]"
nlshade,39,1,0.4,"[(0.6, 0.2091922510901058, 10.834534883499146)]"
nlshade,39,1,0.5,"[(0.4666666666666667, 0.21809981937947712, 12.861393213272095)]"
nlshade,39,1,0.6,"[(0.5666666666666667, 0.1894591618994059, 14.991473913192749)]"
nlshade,39,1,0.7,"[(0.23333333333333328, 0.11378603650118184, 17.10260558128357)]"
nlshade,39,1,0.8,"[(0.23333333333333328, 0.11391001705658575, 19.341104745864868)]"
nlshade,39,1,0.9,"[(0.19999999999999996, 0.13281428832565118, 21.77432370185852)]"
nlshade,39,1,1.0,"[(0.1333333333333333, 0.08904525057048465, 24.430861473083496)]"
nlshade,39,2,0.01,"[(0.4, 0.16829580825479049, 1.344200611114502)]"
nlshade,39,2,0.1,"[(0.43333333333333335, 0.16968183295930778, 2.9138972759246826)]"
nlshade,39,2,0.2,"[(0.5333333333333333, 0.25038529003484017, 5.698631763458252)]"
nlshade,39,2,0.3,"[(0.5666666666666667, 0.23037540050877087, 7.998382568359375)]"
nlshade,39,2,0.4,"[(0.5333333333333333, 0.1977084661670702, 10.04602313041687)]"
nlshade,39,2,0.5,"[(0.5333333333333333, 0.19777464878313794, 12.069289445877075)]"
nlshade,39,2,0.6,"[(0.4, 0.1840644107209864, 14.176272869110107)]"
nlshade,39,2,0.7,"[(0.2666666666666667, 0.1704219091961631, 16.314765214920044)]"
nlshade,39,2,0.8,"[(0.2666666666666667, 0.16184956449978935, 18.561559915542603)]"
nlshade,39,2,0.9,"[(0.23333333333333328, 0.12084932517712517, 20.961302280426025)]"
nlshade,39,2,1.0,"[(0.16666666666666663, 0.09447612072601132, 23.617835521697998)]"
nlshade,39,3,0.01,"[(0.7333333333333334, 0.22280854669713257, 1.3143186569213867)]"
nlshade,39,3,0.1,"[(0.43333333333333335, 0.20204862297951712, 3.0582146644592285)]"
nlshade,39,3,0.2,"[(0.43333333333333335, 0.20131890003719333, 5.4498491287231445)]"
nlshade,39,3,0.3,"[(0.3666666666666667, 0.20316568183844166, 7.671297073364258)]"
nlshade,39,3,0.4,"[(0.30000000000000004, 0.17629780965006825, 9.715027809143066)]"
nlshade,39,3,0.5,"[(0.30000000000000004, 0.1676266504642964, 11.747902154922485)]"
nlshade,39,3,0.6,"[(0.2666666666666667, 0.1527975302295371, 13.88475751876831)]"
nlshade,39,3,0.7,"[(0.30000000000000004, 0.15304609180763892, 16.01695227622986)]"
nlshade,39,3,0.8,"[(0.2666666666666667, 0.14534684519809035, 18.249406337738037)]"
nlshade,39,3,0.9,"[(0.2666666666666667, 0.11050371475876863, 20.647058725357056)]"
nlshade,39,3,1.0,"[(0.23333333333333328, 0.10276272173905666, 23.31674027442932)]"
nlshade,39,4,0.01,"[(0.6333333333333333, 0.21178832867720374, 1.3338744640350342)]"
nlshade,39,4,0.1,"[(0.6333333333333333, 0.21823826461161627, 2.8750061988830566)]"
nlshade,39,4,0.2,"[(0.6333333333333333, 0.19976120763495375, 5.418596267700195)]"
nlshade,39,4,0.3,"[(0.6333333333333333, 0.19931076791678376, 7.576210021972656)]"
nlshade,39,4,0.4,"[(0.30000000000000004, 0.17031432361315071, 9.614991426467896)]"
nlshade,39,4,0.5,"[(0.30000000000000004, 0.17012060976706087, 11.644565105438232)]"
nlshade,39,4,0.6,"[(0.33333333333333337, 0.16404501737314126, 13.770447492599487)]"
nlshade,39,4,0.7,"[(0.23333333333333328, 0.16228860391654465, 15.892378330230713)]"
nlshade,39,4,0.8,"[(0.3666666666666667, 0.14120065167495935, 18.139732360839844)]"
nlshade,39,4,0.9,"[(0.3666666666666667, 0.13556600077489456, 20.581284999847412)]"
nlshade,39,4,1.0,"[(0.3666666666666667, 0.12475181762122041, 23.21181845664978)]"
nlshade,39,5,0.01,"[(0.6, 0.21173612048316773, 1.2962265014648438)]"
nlshade,39,5,0.1,"[(0.7333333333333334, 0.22679072617903503, 2.97683048248291)]"
nlshade,39,5,0.2,"[(0.3666666666666667, 0.19814344738424633, 5.428883075714111)]"
nlshade,39,5,0.3,"[(0.43333333333333335, 0.20082528772400857, 7.59913182258606)]"
nlshade,39,5,0.4,"[(0.33333333333333337, 0.2146886957570408, 9.646694421768188)]"
nlshade,39,5,0.5,"[(0.33333333333333337, 0.2146886957570408, 11.673582553863525)]"
nlshade,39,5,0.6,"[(0.33333333333333337, 0.14167597519444375, 13.805031061172485)]"
nlshade,39,5,0.7,"[(0.33333333333333337, 0.14352170708051365, 15.92586898803711)]"
nlshade,39,5,0.8,"[(0.33333333333333337, 0.14352170708051365, 18.1580171585083)]"
nlshade,39,5,0.9,"[(0.33333333333333337, 0.1087298393139938, 20.55296277999878)]"
nlshade,39,5,1.0,"[(0.16666666666666663, 0.10269115231390095, 23.200679779052734)]"
nlshade,39,6,0.01,"[(0.6666666666666667, 0.2233803663405693, 1.3460841178894043)]"
