algorithm,dimension,run,checkpoint,error
nlshade,39,0,0.01,[0.22269625847539073]
nlshade,39,0,0.1,[0.18263099549168751]
nlshade,39,0,0.2,[0.15832319617647908]
nlshade,39,0,0.3,[0.14060769767320702]
nlshade,39,0,0.4,[0.118826599988454]
nlshade,39,0,0.5,[0.09435662907217036]
nlshade,39,0,0.6,[0.08400169350754755]
nlshade,39,0,0.7,[0.056043749452487725]
nlshade,39,0,0.8,[0.028967005064353804]
nlshade,39,0,0.9,[0.02298755345116828]
nlshade,39,0,1.0,[0.014363606056744348]
nlshade,39,1,0.01,[0.23427081179962791]
nlshade,39,1,0.1,[0.18722138861302426]
nlshade,39,1,0.2,[0.15267639958350496]
nlshade,39,1,0.3,[0.1443553410497843]
nlshade,39,1,0.4,[0.13419105619287403]
nlshade,39,1,0.5,[0.12307423036166969]
nlshade,39,1,0.6,[0.09706648130413686]
nlshade,39,1,0.7,[0.06967226390709329]
nlshade,39,1,0.8,[0.035387860109766]
nlshade,39,1,0.9,[0.020892807055937972]
nlshade,39,1,1.0,[0.015500255537583153]
nlshade,39,2,0.01,[0.2216116535221674]
nlshade,39,2,0.1,[0.2076622170120666]
nlshade,39,2,0.2,[0.17407662910489366]
nlshade,39,2,0.3,[0.16361812015691282]
nlshade,39,2,0.4,[0.12954099033684227]
nlshade,39,2,0.5,[0.08651934612316221]
nlshade,39,2,0.6,[0.05984419421205734]
nlshade,39,2,0.7,[0.05634003383366248]
nlshade,39,2,0.8,[0.04713426238699978]
nlshade,39,2,0.9,[0.028661507477664404]
nlshade,39,2,1.0,[0.007884307619117565]
nlshade,39,3,0.01,[0.2385155696103983]
nlshade,39,3,0.1,[0.20985837327451837]
nlshade,39,3,0.2,[0.20014467966397526]
nlshade,39,3,0.3,[0.16080135459048428]
nlshade,39,3,0.4,[0.12221068741356]
nlshade,39,3,0.5,[0.11246037793317469]
nlshade,39,3,0.6,[0.10144500888082987]
nlshade,39,3,0.7,[0.061017743290785326]
nlshade,39,3,0.8,[0.0358367255144207]
nlshade,39,3,0.9,[0.016752535215867323]
nlshade,39,3,1.0,[0.00803598143882993]
nlshade,39,4,0.01,[0.2533903198793605]
nlshade,39,4,0.1,[0.2162478486521196]
nlshade,39,4,0.2,[0.1797835959799463]
nlshade,39,4,0.3,[0.15784360048568927]
nlshade,39,4,0.4,[0.15135217396905487]
nlshade,39,4,0.5,[0.13623156160016983]
nlshade,39,4,0.6,[0.0867865113143662]
nlshade,39,4,0.7,[0.0724148494028088]
nlshade,39,4,0.8,[0.05011654851182594]
nlshade,39,4,0.9,[0.02684501364659371]
nlshade,39,4,1.0,[0.008023863548118895]
nlshade,39,5,0.01,[0.26850417204841437]
nlshade,39,5,0.1,[0.20194368027448714]
nlshade,39,5,0.2,[0.18803143490398158]
nlshade,39,5,0.3,[0.17529454180193998]
nlshade,39,5,0.4,[0.09303237655903888]
nlshade,39,5,0.5,[0.08548783311291529]
nlshade,39,5,0.6,[0.0744504371406167]
nlshade,39,5,0.7,[0.06505477541253794]
nlshade,39,5,0.8,[0.03326971318279538]
nlshade,39,5,0.9,[0.01609353226941865]
nlshade,39,5,1.0,[0.008066020888773616]
nlshade,39,6,0.01,[0.2604296227236441]
nlshade,39,6,0.1,[0.20912802453612742]
nlshade,39,6,0.2,[0.16034912654223812]
nlshade,39,6,0.3,[0.12866345448619057]
nlshade,39,6,0.4,[0.122385355427304]
nlshade,39,6,0.5,[0.11073098164529258]
nlshade,39,6,0.6,[0.06867846806418762]
nlshade,39,6,0.7,[0.05290410992748234]
nlshade,39,6,0.8,[0.027280135976102838]
nlshade,39,6,0.9,[0.015761034162441623]
nlshade,39,6,1.0,[0.011667613446307824]
nlshade,39,7,0.01,[0.268308391784596]
nlshade,39,7,0.1,[0.22503148007037468]
nlshade,39,7,0.2,[0.16160179039255854]
nlshade,39,7,0.3,[0.12460660455347156]
nlshade,39,7,0.4,[0.11124399872751467]
nlshade,39,7,0.5,[0.10720531745093329]
nlshade,39,7,0.6,[0.09275654458709219]
nlshade,39,7,0.7,[0.06770633149756304]
