algorithm,run,checkpoint,error
adagrad,0,0.01,"[(0.8191428571428572, 2.200122252746737, 1.5101537704467773)]"
adagrad,0,0.1,"[(0.7947857142857143, 1.9521979164138106, 21.444494009017944)]"
adagrad,0,0.2,"[(0.7785714285714286, 1.8973919157231773, 55.02474045753479)]"
adagrad,0,0.3,"[(0.7754285714285715, 1.8610232428871922, 110.64071774482727)]"
adagrad,0,0.4,"[(0.7820714285714285, 1.860365725033171, 169.27302384376526)]"
adagrad,0,0.5,"[(0.7586428571428572, 1.8210755398392122, 221.84574055671692)]"
adagrad,0,0.6,"[(0.7592142857142857, 1.8028250127660506, 280.5291061401367)]"
adagrad,0,0.7,"[(0.7585714285714286, 1.7874395050410983, 334.43471217155457)]"
adagrad,0,0.8,"[(0.7573571428571428, 1.7854817550516522, 388.37513494491577)]"
adagrad,0,0.9,"[(0.7403571428571429, 1.77820614745757, 439.7601981163025)]"
adagrad,0,1.0,"[(0.7104285714285714, 1.7376655977303528, 492.08318543434143)]"
adagrad,1,0.01,"[(0.896, 2.305926944774354, 1.8497695922851562)]"
adagrad,1,0.1,"[(0.9018571428571429, 2.3048707578126897, 22.652220487594604)]"
adagrad,1,0.2,"[(0.9035, 2.3055375376172518, 59.496013879776)]"
adagrad,1,0.3,"[(0.7962857142857143, 2.079260851669591, 120.75412249565125)]"
adagrad,1,0.4,"[(0.6917857142857142, 1.7165330110727983, 190.42616844177246)]"
adagrad,1,0.5,"[(0.5547142857142857, 1.4441765411088838, 259.9964265823364)]"
adagrad,1,0.6,"[(0.5285, 1.2901666184450848, 324.89032912254333)]"
adagrad,1,0.7,"[(0.5172857142857143, 1.2404436148470834, 399.7072129249573)]"
adagrad,1,0.8,"[(0.5110714285714286, 1.2257858986531238, 469.6309332847595)]"
adagrad,1,0.9,"[(0.4932142857142857, 1.1923005046883888, 523.4346349239349)]"
adagrad,1,1.0,"[(0.4545, 1.1595545727928707, 560.8006691932678)]"
adagrad,2,0.01,"[(0.8197142857142857, 2.154427244682428, 2.009242534637451)]"
adagrad,2,0.1,"[(0.6162142857142857, 1.5173591612187651, 21.31059169769287)]"
adagrad,2,0.2,"[(0.5053571428571428, 1.2922083052545725, 53.731608867645264)]"
adagrad,2,0.3,"[(0.45278571428571424, 1.173538856173309, 113.32969784736633)]"
adagrad,2,0.4,"[(0.42807142857142855, 1.122307657503763, 170.41545963287354)]"
adagrad,2,0.5,"[(0.38435714285714284, 1.0200504453816566, 227.2555341720581)]"
adagrad,2,0.6,"[(0.37228571428571433, 0.9834484098357222, 283.45220398902893)]"
adagrad,2,0.7,"[(0.3643571428571428, 0.9593929012349031, 339.3186936378479)]"
adagrad,2,0.8,"[(0.34957142857142853, 0.9434563273275595, 397.909893989563)]"
adagrad,2,0.9,"[(0.34764285714285714, 0.9261082576951077, 451.62256956100464)]"
adagrad,2,1.0,"[(0.34571428571428575, 0.9257463195253893, 501.78736305236816)]"
adagrad,3,0.01,"[(0.8390714285714286, 2.164558334349622, 3.8629555702209473)]"
adagrad,3,0.1,"[(0.624, 1.4821962620960967, 27.101630926132202)]"
adagrad,3,0.2,"[(0.5983571428571428, 1.4095480202907629, 63.706228256225586)]"
adagrad,3,0.3,"[(0.6093571428571429, 1.3932906116888069, 115.95232963562012)]"
adagrad,3,0.4,"[(0.6045714285714285, 1.3768513707681693, 168.66533303260803)]"
adagrad,3,0.5,"[(0.4644285714285714, 1.2322393338076667, 219.09632849693298)]"
adagrad,3,0.6,"[(0.3968571428571429, 1.0518886708871402, 266.2356290817261)]"
adagrad,3,0.7,"[(0.3945714285714286, 1.0052456667721479, 317.4721305370331)]"
adagrad,3,0.8,"[(0.3687857142857143, 0.9816692756841281, 370.4728355407715)]"
adagrad,3,0.9,"[(0.3673571428571428, 0.9723840305677537, 418.74806571006775)]"
adagrad,3,1.0,"[(0.35850000000000004, 0.9709943024092061, 468.38450741767883)]"
adagrad,4,0.01,"[(0.7003571428571429, 1.9362105555823688, 2.079174280166626)]"
adagrad,4,0.1,"[(0.5955714285714286, 1.4295686752440078, 18.21261501312256)]"
adagrad,4,0.2,"[(0.6038571428571429, 1.3955838448351627, 49.1619758605957)]"
adagrad,4,0.3,"[(0.4038571428571428, 1.1294454031150172, 94.9868733882904)]"
adagrad,4,0.4,"[(0.38849999999999996, 1.0216656710335597, 149.35315537452698)]"
adagrad,4,0.5,"[(0.37457142857142856, 0.986972001086244, 205.15186595916748)]"
adagrad,4,0.6,"[(0.3708571428571429, 0.959557272895502, 257.77152132987976)]"
adagrad,4,0.7,"[(0.3612142857142857, 0.9440225810792822, 304.37778329849243)]"
adagrad,4,0.8,"[(0.3532857142857143, 0.9266519935994318, 355.7028822898865)]"
adagrad,4,0.9,"[(0.34564285714285714, 0.903312540279504, 404.6655697822571)]"
adagrad,4,1.0,"[(0.3431428571428572, 0.8995337228896254, 454.39835929870605)]"
adagrad,5,0.01,"[(0.8079285714285714, 2.158511348964804, 4.53238582611084)]"
