algorithm,run,checkpoint,error
adagrad,0,0.01,"[(0.7526428571428572, 0.0833246612479999, 1.6295444965362549)]"
adagrad,0,0.1,"[(0.22071428571428575, 0.038282991970792934, 17.287243604660034)]"
adagrad,0,0.2,"[(0.1567857142857143, 0.02670998307310749, 50.8325982093811)]"
adagrad,0,0.3,"[(0.13628571428571423, 0.022276942017133355, 89.39905047416687)]"
adagrad,0,0.4,"[(0.12914285714285711, 0.02053105568986838, 134.46894764900208)]"
adagrad,0,0.5,"[(0.12328571428571433, 0.01915661459603159, 177.98898196220398)]"
adagrad,0,0.6,"[(0.11299999999999999, 0.017794599355782814, 222.93973064422607)]"
adagrad,0,0.7,"[(0.11021428571428571, 0.017308863911297764, 268.26230573654175)]"
adagrad,0,0.8,"[(0.10599999999999998, 0.016535265438076208, 309.77866888046265)]"
adagrad,0,0.9,"[(0.10557142857142854, 0.01636396933195434, 358.2149980068207)]"
adagrad,0,1.0,"[(0.10335714285714281, 0.01584346889896858, 399.01335644721985)]"
adagrad,1,0.01,"[(0.7096428571428571, 0.08297427844043208, 2.1909358501434326)]"
adagrad,1,0.1,"[(0.24235714285714283, 0.039781277170563546, 20.926735401153564)]"
adagrad,1,0.2,"[(0.1617857142857143, 0.027291437184297905, 56.05774736404419)]"
adagrad,1,0.3,"[(0.14057142857142857, 0.02289065862784888, 101.40767526626587)]"
adagrad,1,0.4,"[(0.13142857142857145, 0.02097375648238231, 148.38884615898132)]"
adagrad,1,0.5,"[(0.125, 0.019557493821666275, 194.55384922027588)]"
adagrad,1,0.6,"[(0.11850000000000005, 0.01851804798072413, 245.93621110916138)]"
adagrad,1,0.7,"[(0.11421428571428571, 0.017817060536021515, 294.67614245414734)]"
adagrad,1,0.8,"[(0.11150000000000004, 0.01730684205085518, 341.36285877227783)]"
adagrad,1,0.9,"[(0.11050000000000004, 0.017095989989084924, 384.9277729988098)]"
adagrad,1,1.0,"[(0.10828571428571432, 0.016697330875461023, 429.433296918869)]"
adagrad,2,0.01,"[(0.6719285714285714, 0.08343460258294325, 2.88167405128479)]"
adagrad,2,0.1,"[(0.19714285714285718, 0.03516170368280089, 20.998751163482666)]"
adagrad,2,0.2,"[(0.15149999999999997, 0.02564518957286549, 48.934107542037964)]"
adagrad,2,0.3,"[(0.13542857142857145, 0.021938086296028465, 90.46897602081299)]"
adagrad,2,0.4,"[(0.12457142857142856, 0.01994720437465578, 134.57376527786255)]"
adagrad,2,0.5,"[(0.119, 0.018881952311638136, 179.70380640029907)]"
adagrad,2,0.6,"[(0.11521428571428571, 0.017962195619520546, 228.25656461715698)]"
adagrad,2,0.7,"[(0.11278571428571427, 0.017266294152494074, 274.23070645332336)]"
adagrad,2,0.8,"[(0.10935714285714282, 0.016787564026485433, 316.70881748199463)]"
adagrad,2,0.9,"[(0.1070714285714286, 0.01646573472090091, 363.5584764480591)]"
adagrad,2,1.0,"[(0.10378571428571426, 0.01596502525360213, 405.19941544532776)]"
adagrad,3,0.01,"[(0.7263571428571429, 0.08397119273248212, 3.0210912227630615)]"
adagrad,3,0.1,"[(0.24850000000000005, 0.03917265325736646, 20.56738519668579)]"
adagrad,3,0.2,"[(0.15442857142857147, 0.026607112162023164, 48.33963227272034)]"
adagrad,3,0.3,"[(0.1369285714285714, 0.02248748623332339, 89.47715759277344)]"
adagrad,3,0.4,"[(0.12492857142857139, 0.020110702923440003, 133.85356187820435)]"
adagrad,3,0.5,"[(0.11678571428571427, 0.01882038365802545, 178.1464970111847)]"
adagrad,3,0.6,"[(0.11264285714285716, 0.017953560602935417, 225.9757707118988)]"
adagrad,3,0.7,"[(0.10964285714285715, 0.017320070894149702, 271.2106149196625)]"
adagrad,3,0.8,"[(0.10664285714285715, 0.016791752533880877, 315.26317596435547)]"
adagrad,3,0.9,"[(0.1032142857142857, 0.01636635542576851, 357.53831791877747)]"
adagrad,3,1.0,"[(0.10442857142857143, 0.016161600906725526, 397.53235387802124)]"
adagrad,4,0.01,"[(0.8320714285714286, 0.08955372925670087, 2.0690293312072754)]"
adagrad,4,0.1,"[(0.24128571428571433, 0.04138380855788884, 10.609718561172485)]"
adagrad,4,0.2,"[(0.16221428571428576, 0.028177866642182664, 35.50448226928711)]"
adagrad,4,0.3,"[(0.13828571428571423, 0.023376678793216248, 74.21440410614014)]"
adagrad,4,0.4,"[(0.13128571428571434, 0.021111380097737716, 120.64658761024475)]"
adagrad,4,0.5,"[(0.12235714285714283, 0.01974214543741974, 166.1434268951416)]"
adagrad,4,0.6,"[(0.11450000000000005, 0.018292303604202333, 203.72020769119263)]"
adagrad,4,0.7,"[(0.11064285714285715, 0.017601954832360524, 247.8144407272339)]"
adagrad,4,0.8,"[(0.10742857142857143, 0.016914847942879216, 293.2441780567169)]"
adagrad,4,0.9,"[(0.10528571428571432, 0.01649394633749155, 335.6377444267273)]"
adagrad,4,1.0,"[(0.10328571428571431, 0.016127929664863507, 378.2372224330902)]"
adagrad,5,0.01,"[(0.7229285714285714, 0.08263556297370679, 5.271716117858887)]"
adagrad,5,0.1,"[(0.23292857142857137, 0.03979215767841443, 33.55410099029541)]"
adagrad,5,0.2,"[(0.15507142857142853, 0.026499400745250038, 72.04552507400513)]"
adagrad,5,0.3,"[(0.13528571428571423, 0.022392746413255914, 115.90746259689331)]"
adagrad,5,0.4,"[(0.13078571428571428, 0.020717666111881108, 162.4183201789856)]"
adagrad,5,0.5,"[(0.12057142857142855, 0.019262556129126734, 209.85804080963135)]"
adagrad,5,0.6,"[(0.11750000000000005, 0.01830426999781637, 259.02863216400146)]"
adagrad,5,0.7,"[(0.11221428571428571, 0.017507752170373467, 305.7896568775177)]"
adagrad,5,0.8,"[(0.1090714285714286, 0.017128441070621905, 349.1437556743622)]"
adagrad,5,0.9,"[(0.10650000000000004, 0.01657149870783466, 395.0853896141052)]"
adagrad,5,1.0,"[(0.1051428571428571, 0.016145041268550705, 427.2527620792389)]"
adagrad,6,0.01,"[(0.6910000000000001, 0.0838892498980818, 2.8744826316833496)]"
adagrad,6,0.1,"[(0.23342857142857143, 0.039466725815288005, 20.388543367385864)]"
adagrad,6,0.2,"[(0.1645714285714286, 0.027765943682119956, 61.24905514717102)]"
adagrad,6,0.3,"[(0.1397857142857143, 0.02319878927852926, 114.6237006187439)]"
adagrad,6,0.4,"[(0.12921428571428573, 0.020840383375140017, 171.58760714530945)]"
adagrad,6,0.5,"[(0.12221428571428572, 0.01943679862956915, 229.3541316986084)]"
adagrad,6,0.6,"[(0.1170714285714286, 0.01851138786569676, 281.905793428421)]"
adagrad,6,0.7,"[(0.11350000000000005, 0.017732270072878267, 330.3346643447876)]"
adagrad,6,0.8,"[(0.11042857142857143, 0.017298526549974078, 376.6014516353607)]"
adagrad,6,0.9,"[(0.10757142857142854, 0.016818185040953733, 419.0453119277954)]"
adagrad,6,1.0,"[(0.10535714285714282, 0.016197177248875948, 450.4213140010834)]"
