algorithm,run,checkpoint,error
adagrad,0,0.01,"[(0.9008571428571428, 0.18017142857124305, 1.2561261653900146)]"
adagrad,0,0.1,"[(0.9008571428571428, 0.18017142857124305, 11.607202529907227)]"
adagrad,0,0.2,"[(0.9008571428571428, 0.18017142857124305, 39.93524122238159)]"
adagrad,0,0.3,"[(0.9008571428571428, 0.18017142857124305, 81.39703512191772)]"
adagrad,0,0.4,"[(0.9008571428571428, 0.18017142857124305, 122.99998092651367)]"
adagrad,0,0.5,"[(0.9008571428571428, 0.18017142857124305, 166.44003057479858)]"
adagrad,0,0.6,"[(0.9008571428571428, 0.18017142857124305, 209.14594292640686)]"
adagrad,0,0.7,"[(0.9008571428571428, 0.18017142857124305, 250.74489831924438)]"
adagrad,0,0.8,"[(0.9008571428571428, 0.18017142857124305, 297.7023367881775)]"
adagrad,0,0.9,"[(0.9008571428571428, 0.18017142857124305, 341.2209165096283)]"
adagrad,0,1.0,"[(0.9008571428571428, 0.18017142857124305, 384.1137502193451)]"
adagrad,1,0.01,"[(0.9026428571428572, 0.18052857142857143, 1.2725212574005127)]"
adagrad,1,0.1,"[(0.9026428571428572, 0.18052857142857143, 14.310779333114624)]"
adagrad,1,0.2,"[(0.9026428571428572, 0.18052857142857143, 43.112844705581665)]"
adagrad,1,0.3,"[(0.9026428571428572, 0.18052857142857143, 90.23495221138)]"
adagrad,1,0.4,"[(0.9026428571428572, 0.18052857142857143, 140.0694236755371)]"
adagrad,1,0.5,"[(0.9026428571428572, 0.18052857142857143, 187.28772234916687)]"
adagrad,1,0.6,"[(0.9026428571428572, 0.18052857142857143, 235.7598569393158)]"
adagrad,1,0.7,"[(0.9026428571428572, 0.18052857142857143, 282.0303838253021)]"
adagrad,1,0.8,"[(0.9026428571428572, 0.18052857142857143, 326.69161796569824)]"
adagrad,1,0.9,"[(0.9026428571428572, 0.18052857142857143, 373.2730710506439)]"
adagrad,1,1.0,"[(0.9026428571428572, 0.18052857142857143, 414.2471344470978)]"
adagrad,2,0.01,"[(0.9012142857142857, 0.18024285714285562, 1.976881504058838)]"
adagrad,2,0.1,"[(0.9012142857142857, 0.18024285714285562, 18.104156970977783)]"
adagrad,2,0.2,"[(0.9012142857142857, 0.18024285714285562, 47.95711803436279)]"
adagrad,2,0.3,"[(0.9012142857142857, 0.18024285714285562, 89.27576088905334)]"
adagrad,2,0.4,"[(0.9012142857142857, 0.18024285714285562, 134.39963245391846)]"
adagrad,2,0.5,"[(0.9012142857142857, 0.18024285714285562, 180.17010235786438)]"
adagrad,2,0.6,"[(0.9012142857142857, 0.18024285714285562, 229.36306643486023)]"
adagrad,2,0.7,"[(0.9012142857142857, 0.18024285714285562, 277.0197832584381)]"
adagrad,2,0.8,"[(0.9012142857142857, 0.18024285714285562, 322.6463487148285)]"
adagrad,2,0.9,"[(0.9012142857142857, 0.18024285714285562, 377.4577498435974)]"
adagrad,2,1.0,"[(0.9012142857142857, 0.18024285714285562, 423.1142520904541)]"
adagrad,3,0.01,"[(0.9025714285714286, 0.1805142857142857, 1.5738208293914795)]"
adagrad,3,0.1,"[(0.9025714285714286, 0.1805142857142857, 18.498332262039185)]"
adagrad,3,0.2,"[(0.9025714285714286, 0.1805142857142857, 48.800164461135864)]"
adagrad,3,0.3,"[(0.9025714285714286, 0.1805142857142857, 98.34855532646179)]"
adagrad,3,0.4,"[(0.9025714285714286, 0.1805142857142857, 143.3144257068634)]"
adagrad,3,0.5,"[(0.9025714285714286, 0.1805142857142857, 190.95119190216064)]"
adagrad,3,0.6,"[(0.9025714285714286, 0.1805142857142857, 244.98900651931763)]"
adagrad,3,0.7,"[(0.9025714285714286, 0.1805142857142857, 290.02367186546326)]"
adagrad,3,0.8,"[(0.9025714285714286, 0.1805142857142857, 337.05608320236206)]"
