algorithm,run,checkpoint,error
adagrad,0,0.01,"[(0.7756428571428571, 0.08418327718100622, 1.4493000507354736)]"
adagrad,0,0.1,"[(0.33199999999999996, 0.05006327713849726, 13.238165616989136)]"
adagrad,0,0.2,"[(0.2201428571428572, 0.03755021983528221, 30.206977605819702)]"
adagrad,0,0.3,"[(0.18428571428571427, 0.031658790410650575, 56.35232853889465)]"
adagrad,0,0.4,"[(0.1705714285714286, 0.028295446443520823, 98.28681993484497)]"
adagrad,0,0.5,"[(0.15814285714285714, 0.026109319905159314, 142.75282096862793)]"
adagrad,0,0.6,"[(0.14857142857142858, 0.024459943903003864, 186.700012922287)]"
adagrad,0,0.7,"[(0.14200000000000002, 0.023242097299914406, 232.73761224746704)]"
adagrad,0,0.8,"[(0.14014285714285712, 0.022454730114668562, 279.2348737716675)]"
adagrad,0,0.9,"[(0.137, 0.021714637351751054, 328.89085578918457)]"
adagrad,0,1.0,"[(0.13342857142857145, 0.020974336471508183, 370.4494426250458)]"
adagrad,1,0.01,"[(0.6835, 0.08160029368560873, 1.570044755935669)]"
adagrad,1,0.1,"[(0.3293571428571429, 0.049923581315103965, 15.942369222640991)]"
adagrad,1,0.2,"[(0.25357142857142856, 0.03951464250554242, 42.14470195770264)]"
adagrad,1,0.3,"[(0.19578571428571434, 0.03330670047621094, 82.25274133682251)]"
adagrad,1,0.4,"[(0.17542857142857138, 0.029052721159863338, 137.33241081237793)]"
adagrad,1,0.5,"[(0.1598571428571428, 0.02645377613834311, 196.97650861740112)]"
adagrad,1,0.6,"[(0.15221428571428575, 0.024776913760695116, 254.8565878868103)]"
adagrad,1,0.7,"[(0.14349999999999996, 0.023422298153657872, 306.7554597854614)]"
adagrad,1,0.8,"[(0.1389285714285714, 0.022450350736751126, 356.67092776298523)]"
adagrad,1,0.9,"[(0.13449999999999995, 0.021538292427454114, 411.69906783103943)]"
adagrad,1,1.0,"[(0.13, 0.020853972308448945, 450.68402314186096)]"
adagrad,2,0.01,"[(0.7047142857142857, 0.08301163574186429, 2.2471206188201904)]"
adagrad,2,0.1,"[(0.3292857142857143, 0.04812561611772281, 11.386345624923706)]"
adagrad,2,0.2,"[(0.21642857142857141, 0.03685650990869888, 30.724255323410034)]"
adagrad,2,0.3,"[(0.18485714285714283, 0.031203745229412723, 61.19091486930847)]"
adagrad,2,0.4,"[(0.1697142857142857, 0.0278343388812784, 104.45876359939575)]"
adagrad,2,0.5,"[(0.15949999999999998, 0.025692475159948172, 154.88268899917603)]"
adagrad,2,0.6,"[(0.15021428571428574, 0.024209102807447924, 198.4401512145996)]"
adagrad,2,0.7,"[(0.14328571428571424, 0.022980338657147263, 240.321387052536)]"
adagrad,2,0.8,"[(0.13864285714285718, 0.022104592539457214, 285.6147975921631)]"
adagrad,2,0.9,"[(0.13621428571428573, 0.02140401820108338, 338.42440915107727)]"
adagrad,2,1.0,"[(0.132, 0.020747931182803596, 384.27357363700867)]"
adagrad,3,0.01,"[(0.6809285714285714, 0.08153092009288379, 1.765665054321289)]"
adagrad,3,0.1,"[(0.32285714285714284, 0.048651170250810186, 18.260890007019043)]"
adagrad,3,0.2,"[(0.22699999999999998, 0.03763576935678003, 45.45038390159607)]"
adagrad,3,0.3,"[(0.18107142857142855, 0.03150818193706708, 84.76313757896423)]"
