algorithm,run,checkpoint,error
adagrad,0,0.01,"[(0.3235714285714286, 0.047646755134524814)]"
adagrad,0,0.1,"[(0.17185714285714282, 0.025271779178055818)]"
adagrad,0,0.2,"[(0.14814285714285713, 0.02174999495737142)]"
adagrad,0,0.3,"[(0.13707142857142862, 0.020247988566199037)]"
adagrad,0,0.4,"[(0.13057142857142856, 0.019345888990394373)]"
adagrad,0,0.5,"[(0.12571428571428567, 0.0187039732632588)]"
adagrad,0,0.6,"[(0.12228571428571433, 0.01822225529116154)]"
adagrad,0,0.7,"[(0.11885714285714288, 0.017847151750998557)]"
adagrad,0,0.8,"[(0.1171428571428571, 0.017531766110517863)]"
adagrad,0,0.9,"[(0.11521428571428571, 0.017269421135355328)]"
adagrad,0,1.0,"[(0.11464285714285716, 0.01704708446801931)]"
adagrad,1,0.01,"[(0.32971428571428574, 0.04800398580671689)]"
adagrad,1,0.1,"[(0.16535714285714287, 0.024734973055045188)]"
adagrad,1,0.2,"[(0.1418571428571429, 0.02135748736147307)]"
adagrad,1,0.3,"[(0.13228571428571434, 0.01991820129033744)]"
adagrad,1,0.4,"[(0.12671428571428567, 0.01902946324378825)]"
adagrad,1,0.5,"[(0.12250000000000005, 0.01842270855737838)]"
adagrad,1,0.6,"[(0.11864285714285716, 0.017945032491125494)]"
adagrad,1,0.7,"[(0.11685714285714288, 0.017592178760376553)]"
adagrad,1,0.8,"[(0.11564285714285716, 0.017297847212667698)]"
adagrad,1,0.9,"[(0.11357142857142855, 0.017043426078804356)]"
adagrad,1,1.0,"[(0.1121428571428571, 0.016838990655635204)]"
adagrad,2,0.01,"[(0.32985714285714285, 0.048055254393534)]"
adagrad,2,0.1,"[(0.17092857142857143, 0.025317959098234637)]"
adagrad,2,0.2,"[(0.14742857142857146, 0.021761243509050423)]"
adagrad,2,0.3,"[(0.13657142857142857, 0.020226377019423734)]"
adagrad,2,0.4,"[(0.1288571428571429, 0.019276959461295654)]"
adagrad,2,0.5,"[(0.12435714285714283, 0.018602498768943536)]"
adagrad,2,0.6,"[(0.121, 0.01810617193479122)]"
adagrad,2,0.7,"[(0.11821428571428572, 0.017714938130593882)]"
adagrad,2,0.8,"[(0.1160714285714286, 0.01738773457526686)]"
adagrad,2,0.9,"[(0.11385714285714288, 0.01711531785589826)]"
adagrad,2,1.0,"[(0.11242857142857143, 0.016883217413516186)]"
adagrad,3,0.01,"[(0.3274285714285714, 0.04782351277226448)]"
adagrad,3,0.1,"[(0.17242857142857138, 0.025274676962095392)]"
adagrad,3,0.2,"[(0.14442857142857146, 0.0214474434915693)]"
adagrad,3,0.3,"[(0.133, 0.019805184289355616)]"
adagrad,3,0.4,"[(0.126, 0.01883532548609286)]"
adagrad,3,0.5,"[(0.12135714285714283, 0.018152184817442563)]"
adagrad,3,0.6,"[(0.11828571428571433, 0.01764618125416233)]"
adagrad,3,0.7,"[(0.1151428571428571, 0.017241164141565412)]"
adagrad,3,0.8,"[(0.11328571428571432, 0.016919983368026453)]"
adagrad,3,0.9,"[(0.11185714285714288, 0.016643992810126212)]"
adagrad,3,1.0,"[(0.10950000000000004, 0.01640903632516852)]"
adagrad,4,0.01,"[(0.3296428571428571, 0.048100095444228955)]"
adagrad,4,0.1,"[(0.17178571428571432, 0.02525141052882772)]"
adagrad,4,0.2,"[(0.14528571428571424, 0.021534441691939635)]"
adagrad,4,0.3,"[(0.13449999999999995, 0.01998628929080073)]"
adagrad,4,0.4,"[(0.12771428571428567, 0.019060320450620293)]"
adagrad,4,0.5,"[(0.12278571428571428, 0.018415813170824427)]"
adagrad,4,0.6,"[(0.11935714285714283, 0.01793048895732837)]"
adagrad,4,0.7,"[(0.11728571428571433, 0.017564395043789174)]"
adagrad,4,0.8,"[(0.11485714285714288, 0.017248729195860013)]"
adagrad,4,0.9,"[(0.11364285714285716, 0.016989031464813065)]"
adagrad,4,1.0,"[(0.11064285714285715, 0.016774136402180933)]"
