algorithm,run,checkpoint,error
adagrad,0,0.01,[0.047409914095276284]
adagrad,0,0.1,[0.0439871768409503]
adagrad,0,0.2,[0.043455865195144154]
adagrad,0,0.3,[0.043384640963020506]
adagrad,0,0.4,[0.043361035224867624]
adagrad,0,0.5,[0.04333986328688504]
adagrad,0,0.6,[0.04336472066318265]
adagrad,0,0.7,[0.0433367346345818]
adagrad,0,0.8,[0.043345799217420704]
adagrad,0,0.9,[0.04332010797551407]
adagrad,0,1.0,[0.04331729206784788]
adagrad,1,0.01,[0.024807767514740193]
adagrad,1,0.1,[0.020830116476850017]
adagrad,1,0.2,[0.020379788402049025]
adagrad,1,0.3,[0.020205187444366203]
adagrad,1,0.4,[0.02012194118111952]
adagrad,1,0.5,[0.02001261377940671]
adagrad,1,0.6,[0.019981387578606912]
adagrad,1,0.7,[0.019989455261970115]
adagrad,1,0.8,[0.019986112507930972]
adagrad,1,0.9,[0.01988639263765227]
adagrad,1,1.0,[0.019824109716202715]
adagrad,2,0.01,[0.02233042776769563]
adagrad,2,0.1,[0.01744182741181949]
adagrad,2,0.2,[0.016901493970642577]
adagrad,2,0.3,[0.016789721152667112]
adagrad,2,0.4,[0.016889627948372475]
adagrad,2,0.5,[0.016720467272531993]
adagrad,2,0.6,[0.01679029890774452]
adagrad,2,0.7,[0.016680007667789674]
adagrad,2,0.8,[0.016748125639336614]
adagrad,2,0.9,[0.016707404910892787]
adagrad,2,1.0,[0.016719709580722122]
adagrad,3,0.01,[0.02363295827524308]
adagrad,3,0.1,[0.017251139372220666]
adagrad,3,0.2,[0.016801804269693802]
adagrad,3,0.3,[0.016752683506324504]
adagrad,3,0.4,[0.0167020604799219]
adagrad,3,0.5,[0.016619660139777757]
adagrad,3,0.6,[0.0166043049257624]
adagrad,3,0.7,[0.016550809074205104]
adagrad,3,0.8,[0.01655920407562368]
adagrad,3,0.9,[0.016609141722042704]
adagrad,3,1.0,[0.016523759845663434]
adagrad,4,0.01,[0.18074279459472056]
adagrad,4,0.1,[0.02918531575814977]
adagrad,4,0.2,[0.028511215243977813]
adagrad,4,0.3,[0.028396531382845057]
adagrad,4,0.4,[0.02842378042706807]
adagrad,4,0.5,[0.028276021705417667]
adagrad,4,0.6,[0.028229981210299147]
adagrad,4,0.7,[0.02813921865483797]
adagrad,4,0.8,[0.028134540119084114]
adagrad,4,0.9,[0.028140120227928105]
adagrad,4,1.0,[0.028076322199548972]
adagrad,5,0.01,[0.09000983759873628]
adagrad,5,0.1,[0.0899816278632977]
adagrad,5,0.2,[0.08998811549917866]
adagrad,5,0.3,[0.08997758533047165]
adagrad,5,0.4,[0.08997960241041172]
adagrad,5,0.5,[0.08998292813907084]
adagrad,5,0.6,[0.08997973037914499]
adagrad,5,0.7,[0.0899812594340771]
adagrad,5,0.8,[0.08998037781192325]
adagrad,5,0.9,[0.0899787961749212]
adagrad,5,1.0,[0.08998106337027979]
adagrad,6,0.01,[0.09001161798168104]
adagrad,6,0.1,[0.08999242544227083]
adagrad,6,0.2,[0.08999358879766904]
adagrad,6,0.3,[0.0899969003134434]
adagrad,6,0.4,[0.08999122741550852]
adagrad,6,0.5,[0.08999864773022911]
adagrad,6,0.6,[0.08999108670106855]
adagrad,6,0.7,[0.0899923622384153]
adagrad,6,0.8,[0.0899924278948705]
adagrad,6,0.9,[0.0899924948664149]
adagrad,6,1.0,[0.08999408061233383]
adagrad,7,0.01,[0.18068571423188973]
adagrad,7,0.1,[0.18068571428535823]
adagrad,7,0.2,[0.1806857142853582]
adagrad,7,0.3,[0.18068571428535818]
adagrad,7,0.4,[0.18068571428535815]
